Movie Name,Japan,Singapore,Taiwan,Russia/CIS,France,Spain,United Kingdom,Türkiye,United Arab Emirates,Hong Kong,Germany,Austria,Bulgaria,Belgium,Portugal,Serbia and Montenegro,Brazil,Colombia,Mexico,Peru,Venezuela,Philippines,Thailand,Poland,Netherlands,Greece,Slovenia,Croatia,New Zealand,Italy,South Africa,Lebanon,Denmark,Ukraine,Norway,Finland,Czech Republic,Hungary,Egypt,Slovakia,East Africa,Iceland,Nigeria,Ecuador,Argentina,South Korea,Australia,Malaysia,India,Bahrain,Sweden,Israel,Chile,Uruguay,Bolivia,Domestic,China,Indonesia,Switzerland,Vietnam,Romania,Estonia,Lithuania,Latvia,Cyprus,Trinidad & Tobago,Paraguay,Kenya,Oman,Qatar,Central America,Ghana
A Good Day to Die Hard (2013),"$21,426,025","$2,107,414",,"$12,231,281","$15,589,961","$4,408,158","$16,564,201","$1,321,950","$1,914,667","$3,688,633","$15,252,877","$2,369,656","$505,190","$2,088,488","$980,480","$82,674","$8,572,992","$1,719,450","$8,583,037","$1,118,637","$2,418,126","$2,131,141","$2,279,578","$1,331,873","$3,026,761","$475,599","$163,482","$161,485","$1,363,914","$2,772,861","$948,754","$483,174","$2,558,145","$1,381,843","$2,861,726","$1,361,077","$275,827","$932,120","$304,228","$186,288","$106,749","$134,141","$257,753","$632,075","$2,421,889","$9,766,531","$11,232,270","$3,438,289","$2,249,095","$298,933","$2,758,519","$811,379","$1,056,820","$151,996","$178,926",,"$31,620,000","$4,609,659",,,,,,,,,,,,,,
Jack the Giant Slayer (2013),"$5,409,950","$2,280,325",,"$14,900,392","$4,552,429","$3,468,875","$11,611,710","$695,838","$1,446,557","$1,562,515","$2,019,008","$324,361","$193,902","$1,435,979","$275,376","$71,360","$5,906,403","$2,388,785","$13,517,642","$1,759,175","$3,574,524","$3,154,259","$2,626,123","$564,708","$909,311","$478,835","$43,980","$124,022","$769,501","$3,442,839","$791,025","$151,392",,"$1,027,975","$676,240","$90,499","$294,000","$453,285","$213,342","$52,233","$81,625","$64,327","$171,827","$1,288,716","$2,444,546","$6,731,002","$3,799,617","$3,766,399","$1,372,202",,"$558,009","$357,556","$1,242,722","$81,423","$316,674",,"$8,490,000","$2,959,331",,,,,,,,,,,,,,
G.I. Joe: Retaliation (2013),"$9,953,154","$4,268,582",,"$15,005,280","$7,104,607","$4,802,484","$11,544,884","$1,683,753","$3,238,445","$3,256,118","$11,043,522","$1,657,786","$598,331","$1,698,776","$1,029,040","$26,003","$8,875,027","$3,164,535","$14,290,291","$1,772,025","$3,164,904","$4,560,225","$3,912,147","$383,117","$1,499,901",,"$75,904","$125,897","$1,717,570","$3,557,497","$1,355,921","$418,188","$733,518","$1,339,438","$1,173,729","$359,925","$304,577","$421,483","$176,020","$134,207","$104,289","$87,960","$52,001","$1,668,152","$1,728,620","$12,882,752","$10,853,433","$7,087,974","$4,224,321",,"$1,167,389","$645,015","$1,074,874","$130,795","$432,817",,"$53,840,000","$5,774,805",,,,,,,,,,,,,,
Oz the Great and Powerful (2013),"$18,804,441","$2,007,346",,"$27,373,945","$13,346,885","$8,401,446","$23,391,077","$1,200,180","$1,609,060","$2,238,030","$15,222,137","$1,573,472","$553,312","$1,909,389","$653,829","$121,272","$12,433,711","$3,156,236","$15,356,159","$1,842,870","$6,555,618","$2,145,885","$2,106,926","$2,169,250","$2,218,566","$720,477","$73,197","$189,184","$1,868,414","$10,420,037","$1,194,524","$262,446","$998,696","$3,009,587","$1,344,049","$712,906","$616,057","$730,928","$264,725","$158,491","$88,881","$106,615","$98,505","$1,730,529","$3,497,791","$2,552,699","$15,877,141","$2,969,439","$930,739",,"$2,662,010","$1,368,043","$1,495,131","$138,613","$443,238",,"$25,910,000","$2,715,062",,,,,,,,,,,,,,
Emperor (2012),"$11,158,598","$59,214",,,,"$151,996","$9,799",,"$58,174",,,,,,"$32,389",,,,,,,,,,,,,,,,"$28,994","$12,811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympus Has Fallen (2013),"$3,259,124","$1,119,028",,"$4,894,826","$2,647,723","$3,245,838","$9,537,868","$396,337","$1,397,120","$1,228,630","$1,375,550","$357,991","$298,663","$827,454","$835,673","$22,044","$3,117,810","$427,451","$2,603,399","$374,708","$1,033,452","$439,075","$851,735","$445,846","$1,890,239","$578,879","$55,613","$120,371","$685,149","$4,761,456","$584,012","$497,845","$582,880","$285,804","$515,416","$168,803","$89,093","$225,823",,"$39,671",,"$76,269",,,"$713,673","$1,025,579","$5,346,610","$1,703,776","$728,531",,"$589,839",,"$131,425","$37,648","$53,703",,"$5,820,000",,,,,,,,,,,,,,,
One Life (2011),"$15,447,603",,,,,,"$22,499",,,,"$803,832","$21,599",,"$11,401","$1,419",,"$2,818",,,$269,,,,,"$189,214",,,,,"$85,124",,,,,,,,,,,,,,,$958,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evil Dead (2013),"$613,401","$288,887",,"$5,939,242","$2,717,478","$3,498,995","$5,252,030","$594,202","$566,682",,"$6,535,430","$769,885",,"$355,572","$95,445",,"$2,023,928","$398,991","$1,712,684","$247,092","$564,103","$149,745","$244,286","$446,950","$640,792","$442,689","$22,600","$36,396","$73,736","$2,042,477","$32,620","$49,308",,,,"$149,153","$265,977",,"$154,153","$107,268",,"$37,221",,"$244,570","$989,277",,"$372,670",,,"$111,541","$551,984",,"$686,631","$177,409","$72,038",,,"$739,034",,,,,,,,,,,,,,
Trance (2013),"$880,206","$228,491",,"$3,142,190","$1,758,172","$1,064,824","$18,674","$70,344",,"$472,893","$431,053",,"$46,331","$25,959","$82,004","$24,816","$479,589","$74,106","$910,169","$42,067",,"$140,759",,"$58,755","$193,080","$79,688",,,"$8,073","$467,589","$83,019","$24,336",,"$356,730",,,"$34,954","$81,212",,"$4,175","$18,282",,,"$50,450","$193,276",,"$38,070",,,,"$23,101","$96,225","$102,042","$17,063","$10,377",,,,,,,,,,,,,,,,,
Oblivion (2013),"$12,960,180","$2,268,916",,"$19,134,561","$11,126,032","$8,773,918","$16,281,137","$2,318,182","$1,680,577","$1,992,207","$8,761,847","$1,162,223","$325,077","$1,834,366","$908,476","$47,119","$5,924,029","$1,487,671","$7,528,661","$541,521","$1,221,916","$1,808,621","$1,888,847","$1,157,055","$2,060,940","$172,765","$84,884","$171,911","$1,364,069","$5,596,549","$589,656","$194,293","$1,194,113","$1,701,529","$1,735,634","$874,636","$587,934","$680,601","$215,063","$154,827","$53,082","$182,198","$83,529","$412,301","$1,729,302","$9,746,901","$8,927,027","$3,050,774","$1,296,124",,"$2,485,134","$475,556","$1,067,514","$115,664","$131,872",,"$23,860,000","$3,270,952",,,,,,,,,,,,,,
