Movie Name,Domestic,Australia,Norway,Iceland,Italy,Spain,Germany,Poland,France,Denmark,Sweden,Czech Republic,Belgium,Finland,Netherlands,Portugal,United Kingdom,Türkiye,Greece,South Africa,Austria,Slovenia,Croatia,Slovakia,Mexico,Venezuela,Argentina,Brazil,Peru,Chile,Uruguay,New Zealand,Russia/CIS,Singapore,Thailand,United Arab Emirates,Israel,Egypt,Lebanon,East Africa,Nigeria,Ghana,Bahrain,Ukraine,Hungary,Colombia,Ecuador,Bolivia,Philippines,Japan,India,Bulgaria,Serbia and Montenegro,Malaysia,Trinidad & Tobago,Jamaica,Curaçao,Aruba,South Korea,Hong Kong,Indonesia,Switzerland,Latvia,Taiwan,China,Estonia,Lithuania,Russia,Oman,Switzerland (German),Kuwait,Qatar,Romania
Skyfall (2012),"$304,360,277","$83,886,634","$13,828,717","$670,138","$17,103,042","$13,772,898","$85,283,256","$10,093,068","$60,127,766","$15,872,425","$17,862,662","$3,337,507","$11,267,855","$8,882,948","$25,100,238","$3,485,114","$161,176,369","$3,663,189","$5,806,892","$3,978,051","$8,839,651","$720,526","$1,009,090","$1,029,907","$9,927,335","$2,158,102","$2,820,639","$14,631,082","$1,278,704","$1,959,082","$201,577","$6,374,782","$25,243,991","$5,259,603","$3,847,723","$4,837,217","$4,818,973","$824,903","$976,280","$378,484","$520,651",,"$577,196","$2,508,384","$2,364,419","$3,002,482","$748,481","$245,684","$3,665,705","$32,497,509","$10,949,569","$822,476","$415,941","$6,648,898",,,,,"$16,050,743","$5,110,895","$7,609,328",,,,"$59,330,000",,,"$8,600,000",,,,,
Beloved (2011),"$137,515",,,,,,"$55,975",,"$1,583,872",,,"$8,331","$54,937",,,"$11,069","$21,889",,,,,,,,,,,"$140,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,027",,,,,,,,,,,,,
Lawless (2012),"$37,400,127","$2,126,979","$181,532","$67,826","$181,299",$48,,"$130,544","$3,388,544","$258,265","$201,216","$87,304","$201,112","$91,630","$186,218","$111,327","$6,858,142","$61,608","$34,179","$92,775",,,"$40,399","$23,386",,,"$229,814","$638,430",,,,,"$1,851,209","$16,490","$57,849","$196,448",,"$29,891","$36,798",,,,,"$63,010","$60,049","$75,893",,,,,,"$53,152","$6,573",,,,,,"$297,904","$66,237",,,,,,,,,,,,,
Piranha 3DD (2012),"$376,512",,,"$6,598",,,,"$142,853",,"$48,387",,"$20,075",,"$7,040","$61,457","$22,943","$688,269","$333,357","$18,972","$84,775",,,"$32,565","$4,454",,,,,,,,,"$2,584,708","$153,370","$371,952",,,,"$49,760",,,,,,"$5,662",,,"$24,906","$79,050",,,"$9,191","$8,424","$1,132,953",,,,,"$460,938","$328,233",,,,,,,,,,,,,
Searching for Sugar Man (2012),"$3,696,196","$717,377","$62,867",,,"$1,085,246",,"$389,746",,"$159,239","$1,749,108",,,"$29,072",,"$24,940","$597,693","$4,139",,,"$25,180",,$464,,"$95,159",,,,,,,"$324,593",,,,$619,,,"$13,464",,,,,,,"$58,430",,,,,,,,,,,,,"$163,810","$171,829",,,,,,,"$11,191",,,,,,
Pitch Perfect (2012),"$65,298,093","$13,012,944","$354,643","$89,884","$162,957","$2,059,418","$10,171,719",,"$819,426","$51,581","$139,160","$81,163","$442,345","$198,045","$878,493","$105,342","$10,164,709",,,"$615,915","$1,933,780","$64,312","$42,798","$13,307","$130,037",,"$15,422","$122,245","$81,671",,,"$1,729,369","$285,642","$998,321","$12,620","$110,944","$224,564","$13,145","$39,903","$20,186","$4,924",,,,"$160,985",,,,"$68,315",,,,,"$401,854",,,,,,,,,,,,,,,,,,,
Apartment 143 (2011),$383,,,,,$687,,,,,,,,,,,,"$138,690",,,,,,,"$1,541,371","$440,014","$771,514",,"$509,814","$185,617","$6,293",,"$134,469","$80,370","$47,676","$17,553",,,,,,,,,,,"$174,927","$30,600","$64,319",,,,,,,,,,,,,,,,,,,,,,,,
The Master (2012),"$16,377,274","$556,568","$130,856","$4,891","$1,860,603","$1,233,663","$365,875","$105,166","$1,255,411","$128,821","$37,418","$37,849","$190,571","$61,579","$455,268","$129,891","$2,295,079","$108,006","$226,272","$47,454","$92,154","$8,979","$16,974","$9,400","$139,010","$43,075","$154,364","$490,058","$10,961","$25,484","$13,098","$52,397","$329,942","$13,693","$13,468",,,,,,,,,"$15,322",,"$59,431",,"$3,792",,,,,"$12,416",,,,,,"$134,482","$64,737",,,,,,,,,,,,,
The Hunt (2012),"$613,308","$528,836","$325,529","$12,717","$689,649","$824,634","$894,731","$171,985",,"$7,907,967","$1,104,604","$64,569","$370,076","$223,855","$212,888","$39,986","$665,940","$3,561","$170,479",,"$107,820","$15,848",,,"$130,026",,,"$294,649",,,"$24,163","$114,035","$68,277","$18,016",,,,,,,,,,,,"$72,065",,,,,,,,,,,,,,"$216,160",,,,,,,,,,,,,
Taken 2 (2012),"$139,854,287","$20,229,474","$2,504,667","$180,974","$2,668,052","$4,941,067","$10,774,740","$2,286,224","$24,400,146","$1,790,918","$2,672,226","$237,886","$2,776,796","$299,292","$1,762,745","$1,310,577","$37,829,350","$717,671","$879,281","$2,328,831","$1,240,535","$135,192","$404,817","$264,868","$9,051,295","$2,962,847","$4,962,723","$4,804,786","$2,150,400","$1,600,018","$201,355","$2,550,416","$4,090,166","$3,208,702","$1,109,619","$2,574,814","$2,493,077","$472,100","$834,251","$89,575","$237,224",,,,"$685,532","$2,290,540","$592,977","$325,020","$3,393,701","$4,703,075","$369,900","$168,759","$101,048","$2,494,700",,,,,"$15,501,938","$1,598,107",,,,,,,,,,,,,
