Movie Name,Domestic,Australia,Norway,Iceland,Italy,Spain,Germany,Poland,France,Denmark,Sweden,Czech Republic,Belgium,Finland,Netherlands,Portugal,United Kingdom,Türkiye,Greece,South Africa,Austria,Slovenia,Croatia,Slovakia,Mexico,Venezuela,Argentina,Brazil,Peru,Chile,Uruguay,New Zealand,Russia/CIS,Singapore,Thailand,United Arab Emirates,Israel,Egypt,Lebanon,East Africa,Nigeria,Ghana,Bahrain,Ukraine,Hungary,Colombia,Ecuador,Bolivia,Philippines,Japan,India,Bulgaria,Serbia and Montenegro,Malaysia,Trinidad & Tobago,Jamaica,Curaçao,Aruba,South Korea,Hong Kong,Indonesia,Switzerland,Latvia,Taiwan,China,Estonia,Lithuania,Russia,Oman,Switzerland (German),Kuwait,Qatar,Romania
Your Sister's Sister (2011),,"$231,307",,,,"$417,288",,"$127,456","$94,011",,"$15,541",,,,"$14,134","$6,167","$478,058",,"$19,494",,,,,,,,,,,,,"$203,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brave (2012),,"$17,233,959","$3,326,134","$206,094","$9,388,138","$18,877,186","$14,040,370","$3,383,032","$26,824,834","$2,827,688","$5,694,813","$1,167,069","$3,815,317","$1,062,065","$2,917,692","$3,243,371","$34,789,692","$2,117,245","$758,311","$1,701,043","$1,862,405","$189,186","$234,647","$460,615","$21,620,740","$10,180,176","$10,564,133","$16,740,155","$3,085,187","$4,406,392","$415,804","$2,526,904","$16,111,051","$2,293,407","$831,629","$2,114,083","$1,735,801","$134,446","$324,747","$71,721","$122,298",,,"$1,159,275","$835,099","$4,553,853","$2,067,752","$305,644","$1,574,606","$11,135,951","$406,959","$703,037","$199,724","$1,443,912",,,,,"$8,263,139","$1,148,664","$1,442,322",,,,,,,,,,,,
Bel Ami (2012),,"$752,757",,,"$1,542,099","$217,841","$199,206","$268,067","$697,603",,,,"$117,837",,,"$106,087","$1,149,224","$160,275","$62,032","$20,009","$58,031",,"$15,828","$21,033","$138,054","$22,682","$28,802","$108,443","$39,209",,"$6,499","$93,852","$3,162,399","$10,791","$15,029","$35,992",,,"$21,625",,,,,"$83,561","$14,329",,,,,,,"$55,784",,,,,,,,"$29,490",,,,,,,,,,,,,
What to Expect When You're Expecting (2012),,"$8,022,918","$493,862","$102,917","$1,635,767","$3,000,530","$2,681,716","$1,106,080","$2,651,923","$152,300","$394,585","$141,287","$1,064,269","$290,898","$1,806,845","$527,891","$6,611,677","$632,968","$295,652","$943,691","$776,702","$83,043","$25,556","$110,469","$957,536","$399,401",,"$2,402,314","$239,884",,"$33,284","$909,617","$1,358,901","$357,179","$109,206","$537,819",,,"$153,741","$18,426",,,,"$133,862","$533,295","$139,636","$109,772","$23,485","$83,086",,,"$143,908","$38,921","$358,720",,,,,,"$366,536",,,,,,,,,,,,,
Abraham Lincoln: Vampire Hunter (2012),,"$2,535,303","$787,485",,"$2,153,146","$3,230,773","$2,820,495","$328,846","$3,901,082","$352,450","$861,803","$162,343","$874,100","$206,483","$589,365","$188,292","$3,870,551","$1,411,879",,"$288,796","$448,021",,,"$52,465","$5,330,122","$1,700,065","$657,658","$5,848,590","$714,995","$444,238","$29,483","$417,930","$11,878,814","$1,084,623","$963,578","$671,301",,,"$60,795","$24,002","$77,026",,"$22,798","$870,887","$178,453","$1,216,618","$341,045","$172,616","$1,211,903","$5,568,330","$587,280",,,"$2,241,920",,,,,"$2,360,270","$1,426,273",,,,,,,,,,,,,
First Position (2011),,"$276,628",,,,,"$220,796",,,,,,,,,,,,,,"$15,490",,,,,,,,,,,"$203,839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3.2.1. (2010),,"$8,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$288,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock of Ages (2012),,"$3,603,602","$78,345","$28,994","$582,662","$519,954","$591,447",,"$350,918",,"$542,873",,"$85,976","$327,548","$145,466","$100,474","$4,453,274",,"$45,400","$237,918","$140,573","$17,672","$28,966",,"$1,564,398","$101,975","$136,010","$422,285","$150,882","$67,518","$6,059","$562,340","$787,653","$190,311",,"$368,712",,"$32,565","$25,623",,,,,"$54,960","$60,221","$76,307","$93,265","$25,377","$398,119","$366,103","$129,059","$44,463",,,,,,,"$440,068","$83,294",,,,,,,,,,,,,
Ted (2012),,"$35,533,809","$2,676,792","$221,309","$14,054,547","$14,323,703","$31,430,735","$2,354,491","$11,451,649","$3,013,504","$3,851,991","$823,565","$4,448,391","$1,501,571","$8,398,616","$2,227,586","$48,865,529","$635,737","$154,803","$834,529","$6,210,283","$375,044","$376,051","$260,174","$13,362,574","$657,192","$4,562,985","$8,804,052","$1,851,283","$2,000,547","$346,135","$3,537,856","$16,953,712","$2,061,227","$1,367,865","$844,954","$3,385,639","$186,128","$234,048","$9,141","$12,325",,,"$1,831,576","$1,055,165","$1,736,246","$651,533","$324,695","$141,102","$43,994,113","$122,933","$318,693","$107,041","$819,460",,,,,"$1,759,436","$3,803,297","$2,117,429",,,,,,,,,,,,
On the Road (2012),,"$256,928",,"$6,093","$1,134,086","$201,107","$445,618","$40,037","$2,707,624","$75,151","$51,774",,"$248,240","$185,151","$423,167","$47,497","$934,684","$27,403","$37,488",,"$58,082",,"$1,186",,,,"$24,045","$1,592,254",,,$343,"$87,035","$190,842",,"$9,810","$21,459",,,"$9,059",,,,,,,"$25,327",,,,,,,"$6,366",,,,,,,"$25,225",,,,,,,,,,,,,
The Amazing Spider-Man (2012),,"$17,924,071","$3,332,733","$259,140","$15,502,063","$11,566,983","$18,567,538","$1,475,760","$22,699,445","$2,758,917","$5,748,821","$761,729","$2,748,189","$951,281","$3,052,286","$1,432,719","$40,286,388","$3,055,584","$1,991,928","$2,173,231","$1,964,380","$157,560","$314,399","$274,934","$28,742,331","$7,386,300","$8,270,500","$30,368,653","$4,047,732","$3,151,044","$505,778","$2,574,009","$21,912,133","$6,975,115","$4,596,612","$4,747,686","$2,351,118","$572,780","$835,612","$239,113","$313,653","$1,322,810","$199,922","$1,773,289","$707,061","$4,464,310","$2,098,503","$781,045","$8,222,817","$39,276,607","$14,547,791","$270,152","$136,371","$7,116,805",,,,,"$36,022,835","$8,582,133","$9,537,461",,,,"$48,818,164",,,,,,,,
Ice Age: Continental Drift (2012),,"$28,621,749","$11,660,952","$231,236","$21,624,776","$19,602,661","$67,098,539","$9,607,277","$55,547,374","$4,803,226","$8,615,006","$4,559,334","$7,478,915","$3,801,824","$9,673,883","$3,894,573","$48,500,281","$10,292,451","$2,749,438","$3,310,347","$10,038,187","$1,090,147","$1,083,573","$1,756,109","$46,845,581","$14,680,514","$28,673,312","$44,502,217","$9,834,504","$13,783,204","$1,692,791","$3,725,250","$50,078,212","$2,307,275","$1,034,154","$3,282,278","$3,464,798","$362,817","$644,503","$83,484","$91,531","$1,748,641","$149,924","$4,513,729","$3,270,433","$14,009,373","$3,853,878","$1,693,488","$2,228,093",,"$4,245,635","$1,872,183","$669,116","$2,641,087",,,,,"$10,583,728","$4,929,128",,,,,"$67,891,012",,,,,,,,
Savages (2012),,"$2,841,292","$475,466","$27,102","$3,155,174","$2,546,819","$3,048,583","$337,377","$3,822,014","$73,809","$572,546","$73,745","$531,333","$186,002","$944,546","$492,312","$1,334,028","$288,016",,"$173,277","$639,617","$82,904","$98,395","$48,602","$3,026,127","$412,258","$224,656","$196,429","$132,889","$71,492","$17,857","$188,691","$4,112,302","$169,253","$199,479","$256,071","$467,593","$74,962","$98,270","$7,015","$28,743",,,"$410,862","$90,148","$131,430","$46,967","$9,038","$21,666",,,"$178,482","$37,556",,,,,,"$88,128","$232,183",,,,,,,,,,,,,
No Problem (2010),,"$114,256",,,,,,,,,,,,,,,"$181,234",,,,,,,,,,,,,,,"$34,900",,,,,,,,,,,,,,,,,,,"$3,976,955",,,"$38,511",,,,,,,,,,,,,,,,,,,
The Watch (2012),,"$5,992,539",,"$76,996","$478,250","$560,822","$1,259,406","$66,423","$1,815,893","$249,173","$514,153","$69,702","$459,931",,"$1,037,517","$636,319","$6,005,477",,"$126,168","$419,896","$317,614","$67,033","$64,214","$34,964","$1,917,961",,,"$714,654","$487,516",,"$54,685","$311,570","$3,258,248","$357,631","$34,801","$496,715","$392,369",,"$103,693","$12,966",,,"$12,286","$277,610","$240,031","$272,606","$146,470","$50,610","$282,141",,,,"$54,193","$738,602",,,,,,,,,,,,,,,,,,,
Two Days in New York (2012),,"$38,360","$22,467",,,"$182,175","$605,827","$480,413","$1,020,582",,,"$8,955","$145,735","$84,829",,"$63,454","$305,138","$24,587","$12,709",,"$134,207","$15,002",,,,,,"$166,012",,,,,,,,"$44,445",,,"$22,403",,,,,,,,,,,,,"$21,379",,,,,,,,"$26,224",,,,,,,,,,,,,
The Campaign (2012),,"$5,765,136","$1,612","$76,591","$1,466,914","$62,326","$151,604",,"$429,232",,"$262,691",,"$106,005",,"$132,571",,"$3,807,651",,"$185,314","$165,188","$65,287",,,"$9,680","$229,037","$213,810","$149,981","$200,909","$113,828","$39,547","$7,246","$449,602","$676,995","$211,957",,"$444,647",,"$39,940","$42,768",,,,,"$130,055",,"$129,035","$91,277","$19,446","$229,854",,"$114,816",,,,,,,,,,"$70,520",,,,,,,,,,,,
Hope Springs (2012),,"$4,689,511","$301,924","$59,185","$2,482,100","$2,833,916","$8,180,176","$1,965,612","$1,892,711","$1,551,373","$602,638","$291,486","$385,138","$335,597","$1,253,403","$529,017","$6,527,288","$101,402","$295,428","$343,702","$1,528,889","$88,885","$143,929","$137,970","$864,054","$180,517","$1,994,550","$3,544,186","$172,229","$189,074","$143,526","$1,093,199","$516,414","$188,994","$49,941","$80,189",,"$5,074","$44,969","$1,544",,,,,"$360,077","$294,174",,"$3,797","$15,805","$307,874",,"$71,640","$13,904",,,,,,"$207,024","$186,791",,,,,,,,,,,,,
Female Agents (2008),,"$185,781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParaNorman (2012),,"$3,989,201","$75,490","$34,258","$1,949,297","$3,103,471","$816,986","$241,210","$2,201,007","$103,991","$263,115","$166,435","$662,891","$56,976","$495,298","$458,207","$9,853,280","$366,939","$115,624","$288,722","$323,875","$19,800",,"$48,935","$8,001,187","$2,760,127","$626,197","$2,127,388","$1,015,207","$425,193","$40,703","$309,376","$3,118,091","$538,497",,"$358,503","$122,325","$74,289","$28,386",,,,,"$310,868","$68,254","$1,249,866","$374,037","$114,397","$74,258",,,,"$56,250","$600,185",,,,,,"$334,505",,,,,,,,,,,,,
Diary of a Wimpy Kid: Dog Days (2012),,"$8,452,341",,,"$181,794","$408,321","$3,013,383",,"$1,818",,,,,,,,"$12,925,088","$444,629",,"$251,654",,,,,,,,"$868,059",,,,"$764,125",,"$443,034",,,,,,,,,,,,,,,"$232,139",,,,,"$234,648",,,,,,,,,,,,,,,,,,,
Hit and Run (2012),,"$422,578",,"$29,929",,,,,"$433,364",,,"$13,802","$103,385",,"$296,945","$43,753","$93,720","$57,327",,"$200,936",,,,"$35,863","$407,538",,,"$86,604",,,,"$178,520","$289,584","$196,020","$8,660","$65,914",,,"$5,631","$6,327",,,,,,,,,,,,"$56,158",,,,,,,,"$34,789",,,,,,,,,,,,,
Little White Lies (2010),,"$557,171","$68,372",,"$1,079,098","$2,267,630","$1,148,064",,"$44,380,398","$79,777",,,"$1,513,983",,,"$155,711","$625,555","$61,774",,,"$159,888",,,,,,,"$42,697",,,,"$80,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,819",,"$838,423",,,,,,,,,,,
Bachelorette (2012),,"$2,713,930","$253,545",,"$2,235,226","$321,807","$776,933","$183,457","$1,192,880","$148,431","$214,745","$95,253","$293,750","$107,333","$340,351",,"$30,314","$93,905",,,"$523,125","$52,275","$21,711","$48,129","$208,282",,"$295,900","$806,819","$98,781","$98,169","$36,392",,,"$202,385","$22,858","$168,936",,,,,,,,,"$88,733",,,"$6,266",,,,,,,,,,,,,,,,,,,,,,,,,
The Words (2012),,"$256,421",,,"$757,329","$937,323","$168,334",,,,,"$38,712","$100,339",,,"$103,082","$1,165","$182,280",,"$17,432","$7,716",,"$15,879","$57,274","$738,266","$34,773","$220,915","$244,559","$25,901","$2,765","$55,408","$46,999","$135,502","$33,820",,"$82,125",,,"$29,791",,,,,,"$50,249","$74,030",,"$8,885",,,,,,,,,,,,"$28,052",,,,,,,,,,,,,
Samsara (2011),,"$775,962",,,,,"$127,094","$189,062","$85,945",,,"$30,817",,,,,"$327,444","$6,920",,,"$59,200",,,"$43,609",,,,,,,,"$107,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Looper (2012),,"$12,098,221","$685,955","$111,004","$2,106,187","$3,655,239","$3,068,690","$606,794","$7,188,606","$617,660","$931,257","$302,744","$905,553","$474,309","$688,570","$468,779","$16,564,421","$552,805","$269,675","$279,168","$413,597","$61,980","$143,484","$87,930","$3,040,376","$837,871","$599,848","$2,244,242","$329,690","$134,717","$23,663","$1,652,351","$5,086,976","$904,884","$980,453","$613,886",,"$84,924","$89,041",,,,,,"$267,841",,"$60,797","$65,702","$449,653","$5,345,530",,"$146,317","$32,069","$627,158",,,,,"$3,878,299","$355,840",,,,,"$20,230,000",,,,,,,,
That's My Boy (2012),,"$3,903,012",,,,"$1,869,356","$1,647,075","$373,627",,"$2,942",,,,,,"$288,066","$876,442",,,"$333,165",,"$72,650","$49,644","$38,643","$1,357,347","$843,320",,,"$601,456","$294,849","$114,619",,"$5,607,803",,,,"$653,809",,"$89,084","$9,585","$29,163",,,"$778,676","$443,409",,,,,,,"$71,303",,,,,,,,,,,,,,,,,,,,,
Where Do We Go Now? (2011),,"$369,392","$53,249",,"$689,826","$343,229","$100,573","$44,478","$1,992,334",,,,"$163,233",,,"$51,056","$112,966","$21,734",,,"$35,013",,,,"$87,493",,"$72,454","$174,984",,,"$9,688","$95,705",,,,"$225,464",,"$32,311","$2,291,529",,,,"$8,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Evil: Retribution (2012),,"$3,981,915",,"$24,788","$3,338,418","$3,527,105","$9,390,597","$668,811","$4,594,953",,"$886,802","$384,089",,,"$152,091","$563,694","$2,982,686","$977,180","$572,345","$398,060","$1,346,079","$36,439","$134,562","$151,263","$10,201,716","$4,620,969","$2,489,598","$9,803,060","$2,320,137","$1,671,090","$167,145","$580,155","$16,767,404","$2,193,784","$3,446,490","$1,057,808","$187,425","$111,924","$141,726","$72,147","$101,581",,"$27,703","$1,546,450","$422,478","$3,548,203","$1,146,536","$516,030","$2,991,945","$48,340,948","$2,112,729","$214,314","$53,274","$4,234,876",,,,,"$4,227,303","$2,674,854","$5,054,441",,,,"$17,270,000",,,,,,,,
Trouble with the Curve (2012),,"$259,892","$8,024",,"$1,315,532","$962,425","$116,554",,"$1,806,478",,,,"$86,380","$15,705","$53,880","$292,341","$124,131",,,,"$15,908",,,,"$1,015,513",,"$373,964","$368,954","$135,009","$104,753","$21,725",,,"$70,693",,"$36,106","$121,062",,"$5,369",,,,,,,"$117,041","$48,373","$15,420","$69,348","$4,275,148",,,,,,,,,"$114,816",,,,,,,,,,,,,,
Dredd (2012),,"$2,008,370","$186,541","$21,185",,"$959,255","$946,625","$131,124",,"$175,779","$156,394",,"$61,051","$30,163","$351,669","$135,623","$6,929,744","$340,767",,"$187,516","$156,799",,"$34,859",,"$606,987","$444,234","$74,517","$619,623","$294,033","$23,455","$7,572","$594,149","$4,044,019","$347,606","$652,405","$293,302",,"$17,424","$28,854",,$125,,,,"$89,690","$113,769","$87,919","$46,587","$231,383",,,"$32,633","$12,919","$1,085,311",,,,,"$247,532","$343,516",,,,,"$4,470,000",,,,,,,,
Arbitrage (2012),,"$2,788,170",,,"$3,240,700","$4,980,591",,,"$1,023,618",,"$148,412","$25,708","$105,602","$135,999","$519,108","$313,747","$2,155,376","$135,309","$346,575","$96,613","$136,671","$13,744","$5,677","$32,588","$1,100,737","$290,907","$675,982","$1,220,140","$200,223","$248,250","$108,043","$299,840","$1,956,414","$108,967",,"$303,229","$1,399,751","$33,154","$75,958",,,,"$8,479","$244,621","$147,920","$1,148,303",,,,"$157,640",,,,,,,,,,"$244,783",,,,,,,,,"$9,634","$634,464","$87,220","$15,293",
End of Watch (2012),,"$2,021,836","$161,954","$66,680","$421,734","$1,117,301","$1,895,639","$232,939","$451,381","$147,798","$107,492","$45,385","$166,077","$6,322","$467,930","$194,985","$3,018,778","$104,581",,"$86,466","$259,775","$13,091","$12,443","$25,146","$156,666","$42,214","$85,338","$326,705","$16,663",,$801,,"$1,476,639","$247,838","$125,352","$193,182",,"$10,323","$25,499",,,,,"$62,680","$29,438","$16,759",,,"$38,268",,,,"$5,406","$78,552",,,,,,"$110,719",,,,,,,,,,,,,
The Perks of Being a Wallflower (2012),,"$3,399,975","$123,197",,"$1,496,915","$509,559","$362,361",,"$237,747",,,,"$169,147",,"$319,282","$35,177","$3,670,944",$800,,"$58,666","$91,358",,"$5,256",,"$941,661","$83,912","$66,974","$407,821","$73,423","$70,413","$12,717","$70,054","$611,878","$490,176","$76,995","$40,999",,,"$26,917",,,,,,,,,"$11,624","$326,357",,,,,"$64,882",,,,,,"$181,298",,,,,,,,,,,,,
Holy Motors (2012),,"$42,014","$10,076",$689,"$21,278","$180,331","$153,789","$58,493",,"$42,140","$18,838","$5,118","$40,191",,"$38,320","$18,447","$373,185","$16,488",,,"$39,971","$5,623","$2,560",,,,,"$93,165",,,,,"$98,787",,,,,,,,,,,,,"$27,764",,,,,,,"$6,214",,,,,,,"$19,544",,,,,,,,,,,,,
A Royal Affair (2012),,"$1,571,713","$538,505",,"$120,863","$657,695","$386,760","$41,918",,"$6,586,880","$497,731","$19,855","$195,790",,"$338,321","$37,272","$553,891","$26,902","$133,430",,"$63,670","$22,799",,,"$408,353","$195,160",,"$402,276",,,,"$271,761",,"$6,177",,,,,,,,,,"$4,211",,"$112,770","$1,105",,,,,,,,,,,,,"$16,428",,,,,,,,,,,,,
The Sapphires (2012),,"$14,731,504",,,,,"$88,231",,,,,,,,"$71,656",,"$1,090,186",,,"$44,305",,,,,,,,,,,,"$963,322",,,"$4,024","$4,588",,,,,,,,,,,,,,,,,,,,,,,,"$20,445",,,,,,,,,,,,,
Rust and Bone (2012),,"$642,921","$174,937","$14,782","$661,140","$598,886","$1,557,033","$10,157","$14,574,783","$443,563","$495,268","$28,322","$1,261,556","$164,613","$574,318","$61,030","$1,312,086","$81,675","$103,736","$15,104","$136,118",,,"$29,651","$147,233","$22,010",,"$124,915",,,,"$197,656","$71,369","$14,471",,,,,,,,,,,,,,,,,,,,,,,,,"$174,833","$51,519",,,,,,,,,,,,,
Kon-Tiki (2012),,"$93,433","$14,111,514","$29,819",,"$393,973","$747,132",,,"$1,904,771","$333,046",,"$37,125","$120,176","$111,059","$10,513",,,,,"$129,517",,,,"$517,274",,"$34,771","$57,945","$15,424",,"$6,061","$168,806","$1,979,995","$9,167",,"$90,534",,,,,,,,"$55,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part of Me (2012),,"$3,037,262",,,,,"$44,111",,,,,,,,,,"$1,802,018",,,"$31,315",,,,,"$409,506",,,"$1,011,453","$166,268","$35,566","$17,485","$442,403",,"$73,456",,"$84,643",,,"$11,327",$813,,,,,,,,"$8,541","$100,306",,,,,"$47,068",,,,,,,,,,,,,,,,,,,
Hotel Transylvania (2012),,"$7,760,623","$1,335,766","$29,114","$8,926,570","$15,193,839","$10,913,349","$2,492,703","$14,632,303","$450,587","$3,241,352","$1,022,371","$2,454,314","$429,612","$1,689,736","$1,028,545","$12,674,016","$1,302,986","$1,679,621","$1,625,315","$1,449,639","$265,071","$283,975","$697,659","$14,606,822","$5,251,698","$827,005","$15,436,030","$2,731,658","$2,475,805","$265,516","$1,934,444","$8,036,704","$1,218,823","$643,533","$1,633,292","$1,279,215","$232,489","$388,806","$29,885","$114,856",,"$74,569","$1,772,679","$747,603","$5,660,731","$1,204,937","$629,465","$1,163,535","$1,764,089","$311,078","$518,119","$167,487","$1,590,024",,,,,"$4,702,065","$948,825","$1,074,727",,,,"$11,850,000",,,,,,,,
Argo (2012),,"$12,724,841","$267,671","$56,758","$5,342,642","$9,040,453","$1,309,914","$611,826","$9,111,343","$913,948","$1,341,579","$148,812","$1,593,148","$263,861","$1,154,093","$811,386","$12,166,424","$530,854","$1,465,751","$665,013","$373,580","$18,554","$79,802","$57,609","$2,218,889","$1,654,449","$1,219,496","$2,697,678","$361,580","$411,525","$181,432","$1,118,690","$1,753,635","$1,085,947","$232,637","$1,055,112","$2,868,026","$119,812","$184,438","$32,524",,,,,"$147,630","$228,381","$118,003","$24,180","$362,233","$4,589,196","$425,022","$100,396","$41,437",,,,,,"$841,485","$568,907","$315,601",,,,,,,,,,,,
Seven Psychopaths (2012),,"$2,116,161","$134,551","$11,708","$568,748","$515,970","$1,577,210","$234,890","$1,165,887","$6,732",,"$100,263","$65,897",,,"$53,806","$4,977,100","$127,039","$111,721","$69,483","$260,783","$26,874","$27,876","$9,834","$600,363",,"$369,293","$265,093","$146,204","$19,304","$12,751","$207,879","$18,198","$67,130",,"$94,055",,,"$6,405",,,,,,"$102,137","$88,251",,"$32,859",,,,"$35,015","$12,835",,,,,,,"$42,685",,,,,,,,,,,,,
Liberal Arts (2012),,"$95,733",,,,"$261,258",,,,,,,,,,,"$338,325",,,,,,,,,,,,,,,"$110,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,498",,,,,,,,,,,,,
"Farewell, My Queen (2012)",,"$271,576",,,,"$270,995","$99,682",,"$3,626,953",,,,"$84,714",,,"$39,199",,,,,,,,,,"$39,596",,"$151,015",,,"$3,452","$110,326",,,,,,,,,,,,,,"$71,329",,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit (2012),,"$43,065","$13,332","$2,329",,"$62,718",,,"$208,050",,,,,,,,"$31,374","$9,093","$23,229",,,,,,,,"$42,944",,,,,"$4,888",,,,"$185,984",,,"$19,461",,,,,,"$4,242",,,,,,,,,,,,,,,,,,,,,,"$7,940",,,,,,"$4,783"
Paranormal Activity 4 (2012),,"$7,873,919","$925,215",,"$875,103","$2,087,318","$7,818,789","$676,257","$7,290,604","$770,349","$1,254,011","$315,218","$1,308,797","$433,015","$1,088,817","$265,972","$9,578,112","$1,323,090",,"$164,957","$1,334,233","$82,399","$78,600","$117,293","$6,301,643","$1,795,009","$3,850,910","$5,958,586","$1,498,037","$903,510","$195,458","$860,114","$6,784,097","$491,638","$148,021","$428,396","$296,645","$82,099","$56,915",,,,,"$440,266","$70,804","$1,642,820","$462,295","$238,632","$323,485","$3,296,855",,,"$52,825","$677,598",,,,,"$274,882",,"$1,119,363",,,,,,,,,,,,
Alex Cross (2012),,"$808,245",,"$16,379","$52,466","$935,387",,"$84,565","$464,457",,,"$17,237","$37,642",,"$152,085","$40,300","$804,552","$31,310",,"$242,695",,,"$38,890","$19,152","$773,088",,,"$593,666",,,,"$232,532","$1,869,854","$198,728","$228,375","$348,921",,"$17,031","$25,782","$22,793",,,,"$159,304","$24,749",,,,"$127,829",,,"$82,747","$2,332","$207,925",,,,,,"$69,437",,,,,,,,,,,,,
Here Comes the Boom (2012),,"$1,193,496",,"$47,354",,"$177,739","$7,365,214",,,,,,"$15,318",,,,"$1,388,514",,,"$685,643","$1,187,391",,,,"$4,112,490","$2,367,573",,,"$386,182","$182,111","$59,801",,"$3,307,368",,,"$345,151","$514,842","$33,612","$233,505","$16,304","$60,613",,"$6,652",,"$336,919","$241,569","$174,571","$73,335",,,,"$112,374",,"$370,537",,,,,,,,,,,,,,,,,,,
Mental (2012),,"$4,097,703",,,,,,,,,,,,,,,"$20,407",,,,,,,,"$160,612",,,,,,,"$147,123",,,,,,,,,,,,,,,,,,,,"$3,338",,,,,,,,,,,,,,,,,,,,,
Killing Them Softly (2012),,"$1,688,061","$438,131","$38,644","$1,716,234","$2,234,436","$835,303","$280,891","$1,482,679","$139,008",,,"$385,462","$144,694","$646,275","$285,000","$4,413,834","$422,681","$198,572","$24,487","$98,948","$16,620","$53,541",,"$751,957",,"$574,169","$874,430","$104,815","$75,607","$17,027","$343,449","$2,272,277","$100,006","$54,168","$528,946",,"$59,249","$20,425",,,,,"$274,358",,"$48,159",,"$11,265",,"$441,788",,,"$10,212",,,,,,,"$135,390",,,,,,,,,,,,,
The Sessions (2012),,"$1,221,301","$46,251",,"$75,624","$1,443,325","$254,034","$52,982","$88,695",,,,"$30,826","$69,784","$51,076","$108,786","$374,044","$63,727","$40,357",,"$13,431","$11,504","$9,668",,"$207,872","$43,329",,"$154,181",,"$75,771",,"$116,199",,"$57,605",,,,,"$3,402",,,,,,,,,,,,,,,,,,,,,"$39,930",,,,,,,,,,,,,
Wreck-It Ralph (2012),,"$23,983,586","$3,529,720","$109,312","$8,874,344","$12,546,119","$10,305,058","$2,484,413","$14,398,462","$2,001,171","$5,036,311","$273,168","$2,536,513","$1,283,140","$3,114,278","$881,793","$36,182,022","$1,214,371","$574,324","$1,363,060","$1,250,452","$128,770","$186,271","$112,387","$14,246,944","$11,182,824","$7,558,850","$17,018,882","$2,595,924","$3,518,702","$241,289","$2,308,534","$14,791,147","$1,822,315","$763,395","$798,405","$1,745,733","$49,705","$54,459","$29,815","$59,780",,,"$429,141","$145,076","$4,935,889","$2,030,353","$669,096","$1,114,281","$29,646,724","$60,516","$209,219","$42,790","$1,422,341",,,,,"$6,081,626","$2,764,375","$997,269",,,,,,,,,,,,
Silver Linings Playbook (2012),,"$14,272,799","$716,130","$37,953","$6,584,095","$12,786,492","$3,002,483","$2,471,431","$8,776,139","$1,592,806","$2,497,375","$366,234","$980,891","$555,968","$1,561,238","$894,933","$8,051,650","$834,610","$943,501","$551,900","$699,181","$46,580","$160,840","$285,407","$3,869,157","$1,861,084","$2,170,310","$8,086,459","$364,105","$874,764","$489,991","$1,052,338","$1,699,584","$414,894","$144,101","$262,571",,"$103,419","$73,547",,"$24,995",,,,"$218,404","$1,298,549",,"$73,352","$195,030","$424,336",,"$126,856","$37,153",,,,,,"$800,051","$1,197,452",,,,,,,,,,,,,
Flight (2012),,"$5,802,656","$300,513","$45,545","$4,424,623","$4,248,883","$6,345,532","$659,602","$4,723,119","$143,318","$758,122","$115,781","$1,158,570","$149,230","$1,198,177","$687,895","$7,535,112","$754,597",,"$407,465","$713,236",,"$82,718","$67,201","$3,545,999","$588,242","$1,528,883","$3,346,151","$305,538","$256,217","$120,368","$207,330","$1,936,521","$271,944","$193,884","$821,323","$211,498","$129,184","$140,227",,"$32,710",,,"$485,583","$139,820","$449,440","$149,837","$34,881","$175,622","$9,235,539",,"$76,563","$22,839","$210,019",,,,,,"$295,401","$578,325",,,,,,,,,,,,
Anna Karenina (2012),,"$3,058,242","$957,856","$8,547","$2,992,131","$3,604,543","$4,240,606","$1,263,806","$1,232,291","$178,179","$844,935","$747,366","$882,700","$926,829","$1,026,545","$865,570","$8,746,710","$896,645","$788,041","$113,968","$582,538","$144,878","$174,955","$259,980","$751,623","$92,260","$269,312","$1,016,979","$85,904","$244,945","$55,462","$330,767","$8,382,632",,,"$165,366","$239,958","$33,783","$115,458",,,,,"$1,282,826","$166,625","$169,675","$18,389",$822,"$11,686","$307,305",,"$96,839","$167,693",,,,,,"$50,347","$140,330",,,,,,,,,,,,,
