imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kenya,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,Netherlands Antilles,New Zealand,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies,Yugoslavia
0066892,,Carnal Knowledge (1971),,,,,,,,,,,,,,,,,,,"$33,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0064276,,Easy Rider (1969),,,,,,,,,,,,,,,,,,,"$123,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0146838,,Any Given Sunday (1999),,,,,,,,,,,,,,,,,,,,,,,,,,"$2,031,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0177789,,Galaxy Quest (1999),,,,,,,,,,,,,,,,,,,,,,,,,,"$4,521,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0134119,,The Talented Mr. Ripley (1999),,$633,,,,,,,,,,,,,,,,,"$81,298,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$611,,,,,,,,,,,,,,,,,"$3,543",,,,,,,,,,,,,,,
0196857,,Play It to the Bone (1999),,,,,,,,,,,,,,,,,,,,,,,,,,"$244,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0120866,,Titus (1999),,,,,,,,,,,"$21,483",,,,,,,,"$2,007,290",,,,,,,,,,,,,,,,,,,,,,,,,"$63,691",,,,,,,,,,,,,,,,,,,,,,,,"$167,216",,,,,,,,,,,,,,
0120834,,Snow Falling on Cedars (1999),,,,,,,,,,,,,,,,,,,,,,,,,,"$266,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0169302,,The Terrorist (1998),,,,,,,,,,,,,,,,,,,"$153,629",,,,,,,,,,,,,,,,"$6,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0070903,,The Way We Were (1973),,,,,,,,,,,,,,,,,,,"$45,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
