Movie Name,France,Spain,Argentina,United Kingdom,Portugal,New Zealand,Taiwan,Domestic,Netherlands,Türkiye,Poland,Czech Republic,Australia,Italy,Germany,Switzerland,Greece,Belgium,South Africa,Austria,Sweden,Israel,Norway,Denmark,Middle East/UAE,United Arab Emirates,Hungary,Finland,Slovenia,Romania,Croatia,Iceland,Bulgaria,Serbia and Montenegro,Kenya,Cyprus,Lebanon,Latvia,Egypt,Lithuania,Japan,Philippines,Indonesia,Singapore,South Korea,Malaysia,Hong Kong,Mexico,Brazil,Central America+,Venezuela,Colombia,Ecuador,Russia/CIS,Thailand,China,Chile,Russia,Czech Republic/Slovakia,Ukraine,Estonia,Peru,India,Kuwait,Slovakia,Uruguay,Puerto Rico,Lesser Antilles,Bolivia,Dominican Republic,Jamaica,Qatar,Bahrain,East Africa,Jordan,Nigeria,Oman,Baltic States,Central America,Middle East Other,Russia/CIS/Ukraine,West Indies
Birth (2004),"$1,193,299","$2,603,335","$131,118","$2,165,653","$191,428",,"$14,637","$5,095,038","$46,849",,,,"$242,541","$5,186,014","$200,992",,"$850,058","$859,958",,"$76,345","$54,225","$55,969","$36,962",,,"$48,182",,"$15,049",,,,"$12,530",,,,,"$18,230",,"$16,346",,,"$43,682","$43,682","$78,622",,,"$110,503","$817,616","$1,159,897",,,"$46,667",,,,,"$56,364",,,,,,,,,,"$68,500",,,,,,,,,,,,,,,
The Incredibles (2004),"$40,913,982","$25,428,106","$3,522,266","$61,929,959","$1,657,771","$3,110,254","$3,009,112","$261,441,092","$5,708,600","$1,984,304","$3,948,099","$708,943","$21,095,934","$20,286,379","$24,221,919","$5,018,104","$890,950","$6,054,373","$1,951,798","$3,657,361","$4,838,777","$2,184,635","$2,819,208","$3,526,438",,"$431,168","$791,809","$1,262,857",,"$57,800","$158,555","$460,236","$45,759","$17,361",,,"$141,536",,"$90,126","$51,536","$49,967,205","$495,000",,,"$6,784,943",,"$4,327,596","$16,019,958","$10,496,361","$220,777","$369,000","$77,597",,"$3,632,800","$966,600",,"$1,682,902",,,,,"$777,838","$750,000",,"$187,042","$172,852",,,,,,,,,,,,,,,,
It's All About Love (2003),"$123,850",,"$11,322",,,,"$10,663","$6,140",,,,,,"$12,221","$50,379",,"$149,700",,,"$32,592",,,,,,,,"$5,888",,,,,,,,,,,,,,,,,"$2,172",,,"$15,712",,,,,,,,,,,,,,"$22,761",,,,,,,,,,,,,,,,,,,,
Callas Forever (2002),"$821,470","$317,398",,,,,,"$446,955",,,,,,"$1,148,539",,,"$45,500",,"$140,000",,,,,,,,,,,,,,"$22,015",,,,,,,,,,,,"$26,150",,,"$40,313","$114,322",,,,,"$114,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Polar Express (2004),"$11,277,362","$8,075,411","$1,039,399","$25,446,223","$796,211","$819,630","$2,141,303","$189,528,738","$1,460,712","$1,025,349","$1,558,560","$163,236","$7,815,234","$5,528,367","$10,046,849","$1,260,299","$1,382,050","$2,059,243","$268,500","$1,098,186","$980,360","$481,175","$1,325,666","$1,024,761",,,"$251,351","$396,759",,"$48,106","$68,908","$178,905","$41,029","$31,247",,,"$77,104",,"$18,449","$18,494","$9,893,258",,,,"$3,834,966","$650,197","$960,417","$8,214,425","$1,900,000",,,"$152,000",,"$1,361,737","$393,200",,"$596,305",,,,,"$91,000",,,"$58,328","$57,419","$219,000",,,,,,,,,,,,,,,
Kinsey (2004),"$750,000","$513,535","$31,315","$710,145","$108,027","$81,863","$16,889",,"$28,684",,"$80,065","$49,471","$659,410","$223,646","$831,073","$148,039","$161,900","$199,017",,"$38,512",,,,"$33,301",,,"$39,194",,"$101,220","$23,958",,,,,,,,,,,"$710,699",,,"$101,220","$198,959",,"$69,765","$451,316","$251,608","$14,266","$45,874","$42,717",,,,,"$20,174",,,,,"$15,881",,,"$8,217","$8,137","$22,274","$2,827",,"$1,840",,,,,,,,,,,,
Seed of Chucky (2004),"$1,093,164","$1,940,766","$450,598","$575,011","$34,133","$20,346","$241,542",,"$104,921","$118,650",,,"$562,013",,"$207,545",,,"$59,146","$18,455","$27,527",,,,,,"$78,200",,,,,,"$20,491",,,,,,,"$8,889",,,,,,,,"$193,545","$1,166,250",,,,,,"$267,435","$381,800",,"$29,686",,,,,"$145,799",,,,,,,,,,,,,,,,,,,,
After the Sunset (2004),"$1,578,537","$4,815,908","$162,410","$3,323,307","$405,415",,"$765,936",,"$164,215","$311,875","$189,462","$101,620","$1,383,980","$1,538,041","$2,148,763","$1,743,694","$805,542","$599,569","$859,765","$748,807","$231,815","$413,576","$282,539","$342,638",,"$453,694","$329,948","$235,013","$127,122","$117,790","$40,287","$99,854","$145,816","$23,617",,,"$616,901",,"$38,007",,"$266,666","$347,508","$307,851","$180,340","$1,784,943",,"$257,775","$768,659","$1,461,454","$165,791","$247,121","$115,321","$59,448","$967,155","$288,103",,"$44,906","$1,006,467",,"$144,317",,"$60,926",,,"$29,657",,"$427,318",,"$8,859",,,,,,,,,"$159,859",,,,"$80,728"
Bridget Jones: The Edge of Reason (2004),"$15,710,337","$10,816,242","$373,476","$68,224,580","$1,572,481","$2,993,725","$1,465,930",,"$6,664,870","$1,313,502","$4,178,074","$1,382,259","$14,326,857","$15,073,062","$17,871,902","$4,036,712","$1,098,483","$3,123,098","$1,585,866","$3,053,427","$4,119,711","$961,890","$3,434,227","$2,942,343","$369,724","$220,619","$1,515,657","$2,061,050","$356,831","$141,248","$288,372","$357,107","$85,002","$61,435","$39,329","$120,633","$91,715","$130,027","$32,555","$183,406","$11,984,086","$259,597","$181,229","$479,353","$9,462,984","$177,453","$916,019","$1,201,585","$1,659,294","$68,178","$99,568","$71,871","$21,306","$2,059,975","$552,452",,"$246,751","$2,364,158",,"$236,629","$142,249","$205,769","$132,433",,,,,,,,,,,,,,,,,,,
Finding Neverland (2004),"$3,466,548","$7,387,855","$811,125","$6,630,045","$384,236","$1,169,942","$83,649",,"$524,144","$199,494","$525,925","$58,539","$6,279,964","$8,060,343","$4,028,030","$1,855,764","$1,440,100","$747,141","$400,000","$647,236","$471,281",,"$806,775","$504,865",,"$76,599","$83,041","$420,112","$8,643","$24,321",,"$66,040",,"$9,594",,,"$59,153",,"$16,783",,"$9,046,878",,,"$229,584","$1,374,116",,"$297,577","$1,701,623","$1,500,000",,"$106,989",,,"$508,425","$124,300",,"$49,048",,,,,"$13,309",,,"$37,926","$17,369",,,,,,,,,,,,,,,,
National Treasure (2004),"$10,808,004","$15,987,883","$981,992","$13,840,312","$1,519,596","$989,638","$3,024,178",,"$2,585,559","$1,713,541","$1,749,937","$430,480","$5,198,452","$10,201,291","$14,164,177","$4,211,747","$2,415,200","$2,875,213","$603,937","$1,787,441","$3,024,231","$735,414","$2,367,124","$1,258,586",,"$630,722","$683,964","$1,104,179",,"$87,099","$77,946","$197,114","$174,100","$25,506",,,"$259,227","$106,311","$295,950","$91,586","$16,997,424","$525,000","$579,453",,"$8,048,943","$673,312","$1,529,487","$7,360,757","$2,559,649","$163,668","$731,434",,,"$5,181,410","$1,533,400","$2,100,000","$578,867",,,,,"$317,733",,,"$187,338",,,,"$58,909",,,,,,,,,,,,,
Bad Education (2004),"$6,649,775","$7,356,224","$264,698","$2,471,616","$225,691","$34,556","$66,748","$5,284,284","$460,802","$47,476","$740,616","$178,606","$581,831","$5,381,033","$1,464,623","$1,257,119","$521,800","$654,637",,"$238,798","$302,890",,"$201,450","$292,865",,,"$40,047","$486,753",,"$17,425",,"$21,099","$21,023","$25,983",,,,,,,,,,,"$138,752",,"$93,359","$3,508,960","$800,000",,,,,"$357,821",,,"$227,197",,,,,,,,"$14,543",,,,,,,,,,,,,,,,,
The SpongeBob SquarePants Movie (2004),"$4,538,695","$1,997,505","$1,222,481","$10,631,811","$874,134","$1,574,698",,"$85,417,988","$3,255,175","$447,529",,,"$5,389,450","$573,082","$9,129,624","$862,809","$1,046,417","$945,216","$420,368","$766,383","$173,547","$301,703","$13,001","$5,200","$123,485","$50,398",,,,,,"$162,966",,,,,,,,,"$106,426","$283,386","$196,624","$363,469","$362,325",,,"$3,539,072","$2,632,816","$910,381","$274,588","$418,400","$300,751","$321,867",,,"$1,082,138",,,,,"$351,219",,,,,,,,,,,,,,,,,,,,
Alexander (2004),"$9,141,888","$14,916,339","$928,998","$5,101,579","$895,730","$539,352","$1,800,000",,"$1,937,407","$1,962,428","$3,066,332","$846,258","$3,260,056","$10,831,258","$10,116,773","$1,012,566","$3,662,550","$1,852,258",,"$1,711,023","$1,652,313","$73,270","$1,235,198","$1,627,736",,"$733,480","$945,539","$779,420","$78,245","$262,964","$417,014","$97,064","$232,933","$251,222",,,"$229,337","$41,368","$145,766","$231,807","$11,003,000","$1,200,000",,"$191,327","$9,149,343","$127,800","$574,302","$5,520,552","$3,870,556",,"$405,899","$249,000",,"$7,963,977","$842,700",,"$478,073",,,,,"$141,000",,,"$252,568","$106,452",,,,,,,,,,,,,"$70,108",,,
Christmas with the Kranks (2004),"$160,723","$791,145",,"$7,779,700","$137,232","$444,290",,"$73,780,539",,,"$101,029",,"$3,587,314","$234,996","$3,027,291","$304,677",,"$30,456","$194,445","$836,967",,,,,,"$145,258","$54,181",,"$98,397",,"$20,320","$89,647",,,,,"$86,955","$45,839",,"$2,487",,"$50,180",,"$189,895",,"$30,416",,"$2,263,126","$734,763","$155,022",,,,"$825,133","$12,495",,,,,,,,"$4,460","$120,108",,,,,"$20,538",,,,"$37,699","$20,396","$37,316","$29,128","$11,834",,,,,
Closer (2004),"$6,454,016","$6,627,022","$646,254","$15,885,209","$716,043","$428,397","$709,916","$33,987,757","$1,024,757","$1,024,329","$765,613","$224,083","$4,545,919","$8,006,969","$8,158,460","$2,315,352","$1,045,485","$1,376,914","$652,429","$962,250","$872,416","$720,054","$359,563","$493,391",,,"$264,987","$403,332","$100,554","$112,919","$76,874","$96,467","$79,307","$69,920",,,"$141,096","$83,411",,"$30,778","$3,583,065","$105,331",,"$218,358","$1,535,511",,"$492,671","$1,981,350","$3,336,436",,"$243,623","$427,293","$109,052","$529,871","$254,975",,"$371,513","$789,856",,,"$59,423","$158,002",,,"$48,454","$121,397",,,"$23,206",,,,,"$32,937",,"$9,190",,,"$165,532",,,
House of Flying Daggers (2004),"$3,757,489","$1,076,869","$137,302","$7,028,458","$235,790","$381,373","$1,031,735",,"$179,329","$38,496","$171,446","$90,190","$1,955,449","$3,152,271","$1,998,589","$1,017,245","$1,198,800","$712,824",,"$269,897","$634,249",,"$310,366","$269,036",,"$50,827",,"$141,119","$45,531","$9,206",,"$20,290","$43,355","$10,028",,,,,"$3,646",,"$24,468,283",,,,,,"$1,811,509","$531,355",,,,,,"$605,409","$288,600","$10,000,000","$241,871",,,,,,,,"$25,040",,,,,,,,,,,,,,,,,
Ocean's Twelve (2004),"$2,712,082","$13,779,846","$1,551,348","$23,623,713","$1,954,433","$2,523,571","$1,077,154",,"$6,757,795","$2,241,460","$1,231,562","$522,285","$12,061,073","$13,901,679","$23,070,002","$4,536,125","$3,700,800","$4,054,868","$2,179,668","$3,275,649","$4,572,803","$1,424,597","$2,471,273","$1,694,234",,"$666,739","$840,896","$1,565,065",,"$220,423","$289,134","$273,639","$276,168","$126,461",,,"$209,247",,"$281,877",,"$31,620,178","$366,100","$579,453","$370,800","$5,494,425","$137,700","$1,250,955","$7,104,842","$5,676,234","$144,837",,,,"$3,967,348","$580,500",,"$611,107",,,,,,"$225,800",,"$143,946","$141,362","$299,700",,,,,,,,,,,,,,,
Blade: Trinity (2004),"$4,642,253","$7,978,744","$370,132","$12,911,545","$518,972","$733,311","$627,338",,"$694,691","$886,466","$322,283","$224,106","$5,285,142","$2,368,213","$10,383,374","$2,463,026","$1,219,023","$970,583","$836,770","$2,030,326","$217,291","$171,987","$315,525","$1,089,764",,"$412,326","$262,588","$172,087","$70,590","$80,172","$55,309","$76,461","$80,232","$27,728",,,"$489,122",,"$18,604",,"$3,057,322","$504,373","$215,667","$500,844","$5,624,716",,"$285,729","$1,051,292","$1,702,697","$167,240",,"$125,831","$93,969","$2,240,644","$1,046,100",,"$91,563","$2,323,210",,"$364,366",,"$56,918",,,"$46,634","$10,714","$848,981",,"$9,938",,,,,,,,,"$126,963",,,,"$64,203"
Love Me If You Dare (2003),"$6,207,224",,,,"$37,420",,,"$553,504","$84,384",,,,,"$51,240","$624,224",,"$88,550",,,,,,"$34,301",,,,"$40,559","$23,840",,,,,$737,,,,,,,,,,,,,,,"$67,221",,,"$42,830",,,"$59,404",,,,,,,,,,,"$1,147",,,,,,,,,,,,,,,,,
Fury (1936),"$11,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage Door (1937),"$8,835",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday (1938),"$14,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Star Is Born (1954),"$12,922",,,,,,,"$4,335,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Playtime (1967),"$50,573",,,,"$12,464",,,,,$932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Love Story (1970),"$147,005",,,,,,,,,,,,,,,,,,,,,,"$22,369",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zabriskie Point (1970),"$71,815",,,,"$1,052",,,,,,,,,,,,"$12,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Beguiled (1971),"$13,069",,,,,,,"$1,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trafic (1971),"$50,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiki's Delivery Service (1989),"$3,488,960",,,"$10,266",,$653,,"$1,004,057",,"$7,300",,,$654,"$704,985",,,,,,,"$89,566",,"$179,695","$127,386",,,,"$270,391",,,,,,,,,,,,,"$4,109,243",,,"$9,756","$166,506",,"$118,491",,,,,,,"$72,598","$5,575",,,,,,,,,,,,,,,,,,,,,,,,,,,
En la ciudad sin límites (2002),,"$391,926","$42,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunderbirds (2004),,"$347,802",,"$10,170,885","$34,552","$266,559",,,"$249,053",,,,"$1,074,500",,"$80,899",,,"$38,520","$135,671",,"$37,914","$61,133","$77,749","$31,797",,"$16,356",,,,,"$2,903","$45,491",$884,,,,,,,,"$7,424,356",,,,,,,"$462,672",,,,,,"$556,625","$33,797",$0,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 46 (2003),,"$144,745","$14,134","$112,504",,,,,,,,,"$47,222","$277,727",,,,,,,,,,,,,,,,"$4,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold & Kumar Go to White Castle (2004),,"$1,610,342",,"$1,028,118","$202,169","$109,507",,,"$35,351",,,"$54,675","$1,297,669","$380,841","$330,131",,,,,"$52,122",,,,,,"$51,330",,,"$12,382",,,"$68,359",,$480,,,,,,,,,,,,,,,,,,,,"$422,491",,,,,,,,,,,"$26,080",,,,,,,,,,,,,,,,,
We Don't Live Here Anymore (2004),,"$252,544","$69,466","$186,473",,,,,"$4,119",,,,"$283,183","$257,379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$201,366",,,,,,"$5,975",,,"$59,694",,,,,,,,,,,,,,,,,,,,,,,,,
Warriors of Heaven and Earth (2003),,"$135,355",,,,,"$25,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$265,156",,,,,,"$35,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paparazzi (2004),,"$42,248",,"$31,265","$138,026",,"$1,122",,,,,"$7,834","$38,662",,"$72,973",,,,,,,,,,,"$59,557",,,,,,"$46,419",,,,,"$7,805",,,,,,,,,,"$72,148","$254,797",,,"$97,714",,,"$210,360",,,,,,,,,,,"$1,348",,,,,,,,,,,,,,,,,
Superbabies: Baby Geniuses 2 (2004),,"$91,070",,,,,,,,,,,,,,,,,,,,,,,,"$93,371",,,,,,,,,,,"$35,917",,"$8,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. 3000 (2004),,"$28,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head in the Clouds (2004),,"$216,551",,,,"$7,817","$17,048","$398,278",,"$160,612",,,,"$1,972,835",,,"$23,050",,,"$18,958",,,,,,"$16,070",,,,,,,"$11,643",,,,,,,,,,,,"$154,253",,,,,,,,,"$341,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Shot (2004),,"$74,251",,,"$2,804",,,"$464,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Around the Bend (2004),,"$142,748","$59,473","$8,977",,,,,,,,,,,,,,,,,,,,,,"$11,155",,,,,,,,,,,,,,,,,,,,,,"$163,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primer (2004),,"$120,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Five Obstructions (2003),,"$15,653",,,,,,,,,,,,,,,,,,,,,"$50,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Being Julia (2004),,"$1,415,209","$438,014","$231,033","$68,095","$269,713","$23,472",,,,,"$9,926","$1,213,246","$683,734","$519,367",,"$33,850",,,"$59,038",,,"$186,692",,,,"$382,760","$32,891",,"$16,530",,"$2,604","$10,651","$9,148",,,"$6,618",,,,,,,,,,"$16,665","$187,506",,,,,,"$37,505",,,"$79,477",,,,,,,,"$8,052",,,,,,,,,,,,,,,,,
Thérèse: The Story of Saint Thérèse of Lisieux (2004),,"$65,527",,,,,,"$2,627,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enduring Love (2004),,"$39,156",,"$1,125,136","$11,315","$24,732","$8,309","$358,362","$76,664",,,,"$55,882","$170,462",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fade to Black (2004),,"$13,155",,,,,,"$728,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mishima: A Life in Four Chapters (1985),,"$65,211",,"$2,027",,,,"$437,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarnation (2003),,,"$22,554",,,,,"$592,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,655",,,,,,,,,"$7,298",,,,,,,,,,,,,,,,,,,,,,,,,
Undertow (2004),,,"$13,170",,,,,"$143,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Leopard (1963),,,,"$179,986","$176,763","$4,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gun Crazy (1950),,,,"$17,322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port of Shadows (1938),,,,"$12,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criminal (2004),,,,"$113,856",,,,,,,,,,"$29,917",,,,,,,,,,,,"$13,215",,,,,,,,,,,,,,,,,,,,,,"$311,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday Night Lights (2004),,,,"$168,695",,"$32,449",,,,,,,"$403,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$90,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veer Zaara (2004),,,,"$3,740,993",,,,,,,,,"$207,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Am David (2003),,,,"$3,824",,,"$19,756",,,,,,,,,,,,,,,,,,,,,,,,,,"$2,942",,,,"$14,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control Room (2004),,,,"$30,592",,,,,,,,,"$104,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandora's Box (1929),,,,"$9,201",,,,"$53,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Old Dark House (1932),,,,"$8,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry V (1944),,,,"$62,619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Expectations (1946),,,,"$19,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odd Man Out (1947),,,,"$5,935",,,,,,,,"$59,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Young and the Damned (1950),,,,"$65,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$68,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Cancan (1955),,,,"$8,259","$2,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Battle of Algiers (1966),,,,"$40,091",,,,"$879,794",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Rublev (1966),,,,"$10,357","$26,742",,,"$124,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fando and Lis (1968),,,,"$1,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Topo (1970),,,,"$57,653",,,,"$80,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Holy Mountain (1973),,,,"$8,302",,,,"$61,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,542",,,"$16,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Passenger (1975),,,,"$64,766","$32,281",,,"$620,155",,,,,"$51,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorcerer (1977),,,,"$5,972",,"$1,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sacrifice (1986),,,,"$31,383","$9,811",,,"$81,963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riding the Bullet (2004),,,,,"$34,903",,,,,,,,,,,,,,,,,,,,,"$94,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Crime of Monsieur Lange (1936),,,,,"$1,564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickpocket (1959),,,,,"$3,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Eclipse (1962),,,,,"$4,258",,,,,,,,$555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Phantom of Liberty (1974),,,,,$577,,,"$6,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900 (1976),,,,,$692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Marquise of O (1976),,,,,"$1,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opening Night (1977),,,,,"$5,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Moon in Paris (1984),,,,,"$1,213",,,"$15,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where Is the Friend's House? (1987),,,,,"$9,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cry-Baby (1990),,,,,$312,,,"$8,266,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Woman Is a Woman (1961),,,,,,$166,,"$100,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murder on the Orient Express (1974),,,,,,"$3,469",,"$27,634,716",,,,,"$21,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raise Your Voice (2004),,,,,,"$321,186",,,"$249,008",,,"$3,611","$2,532,118","$818,660",,,,,,,,,,,,"$29,330",,,,"$3,781",,,,,,,,,,,,,,,,,,"$470,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
