Movie Name,New Zealand,Australia,Portugal,United Kingdom,Domestic,South Korea,Brazil,Russia/CIS,Taiwan,Spain,Germany,Netherlands,Greece,Poland,United Arab Emirates,Argentina,France,Chile,Italy,Norway,Czech Republic,Mexico,Switzerland,South Africa,Austria,Israel,Sweden,Hungary,Iceland,Denmark,Türkiye,Finland,Lebanon,Cyprus,Bulgaria,Kenya,Romania,Serbia and Montenegro,Central America+,Singapore,Hong Kong,Egypt,Japan,Thailand,Russia,Belgium,Lithuania,Latvia,Croatia,Slovakia,Slovenia,Jordan,Bahrain,Estonia,East Africa,Oman,Malaysia,India,Philippines,Venezuela,Colombia,Peru,Ecuador,Uruguay,Jamaica,Lesser Antilles,Indonesia,Czech Republic/Slovakia,Palestine,Ukraine,Lebanon/United Arab Emirates,Baltic States,Puerto Rico,West Indies,Bolivia,China,Middle East Other,Middle East/UAE,Middle East,Kuwait,Qatar,Nigeria,Dominican Republic,Bangladesh,Malta,Central America,Vietnam,Russia/CIS/Ukraine,Curaçao,Aruba
The Lord of the Rings: The Return of the King (2003),"$9,008,518","$36,645,596","$4,702,013","$106,689,784","$379,427,292","$28,770,329","$9,902,206","$14,080,000","$11,756,953","$39,834,538","$87,207,000","$19,348,313","$8,037,200","$7,968,195","$19,728","$4,698,147","$48,409,847","$3,113,642","$35,837,796","$12,460,370","$3,694,173","$15,685,944","$10,991,061","$3,840,418","$9,867,822","$2,890,082","$24,123,767","$2,943,624","$1,006,014","$16,188,249","$5,607,738","$7,096,209","$150,000",,"$609,501",,"$414,102","$680,354","$2,289,571","$3,143,349","$4,983,077","$219,683","$95,377,501","$4,630,752","$12,122,431","$9,902,589","$275,877","$258,679","$1,245,950","$532,439","$620,872",,,"$402,859",,,"$1,903,364","$944,651","$1,605,882","$1,196,154","$2,592,113","$1,390,557","$643,687","$288,591",,,"$1,323,144","$3,575,890","$2,197,356","$1,623,212","$1,533,229","$937,415","$1,871,308","$540,013","$291,146","$13,827,541",,,,,,,,,,,,,,
Mona Lisa Smile (2003),"$854,232","$5,911,401",,"$8,165,671",,,,"$758,877",,"$6,225,692","$13,148,258","$1,336,903","$949,750","$238,410",,"$560,646","$5,881,584","$200,709","$6,682,709","$234,433","$147,571","$3,962,744",,"$942,850","$1,603,659",,,"$126,156",,,"$730,038","$321,966",,,"$49,300",,,,,,"$29,218","$43,507",,"$86,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calendar Girls (2003),"$1,825,812","$5,148,042",,"$35,807,288","$31,041,759",,,,,"$2,724,698","$5,257,248","$877,149","$14,600","$144,653",,"$126,861","$1,057,099","$40,642","$1,512,607","$452,900",,"$396,038",,"$710,954","$907,117",,,"$46,834",,,,"$181,739",,,"$9,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fog of War (2003),"$35,968","$62,922",,"$40,255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House of Sand and Fog (2003),"$22,705","$721,379",,"$525,621",,,,"$54,509",,"$269,857",,"$145,062","$40,880",,,"$40,849",,,"$753,951",,,"$36,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two Men Went to War (2002),"$61,318","$5,625",,,"$151,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster (2003),"$407,531","$2,119,596","$183,367","$4,554,719",,,,"$459,214",,"$1,600,514","$1,992,775","$341,232","$489,200","$289,753",,"$269,637","$1,963,105","$95,560","$3,276,112","$712,121",,"$1,690,109",,"$1,171,230","$427,882",,,"$31,067",,,"$61,364","$370,459",,,"$19,799",,,,,,,,,"$12,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheaper by the Dozen (2003),"$425,015","$6,661,344","$326,517","$12,950,898","$138,614,544",,,"$1,226,970",,"$5,595,927","$2,601,651","$261,912","$72,950","$107,695","$251,300","$221,798","$1,711,208","$346,582","$737,941","$214,426","$13,497","$5,258,206","$238,559","$902,020","$596,648",,"$162,513","$50,815",,,"$132,456","$105,974",,,"$69,114",,,"$30,757",,,,"$44,924",,"$257,108",,"$368,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Mountain (2003),"$901,841","$4,793,715","$145,113","$16,651,409",,,,"$914,264",,"$6,738,971","$4,920,092","$1,758,433","$857,660","$496,868",,"$269,057","$5,808,988","$135,737","$4,577,709","$1,089,442","$220,021","$2,280,232",,"$373,998","$1,056,713",,,"$140,868",,,"$1,366,933","$154,463","$169,160",,"$49,718",,,,,,"$396,807","$34,457","$6,792,582","$91,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paycheck (2003),"$306,713","$1,415,367","$466,311","$4,563,849",,,"$662,301","$2,022,148","$1,284,810","$2,620,890","$3,477,704","$1,203,898","$413,245","$160,363","$194,600","$142,565","$5,103,918","$48,302","$21,336,675","$189,600","$36,651","$1,231,309","$715,448","$579,708","$596,835","$355,435","$460,541","$317,979","$58,255","$414,280","$340,411","$113,074","$20,161","$44,201","$44,427","$32,264","$52,063","$13,098","$56,880","$370,312","$602,463","$24,226","$6,222,228","$578,061","$1,763,243","$872,240",,,"$75,981",,"$57,773",,,,,,"$331,165","$67,340","$410,749","$111,884","$88,309","$84,793","$28,549",,,,"$359,470","$69,726",,"$233,891",,,,,,,"$9,825",,,,,,,,,,,,,
Peter Pan (2003),"$587,869","$6,298,228","$285,978","$16,552,531",,,,"$1,096,820",,"$4,662,688","$1,677,395","$682,408",,"$211,815",,"$454,532","$9,586,919","$269,812","$2,426,814","$484,714","$143,874","$3,535,245",,"$911,776","$392,912",,,"$97,098",,,"$390,595","$282,318",,,"$71,205",,,,,,"$415,058","$26,069","$4,053,196","$689,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Story (2003),"$194,520","$2,862,768","$8,353","$330,885","$647,054",,,,,"$8,998",,,,,,"$2,659",,,,,,"$34,746",,,,,,,,,,,,,,,,,,,"$8,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Along Came Polly (2004),"$722,882","$6,914,907","$966,135","$15,030,232",,"$678,889","$1,547,271","$1,948,047","$716,512","$6,836,404","$12,426,225","$1,656,495","$1,420,073","$536,412","$345,200","$539,522","$5,789,429","$327,937","$6,059,644","$4,301,214","$111,245","$3,712,944","$2,489,890","$1,282,361","$2,125,304","$816,605","$687,790","$558,441","$147,407","$259,249","$594,770","$272,168","$69,045","$122,396","$44,204","$25,850","$81,787","$46,014","$259,229","$654,838","$470,311","$36,770",,"$375,874","$1,663,690","$1,741,722",,"$26,071","$133,590",,"$175,369",,,"$43,021",,,"$206,394","$110,963","$158,599","$296,462","$283,300","$283,494","$80,455",,,,"$233,110","$184,802",,"$270,442",,,,,,,,"$315,159",,,,,,,,,,,,
Torque (2004),"$326,829","$2,146,563","$226,553","$1,998,059",,,"$1,000,000","$2,497,055",,"$2,360,410","$2,631,913","$524,172",,"$92,571",,"$201,757","$1,530,193","$42,019","$617,255",,"$25,511","$2,015,491","$330,112","$218,555","$642,345","$173,800",,"$78,166","$29,735","$68,533",,,,,"$127,141",,"$44,379","$11,227",,"$187,000",,"$7,009",,"$173,800",,"$63,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osama (2003),"$83,795","$317,402",,"$255,557","$1,270,904","$21,617",,"$9,615",,"$242,885","$401,652","$16,751",,,,"$50,197","$787,363",,"$268,583",,,"$74,966",,,"$43,466",,,,,"$7,262",,,,,,,"$3,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La strada (1954),"$5,470",,"$6,249","$11,674",,"$14,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chitty Chitty Bang Bang (1968),$445,,,,"$7,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Butterfly Effect (2004),"$313,193","$3,650,075","$63,607","$3,868,369",,"$7,104,096","$900,000","$697,345","$1,523,827","$3,609,326","$2,976,108","$334,069","$256,000","$222,854","$129,100","$123,934","$4,174,704","$233,312","$833,112","$23,234",,"$2,680,144",,"$334,397","$900,798",,"$485,634",,"$36,241","$68,753","$702,587","$105,405","$8,399",,"$48,687",,"$28,816",,,"$275,937","$60,310","$19,676","$375,119","$199,132",,"$672,692",,,,,,,,,,,,,"$140,525",,,,,,,,"$71,731",,,,,,"$503,476",,,,,,"$129,004",,,,,,,,,,,
