Movie Name,South Korea,Italy,China,Malaysia,Hong Kong,Vietnam,Singapore,United Arab Emirates,Oman,New Zealand,Thailand,Philippines,Japan,Russia/CIS,Taiwan,Norway,Peru,Mexico,Argentina,Venezuela,Chile,United Kingdom,France,South Africa,Spain,Australia,Türkiye,Germany,Greece,Poland,Austria,Finland,Netherlands,Czech Republic,Hungary,Domestic,Belgium,Ukraine,Qatar,Romania,Israel,Bahrain,Egypt,Lebanon,Switzerland (German),Nigeria,Bulgaria,Jordan,Portugal,Croatia,Switzerland (French),Kenya,Slovakia,Latvia,Lithuania,Estonia,Serbia and Montenegro,Slovenia,Ghana,Ethiopia,Brazil,Colombia,Ecuador,Bolivia,Uruguay,India,Iceland,Sweden,Denmark
Fathers & Daughters (2015),"$391,277",,,,,"$6,917","$26,099",,,,"$14,146",,"$280,582","$38,020","$153,653",,,"$551,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,161","$51,445",,"$24,050",,,,,
The Dressmaker (2015),"$360,285","$1,896,834",,,,,"$44,470","$64,003",$378,"$1,372,652","$186,793","$17,133",,"$94,925","$216,505",,,,"$102,356",,,"$811,834",,"$176,117","$1,217,751","$15,650,395","$145,857",,,,,"$298,642",,,,"$2,022,115",,,,,,,,,,,,,"$174,250",,,,,,,,,,,,"$115,466","$34,665",,,,,,,
Trumbo (2015),"$414,431","$163,429",,,"$52,713",,"$7,678","$16,500",$68,"$90,970","$5,013",,,"$56,733","$23,585",,"$7,250",,"$44,851","$11,423",,"$211,949","$950,274","$12,992","$674,260","$251,559",,"$112,484",,,"$42,986",,"$50,285",,,,,,,,,,,$474,,,,,"$92,768","$8,529","$61,508",,,,"$6,244",,"$9,067",$506,,,"$168,563",,,,"$8,684",,,,"$14,508"
Delhi Safari (2012),"$1,826,376",,"$1,270,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$399,221",,,
Marguerite (2015),"$40,577",,,,,,,,,"$37,197",,,,"$17,608",,,,,"$68,297",,,"$59,836","$6,674,379",,"$400,227","$69,720",,"$244,441",,,"$49,911","$26,410",,"$6,032",,,"$189,839",,,$928,,,,"$9,472",,,,,"$17,370",,"$207,626",,,,,,,$652,,,"$124,864",,,,,,"$2,293",,
The Peanuts Movie (2015),"$1,219,202","$2,842,638","$5,702,428","$477,072","$2,159,483","$365,249","$803,021","$716,787","$39,769","$837,047","$278,679",,"$5,170,243","$1,400,596","$1,380,612","$455,466","$1,527,617","$7,825,529","$1,324,419","$4,096,546","$1,411,375","$13,886,795","$5,184,352","$539,012","$4,782,782","$5,566,418","$589,576","$9,672,216","$408,051","$1,096,873","$1,443,827","$1,186,894","$1,957,846","$224,141","$202,919",,"$956,995","$80,272","$143,523","$227,271","$455,021","$166,820",,"$169,429","$808,655",,"$68,240",,"$770,468","$232,026","$436,417","$4,818","$94,144","$99,941","$191,970",,"$139,874","$83,732",,,"$7,944,690","$881,865","$1,561,713","$511,807","$110,658",,"$62,680","$1,344,012","$852,855"
OceanWorld (2009),"$1,174,633","$3,297,162",,,,,,"$54,129",,,,,,"$1,121,347",,,,,,,,,"$312,797",,"$938,228",,"$224,464",,"$47,523","$374,538",,,,"$381,023",,,"$71,727",,,,,,,"$64,713",,,"$40,948",,,"$13,509",,,"$60,059","$130,857","$217,060","$107,748","$34,786",,,,,,,,,,,,
The Boy and the Beast (2015),"$1,396,332",,,,"$47,207",,,"$31,900",$218,"$12,178","$14,311",,"$46,863,971","$66,612","$400,801",,,,"$29,466",,,,"$308,416",,"$36,875","$66,261",,,,,,"$13,542",,,,"$490,643",,,,,,,,"$2,257",,,,,,,,,,,,,,,,,,,,,,,,,
The Little Ghost (2013),"$66,287",,,,,,,,,,,"$13,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louder Than Bombs (2015),"$70,223","$36,722",,,"$7,097",,,,,,,,,"$50,609",,"$245,295",,"$50,986",,,,"$34,204","$205,037",,"$96,714",,"$7,792","$53,892",,,"$8,071","$17,361",,,,,,,,,,,,,,,$851,,"$13,721",,,,,,$476,,,,,,"$21,185",,,,,,"$2,466","$52,836","$21,379"
