id,name
955,Penélope Cruz
10978,Maggie Smith
139,Uma Thurman
2130,Cary Elwes
6197,Brian Dennehy
21197,Janeane Garofalo
2632,Chris Rock
1160,Michelle Pfeiffer
3127,Lili Taylor
4581,Steve Coogan
18324,Steve Zahn
72466,Colin Farrell
32,Robin Wright
8789,Mathieu Amalric
5538,Ray Winstone
350,Laura Linney
3894,Christian Bale
6856,Kurt Russell
3968,Michael Sheen
17782,Colm Meaney
19152,Dylan Baker
23532,Jason Bateman
15440,Jared Harris
1896,Don Cheadle
5309,Judi Dench
7026,Rhys Ifans
3196,Juliette Lewis
4566,Alan Rickman
57829,Anthony LaPaglia
48,Sean Bean
2628,Kiefer Sutherland
21127,Bobby Cannavale
10814,Wesley Snipes
18472,Kevin Corrigan
102441,Dick Miller
12438,Bob Balaban
7906,Jennifer Tilly
53650,Anthony Mackie
17141,Greg Kinnear
15758,Queen Latifah
585,Rutger Hauer
11159,Cheech Marin
883,Will Patton
77234,Priyanka Chopra
529,Guy Pearce
454,Michael Peña
10859,Ryan Reynolds
524,Natalie Portman
17832,Carla Gugino
133,Peter Sarsgaard
14721,Kevin Dunn
6474,James Le Gros
147,Michael Madsen
8924,Frank Langella
20519,Simon Yam
1211,Larry Miller
16851,Josh Brolin
11086,Michael Ironside
11006,James Marsden
9777,Cuba Gooding Jr.
1923,Robbie Coltrane
349,Scott Glenn
5170,Mike Starr
1370,Brad Dourif
8654,Matthew Modine
41091,Kristen Wiig
118,Geoffrey Rush
4688,Michael Rapaport
13922,Seth Green
13936,Frankie Faison
3872,Daniel Brühl
3201,Pruitt Taylor Vince
6968,Hugh Jackman
28641,Terence Stamp
11355,Jason Isaacs
326,Kim Basinger
20753,Fred Willard
1925,Vincent Cassel
32747,Stephen Lang
110,Viggo Mortensen
3910,Frances McDormand
1121,Benicio del Toro
74036,Tom Arnold
589,Daryl Hannah
9029,Stephen Rea
18269,Brendan Fraser
18992,Aidan Quinn
15661,Clint Howard
1584544,Philip Ettington
3491,Thomas Kretschmann
452,Margo Martindale
16431,Sam Elliott
10696,Famke Janssen
8436,Miranda Richardson
4784,Laura Dern
45152,Olivier Gourmet
1327,Ian McKellen
38673,Channing Tatum
21007,Jonah Hill
19492,Viola Davis
204,Kate Winslet
400,Geraldine Chaplin
24045,Joseph Gordon-Levitt
10767,Barbara Hershey
6913,Ellen Barkin
4135,Robert Redford
6588,Isabella Rossellini
42157,Ed Begley Jr.
886,William Fichtner
1328,Sean Astin
3982,Xander Berkeley
18277,Sandra Bullock
54812,Chevy Chase
8986,James Rebhorn
7868,Maury Chaykin
16327,Timothy Hutton
5344,Meg Ryan
7624,Stan Lee
6574,Clancy Brown
11150,Gina Gershon
134,Jamie Foxx
206,Jim Carrey
4252,Tony Shalhoub
3636,Paul Newman
6413,Danny Huston
5587,Hank Azaria
20766,Richard E. Grant
677,Moritz Bleibtreu
368,Reese Witherspoon
37917,Kristen Stewart
49,Maria Bello
2192,Lambert Wilson
19274,Seth Rogen
16165,Jon Lovitz
20904,James Hong
526,Lukas Haas
52,David Morse
1639,Emily Watson
18262,Richard Riehle
7180,John Candy
10430,Fred Ward
5251,Jack Warden
9273,Amy Adams
8944,Jamie Lee Curtis
4587,Halle Berry
7907,John Ratzenberger
934,Russell Crowe
1834,Shirley Henderson
2165,Rosanna Arquette
9778,Ice Cube
501,Dakota Fanning
6383,Aaron Eckhart
15852,Ashley Judd
6161,Jennifer Connelly
11155,Thomas Jane
5724,Denis Leary
11275,Stephen Fry
23880,Steven Seagal
52374,Bruce Davison
1981,Alfre Woodard
16861,John Hawkes
11701,Angelina Jolie
140,Lucy Liu
60949,Rob Schneider
4,Carrie Fisher
8784,Daniel Craig
43775,Jane Lynch
3266,Joe Mantegna
10697,Alan Cumming
7036,Eric Stoltz
10822,Stephen Dorff
352,Dennis Haysbert
38334,Jennifer Coolidge
1844,Til Schweiger
1333,Andy Serkis
28640,Molly Shannon
17039,Nick Offerman
15900,Paul Dooley
33192,Joel Edgerton
1118,Rade Serbedzija
51329,Bradley Cooper
4090,Shirley MacLaine
1210,Héctor Elizondo
63,Milla Jovovich
21088,Alan Tudyk
3911,John Carroll Lynch
5365,Clifton Collins Jr
4491,Jennifer Aniston
1331,Hugo Weaving
4431,Jessica Lange
3801,Tracey Walter
11108,Simon Pegg
5960,Mary Kay Place
1902,Dianne Wiest
1336,Jet Li
35793,Abhishek Bachchan
9780,Angela Bassett
2954,Jeffrey Wright
2641,Martin Landau
21125,Richard Kind
4250,Michael Lerner
11164,Kelly Preston
4691,James Gandolfini
1064,Crispin Glover
13472,Tim Curry
61981,Michael Clarke Duncan
84223,Anna Kendrick
17605,Idris Elba
18686,Holly Hunter
11367,Bradley Whitford
18918,Dwayne Johnson
21200,Will Arnett
29839,Yuriy Kutsenko
