Movie Name,Domestic,Italy,New Zealand,Australia,Portugal,Russia/CIS,South Korea,Czech Republic,Slovakia,France,Spain,Germany,United Kingdom,Belgium,Netherlands,South Africa,Türkiye,Switzerland,Greece,Denmark,Sweden,Hungary,Norway,Poland,Lebanon,Israel,Iceland,Finland,Bulgaria,Croatia,Baltic States,Japan,Thailand,Taiwan,Singapore,Hong Kong,Philippines,Indonesia,Brazil,Mexico,Puerto Rico,Argentina,Central America+,Venezuela,Chile,Colombia,West Indies,Peru,Ecuador,Bolivia,Uruguay,S/E/W Africa,Austria,Greece and Cyprus,Egypt,Central America,India,Malaysia,China,Ireland,Lebanon/United Arab Emirates,Slovenia,Latvia,Lithuania,Romania,Estonia,Paraguay,Russia/CIS/Ukraine,Czech Republic/Slovakia,Middle East/UAE,Jamaica,Dominican Republic,Lesser Antilles,Ukraine,Cyprus,Yugoslavia,Kenya,Pakistan,Sri Lanka,United Arab Emirates,Morocco,Serbia and Montenegro,East Africa,Jordan,Syria,Bahrain
Phoenix (1998),"$45,661",,,,,,,,,,,,,,,,"$8,474",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cube (1997),"$501,818",,,,,,,"$54,995",,,,,,,,,,,,,,"$8,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seven Beauties (1975),"$12,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rush Hour (1998),"$141,186,864","$334,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thing (1982),"$19,629,760",,"$1,422","$1,050","$1,166",,,,,,,,,,,,,,,,,,,,,,"$1,243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Scissorhands (1990),"$56,362,352",,"$3,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Producers (1967),"$328,673",,,$381,,,,,,,,,"$46,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashville (1975),"$9,984,123",,,,,,,,,,,,"$7,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Elephant Man (1980),"$26,010,864",,$399,"$2,820",,,,,,,,,"$9,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Is Beautiful (1997),"$57,563,264",,,$260,,"$230,000","$705,489",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,238,491",,,,,,,,,,,,,,,,,,,,,,,,,,,
American History X (1998),"$6,719,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sid and Nancy (1986),"$2,826,523",,,,,,,,,,,,"$24,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nights of Cabiria (1957),"$766,530",,,,,,,,,"$3,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Big Chill (1983),"$56,399,659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Station (1998),"$5,969,553",,,,"$1,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen or Glenda (1953),"$10,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godzilla (1954),"$562,711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desperately Seeking Susan (1985),"$27,398,584",,$523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sonja (1985),"$6,948,633",,,"$2,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A View to a Kill (1985),"$50,327,960",,,,,,,,,,,,"$9,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifeforce (1985),"$11,603,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rushmore (1998),"$17,105,219",,$603,,,,,,,,,"$90,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Blood (1982),"$47,212,904",,$214,,,,,,,,,,,,"$29,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rambo III (1988),"$53,715,611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky II (1979),"$85,182,160",,,,,,,,,,,,"$5,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky III (1982),"$125,049,125",,,,,,,,,,,,"$3,561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky IV (1985),"$127,873,716",,$228,"$35,156",,,,,,,,,"$44,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky V (1990),"$40,946,358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Karate Kid (1984),"$91,077,276",,,,,,,,,,,,"$42,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
