Movie Name,Domestic,Italy,New Zealand,Australia,Portugal,Russia/CIS,South Korea,Czech Republic,Slovakia,France,Spain,Germany,United Kingdom,Belgium,Netherlands,South Africa,Türkiye,Switzerland,Greece,Denmark,Sweden,Hungary,Norway,Poland,Lebanon,Israel,Iceland,Finland,Bulgaria,Croatia,Baltic States,Japan,Thailand,Taiwan,Singapore,Hong Kong,Philippines,Indonesia,Brazil,Mexico,Puerto Rico,Argentina,Central America+,Venezuela,Chile,Colombia,West Indies,Peru,Ecuador,Bolivia,Uruguay,S/E/W Africa,Austria,Greece and Cyprus,Egypt,Central America,India,Malaysia,China,Ireland,Lebanon/United Arab Emirates,Slovenia,Latvia,Lithuania,Romania,Estonia,Paraguay,Russia/CIS/Ukraine,Czech Republic/Slovakia,Middle East/UAE,Jamaica,Dominican Republic,Lesser Antilles,Ukraine,Cyprus,Yugoslavia,Kenya,Pakistan,Sri Lanka,United Arab Emirates,Morocco,Serbia and Montenegro,East Africa,Jordan,Syria,Bahrain
Spartacus (1960),"$1,830,650",,,$128,,,"$8,438",,,"$5,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 400 Blows (1959),$509,,,,,"$39,923",,,,,,,"$117,270",,,,,,,,,,,,,,,,,,,,,"$9,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jules and Jim (1962),$509,"$272,111",,,,"$21,742",,,,,,,"$174,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Color Purple (1985),"$98,467,863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mission (1986),"$17,218,023",,,,,,"$284,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Shop of Horrors (1986),"$39,032,001",,,$785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Iron Giant (1999),"$23,315,035",,$862,,,,,,,,,,"$19,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sixth Sense (1999),"$293,506,292","$14,931,419",,,$140,,,,,"$40,407,867","$26,173,749","$24,893,879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illuminata (1998),"$840,134",,,,,,"$26,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat's Eye (1985),"$13,086,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Lampoon's Vacation (1983),"$61,418,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big (1988),"$115,227,281",,$122,"$2,629,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Christmas Story (1983),"$20,778,141",,,,,,,,,,,,,,,,,,,,,,,"$13,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perfect Blue (1997),"$558,598",,,,,,,,,,,,"$4,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Muse (1999),"$11,614,954",,,,,,"$55,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black Cat, White Cat (1998)","$351,447",,,,"$1,723","$17,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Adventures of Milo and Otis (1986),"$13,299,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Making Sense (1984),"$9,891,263",,,"$6,467","$6,813",,,,,,,,"$641,394",,,,,,,,,,,,,,"$4,419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Hard Day's Night (1964),"$1,480,356",,,"$3,296",,,"$47,811",,,,,,,,,,,,,,,,,,,,"$2,198",,,,,,,,,,,,,,,"$29,551",,,,"$103,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excalibur (1981),"$34,967,437",,,,,,,,,"$3,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy (1975),"$34,251,525",,$597,,,,,,,,,,"$21,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinevere (1999),"$632,283",,,"$3,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romance (1999),"$1,585,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantasm (1979),"$11,988,469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanjuro (1962),"$46,808",,,,,,,,,"$8,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grandfather (1998),"$54,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Limey (1999),"$3,204,663",,,"$121,073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risky Business (1983),"$63,541,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Recall (1990),"$119,412,921",,,"$12,102",,,,,,,,,"$3,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferris Bueller's Day Off (1986),"$70,136,369",,"$2,350","$583,382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children of Paradise (1945),"$36,986",,"$1,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Plains Drifter (1973),"$15,700,000",,,,,,,,,"$6,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Conformist (1970),"$238,792","$55,031",,,,,"$29,953",,,,,,"$219,923",,,,,,"$37,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hairspray (1988),"$6,671,108",,,"$1,924",,,,,,,,,"$2,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days of Heaven (1978),"$3,446,749",,,,,,,,,,,,"$28,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Pacific (1958),"$458,000",,$31,$609,,,"$17,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashdance (1983),"$92,921,203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldfinger (1964),"$51,081,062",,"$3,166","$2,906",,,,,,,,,"$119,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Russia with Love (1963),"$24,796,765",,$935,,,,,,,,,,"$12,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. No (1962),"$16,067,035",,"$4,856","$1,433",,,,,,,,,"$44,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Fistful of Dollars (1964),"$14,500,000",,,,,,,,,,,,"$16,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard Eight (1996),"$222,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Alone 2: Lost in New York (1992),"$173,585,516","$6,075,706","$571,311","$8,878,497","$912,214",,"$8,197,952",,,"$11,481,489","$8,676,105","$23,404,837","$21,520,203","$3,016,314","$3,954,925",,"$1,662,950","$3,239,435",,"$1,458,200","$3,582,324","$402,292","$3,452,268","$1,156,044","$122,503","$1,070,391",,"$1,264,297","$42,877","$43,521",,"$35,321,357","$609,531","$1,875,114","$875,836","$1,639,045","$1,091,912","$3,058,699","$5,074,778","$5,904,223","$2,253,261","$2,166,996",,"$724,410","$536,229","$951,119",,"$270,837","$198,873","$124,609","$163,493","$1,699,305","$2,410,850","$1,285,549","$213,522","$700,754","$177,535","$585,123",,,,"$156,687","$33,155","$3,890","$222,851","$36,217",,"$125,967","$551,482",,"$179,450",,,,,,,,,,,,,,,
Fight Club (1999),"$37,030,102",,$845,"$12,558",,"$333,764",,,"$1,500",,,,"$8,855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julien Donkey-Boy (1999),"$85,400",,,,,,,,,,"$7,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Straight Story (1999),"$6,203,044",,$244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$213,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Bandits (1981),"$42,365,581",,,,,,,,,"$2,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoboCop (1987),"$53,424,681",,$708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who Framed Roger Rabbit (1988),"$156,452,370","$27,552,691","$1,169",,,,,,,"$26,954,822","$7,284,898","$19,847,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Your Eyes Only (1981),"$54,812,802",,$420,,,,,,,,,,"$24,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licence to Kill (1989),"$34,667,015",,$323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live and Let Die (1973),"$35,377,836",,,,,,,,,,,,"$4,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunderball (1965),"$63,595,658",,,,,,,,,,,,"$9,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Music of the Heart (1999),"$14,859,394","$77,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princess Mononoke (1997),"$4,845,631","$185,132",$716,"$8,784",,"$95,444",,,,"$35,890",,,,,,,,,,,,,"$30,667",,,,,"$57,095",,,,"$7,673,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosetta (1999),"$266,665",,,,,,"$26,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drugstore Cowboy (1989),"$4,729,352",,$274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Funhouse (1981),"$7,886,857",,$142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yojimbo (1961),"$46,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quest for Fire (1981),"$20,959,585",,,,,,,,,"$3,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Incredibly True Adventure of Two Girls in Love (1995),"$2,213,927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dogma (1999),"$30,652,890","$311,859",,,,,,,,,,"$464,581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pokémon: The First Movie - Mewtwo Strikes Back (1998),"$85,744,662",,,,,,,"$166,501",,,,"$9,643,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Commitments (1991),"$14,919,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women on the Verge of a Nervous Breakdown (1988),"$7,251,740",,,$549,,"$35,358",,,,,"$11,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Verdict (1982),"$53,977,250",,,,,,,,,"$16,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonstruck (1987),"$80,640,528",,"$1,689",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The World Is Not Enough (1999),"$126,943,684",,,,,,,,,,,,"$8,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All About My Mother (1999),"$8,344,738",,,,$423,,,,,,,,,,,,"$8,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadcast News (1987),,"$2,211,790","$135,765","$1,394,059","$83,295",,,,,"$956,991","$1,375,028","$834,979","$2,017,689","$190,750","$192,005",,"$56,800","$363,855",,"$230,881","$306,295",,"$203,355",,,"$520,694",,"$162,682",,,,"$2,840,087",,"$336,950","$46,944","$207,283","$34,707",,"$290,742","$57,903","$60,776","$181,251",,"$75,831","$49,138","$22,594",,"$9,052",,"$1,812","$24,463","$327,017","$116,463","$107,362","$1,648","$47,208","$3,817","$1,944",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Working Girl (1988),,"$4,196,530","$155,711","$2,879,839","$152,589",,"$517,282",,,"$3,177,280","$5,235,698","$2,096,895","$4,984,139","$631,506","$408,242",,,"$960,743",,"$291,938","$1,276,717",,"$714,484",,,"$629,546",,"$402,067",,,,"$5,503,772","$94,063","$573,837","$211,871","$497,032","$59,680",,"$1,200,732","$126,094","$190,449","$226,703",,"$68,366","$143,966","$21,220",,"$32,352","$3,872","$6,965","$109,153","$607,518","$455,225","$203,808","$4,285","$78,438","$14,093","$28,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth (1998),,"$3,151,202","$923,080","$4,331,238","$542,796",,"$361,680","$42,769","$67,456","$744,813","$1,145,943","$3,650,035","$9,083,335","$340,786","$595,652","$339,888","$257,685","$593,430","$579,715","$397,420","$656,210",,"$265,675","$71,441",,"$392,247","$42,888","$77,421","$34,978","$11,028",,"$15,807,893","$180,503","$327,341","$239,805","$225,181","$142,192",,"$2,087,465","$1,280,520",,"$1,420,142",,"$171,147","$176,805","$345,780",,,,,"$93,915",,"$284,123",,,"$18,656",,,,"$242,727","$74,137","$67,456","$57,182","$31,700","$19,406","$17,809","$13,781","$41,466",,,,,,,,,,,,,,,,,,
Enemy of the State (1998),,"$5,308,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Following (1998),,"$77,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Powers: The Spy Who Shagged Me (1999),,"$1,736,231","$2,062,073","$14,447,826","$867,685","$103,413","$1,011,315",,,"$6,482,167","$3,784,824","$6,600,612","$41,313,215","$808,114","$1,304,262","$1,254,924","$427,977","$771,790","$384,604","$649,104","$936,039","$126,565","$1,248,201","$93,670",,"$850,233","$348,383","$607,006","$5,274","$95,777","$47,024","$9,334,386","$239,787","$235,810","$750,999","$699,389","$197,578","$124,398","$1,222,090","$1,365,367","$320,584","$595,377","$242,173","$283,968","$205,460","$115,494","$67,503","$67,293","$10,886","$12,094",,,"$1,032,093",,,,"$149,386",,,,"$130,713","$154,108",,,,,,,"$51,598",,,,,,,,,,,,,,,,,
Runaway Bride (1999),,"$21,876,314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drive Me Crazy (1999),,"$5,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Train of Life (1998),,"$3,212,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rope (1948),,,$544,,,,,,,"$10,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marnie (1964),,,$863,,,,,,,"$7,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow of a Doubt (1943),,,$294,$420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Kong (1933),,,$651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patch Adams (1998),,,$353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peeping Tom (1960),,,$644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracula (1931),,,$446,,,,,,,,,,"$84,758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frankenstein (1931),,,"$1,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Killing (1956),,,$203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry Lyndon (1975),,,$480,,"$15,112",,,,,,,,"$216,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brief Encounter (1945),,,$254,,,,,,,,,,"$61,295",,"$5,019",,,,"$20,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reds (1981),,,$129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lady Eve (1941),,,$308,,,,,,,,,,"$13,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage Fright (1950),,,,$47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practical Magic (1998),,,,$354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Waterboy (1998),,,,"$7,087,777",,,,,,,"$650,246","$2,970,091","$5,677,560",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,414,068",,,,,,,,,,,,,"$501,217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miracle on 34th Street (1947),,,,$527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Daddy (1999),,,,"$9,585,364",,,,,,,"$3,958,135","$11,136,515","$7,276,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,551,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Pie (1999),,,,"$10,298,605",,,,,,,,,"$22,123,753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Yards (2000),,,,"$34,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Beauty (1999),,,,"$12,253,693",,,,,,"$16,676,777","$15,987,564","$24,140,508","$34,685,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autumn Sonata (1978),,,,,"$11,959","$10,928","$2,379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Celebration (1998),,,,,"$1,555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Effect of Gamma Rays on Man-in-the-Moon Marigolds (1972),,,,,$361,,,,,"$84,462",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Few Good Men (1992),,,,,,,"$13,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Love Letter (1999),,,,,,,"$836,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pork Chop Hill (1959),,,,,,,"$14,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frenzy (1972),,,,,,,,,,"$4,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Man Who Knew Too Much (1956),,,,,,,,,,"$8,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Paradine Case (1947),,,,,,,,,,"$6,789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Long Goodbye (1973),,,,,,,,,,"$21,619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Angels Have Wings (1939),,,,,,,,,,"$8,554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliverance (1972),,,,,,,,,,"$4,534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sullivan's Travels (1941),,,,,,,,,,"$10,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chill Factor (1999),,,,,,,,,,,,"$524,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
