Movie Name,Domestic,United Kingdom,France,Germany,Spain,Italy,Israel,United Arab Emirates,Romania,Portugal,Poland,Netherlands,Hungary,Croatia,Belgium,Lebanon,Serbia and Montenegro,Bulgaria,Czech Republic,Iceland,Ukraine,South Africa,Latvia,Mexico,Brazil,Argentina,Venezuela,Ecuador,Colombia,Peru,Uruguay,Chile,Bolivia,Australia,Russia/CIS,Hong Kong,Thailand,Malaysia,Indonesia,Philippines,South Korea,New Zealand,Singapore,Taiwan,Japan,India,Sweden,Switzerland,Denmark,Norway,Finland,Türkiye,Greece,Czech Republic/Slovakia,Slovenia,Austria,Lebanon/United Arab Emirates,Baltic States,Egypt,Puerto Rico,Central America+,West Indies,Dominican Republic,Estonia,Lithuania,Paraguay,Jamaica,S/E/W Africa,Greece and Cyprus,China,Central America,Lesser Antilles,Vietnam,Slovakia,Cyprus,Yugoslavia,East Africa,Pakistan,Russia/CIS/Ukraine,Bosnia,Kuwait,Oman,Bahrain,Qatar,South Africa/Nigeria
The Piano (1993),"$40,157,856","$11,100",,,,,,,,,,"$16,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudy (1993),"$22,881,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schindler's List (1993),"$96,898,818","$21,170,107","$17,233,433","$38,500,174","$8,687,880","$16,786,823","$2,159,482",,"$40,712","$1,017,329","$1,830,879","$8,766,228","$522,672","$247,176","$5,549,737",,,"$30,346","$10,570",,"$7,753","$1,341,280",,"$4,327,175","$4,625,918","$4,004,849","$416,781","$161,306","$1,731,353","$497,263","$331,537","$683,127",,"$6,967,301",,"$2,782,288","$628,731",,,"$1,893,328","$10,732,554","$1,190,758","$1,469,622","$3,176,169","$32,785,635","$129,292","$4,894,561","$5,650,065","$1,522,151","$2,538,884","$2,102,803","$644,337","$1,223,964","$132,011","$175,145","$3,607,425",,,,,"$235,683",,"$58,880",,,,,,,,,"$35,383",,"$3,567",,,,,,,,,,,
Sleepless in Seattle (1993),"$126,808,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blade Runner (1982),"$32,914,489","$6,378,590","$45,782",,"$690,324","$41,382",,,,"$68,717",,"$79,818",,,,,,,,,"$10,194",,,,,,,,,,,,,"$253,644","$179,693",,,,,,"$65,438","$26,275",,,,,"$56,433",,"$53,979","$12,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Mario Bros. (1993),"$20,915,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nightmare Before Christmas (1993),"$83,831,496","$1,803,075","$3,048,078","$1,830,120","$1,833,960","$2,197,313",,,,,,,,,,,,,,,,,,"$528,839",,"$475,917",,"$79,576","$228,910","$94,285","$19,509","$206,466","$40,492","$424,212",,,,,,,"$463,128","$55,697",,,"$48,860",,,,,,,,"$59,731",,,"$42,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Romance (1993),"$12,281,551",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$807,227",,,,,,,,$72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kika (1993),"$2,019,581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhaji on the Beach (1993),"$734,634","$4,421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Alone (1990),"$285,761,243","$18,277,953","$11,510,542","$34,406,183","$10,346,880","$11,528,547","$490,761",,"$166,036","$619,415","$248,546","$4,080,835","$113,790","$87,619","$3,436,539",,,"$78,900",,,,,"$11,108","$2,113,483","$6,258,078","$978,420","$490,474","$75,215","$525,701","$299,712","$80,150","$205,032","$61,162","$11,513,736",,"$1,255,757","$549,794","$336,017","$1,146,668","$409,368","$6,858,476","$312,498","$1,084,249","$1,619,156","$35,569,579","$61,480","$4,225,880","$4,678,229","$1,165,512","$2,911,897","$1,648,087","$1,122,310",,"$86,655","$169,198","$3,108,012",,,"$108,600","$1,278,410",,,,"$27,124",,,"$133,903","$1,295,789","$720,732",,"$359,284",,,,,,,,"$675,907",$1,,,,,
Ghost (1990),"$217,631,306","$52,311,485","$18,756,123","$23,048,371","$16,558,134","$15,341,818","$1,200,860",,,"$602,695",,"$7,232,258",,,"$5,184,345",,,"$4,106",,$967,,"$1,871,582",,"$3,052,119","$17,041,632","$4,003,332","$660,019","$50,023","$1,006,369","$521,257","$63,484","$124,291",,"$16,975,991",,"$4,561,499","$957,265","$509,466","$619,286","$1,738,736","$20,984,341","$1,582,318","$1,637,254","$7,568,224","$48,449,689",,"$2,643,431","$4,309,789","$1,540,994","$1,034,424","$1,276,877",,"$363,043","$59,193",,"$2,003,734",,,,,"$363,474",,"$84,144",,,,,,,,,"$173,809",,,,,,,,,,,,,
Aladdin (1992),"$217,350,219",,"$41,143,849","$31,328,508","$15,042,628","$28,543,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,067,793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terminator 2: Judgment Day (1991),"$205,881,154","$643,389","$77,618","$323,410",,,,"$21,213",,"$5,376",,"$83,604",,,"$17,560","$6,440",,,"$40,400",,"$90,448",,"$22,048",,,,,,,,,,,"$268,983","$673,557",,,,,,,"$45,534",,,"$234,114",,,,,"$9,368","$3,693","$78,239",,,,"$30,608",,,,,,,,"$25,828","$23,888",,,,,,,,,"$33,057",,,,,,,"$70,021","$63,791","$29,452","$7,813",
Dances with Wolves (1990),"$184,208,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$83,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batman (1989),"$251,409,241","$19,075,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Silence of the Lambs (1991),"$130,742,922","$10,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$85,"$129,493",,,,,,,$101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow White and the Seven Dwarfs (1937),"$184,925,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty and the Beast (1991),"$218,967,620","$3,899,875","$25,937,270","$26,553,257","$21,241,146","$31,218,829",,"$234,633",,"$129,864","$619,832",,"$79,712",,,"$70,249",,"$139,975",,"$23,133","$76,817","$65,192",,"$968,396","$1,084,114","$1,102,319","$346,136","$908,975","$262,142","$288,937","$45,486","$515,420","$61,192","$568,161","$1,434,853","$103,806",,"$167,956",,"$39,070","$2,668,103","$136,475","$57,590",,"$222,883",,,,,,,"$221,220","$164,121",,,,,,"$72,557",,,,,,,,,,,,,,,"$28,745",,,"$7,943",,,,,,,,
Pinocchio (1940),"$84,254,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretty Woman (1990),"$178,406,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,407","$25,334",,,,,,"$4,248","$1,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wild Bunch (1969),"$638,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fargo (1996),"$24,611,975","$12,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,283",,,,,,,,"$4,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Aristocats (1970),"$35,452,658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Flower of My Secret (1995),"$1,104,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelly & Monsieur Arnaud (1995),"$955,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission: Impossible (1996),"$180,981,856","$29,293,045","$29,058,617","$23,630,026","$14,351,722","$11,580,181","$1,839,289",,"$216,006","$1,746,388","$1,233,006","$4,790,765","$555,114","$204,360","$4,086,455","$248,116",,"$28,707",,"$474,999",,"$1,955,706",,"$4,690,861","$6,691,377","$3,902,546","$392,658","$74,608","$739,566","$285,883","$131,153","$848,271",,"$12,123,783",,"$5,487,047","$2,554,110","$1,719,085","$1,998,394","$1,524,980","$10,581,446","$2,090,925","$2,639,934","$9,074,696","$53,987,907","$1,089,127","$4,164,159","$4,187,517","$2,340,819","$2,063,480","$2,471,866","$1,186,944","$1,250,828","$339,455","$295,653","$3,233,859",,,"$123,810",,,,"$134,746",,,,,,,"$5,426,788","$1,164,196","$76,116",,,"$169,113","$130,266",,"$34,061",,,,,,,
Pather Panchali (1955),"$134,241",,,,,,,,,,,"$1,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Jam (1996),"$90,594,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphaville (1965),"$47,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver & Company (1988),"$74,151,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Of Love and Shadows (1994),"$19,710",,,,,"$1,161,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Man (1995),"$1,037,847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Craft (1996),"$24,819,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rock (1996),"$134,069,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$244,,,,,,,,$452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twister (1996),"$241,830,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost in the Shell (1995),"$889,074","$29,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$294,,,,,,,,$341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"$9,440,272","$78,717","$3,604",,,,,,,"$2,477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trainspotting (1996),"$16,491,080","$102,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,278","$159,603",,,,,,,"$3,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stealing Beauty (1996),"$4,722,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$149,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Frighteners (1996),"$16,759,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matilda (1996),"$33,459,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyes Without a Face (1960),"$58,565",,,,,,,,,"$1,689",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Godfather (1972),"$136,381,073","$358,278",,"$69,383","$84,167",,,"$96,042",,,,"$95,385",,,,,,,,,,,,"$172,759","$29,349","$285,438",,,"$63,131","$130,799","$4,989","$224,348",,"$56,036","$160,079",,,,,,"$121,323","$7,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas City (1996),"$1,356,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Philadelphia Story (1940),"$404,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$221,,,,,,,,"$6,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singin' in the Rain (1952),"$1,884,537","$22,744","$3,962",,"$24,548",,,,,"$1,271",,,,,,,,,,,,,,,,,,,,,,,,$874,,,,,,,"$61,165","$1,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An American in Paris (1951),"$267,824","$4,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertigo (1958),"$7,705,225","$14,348","$5,502",,,"$16,592",,,,,,,,,,,,,,,,,,,"$48,319",,,,,,,,,,,,,,,,"$6,403","$1,757",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rear Window (1954),"$36,764,313",,"$8,122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,863",,,,,,,,$987,,,,,,,,,,,"$134,543",,,,,,,,,,,,,,,,,,,,,$453,,,,,,,,,,,
North by Northwest (1959),"$66,728","$58,561",,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,973",,,,,"$1,912",,,,,,,,"$4,593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Apartment (1960),"$18,600,000","$59,805","$6,833",,,"$11,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,388",,,,,,,,$284,,,,,,,,,,,"$98,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casablanca (1942),"$4,219,709","$175,316",,"$30,554",,,,,,,,"$12,545",,,,,,,"$10,306",,,,,,,,,,"$1,526",,"$9,580","$24,046",,"$1,216","$10,028","$17,816",,,,,"$96,169","$13,947",,,,,,,,"$4,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Maltese Falcon (1941),"$18,180","$14,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,075",,,,,,,,"$1,255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Fair Lady (1964),"$72,560,711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,719",,,,,,"$29,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meet Me in St. Louis (1944),"$415,008","$82,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$96,,,,,,,"$2,267",$603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wizard of Oz (1939),"$24,668,669","$331,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$473,,,,,,,,"$51,142",,,,,,,,,,,,,,"$1,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gone with the Wind (1939),"$200,882,193",,,,,,,,,"$1,038",,,,,,,,,,,,,,,,,,,,,,,,$479,,,,,,,"$77,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunset Blvd. (1950),"$299,645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citizen Kane (1941),"$1,627,530",,"$8,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,612",,,,,,,,"$3,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001: A Space Odyssey (1968),"$60,481,243","$1,080,190",,"$165,590",,,,,,"$10,658",,"$239,637",,,,,,,,,,,,,,"$17,578",,,"$30,124",,,,,"$743,358","$155,841","$2,978,768",,,,,"$277,381","$16,852",,,,,,,,,,,"$39,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All About Eve (1950),"$63,463","$83,344","$3,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Affair to Remember (1957),"$3,850,000",,,,,,,,,$402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant (1956),"$32,855,818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Around the World in 80 Days (1956),"$42,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's a Wonderful Life (1946),"$1,483,643","$6,194,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,731",,,,,,,"$18,502","$1,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Smith Goes to Washington (1939),"$144,738",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Night of the Living Dead (1968),"$236,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Collins (1996),"$11,092,559","$43,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Man Standing (1996),"$18,115,927","$34,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbie Rides Again (1974),"$38,229,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Family Robinson (1960),"$40,356,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Flintstones (1994),,"$31,199,853","$4,204,685","$35,343,479","$15,839,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,943,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mask (1994),,"$55,000,000","$26,000,000","$9,853,637","$10,750,000","$12,773,533","$1,070,000",,"$127,974","$1,000,000","$1,421,123","$2,391,537","$457,239","$387,901","$3,268,091","$436,447",,"$48,530","$252,096","$291,000",,"$2,357,498",,"$2,959,184","$9,581,042","$7,703,153","$276,811","$69,000","$1,236,360","$200,000",,"$1,312,607","$101,115","$15,123,750","$433,732","$2,324,568","$1,530,609","$672,468","$800,000","$916,667","$3,245,000","$1,670,864","$2,243,452","$2,300,333","$34,875,028","$349,690","$2,300,000","$2,374,700","$1,788,748","$1,020,998","$668,020","$740,069","$1,200,000",,"$388,710","$1,143,454",,"$59,806","$234,758","$1,393,266","$264,419","$109,680","$65,000",,,,,,,,,,,,,,,,,,,,,,
Beverly Hills Cop III (1994),,"$5,850,519","$14,263,913","$7,298,139","$2,481,294","$2,259,461","$693,183",,"$74,382","$380,910","$1,335,381","$2,444,109","$474,916","$141,043","$2,290,095","$78,830",,"$17,837",,,,"$980,478",,"$2,115,024","$1,871,980","$548,248","$81,805","$31,763","$467,924","$92,821","$25,416","$57,345",,"$3,804,832",,"$554,270","$384,972",,"$449,635","$401,426","$406,319","$224,136","$542,515","$1,617,169","$12,339,049",,"$1,407,125","$1,654,216","$1,409,576","$2,249,023","$921,506","$154,689","$316,261","$127,276","$65,288","$589,526",,,,,"$233,811",,"$64,066",,,,,,,,,"$35,055",,,"$28,076",,,,,,,,,,
Ashes of Time (1994),,"$13,294","$178,660",,"$57,060",,,,,,,,,,,,,,,,,,,,"$27,531","$12,565",,,,,,,"$22,588",,"$41,914","$220,296",,"$17,969",,,"$74,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,169,266",,,,,,,,,,,,,,,
Independence Day (1996),,"$57,715,594","$40,557,572","$71,903,025","$16,415,862","$23,703,767","$4,289,146","$520,688","$530,606","$2,050,454","$3,140,457","$10,088,040","$1,313,760","$577,523","$8,022,251","$617,701",,"$136,198",,"$548,102",,,"$80,520","$10,726,859","$15,397,891","$6,824,943","$1,343,897",,"$1,797,666","$1,390,289","$451,527","$2,641,827","$587,995",,,"$6,484,198","$4,949,114","$2,504,989","$3,666,506","$4,009,323","$15,284,004","$3,929,669","$3,385,697","$13,640,025","$92,660,418","$3,106,576","$9,303,952","$7,022,892","$3,973,043","$4,337,538","$3,848,284","$1,924,689",,"$1,130,020","$408,151","$5,230,987",,,"$885,004","$3,345,813",,,"$104,725","$151,144","$26,831","$129,577","$202,597",,"$2,646,006",,"$1,551,423","$1,535,798",,,,"$171,591","$77,198",,,,,,,,"$2,871,185"
Breakfast at Tiffany's (1961),,"$55,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$57,751",,,,,,,"$109,331","$2,580",,,,,,,,,,,"$302,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some Like It Hot (1959),,"$19,542",,,,,,,,,,,,,,,,,,,,,,,"$9,483",,,,,,,,,"$115,285",,,,,,,,"$3,103",,,,,,,"$47,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Holiday (1953),,"$4,518",,,,,,,,"$1,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Women (1939),,"$5,449","$10,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebecca (1940),,"$50,700","$19,205",,,,,,,,,,,,,,,,,,,,,,"$2,370",,,,,,,,,,,,,,,,"$38,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notorious (1946),,"$85,285","$27,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 39 Steps (1935),,"$51,711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The African Queen (1951),,"$20,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$501,,,,,,,,,,,"$25,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charade (1963),,,"$8,342",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,179",,,,,,,,,,,"$157,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spellbound (1945),,,"$19,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mark of Zorro (1940),,,"$3,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ghost and Mrs. Muir (1947),,,"$29,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East of Eden (1955),,,"$24,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bringing Up Baby (1938),,,"$10,863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Tie That Binds (1995),,,,,,"$57,925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Nightmare (1994),,,,,,"$1,622,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Next Karate Kid (1994),,,,,,"$74,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dear Diary (1993),,,,,,"$142,403",,,,"$2,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Collector (1967),,,,,,,,,,"$7,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Noon (1960),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$604,,,,,,,,$281,,,,,,,,,,,"$98,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To Catch a Thief (1955),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,500",,,,,,,,"$1,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabrina (1995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
