Movie Name,Domestic,United Kingdom,France,Germany,Spain,Italy,Israel,United Arab Emirates,Romania,Portugal,Poland,Netherlands,Hungary,Croatia,Belgium,Lebanon,Serbia and Montenegro,Bulgaria,Czech Republic,Iceland,Ukraine,South Africa,Latvia,Mexico,Brazil,Argentina,Venezuela,Ecuador,Colombia,Peru,Uruguay,Chile,Bolivia,Australia,Russia/CIS,Hong Kong,Thailand,Malaysia,Indonesia,Philippines,South Korea,New Zealand,Singapore,Taiwan,Japan,India,Sweden,Switzerland,Denmark,Norway,Finland,Türkiye,Greece,Czech Republic/Slovakia,Slovenia,Austria,Lebanon/United Arab Emirates,Baltic States,Egypt,Puerto Rico,Central America+,West Indies,Dominican Republic,Estonia,Lithuania,Paraguay,Jamaica,S/E/W Africa,Greece and Cyprus,China,Central America,Lesser Antilles,Vietnam,Slovakia,Cyprus,Yugoslavia,East Africa,Pakistan,Russia/CIS/Ukraine,Bosnia,Kuwait,Oman,Bahrain,Qatar,South Africa/Nigeria
Happy Gilmore (1996),"$38,824,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braveheart (1995),"$75,609,945","$19,577,844","$8,151,909","$16,403,018","$9,845,999","$8,766,371","$673,069",,"$158,028","$996,879","$1,213,957","$1,874,040","$323,056","$225,722","$2,695,947","$494,589","$133,451","$96,695",,"$181,968",,"$2,062,757","$35,024","$2,227,770","$7,659,481","$1,721,721","$277,244",,"$739,738","$199,950","$87,971","$691,983","$127,090","$8,867,658",,"$367,443","$520,857","$502,660","$699,331","$594,035","$7,676,368","$1,992,371","$690,533","$4,027,708","$6,094,955","$309,972","$2,419,389","$2,742,646","$1,598,404","$970,556","$493,704","$4,820,238","$1,238,107",,"$181,233","$1,562,687",,,"$440,651",,,,,"$64,479","$11,440","$50,038","$24,762",,,,,,,,,,,,,,,,,,
Taxi Driver (1976),"$28,262,574","$151,022",,,,,,,,"$5,918",,"$21,778",,,,,,,,,,,,,,,,,,,,,,,"$129,610",,,,,,,"$2,421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chungking Express (1994),"$600,200",,,,,"$47,219",,,,"$9,764",,"$23,294",,,,,,,,,,,,,,,,,,,,,,,"$99,292",,,,,,"$714,358","$2,946",,,,,,,,,"$3,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Basketball Diaries (1995),"$2,381,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo 13 (1995),"$173,837,933",,"$14,878,689","$21,553,525","$6,772,313","$8,561,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,$403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batman Forever (1995),"$184,069,126","$32,236,792",,"$9,344,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belle de Jour (1967),"$4,063,348","$90,256",,,,,,,,"$2,040",,,,,,,,,,,,,,,,,,,,,,,,"$5,742",,,,,,,$347,$601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil in a Blue Dress (1995),"$16,140,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die Hard with a Vengeance (1995),"$100,012,499","$18,999,473","$24,389,222","$24,003,490","$8,987,213","$5,472,240","$1,983,203",,"$134,872","$708,729","$810,734","$6,857,468","$740,884",,"$3,719,772",,,"$39,041",,"$231,477",,,,"$2,860,056","$2,376,310","$2,797,566","$371,582",,"$2,127,178","$211,330","$120,750","$517,199","$71,130","$8,679,364",,"$4,211,688","$2,880,000","$1,122,296",,"$2,046,720","$9,013,766","$1,057,462","$1,461,600","$11,728,352","$81,762,589",,"$4,146,475","$3,854,171","$2,625,272","$3,397,439","$3,457,953","$1,432,579",,"$429,974",,"$2,417,018",,,,"$1,069,118",,,,"$44,047",,,,"$2,095,407","$1,015,251","$5,752,448","$144,239","$92,100",,,,,,,,,,,,,
The Doom Generation (1995),"$284,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Show (1995),"$2,702,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Showgirls (1995),"$20,350,754",,,,,,,,,$262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Umbrellas of Cherbourg (1964),"$28,030","$11,649",,,,,,,,"$7,546",,,,,,,,,,,,,,,,,,,"$4,962",,,,,,"$34,149",,,,,,,,,"$8,402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$413,,,,,,,,,,,,
Burnt by the Sun (1994),"$2,302,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before Sunrise (1995),"$5,535,405",,,"$51,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$678,,,,,,,"$399,543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Madison (1995),"$25,588,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumb and Dumber (1994),"$127,190,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ed Wood (1994),"$5,887,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farinelli (1994),"$1,573,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Wars: Episode IV - A New Hope (1977),"$460,998,507","$26,453,539","$11,371,635","$14,605,904","$4,967,598","$3,361,807","$312,233",,"$114,387","$359,311","$1,327,264","$1,318,822","$591,759","$95,020","$1,409,731","$50,680","$47,728","$55,305","$69,463","$1,681",,"$443,626","$23,461","$2,391,527","$2,824,307","$1,342,322","$272,640",,"$516,272","$480,798","$89,564","$1,050,359","$79,905","$8,871,494",,"$541,864","$1,225,361","$250,594","$503,367","$1,000,323","$1,297,610","$1,641,934","$466,734","$975,132","$15,216,513","$378,852","$2,050,843","$1,535,838","$1,193,862","$1,293,915","$620,183","$334,792","$363,897",,"$43,273","$1,069,482",,,"$84,540","$775,021","$524,187",,"$230,000","$21,791","$13,324","$24,793","$23,327",,,,,"$46,514",,,,,,,,,,,,,
Like Water for Chocolate (1992),"$21,665,468",,,,,"$78,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legends of the Fall (1994),"$66,638,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miracle on 34th Street (1994),"$17,320,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Born Killers (1994),"$50,282,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Léon: The Professional (1994),"$19,501,238",,,,,,,"$11,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,401",,,,,,,,,,,"$5,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulp Fiction (1994),"$107,928,762",,,,"$91,374",,,,,"$1,257",,,,,,,,,"$107,187",,,,,"$51,765",,,,,,,,,,"$29,679",,,,,,,"$37,187",$512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,601",,,,,,,,,,,
Queen Margot (1994),"$1,304,237",,,,,,,,,,,,"$14,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Colors: Red (1994),"$3,581,969","$16,253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Colors: Blue (1993),"$1,324,974","$17,879",,,,,,,,,,"$79,133",,,,,,,,,,,,,,,,,,,,,,,"$65,777",,,,,,"$16,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Colors: White (1994),"$1,237,219","$9,903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Santa Clause (1994),"$145,539,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,326",,,,,,,,"$1,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Shawshank Redemption (1994),"$28,767,189",,,,,,,,,,,"$23,616",,,,,,,,"$4,972",,,,,,,,,,,,,,"$2,000","$86,681",,,,,,,$258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry & Chocolate (1993),"$2,080,805","$3,382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
While You Were Sleeping (1995),"$81,057,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muriel's Wedding (1994),"$15,119,639",,,,,"$344,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Adventures of Priscilla, Queen of the Desert (1994)","$11,220,670","$40,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Crow (1994),"$50,693,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forrest Gump (1994),"$330,455,270","$25,253,639","$25,986,604","$50,461,989","$16,326,616","$19,047,527","$3,572,874",,"$102,304","$1,387,915","$1,869,247","$5,333,562","$429,056","$485,368","$5,381,320","$90,016",,"$48,723",,"$1,739",,"$2,315,127",,"$4,393,743","$9,158,603","$4,999,308","$571,514","$125,582","$1,924,037","$272,330","$388,901","$682,686",,"$22,839,211","$75,908","$4,733,165","$1,672,945","$452,654","$1,523,886","$875,559","$10,292,970","$4,163,826","$2,004,000","$8,516,187","$69,786,781","$46,282","$8,296,978","$9,138,462","$3,560,193","$4,181,867","$4,578,830","$1,219,043","$2,533,442","$348,363","$399,480","$5,562,917",,,"$88,941",,,,"$67,946",,,,,,,,"$106,331","$44,658",,$332,"$47,061","$2,647",,,,,,,,,
Four Weddings and a Funeral (1994),"$52,700,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Jungle Book (1994),"$43,229,904","$9,159,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lion King (1994),"$422,783,777","$19,578,622","$68,817,103","$70,857,451","$27,444,821","$38,252,264","$366,668","$506,996",,"$340,279","$870,578","$2,412,806",,"$22,121","$741,527","$233,836",,,"$94,721","$97,639","$94,512","$853,788",,"$6,722,416","$2,058,876","$3,146,110","$1,723,535","$1,300,272","$1,596,456","$1,129,086","$114,909",,"$208,563","$24,796,241","$6,621,414","$48,790","$92,407","$198,611",,"$116,584","$5,533,614","$824,102","$121,324",,,"$61,577","$949,694",,"$784,656","$1,542,185","$263,091","$696,619","$572,030",,,"$946,894",,,"$140,459",,,,,,,,,,,,,,,,,,"$15,568",,,,,,,,
Speed (1994),"$121,248,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$494,,,,,,,,$865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf (1994),"$65,002,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Fighter (1994),"$33,423,521",,,,,"$2,794,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Age of Innocence (1993),"$32,255,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlito's Way (1993),"$36,948,322",,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliffhanger (1993),"$84,049,211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
