Movie Name,South Korea,Russia/CIS,Domestic,United Kingdom,France,Germany,Italy,Belgium,Sweden,Netherlands,Türkiye,Poland,Austria,Greece,Portugal,Denmark,Norway,Finland,Ukraine,South Africa,United Arab Emirates,Czech Republic,Hungary,Romania,Egypt,Croatia,Lebanon,Slovenia,Latvia,Lithuania,Estonia,Spain,Bulgaria,Slovakia,Serbia and Montenegro,Iceland,Brazil,Mexico,Venezuela,Argentina,Colombia,Peru,Chile,Ecuador,Uruguay,Bolivia,Australia,Hong Kong,New Zealand,Philippines,Singapore,Thailand,Taiwan,Malaysia,Nigeria,East Africa,Ghana,Israel,Bahrain,Japan,Indonesia,Switzerland,Middle East,Mauritius,India,China,Russia,Panama,Switzerland (German),Switzerland (French),Middle East/UAE,Vietnam,Nicaragua,Central America,Dominican Republic,Kuwait,Qatar,Oman,Jordan,Ethiopia,Trinidad & Tobago,Curaçao,Jamaica
The Last Airbender (2010),"$11,836,191","$18,300,513",,"$6,564,441","$11,546,248","$15,572,208","$7,821,944","$3,253,724","$1,432,303","$3,761,185","$3,168,703","$1,522,441","$2,191,663","$563,771","$1,718,359","$789,779","$641,264","$355,025","$1,752,582","$1,328,262","$1,419,186","$625,220","$861,772","$536,068","$192,167","$126,758","$217,530","$179,326","$175,776","$156,754","$145,903","$9,840,134","$469,659","$188,675","$51,923","$59,077","$9,653,005","$14,069,069","$2,262,106","$2,760,838","$3,408,130","$2,120,847","$1,768,877","$495,426","$93,747","$237,461","$9,601,631","$650,455","$1,609,827","$2,648,559","$2,015,668","$1,373,034","$428,793","$2,542,932","$52,167","$84,719","$8,003","$813,126",,"$6,018,615","$3,185,064",,,,,"$4,527,705",,,,,,,,,,,,,,,,,
Predators (2010),"$1,696,764","$6,470,880",,"$9,198,102","$4,276,579","$4,424,039","$2,051,488","$701,455","$965,812","$628,853","$463,043","$991,980","$694,676","$202,731","$421,007","$796,195","$543,278","$360,686","$397,497","$138,996","$439,302","$510,726","$506,188","$188,434","$59,082","$76,508","$40,597","$63,918","$44,983","$71,618","$50,322","$3,363,243","$170,139","$63,605","$32,105","$67,080","$2,017,215","$2,609,912","$597,533","$553,936","$515,270","$434,779","$402,730","$166,369","$22,840","$81,431","$5,573,925","$1,487,313","$501,336","$556,907","$899,350","$801,845","$213,235","$1,885,217","$21,179","$18,460","$7,296",,"$33,466","$9,872,089","$789,793",,,,,,,,,,,,,,,,,,,,,,
When You're Strange (2009),"$7,303","$106,836",,,"$359,924","$194,284","$37,285",,"$19,052",,,"$8,787","$30,417",,,,"$32,080","$48,676",,,,,,,,,,,,,,"$82,114",,,"$11,453",,,"$9,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Despicable Me (2010),"$8,661,240","$11,143,555","$251,557,985","$32,283,987","$28,507,123","$26,914,321","$17,064,781","$3,789,377","$2,606,523","$5,177,497","$1,400,906","$2,109,440","$3,059,494","$1,124,876","$2,360,658","$2,128,984","$1,493,402","$1,560,035","$1,098,087","$2,345,587","$1,478,932","$1,101,344","$900,085","$194,014","$145,041","$176,053","$385,768","$362,636","$342,386","$651,649","$319,405","$14,257,017","$243,028","$481,779","$42,390","$227,013","$13,743,913","$19,789,795","$2,321,604","$2,878,027","$1,672,844","$2,092,292","$1,426,890","$591,195","$159,938","$265,912","$21,817,532","$1,488,651","$3,170,004","$2,246,878","$2,917,270","$407,845","$1,149,907","$1,230,633","$25,717","$56,194","$13,242","$1,704,133",,"$14,196,443","$1,494,925","$5,071,372",,,,,,,,,,,,,,,,,,,,,
Inception (2010),"$38,983,627","$21,909,038","$292,587,330","$57,217,436","$43,598,688","$36,980,538","$15,511,669","$6,165,724","$9,399,635","$9,688,549","$7,001,472","$6,793,298","$3,607,185","$4,196,236","$2,667,754","$7,594,672","$5,997,462","$3,151,398","$1,580,267","$1,553,586","$2,441,324","$2,408,386","$2,480,286","$1,096,340","$860,632","$387,317","$558,065","$361,933","$350,201","$34,539","$290,062","$22,354,115","$599,672","$603,665","$183,532","$519,590","$10,315,556","$8,990,429","$1,570,718","$7,439,087","$3,147,645","$1,020,885","$2,562,565","$518,908","$284,193","$163,443","$36,567,250","$7,530,191","$4,425,693","$2,236,411","$4,147,383","$2,129,856","$5,616,029","$2,122,410","$106,682","$150,913","$37,578","$3,669,899",,"$42,101,213","$2,439,468","$82,045",,,"$15,241","$71,345,823","$445,722",,,,,"$322,403",$11,,,,,,,,,,
The Sorcerer's Apprentice (2010),"$3,486,971","$13,630,194",,"$5,423,182","$12,930,320","$6,002,283","$9,571,490","$2,089,916","$1,808,518","$1,806,283","$1,798,915","$1,893,685","$1,187,281","$840,027","$1,424,263","$955,295","$976,833","$247,214","$1,231,202","$949,465","$879,669","$647,748","$766,872","$325,011","$213,654","$91,548","$191,951","$147,564","$66,629","$89,954","$93,282","$9,354,968","$429,795","$131,528","$52,660","$87,240","$4,974,851","$9,474,792","$2,603,094","$3,129,367","$2,953,007","$1,290,696","$1,305,967","$830,647","$72,117","$252,222","$4,898,922","$1,201,687","$769,376","$1,910,180","$1,731,899","$2,069,163","$951,277","$2,571,524","$114,873","$58,960","$17,797","$709,294",,"$10,632,660","$2,007,847",,,,,"$9,048,334",,,,,,,,,,,,,,,,,
Knight and Day (2010),"$14,219,425","$7,778,233","$76,423,035","$14,099,616","$14,335,598","$9,081,145","$2,816,693","$2,289,600","$2,182,195","$3,130,158","$1,486,953","$777,205","$2,097,407","$1,126,320","$1,408,093","$1,552,329","$2,097,649","$761,185","$604,716","$1,310,803","$1,271,540","$268,801","$385,910","$361,832","$447,547","$83,795","$274,746","$230,562","$114,620","$107,223","$94,574","$7,558,123","$275,905","$68,759","$36,257","$112,888","$8,663,633","$4,859,637","$1,064,750","$1,000,206","$714,396","$611,861","$395,413","$249,385","$111,420","$94,395","$9,075,731","$1,559,633","$1,202,032","$1,238,100","$1,287,255","$982,736","$1,295,053","$1,316,116","$64,248","$91,037","$17,522","$809,128","$103,401","$28,297,144","$1,628,197",,,,,"$13,419,677",,,,,,,,,,,,,,,,,
The Karate Kid (2010),"$1,677,444","$5,101,630",,"$19,762,070","$10,926,086","$12,656,290","$2,569,778","$2,349,932","$1,249,977","$3,667,752","$553,341","$614,437","$1,632,594","$1,139,215","$991,120","$1,336,058","$3,563,642","$362,093","$318,404","$1,829,441","$1,976,156","$253,580","$340,318","$110,904","$179,558","$64,070","$254,837","$120,832","$35,806","$32,609","$37,310","$11,727,245","$66,332","$62,048","$33,290","$138,074","$10,165,695","$12,539,258","$2,639,233","$917,488","$1,559,943","$1,036,228","$1,135,103","$571,098","$341,206","$249,809","$11,913,479","$170,211","$2,146,165","$3,369,473","$3,345,747","$846,971",,"$4,226,969","$121,306","$51,149","$12,225","$779,612","$151,349","$17,432,585","$3,346,220",,,,,,,,,,,,,,,,,,,,,,
The Kids Are All Right (2010),"$395,314","$49,190","$20,811,365","$2,635,953","$297,745","$1,268,738","$1,908,701","$212,097","$301,605","$177,774","$112,673","$150,199","$212,798","$71,647","$131,887","$361,463","$134,365","$176,038",,"$58,624",,"$113,306",,"$35,953",,,,,"$5,878","$7,308",,"$1,340,022",,,,"$1,445","$431,828","$246,691","$53,101","$388,831","$40,303",,"$30,899",,"$41,338",,"$1,538,415","$89,910","$316,268",,"$53,320",,"$38,558",,,,,,,,,"$433,693",,,,,,,,,,,,,,,,,,,,,
Salt (2010),"$18,201,067","$10,732,232",,"$11,321,253","$12,324,585","$7,283,463","$3,187,250","$1,774,641","$917,732","$3,150,006","$1,696,068","$1,912,727","$1,159,422","$1,714,420","$1,505,756","$1,005,315","$1,524,371","$493,771","$1,242,676","$1,547,824","$2,234,203","$203,352","$289,658","$455,365","$312,196","$83,767","$493,141","$181,929","$135,637","$139,927","$95,440","$8,022,096","$323,527","$151,522","$74,083","$175,440","$7,383,735","$4,451,734","$1,017,195","$562,778","$823,455","$377,221","$292,996","$255,540","$94,492","$84,397","$12,070,066","$1,592,632","$1,309,126","$2,890,845","$2,283,476","$1,515,513","$3,009,074","$2,634,070","$346,427","$84,122","$49,723","$1,190,082","$194,499","$23,537,447","$2,612,235",,,,,,,,,,,,,"$567,572","$156,052",,,,,,,,
Nanny McPhee Returns (2010),"$1,154,763","$979,232",,"$23,571,491","$3,774,895","$4,402,186","$1,774,751","$1,641,356","$102,682","$1,530,287","$221,716","$357,890","$836,908",,"$537,243","$387,424","$409,170","$73,703","$168,505","$561,898","$407,596","$78,922","$163,702","$54,815","$25,428","$19,673","$29,697",,"$22,131","$24,573",,"$3,231,325",,,"$15,298","$29,775","$929,442","$2,300,140","$636,120",,"$170,857","$591,121","$257,244","$154,912","$45,319","$16,920","$7,354,806",,"$898,229",,"$149,922",,,"$119,385","$26,023",,,"$208,401",,,,,,,,,,,,,,,,,,,,,,,,,
Little Nicholas (2009),"$1,175,268",,,"$11,122","$50,724,899","$2,095,655","$935,187","$1,905,136",,,"$352,425","$2,401,533","$173,024","$1,176,002","$3,578",,,,,,,"$308,532",,,,,"$90,497",,,"$1,755",,"$316,487",,,,,"$758,299","$150,699",,,,"$159,483",,,,"$2,827",,"$29,274",,,"$23,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ip Man 2 (2010),"$346,491",,"$205,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,646",,,,,,,"$5,559,550","$23,275","$79,759","$3,291,610","$196,012","$1,806,856","$3,488,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie St. Cloud (2010),"$259,603","$640,529",,"$2,078,312","$557,514","$2,165,250","$184,289","$202,021",,,"$224,096","$161,739","$125,403",,"$209,606",,,,,"$291,268","$102,606",,,"$46,139","$39,507","$35,211","$69,246","$26,102",,,,"$1,753,590",,,"$12,239",,"$261,730","$1,398,859","$682,233","$234,966","$86,743","$205,540",,"$63,640","$3,802","$8,827","$2,135,908","$40,966","$108,276","$180,765","$92,681","$52,201","$107,745","$163,181","$11,292","$14,402",,,,,,,,,,,,,,,,"$34,247",,,,,,,,,,,
The Rebound (2009),"$327,398","$1,909,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,053,363","$1,969,982","$105,296","$124,134",,"$207,529",,"$104,198","$40,343",,"$882,937",,,"$93,154","$102,241","$120,435","$141,962",,,,,,,"$1,480,902",,,,,,,,,,,,,,,,,,,,,,,
The Expendables (2010),"$2,544,340","$6,849",,"$15,969,695","$13,547,449","$8,211,457","$4,104,395","$2,686,544","$1,096,956","$2,681,429","$1,525,348","$1,666,186","$1,656,368","$1,483,262","$1,687,774","$1,520,584","$1,594,993","$1,063,547","$1,063,359",,"$1,872,131","$615,729","$522,133","$264,494",,"$158,448","$182,323","$128,090","$88,744","$179,503","$103,817","$6,065,276","$376,568","$112,730","$127,083","$263,958","$4,739,155","$5,345,282",,"$1,290,333",,"$454,296","$345,135","$162,597","$20,786","$24,898","$8,356,501","$1,358,280","$799,984","$1,669,534","$1,371,833","$1,101,568","$1,229,496","$2,125,236","$8,611",,,,,"$10,833,013",,,,,,"$31,778,656",,,,,,"$364,331",,,,,,,,,,,
Centurion (2010),"$464,397","$986,847",,"$175,581","$17,800",,,"$105,202",,"$128,917","$206,844",,,"$120,746",,,"$135,438",,,"$98,159","$309,378",,"$66,441",,,"$32,234","$27,595",,"$17,692","$32,383","$11,451","$3,044,730","$57,308",,"$2,188","$12,041","$147,684",,,,"$75,164",,,,,,"$241,436",,"$38,285",,"$153,537","$4,067","$53,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piranha 3D (2010),"$4,785,848","$9,436,745",,"$6,903,929","$6,876,965","$2,183,573","$2,025,594","$1,104,623","$181,406","$1,072,685","$806,638","$1,532,437","$778,259","$614,532","$206,262","$564,137","$293,517","$54,231","$589,901","$336,694","$493,383","$224,219","$69,999","$364,054","$194,508","$201,997","$201,541",,"$18,777","$55,935",,"$1,083,512","$27,515",,,"$51,512","$905,633","$589,805","$379,696","$333,651","$716,661","$494,194",,"$259,019","$17,287","$111,962","$2,250,645","$1,230,354","$201,971","$562,703","$357,605","$719,270","$1,238,639","$2,120,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC Venus (2006),"$16,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Exorcism (2010),"$627,137","$2,079,599",,"$5,874,380","$2,232,773","$999,537","$2,447,364","$279,455",,"$110,991","$202,832","$521,198","$258,764","$363,112","$308,495",,,"$7,190",,,"$276,538",,,,,"$66,200","$17,726",,,,,"$1,026,926",,,,"$8,965","$2,032,160","$3,031,584","$762,737","$1,144,364","$623,256","$497,696","$308,406","$51,885","$11,510","$110,224","$1,206,443",,"$44,016","$335,242","$343,489","$65,193","$120,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The American (2010),"$503,962","$2,977,499",,"$2,170,991","$3,968,991","$3,712,532","$1,482,541","$842,354","$538,679","$1,545,541","$621,279","$401,792","$466,414","$712,112","$518,157","$445,800","$377,767","$149,828","$178,921","$293,888","$200,497","$86,062","$87,651","$160,802","$37,381","$46,340","$49,841","$24,725",,,,"$4,689,425","$99,888",,,"$21,757","$115,508","$382,367","$50,500","$298,734","$25,394","$28,381",,"$21,773","$32,429","$3,850","$1,156,646","$123,734","$190,901",,"$124,741","$15,493","$172,954","$164,654",,,,,,,,"$1,137,318",,,,,,,,,,,,,,,,,,,,,
The Switch (2010),"$480,107","$2,250,508","$27,779,426","$1,029,490","$1,120,493","$1,678,078","$1,499,653","$688,142","$53,734","$562,109",,"$337,222","$405,651","$217,732","$581,883","$217,718","$70,865","$123,816","$283,483","$541,358","$321,988","$116,127","$91,351",,,"$173,680","$71,762","$51,404","$66,057","$38,222","$35,574","$1,271,886","$67,424","$105,211","$30,820","$35,760","$2,017,831","$1,935,601","$447,620","$570,139",,"$274,603",,"$77,431","$38,103","$12,404",,"$141,940",,,"$82,813","$88,159","$93,201","$137,033",,,,,,,,"$558,065",,,,,,,,,,,,,,,,,,,,,
Machete (2010),"$25,366","$2,708,996",,"$301,246","$1,491,302","$2,264,814","$1,359,299","$221,047","$60,408","$962,707","$421,657","$591,627","$570,275","$287,207","$49,357","$114,660","$101,515","$92,699","$255,316","$57,297","$110,888","$180,526","$73,596","$110,661","$7,444","$56,743","$19,144","$49,648","$30,414","$42,758","$47,062","$2,003,454","$95,410","$22,002","$32,993","$31,366","$89,910","$945,321",,"$187,600","$62,317","$80,535",,"$50,706","$8,609","$13,891","$304,337",,"$112,162",,,"$103,878",,,"$57,775",,"$2,568",,"$9,236","$774,060",,"$1,006,701",,,,,,,,,,,,"$119,735","$22,807","$41,123","$33,068","$12,401","$5,898","$2,468",,,
Step Up 3D (2010),"$6,284,146","$12,131,409",,"$11,537,610","$8,701,891","$13,869,503","$9,282,511","$3,574,117",,"$5,020,354","$214,544","$4,633,996","$2,349,174","$2,129,397","$607,674","$593,368","$399,138","$402,144","$481,097","$3,040,681","$1,809,145","$844,477","$729,068","$732,603","$333,928","$267,601","$526,401","$227,845","$237,018","$303,401","$279,294","$2,611,502","$258,583","$398,433","$20,040","$125,848",,"$202,058",,,,,"$606,128",,"$3,615",,"$9,368,208","$2,484,600","$1,215,568","$595,627","$1,781,111","$1,903,317","$1,891,029","$1,503,391","$48,048","$66,766","$16,882",,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Evil: Afterlife (2010),"$12,963,377","$19,729,290",,"$7,492,098","$9,009,612","$16,119,840","$5,253,337","$971,757","$1,965,423","$872,799","$2,388,597","$1,623,327","$2,427,531","$643,025","$1,188,776","$641,177","$584,921","$485,901","$1,738,030","$450,701","$1,128,982","$587,156","$828,587","$538,348","$156,129","$126,609","$195,081","$90,699","$176,573","$188,487","$161,964","$7,800,947","$405,587","$221,284","$58,686","$62,164","$9,488,168","$11,148,133","$2,447,898","$1,392,142","$3,124,133","$1,262,371","$1,353,662","$1,027,886","$161,693","$400,474","$4,440,687","$2,369,036","$494,381","$2,039,599","$1,956,457","$3,415,485","$6,048,031","$3,563,274",,,,"$423,771",,"$55,120,606","$588,583",,,,,"$21,640,678",,,,,,,,"$941,942",,,,,,,,,
22 Bullets (2010),"$861,948","$2,850,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$127,691",,,,,"$16,970",,,,,,"$7,996",,"$57,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triangle (2007),"$12,320",,,$817,"$77,204",,,,,,,,,,"$1,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$701,677",,,"$71,346",,,"$147,677",,,,,,,,,,,,"$3,616,637",,,,,,,,,,,,,,,,,
The Social Network (2010),"$3,269,538","$4,574,676","$96,962,694","$16,876,647","$13,145,055","$9,345,704","$3,758,965","$1,821,072","$1,983,938","$1,376,029","$643,405","$1,355,215","$1,315,082","$983,552","$1,076,086","$1,566,720","$1,384,111","$561,246","$398,008","$415,980","$496,337","$305,518","$175,734","$163,516","$66,759","$232,284","$124,930","$153,204","$115,510","$77,022","$123,464","$6,584,744","$139,787","$124,007","$55,090","$149,883","$5,263,976","$3,239,209","$616,663","$621,292","$636,335","$312,734","$331,704","$140,860","$84,986","$43,052","$12,259,377","$629,366","$1,107,528","$387,794","$851,214","$554,327","$516,336","$356,320","$64,685","$33,610","$7,082","$1,257,065","$34,257","$16,985,483","$366,544","$2,057,773",,,"$1,451,829",,,,,,,,,"$298,199","$84,276","$120,697","$29,866","$24,912","$42,110","$4,830","$55,218",,
The Town (2010),"$666,013","$1,942,326",,"$7,484,217","$8,913,333","$2,633,533","$3,203,649","$1,229,114","$1,394,136","$1,024,973","$454,102",,"$291,641","$925,977","$977,369","$395,524","$832,745","$175,358",,"$414,417","$769,482",,"$191,160","$154,265","$121,332","$87,580","$181,746",,"$27,427","$59,668","$20,315","$5,106,974","$152,305",,"$74,966","$126,288","$814,562","$1,867,154","$701,482","$677,594","$419,746","$243,273","$152,484","$89,141","$43,104","$34,262","$7,385,366","$219,325","$458,233","$411,962","$461,925",,"$365,770",,"$62,677",,"$10,037","$1,173,541",,"$1,855,760",,,,,,,,,,,,,,,,,,,,,,,
Eat Pray Love (2010),"$3,299,364","$4,829,784","$80,574,010","$7,371,485","$5,867,207","$14,267,576","$5,000,639","$1,390,152","$1,424,551","$3,534,067","$1,796,133","$1,895,338","$2,000,100","$1,368,288","$1,993,935","$1,723,878","$1,042,090","$731,034","$728,383","$1,826,482","$698,630","$641,318","$707,658","$443,160","$245,414","$266,628","$229,026","$386,410","$262,137","$246,562","$240,662","$6,698,018","$252,059","$279,186","$158,065","$118,599","$10,419,470","$2,856,933","$570,588","$1,367,393","$972,593","$346,983","$437,918","$208,597","$230,175","$75,315","$11,499,164","$699,360","$1,397,650","$558,434","$748,986","$198,402","$1,780,478","$440,613","$64,210","$60,422","$22,446","$1,466,614","$88,178","$8,899,304","$1,530,403","$2,352,436",,,,,,,,,,,,"$450,406","$133,735",,,,"$121,413",,,,
Flipped (2010),"$2,569,605",,"$1,755,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubble (2010),"$112,319",,"$52,522,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$135,666",,,,,,,,,,"$2,047,542",,$429,,,"$18,247",,$307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wall Street: Money Never Sleeps (2010),"$1,580,165","$2,175,139",,"$6,392,472","$4,906,151","$5,679,469","$4,137,171","$1,269,566","$2,515,470","$1,328,939","$457,501","$640,659","$875,756","$317,005","$875,613","$2,061,342","$1,430,849","$702,769","$274,332","$409,571","$503,746","$392,169","$301,780","$387,476","$78,785","$53,471","$104,381","$51,037","$88,951","$30,829","$91,770","$6,789,674","$233,359","$93,572",,"$52,946","$2,416,343","$2,473,179","$254,351","$533,972","$464,834","$355,638","$280,926","$130,626","$73,336","$49,496","$6,009,999","$1,085,152","$565,089","$439,806","$916,324","$313,931","$833,306","$434,317","$25,282","$50,151","$13,663","$290,125","$39,761","$6,357,015",,"$1,609,424",,,,"$7,147,135",,,,,,"$89,529",,,,,,,,,,,
Legend of the Guardians: The Owls of Ga'Hoole (2010),"$2,286,301","$8,623,362",,"$5,282,850","$5,617,840","$3,782,806","$2,177,011","$1,440,421","$672,463","$1,760,251","$688,404","$860,041","$450,589","$171,367","$445,172",,"$475,281","$162,804","$896,520","$470,982","$362,769","$569,276","$318,202","$398,396","$21,432","$69,983","$26,412","$46,889",,"$133,181",,"$3,527,098",,"$249,842","$25,132","$61,052","$7,309,044","$6,685,593","$1,785,409","$1,034,469","$2,259,877","$1,330,099","$1,246,874","$995,942","$46,565","$255,935","$4,669,462","$454,735","$384,067","$1,483,518","$584,546","$1,146,487","$331,879","$807,586","$17,325",,"$6,465","$571,479",,"$2,052,597","$632,062","$650,262",,,,"$4,670,433",,,,,,,,,,,,,,,,,
Cats & Dogs: The Revenge of Kitty Galore (2010),"$717,282","$6,337,744",,"$7,570,467","$2,773,879","$4,458,167","$1,833,580","$1,422,561","$750,803","$1,420,441","$730,574","$599,477","$1,162,088","$603,678","$387,939","$255,493","$605,538","$560,269","$515,498","$595,376","$697,588","$626,495","$434,404","$266,459","$63,244","$99,111","$109,120","$64,045","$85,402","$232,984","$62,684","$2,710,677","$312,019","$281,772","$34,914","$61,502","$3,660,233","$3,802,030","$1,686,812","$1,415,974","$2,094,843","$1,304,761","$882,509","$877,175","$189,716","$273,148","$6,655,289","$795,398","$833,520","$497,213","$612,917","$484,024","$217,122","$721,521","$44,893","$27,496","$15,519","$712,280",,"$801,597","$632,353",,,,,,,,,,,"$188,591",,,,,,,,,,,
Ricky (2009),"$26,376","$67,092","$3,457",,"$1,953,118","$45,991","$170,496","$28,645",,,"$19,987",,"$4,219",,,,,,,,,,,,,,,,,$315,,"$42,899",,,,,,"$27,003",,"$5,453",,"$15,673",,,,"$2,129",,"$36,196",,,,,"$8,987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let Me In (2010),"$989,342","$1,346,716",,"$2,236,692","$899,401","$71,594","$1,857,392","$129,055","$84,534",,"$88,787","$446,406",,"$159,405","$69,593",,,,"$41,894","$14,058","$125,772",,,,"$22,052",,"$15,715",,"$8,743","$17,457","$8,120","$1,216,232",,,"$17,049","$17,465","$231,365","$1,316,517",,,,"$108,449",,,,"$23,361","$918,014","$1,074,556","$20,436","$93,395","$262,086","$60,979","$65,487","$209,462",,,,,,"$691,076",,,,,,,,,,,,,,,,,,,,,,,
Frozen (2010),,"$709,283",,,,,"$837,592",,,,"$169,613",,,,,,,,"$73,056",,"$95,389",,,,,,,"$21,212",,,,,,,,,"$251,715","$398,162","$239,962",,,"$281,406",,"$47,518",,"$24,613",,"$202,585",,"$44,897","$67,933","$6,702",$338,"$125,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Card Player (2003),,"$2,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repo Men (2010),,"$2,184,309",,"$280,925","$81,002","$345,057",,"$37,285",,"$113,350",,,,,,,,,,,"$326,930",,,,"$23,561","$19,501","$15,369",,,,,"$56,271",,,,,,"$60,674",,,,,,,,,,,,,"$79,209",,,"$214,627",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case 39 (2009),,"$2,301,073",,"$277,246",,"$263,811",,"$377,753",,"$249,482",,,,,,,,,"$224,840",,"$280,239",,,"$53,820","$94,084",,"$84,008",,,,,"$3,837,870",,,,,"$1,046,012","$3,308,274","$265,440","$273,176","$154,747","$233,664","$88,757","$92,708","$30,616","$21,138","$277,030","$278,066","$45,732","$66,838","$241,196",,"$202,457","$139,618",,,,,,,"$119,057",,,,,,,,,,,,,,,,,,,,,,
Hot Tub Time Machine (2010),,"$1,610,890","$50,287,556","$4,161,389","$14,030","$190,666","$6,184","$139,160",,,,"$411,528",,"$1,456,224","$54,746",,"$91,878","$46,174","$37,270","$49,034","$51,856","$74,683",,"$153,513",,"$41,334","$16,434",,"$52,819","$20,875","$32,902","$744,973",,,,"$109,455","$631,790","$255,621",,"$118,847",,"$29,958","$19,464",,,"$14,503","$3,295,878","$118,839","$200,676","$33,009","$117,101",,"$88,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zift (2008),,"$25,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bone Man (2009),,"$12,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scar (2007),,"$1,599,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$129,576",,,,,"$45,531",,"$136,583",,"$22,878",,"$185,147",,,,"$59,577","$16,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micmacs (2009),,"$197,945",,"$278,203","$11,055,298","$1,362,242","$322,600","$400,517","$211,699","$245,221",,"$137,281","$16,280","$56,176","$1,617","$33,050","$35,390","$4,162",,,,"$9,038",,"$7,603",,,,,,,,"$319,945",,,,,,"$28,061",,,"$53,297",,,,"$4,389",,"$820,923","$39,907","$61,769",,"$15,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Night (2010),,"$3,327,632",,"$5,518,097","$3,368,596","$3,325,181","$1,815,224","$869,475","$355,510","$1,240,840","$481,733","$188,569","$628,458","$362,746","$638,877","$327,983","$290,233","$385,720",,"$807,654","$506,879",,"$322,045","$186,135","$87,962",,"$84,660",,"$75,972","$53,920","$56,578","$1,077,601","$73,920",,"$26,788","$65,687","$3,802,943","$2,925,693","$1,299,140","$369,744",,"$426,137","$127,418","$211,332","$137,952","$44,887","$7,543,049","$683,534","$687,113","$483,275","$852,179","$236,723","$247,180","$499,141","$59,555","$43,026","$24,284","$671,771","$60,058",,"$394,137",,,,,,,,,,,,,,,,,,,,,,
Camille (2008),,"$496,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$123,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadelo & Filemon: The Big Adventure (2003),,"$12,112",,,,,"$19,322",,,,,,"$95,331",,,,,,,,,"$19,914",,,,,,,,,,"$23,888,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Rainer (2007),,"$43,094",,,,"$1,463,120",,,,"$2,745",,,"$196,655",,,,,,,,,,,,,,,,,,,"$71,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$97,151",,,,,,,,,,,,,,,,,,,,,
Disgrace (2008),,"$29,130",,,"$103,943","$259,627",,"$25,682",,"$249,981",,,"$51,567",,"$14,044",,"$12,358",,,"$68,924",,,,,,,,,,,,"$400,184",,,,,,"$2,316",,,,,,,,,"$908,867",,"$95,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dogtooth (2009),,"$24,538","$110,248",,"$36,283",,"$256,031",,,,"$7,367",,,"$49,082","$12,951",,"$28,581",,,,,,,,,,,,,,,"$163,996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
