Movie Name,Russia/CIS,Singapore,Mexico,Thailand,China,Domestic,Hong Kong,Japan,South Korea,Australia,France,Germany,Spain,Belgium,Italy,Finland,Austria,Portugal,Türkiye,Serbia and Montenegro,South Africa,Croatia,Brazil,Argentina,Uruguay,United Kingdom,Poland,Iceland,Israel,Greece,Norway,Netherlands,Ukraine,Denmark,Sweden,Czech Republic,Nigeria,Bulgaria,Slovakia,Slovenia,Ghana,Venezuela,Peru,Colombia,Ecuador,Chile,New Zealand,Philippines,United Arab Emirates,Hungary,Egypt,Lebanon,East Africa,Bolivia,Indonesia,Malaysia,India,Taiwan,Bahrain,Lithuania,Jordan,Vietnam,Romania,Switzerland
The Hangover Part III (2013),"$17,363,085","$1,589,827","$5,914,416","$396,065",,,"$1,545,621","$2,719,691",,"$19,150,236","$16,412,846","$31,163,448","$7,023,941","$3,012,616","$16,416,593","$1,523,526","$5,235,183","$1,843,795","$2,319,916","$259,848","$1,246,956","$499,130","$16,311,834","$4,896,345","$591,330","$29,519,798","$3,040,209","$201,464","$1,581,123","$1,728,999","$3,543,335","$6,600,950","$1,790,834","$2,180,173","$3,308,649","$694,123",,"$344,351","$742,838","$432,432",,"$3,149,588","$1,041,058","$2,167,913","$610,534","$1,132,081","$2,031,192","$1,164,747","$2,121,113","$1,477,589","$281,709","$349,200","$100,205","$213,861","$455,513","$583,512","$2,057,313",,,,,,,
Fast & Furious 6 (2013),"$34,267,107","$4,719,607","$35,860,202","$7,039,653","$66,490,000","$238,679,850","$3,125,668","$20,048,392","$11,621,107","$24,693,368","$24,998,379","$29,915,431","$12,652,861","$4,614,190","$16,681,782","$1,654,743","$4,511,030","$3,283,020","$5,975,431","$96,412","$3,780,718","$362,642","$23,027,484","$13,754,082","$790,805","$38,278,524","$2,705,157","$216,451","$4,633,922","$1,398,105","$4,565,526","$6,859,576","$2,562,239","$3,477,068","$4,431,743","$1,174,364","$187,041","$1,182,922","$457,353","$483,274",,"$8,140,168","$4,242,220","$7,847,291","$1,830,340","$5,136,230","$3,358,287","$5,916,627","$5,803,034","$917,252","$775,811","$787,780","$249,320","$701,831","$9,134,211","$9,867,797","$10,197,500",,,,,,,
Epic (2013),"$14,836,929","$1,212,501","$10,063,340","$375,359","$8,030,000",,"$899,273",,"$6,027,097","$7,597,215","$10,211,348","$10,650,748","$5,707,730","$1,506,178","$3,468,815","$649,912","$1,339,663","$805,338","$758,935","$129,077","$1,368,679","$238,363","$8,093,616","$2,824,008","$246,771","$20,981,796","$2,392,214","$115,830","$630,704","$187,399","$1,650,752","$1,674,477","$1,030,053","$887,354","$1,693,636","$567,529",,"$329,620","$374,218","$148,918",,"$5,475,886","$1,617,831","$2,868,191","$1,129,555","$2,092,471","$1,356,985","$1,509,835","$1,201,481","$578,119","$142,741","$82,588","$44,154","$303,743",,"$2,253,281","$1,138,513",,"$148,855",,,,,
Frances Ha (2012),"$58,475",,,,,,,,"$495,815","$392,537","$727,441","$862,085","$174,057","$57,668",,"$49,224","$133,891","$49,841","$17,549",,,,"$325,253",,,"$1,125,410","$113,146",$726,,"$89,243",,"$85,391",,,"$105,541",,,,,,,,,,,,"$86,499",,,,,,,,,,,,,,,,,
The Parade (2011),"$11,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After Earth (2013),"$17,022,156","$1,378,482","$13,777,293","$1,368,312","$34,480,000",,"$1,534,545","$9,316,897","$3,416,203","$3,726,634","$10,468,418","$5,391,608","$9,151,770","$1,767,517","$5,848,559","$488,093","$641,996","$602,581","$997,230","$36,883","$1,039,656","$97,025","$6,383,199","$1,823,351","$315,371","$9,737,192","$1,256,026","$53,897","$434,484","$431,995","$1,189,625","$2,158,663","$1,839,069","$858,590","$1,788,727","$160,156","$239,079","$187,962","$93,363","$61,987","$26,383","$2,812,773","$1,967,524","$2,740,106","$689,907","$1,609,131","$842,092","$1,917,924","$1,512,220","$542,747","$211,606","$90,480","$84,009","$389,382",,"$3,431,925","$1,780,190",,"$219,610",,,,,
Now You See Me (2013),"$15,079","$2,545,843","$13,897,322","$2,925,094","$22,950,000",,"$3,584,939","$3,967,994","$17,055,726","$16,163,376","$25,720,414","$4,844,879","$14,011,019","$3,096,700","$5,839,709","$1,411,703","$1,130,598","$1,632,662","$950,724","$109,775","$525,534","$466,656","$7,073,407","$1,563,321","$317,743","$16,823,365","$3,071,984","$137,954",,"$710,589","$461,272","$4,167,123",,"$1,505,914","$1,430,788","$589,774",,"$455,691","$252,190","$117,655",,"$592,100","$874,185","$2,599,673","$252,389","$878,920","$1,855,663","$442,840","$2,287,826","$969,067","$353,292","$330,573","$13,969","$19,053",,"$1,495,967",,,,,,,,
Lovelace (2013),"$396,749","$32,354","$90,681","$15,464",,,"$52,155",,"$78,965","$57,813","$25,966",,,"$5,638",,,,"$32,335",,,"$2,968","$7,636","$68,938",,,"$307,346",,,,,,,"$11,837",,,"$18,209",,,,,,,,,,,,"$14,705",,,,"$9,242",,,,,,,,,,,,
Special Forces (2011),"$618,878","$183,015",,"$7,048",,,,,,,"$1,664,584",,,"$19,276","$277,094",,,"$8,468",,,,,,,,"$1,265","$277,054",,,,,,,,,"$26,236",,,"$6,813",,,,,,,,,"$96,618","$146,384",,,,,,,"$81,156",,,,,,,,
Man of Steel (2013),"$10,424,135","$5,020,889","$21,127,388","$3,165,288","$63,440,000",,"$4,296,428","$8,993,829","$14,993,036","$22,342,258","$20,914,412","$9,806,671","$10,029,587","$2,158,005","$6,102,107","$895,070","$1,315,939","$884,664","$1,909,313","$113,762","$1,873,658","$359,095","$16,006,429","$5,118,015","$186,529","$46,198,857","$1,210,265","$255,567","$1,216,464","$1,102,332","$3,045,792","$3,054,027","$1,039,036","$2,412,441","$3,696,064","$603,947","$172,276","$222,756","$255,692","$120,800",,"$4,215,687","$2,595,643","$5,669,834","$2,158,807","$2,753,006","$2,818,528","$8,927,595","$4,296,989","$611,768","$615,246","$417,625","$298,222","$563,656",,"$6,351,839","$6,329,491",,,,,,,
The Kings of Summer (2013),"$4,252",,,"$15,716",,,,,,,,,"$48,608",,,,,,,,,,,,,"$24,189","$93,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Big Wedding (2013),"$1,044,563","$211,358","$1,410,469","$40,851",,,"$369,160",,"$132,326","$4,560,978","$1,190,937","$1,043,766","$3,126,454","$338,931","$833,640","$265,421","$276,677","$258,213",,"$34,885","$507,992","$157,616","$952,800","$383,847","$61,810","$1,981,441","$666,909","$52,636",,"$316,073","$190,524","$1,205,559","$180,108","$91,230",,"$121,372","$21,079","$69,950","$73,604","$67,030",,"$783,409","$352,971","$105,859","$9,870","$74,092",,"$72,228","$477,012","$320,526",,"$245,157",,,,"$21,456",,,,,,,,
The Purge (2013),"$1,149,068","$371,643","$764,889","$254,062",,,"$72,892",,"$722,520",,"$2,933,081","$2,992,582","$1,894,336","$382,020","$1,422,389","$113,881","$354,487",,"$249,210","$6,665","$35,439",,"$198,209","$591,733","$25,348","$5,333,028","$293,312","$17,147","$60,208",,"$19,356","$612,101",,"$162,766","$318,080","$110,800","$2,845",,"$49,523","$23,597",,"$630,843","$195,818","$269,264","$61,975","$103,474",,"$180,075","$429,148","$19,920","$57,404","$31,320",,"$20,896",,"$321,520",,,,,,,,
After Him (2007),"$33,092",,,,,,,,,"$60,443",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bling Ring (2013),"$469,955","$86,834","$957,089","$90,026",,,"$53,928",,,"$68,751","$2,798,153","$1,303,099","$157,022","$342,521","$4,112,052","$372,076","$214,479","$156,075","$27,589",,"$28,430","$27,111","$623,885","$91,514","$6,007","$937,497","$252,793","$19,435",,,"$191,131","$170,089","$10,490",,"$360,033","$38,587",,"$28,060","$7,224","$21,449",,,,,,,,"$26,006","$101,487",,,"$48,967",,,,,,,,,,,,
Monsters University (2013),"$20,647,071","$2,661,042","$37,608,021","$1,467,052","$33,720,000","$268,492,764","$9,977,958","$90,141,508","$5,411,358","$21,747,067","$17,835,364","$13,725,624","$14,627,988","$2,361,724","$11,916,082","$1,920,321","$2,049,943","$1,822,562","$1,852,665","$83,829","$1,789,814","$158,823","$16,549,029","$23,556,117","$1,094,940","$47,166,338","$3,372,349","$303,008","$2,171,349","$795,007","$2,651,123","$2,486,483","$1,819,964","$2,348,460","$3,979,990","$1,435,278",,"$481,767","$589,752","$158,635",,"$8,724,100","$3,318,196","$9,828,890","$2,498,089","$8,179,562","$2,414,236","$1,831,386","$2,884,219","$990,449","$357,218","$346,650","$34,173","$943,654",,"$2,250,989","$310,404",,,"$226,268",,,,
Oblivion Island: Haruka and the Magic Mirror (2009),"$20,323",,,,,,,"$3,130,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maniac (2012),"$980,971",,,,,,,,,,"$906,305","$431,401",$131,,,,"$76,798",,"$68,118",,,,,,,"$117,911",,,,,,,,,,,,,"$18,559",,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Rim (2013),"$20,628,123","$3,874,840","$16,115,369","$3,776,120","$111,940,000",,"$4,088,871","$14,503,917","$18,186,611","$7,523,232","$8,874,048","$6,402,830","$3,727,442","$1,111,443","$3,839,969","$474,988","$823,455","$448,460","$898,277","$62,928","$574,691","$168,494","$6,324,601","$3,985,564","$94,764","$12,785,909","$980,584","$115,423","$264,936","$417,328","$978,525","$1,914,070","$2,186,270","$980,471","$1,621,801","$524,647","$14,699","$203,722","$209,348","$51,060",,"$2,850,594","$1,880,249","$2,283,295","$958,789","$2,240,162","$1,673,202","$3,792,326","$1,247,494","$600,883","$93,657","$152,713","$101,161","$365,547",,"$5,069,216","$1,706,705",,,,,,,
The Best Offer (2013),"$1,023,453","$11,216","$430,620",,,"$100,035",,,"$500,220","$1,664,478",,"$165,055","$2,371,645","$55,399","$12,021,662",,$231,"$24,072",,"$21,958",,,"$267,695","$349,060","$51,764",,"$392,587",,"$552,711","$447,598",,,,,,"$88,519",,"$46,673","$6,573","$2,627",,,,"$92,646",,,"$209,540",,"$11,562",,,"$10,104",,,,,,,,,,,,
World War Z (2013),"$24,831,147","$3,468,560","$23,481,670","$3,380,000",,"$202,807,711","$5,491,725","$19,210,592","$31,486,070","$16,421,768","$21,917,296","$18,076,871","$16,291,919","$2,953,168","$6,519,137","$1,028,176","$2,052,689","$1,721,952","$4,232,417","$146,667","$1,077,737","$267,952","$14,733,482","$8,451,740","$530,422","$22,009,608","$2,256,289","$214,257","$953,376","$800,371","$3,102,386","$3,618,999","$2,361,184","$1,808,538","$4,409,274","$673,954","$98,446","$537,895","$262,402","$147,489",,"$3,644,551","$4,357,170","$4,071,576","$913,238","$3,633,672","$2,242,206","$4,779,601","$3,717,040","$840,569","$302,198","$421,471","$119,148","$711,149",,"$5,071,487","$2,988,839",,,,,,,
Elysium (2013),"$15,806,340","$1,537,579","$5,753,147","$1,789,196","$25,690,000",,"$1,112,105","$7,648,083","$8,252,809","$10,925,421","$13,329,272","$10,196,886","$10,793,195","$1,898,846","$6,378,204","$855,355","$1,278,827","$1,064,287","$1,696,097","$79,649","$659,986","$241,839","$9,114,746","$1,553,039","$94,719","$14,040,874","$1,923,775","$92,822","$755,534","$766,634","$1,318,698","$2,674,852","$1,739,291","$1,101,324","$2,935,472","$642,002","$223,304","$258,037","$211,264","$85,221","$14,661","$1,694,849","$1,332,621","$1,896,574","$384,320","$1,209,799","$1,471,163","$1,299,669","$585,289","$753,655","$41,235","$249,656","$82,717","$244,670",,"$2,580,127","$628,121",,"$66,369",,,,,
Sign 'o' the Times (1987),$900,,,,,"$3,000,073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Despicable Me 2 (2013),"$35,110,025","$5,650,376","$47,702,364","$2,311,710","$52,980,000",,"$4,202,701","$23,984,758","$6,109,051","$32,712,318","$40,876,376","$38,318,983","$17,553,152","$5,186,485","$21,587,196","$3,209,193","$4,501,857","$1,694,745","$3,923,958","$197,634","$4,038,949","$351,252","$35,538,035","$2,830,466","$1,005,997","$72,278,042","$3,142,004","$305,639","$2,995,930","$1,825,257","$4,064,797","$10,669,906","$1,983,331","$3,341,768","$6,000,041","$1,775,870","$39,649","$713,955","$778,817","$437,596",,"$10,935,072","$4,102,065","$4,830,551","$1,625,541","$5,164,930","$5,515,429","$5,327,332","$3,091,366","$1,832,078","$162,281","$806,965","$65,290","$983,032",,"$4,880,635","$891,916",,,"$659,636",,,,
White House Down (2013),"$4,143,731","$1,587,186","$5,105,548","$1,812,322","$28,470,000",,"$969,873","$9,999,789","$3,542,825","$6,700,440","$4,825,388","$12,786,020","$3,556,915","$1,028,998","$1,930,783","$290,709","$958,635","$393,539","$389,424","$21,492","$1,195,576","$54,006","$3,529,001","$587,524","$59,965","$7,066,280","$249,407","$53,306","$867,268","$443,466","$1,287,532","$1,968,055","$516,493","$881,205","$1,029,176","$103,205","$389,783","$109,387","$61,601","$32,344","$26,070","$1,795,483","$1,143,294","$918,394","$220,706","$600,590","$823,407","$1,349,975","$2,214,750","$256,522","$136,369","$355,761","$100,032","$98,813",,"$2,384,226","$880,942",,"$302,160",,,,,
The World's End (2013),"$566,001","$96,367","$32,250","$14,694",,"$26,004,851",,,,"$2,198,984","$390,982","$1,160,511","$43,172",,"$231,946","$66,431","$187,771",,,,,,,,,"$13,356,342",,,,,,,,,,"$17,242",,,,"$10,462",,,,,,,"$664,895",,"$138,810",,,"$15,889",,,,,,,,,,,,
Redemption (2013),"$1,378,933","$45,076","$279,375","$137,244","$5,190,000",,,,,,"$1,225,423",,"$628,224","$169,998","$840,390",,,"$92,421",,,"$233,866","$10,506",,,,"$595,736",,"$19,034",,,,"$214,209","$220,031",,,"$8,800","$11,426","$131,037",,,,,,,,,,"$42,872","$607,563","$165,344","$64,483","$37,279",,,,"$284,944",,,,,,,,
The Heat (2013),"$4,905,113","$280,188","$4,567,663","$43,709",,,"$586,619",,,"$13,429,466","$2,104,327","$5,089,964","$518,951","$1,488,553",,"$279,729","$1,049,591","$474,997","$159,305","$56,751","$586,775","$125,100","$3,552,393","$339,110","$82,193","$11,222,329","$430,399","$154,836","$473,510",,"$581,284","$2,651,807","$535,943","$534,945","$1,655,311","$73,156","$156,038","$105,202","$57,281","$88,960",,"$1,289,222","$606,128","$577,966","$175,299","$330,539","$1,602,826","$183,466","$1,063,742","$584,281","$58,567","$413,487","$33,153","$45,742",,"$250,934",,,"$314,234",,,,,
May I Kill U? (2012),"$11,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lone Ranger (2013),"$15,747,109","$988,584","$10,034,798","$910,410","$12,940,000",,"$1,105,442","$20,676,296","$2,322,590","$9,593,341","$10,264,980","$10,803,543","$8,126,397","$1,365,332","$5,097,256","$1,362,743","$1,729,867","$840,287","$1,564,733","$44,825","$311,473","$72,632","$4,157,228","$6,487,228","$248,303","$7,109,260","$1,496,203","$119,637","$817,337","$845,852","$1,706,494","$3,196,615","$1,474,173","$1,517,283","$2,801,191","$494,156",,"$334,781","$100,741","$92,655",,"$2,557,367","$1,572,388","$1,658,300","$805,117","$1,135,010","$1,214,205","$627,578","$1,174,592","$263,119","$71,347","$101,856","$33,192","$244,637",,"$2,077,406","$891,967",,,,,,,
Happiness Never Comes Alone (2012),"$875,892",,,"$2,543",,,"$37,331",,,"$327,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,571",,,,,,,,,,,,,,,,,,,,
V/H/S/2 (2013),"$385,871","$3,121",,,,,,,,,,,,,,,,,"$2,316","$5,402",,,,"$146,054",,,,,,,,,,,,,,,,,,,"$103,573",,$604,"$87,388",,,"$40,103",,,,,"$9,309",,,,,,,,,,
Inadequate People (2010),"$621,262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.I.P.D. (2013),"$13,198,859","$976,755","$1,075,984","$1,302,970",,,"$788,238","$1,335,979","$481,065","$1,086,899","$2,117,952","$2,257,156","$1,456,279","$277,274","$77,181",,"$331,505","$219,560","$612,128","$8,202","$340,094","$51,260","$1,289,629","$236,852","$8,506","$2,244,840","$380,181","$41,791","$315,690",,"$245,659",,"$1,398,237",,,"$170,861","$18,593","$209,172","$44,435","$34,241",,,"$594,604",,,,,"$478,801","$884,762","$119,770","$25,137","$52,321","$5,380","$114,209",,"$2,458,408","$68,071",,,,,,,
Joker (2012),"$3,788",,,,,"$169,181",,,,"$45,461",,,,,,,,,,,,,,,,"$230,579",,,,,,,,,,,,,,,,,,,,,"$22,630",,,,,,,,,"$22,440","$5,000,817",,,,,,,
