Movie Name,Russia/CIS,Singapore,Mexico,Thailand,China,Domestic,Hong Kong,Japan,South Korea,Australia,France,Germany,Spain,Belgium,Italy,Finland,Austria,Portugal,Türkiye,Serbia and Montenegro,South Africa,Croatia,Brazil,Argentina,Uruguay,United Kingdom,Poland,Iceland,Israel,Greece,Norway,Netherlands,Ukraine,Denmark,Sweden,Czech Republic,Nigeria,Bulgaria,Slovakia,Slovenia,Ghana,Venezuela,Peru,Colombia,Ecuador,Chile,New Zealand,Philippines,United Arab Emirates,Hungary,Egypt,Lebanon,East Africa,Bolivia,Indonesia,Malaysia,India,Taiwan,Bahrain,Lithuania,Jordan,Vietnam,Romania,Switzerland
The Conjuring (2013),"$10,044,616","$2,164,452","$18,948,011","$602,480",,"$137,446,368","$993,194",,"$15,213,635","$7,135,417","$9,877,497","$4,620,218","$7,966,735","$3,020,858","$4,714,172","$452,463","$1,048,011","$429,876","$893,912","$55,591","$448,703","$96,935","$7,819,451","$1,039,470","$236,769","$16,208,592","$1,777,532","$148,656","$442,234","$1,258,341","$1,499,106","$1,383,781","$532,571","$626,034","$925,497","$573,751","$20,851","$85,296","$179,443","$24,649",,"$3,618,768","$2,304,727","$3,832,226","$1,152,572","$4,503,022","$1,221,400","$1,348,452","$1,097,786","$304,912","$446,047","$131,643","$6,044","$368,327",,"$3,736,613","$3,794,888",,,,,"$69,026",,
Turbo (2013),"$13,942,780","$869,441","$10,176,921","$528,540","$18,140,000",,"$710,742",,"$11,686,270","$11,821,739","$23,217,206","$10,813,425","$7,428,832","$4,220,602","$5,989,191","$939,791","$1,578,234","$1,193,611","$871,685","$117,020","$877,032","$297,952","$5,302,514","$3,872,737","$263,872","$19,076,286","$2,197,175","$98,748","$1,696,510","$311,044","$1,870,407","$4,513,488","$640,715","$1,357,211","$2,761,789","$748,695","$91,126","$258,692","$584,084","$218,151",,"$5,303,110","$1,384,458","$1,688,563","$767,925","$3,203,630","$1,628,422","$922,553","$1,045,216","$887,536","$38,761","$78,617","$21,844","$185,667",,"$1,072,475","$268,863",,"$180,124","$264,824",,,,
The Wolverine (2013),"$22,277,049","$3,885,056","$17,021,460","$2,711,548","$40,570,000",,"$3,177,864","$7,991,915","$6,967,413","$14,391,290","$18,286,178","$11,662,454","$6,062,081","$2,371,828","$6,545,350","$672,122","$1,428,061","$1,239,927","$2,570,306","$139,219","$1,280,590","$161,011","$21,412,596","$4,122,643","$158,626","$21,087,118","$868,859","$129,206","$1,016,336","$904,403","$1,717,885","$2,313,537","$1,251,853","$1,319,246","$2,413,154","$582,791","$407,844","$379,034","$205,283","$63,525",,"$3,125,594","$2,675,287","$4,391,820","$1,404,250","$2,127,415","$1,914,274","$3,960,367","$2,036,679","$633,250","$163,237","$296,388","$118,152","$416,358",,"$3,832,033","$4,634,468",,"$303,469",,,,,
RED 2 (2013),"$7,693,665","$1,099,679","$903,803","$791,170","$8,980,000",,"$564,956","$7,426,857","$18,883,223","$3,990,205","$5,386,125","$4,313,800","$1,829,032","$403,106","$2,939,329","$246,259","$878,175","$342,951","$695,951","$23,394","$469,699","$110,608","$2,406,557","$401,800","$36,813","$4,398,563","$524,114","$95,217",,"$274,386","$278,870","$1,271,003",,"$395,808","$107,000","$272,110","$22,793","$227,203","$57,229","$48,022",,"$241,626","$372,336","$229,098","$31,979","$112,822","$932,970","$367,154","$1,492,812","$396,962","$47,853","$358,423","$24,955","$22,581",,"$956,398",,,,,,,,
2 Guns (2013),"$4,068,079","$574,616","$1,418,768","$429,717",,,"$271,725","$1,827,612","$46,404","$4,657,199","$2,935,795","$5,869,674","$3,110,400","$890,618","$2,812,595","$297,870","$559,681","$363,382","$257,763","$40,326","$522,516","$112,947","$954,417","$345,523","$22,541","$6,903,295","$368,369","$273,924","$606,972","$225,343","$663,450","$2,246,994","$561,322","$605,102","$641,799","$48,110","$270,161","$167,127","$56,485","$51,096","$20,978",,"$277,461",,"$52,363","$38,121","$439,797","$211,615","$1,674,147","$289,577","$83,629","$289,087","$77,889","$4,001",,"$958,506","$169,004",,,,,,,
The Last Days (2013),"$1,994",,,,"$1,290,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Jasmine (2013),"$1,013,190","$122,322","$1,264,968","$23,784",,,"$238,323","$1,708,467","$369,174","$5,537,107","$12,667,080","$4,884,773","$6,299,612","$1,001,558","$5,106,120","$473,267","$985,434","$478,994","$482,813","$25,867","$176,214","$70,914","$2,397,683","$2,176,995","$210,350","$8,367,912","$2,274,283","$45,055",,"$1,439,152","$282,990","$1,906,867",,"$1,049,419","$975,615","$311,018","$3,037","$93,410","$50,779","$42,619",,"$74,825","$133,014",,"$7,159","$257,981","$549,377",,,"$110,638",,,,"$9,164",,,,,,,,,,
The Great Beauty (2013),"$81,460",,"$232,805",,,"$2,852,400","$38,226",,,"$948,315","$314,467","$841,583","$2,227,594","$422,272","$9,535,868","$225,617","$87,381","$62,891","$24,781",,"$37,135",,"$1,284,233","$496,347","$51,979","$1,516,117","$249,772",,,"$143,287",,"$2,706,032",,,"$333,783","$119,779",,,,,,,,,,,"$106,967",,,,,,,,,,,,,"$70,961",,,,
Percy Jackson: Sea of Monsters (2013),"$12,642,542","$2,203,712","$6,506,783","$2,315,703",,,"$1,962,554","$4,593,659","$3,468,826","$6,894,982","$13,465,171","$6,595,631","$2,748,608","$1,761,266","$4,149,811","$257,921","$767,615","$285,265","$1,012,604","$27,813","$549,480","$34,260","$11,241,416","$1,535,777","$114,614","$11,375,595","$768,468","$41,727","$437,951","$169,626","$653,674","$1,326,070","$782,654","$294,851","$762,256","$413,982","$225,447","$232,483","$74,419",,,"$2,720,169","$1,463,979","$2,073,676","$826,158","$1,188,701","$1,219,106","$3,224,079","$693,275","$275,650",,"$123,848","$47,521","$266,780",,"$3,440,647","$509,503",,"$71,581",,,,,
The Smurfs 2 (2013),"$12,502,689","$1,376,470","$12,002,955","$758,159","$22,060,000",,"$1,268,683","$449,720","$5,374,219","$12,274,956","$19,434,414","$23,140,762","$13,290,048","$6,026,331","$9,705,956","$1,511,509","$3,501,020","$1,817,882","$5,885,941","$552,934","$2,161,365","$1,266,600","$14,552,378","$4,181,540","$542,223","$18,884,203","$4,810,442","$216,350","$4,944,203","$1,997,836","$2,679,796","$6,969,340","$900,310","$2,755,231","$3,708,500","$2,173,033","$140,338","$570,627","$961,660","$778,203","$16,075","$6,236,042","$4,765,888","$5,244,264","$1,883,820","$2,368,930","$1,782,160","$850,131","$2,665,951","$1,219,425","$160,873","$790,887","$59,288","$612,049",,"$1,784,991","$1,050,395",,"$563,436","$272,337",,,,
We're the Millers (2013),"$18,027,113","$1,126,128","$3,445,074",,,,"$595,252",,,"$8,838,588","$4,141,928","$12,506,490","$3,155,242","$2,722,973","$5,806,736","$1,367,189","$2,220,872","$515,658","$536,839","$160,865","$651,936","$251,869","$2,863,099","$617,791","$122,463","$13,433,112","$2,046,298","$236,971","$2,779,856","$1,118,721","$1,229,179","$3,812,770","$1,576,684","$1,297,854","$1,334,137","$536,811","$126,805","$249,257","$520,814","$191,516",,"$1,459,544","$852,166","$1,057,888","$643,581","$442,943","$981,684","$133,435","$1,176,697","$1,576,022","$115,620","$397,008","$20,661","$127,713",,"$322,042","$394,828",,,,,,,
Grown Ups 2 (2013),"$9,610,456","$680,855","$12,371,239","$146,728",,,"$148,720",,,"$10,303,594","$865,399","$13,033,082","$5,059,177","$728,827","$245,845",,"$2,663,074","$543,827","$443,998","$64,038","$1,620,015","$84,821","$7,309,801","$1,283,234","$475,336","$13,566,641","$723,167","$120,162","$2,297,949","$275,451","$974,783","$1,838,839","$1,242,231","$941,646","$1,567,639","$245,815","$68,870","$150,813","$182,879","$232,185","$7,506","$4,286,756","$1,562,818","$1,790,170","$657,605","$763,847","$796,639","$307,572","$747,835","$1,135,393","$58,774","$311,095","$23,275","$568,398",,"$644,307","$180,151",,"$175,473",,,,,
Kick-Ass 2 (2013),"$1,804,361","$433,394","$540,292","$326,998",,,"$572,297","$3,071,854",,"$2,198,135","$6,004,726","$1,076,189","$744,021","$301,167","$695,058","$221,156","$232,068","$66,307","$88,476",,"$24,949","$41,692","$189,232","$80,804",,"$8,527,780","$69,496","$87,473",,,"$562,767","$481,585","$175,780","$269,447","$530,449","$110,594",,"$13,870","$14,036","$17,428",,,"$96,636","$131,179","$40,494","$33,155","$261,348","$265,146","$194,419","$18,101","$7,576","$18,665","$3,199","$24,352",,"$523,384","$113,196",,,,,,,
Riddick (2013),"$10,245,903","$461,123","$843,320","$1,861,999",,,"$319,699","$264,702","$633,410","$3,178,347","$4,373,928","$3,324,890","$2,838,217","$691,404","$1,826,856","$211,593","$531,200","$342,519","$1,740,492","$162,676","$157,637","$120,023","$1,658,694","$330,477","$13,816","$4,476,967","$1,133,201","$58,825",,"$132,629","$266,059","$495,145","$1,296,250","$83,183","$239,649","$280,162","$15,492","$224,477","$71,014","$16,994",,"$401,709","$393,826","$181,263","$19,371","$42,812","$616,901","$692,909","$1,076,103","$243,854","$56,747","$91,117","$15,917","$14,289",,"$2,194,274",,,,,,,,
Planes (2013),"$5,644,899","$960,277","$7,433,437","$343,376",,"$90,288,712","$928,556","$10,639,760","$1,312,253","$7,201,111","$14,981,430","$7,617,615","$7,584,298","$2,159,693","$5,052,674","$2,017,862","$1,140,342","$1,347,471","$2,149,383","$100,763","$841,807","$145,420","$6,393,358","$4,123,392","$248,257","$14,035,447","$3,349,426","$102,108","$1,190,899","$944,758","$2,361,107","$3,057,949","$1,227,470","$1,982,303","$4,406,809","$926,602",,"$335,112","$404,466","$146,596",,"$4,758,012","$1,007,335","$2,974,449","$996,140","$1,453,948","$2,100,645","$696,394","$1,061,893","$616,270","$20,637","$97,361","$36,143","$293,170",,"$556,296","$331,409",,,,,,,
Paranoia (2013),"$2,201,132",,"$600,986",,,"$7,388,654","$257,061",,,"$228,458","$1,555,621","$487,036","$1,245,576","$26,677","$646,583","$12,023","$35,050","$41,440","$101,757",,"$115,200","$43,518","$103,473","$217,843","$19,389",,"$407,181","$22,068",,,,"$239,497",,,"$20,264",,"$29,331","$71,115",,,,"$212,248",,"$156,924",,,"$90,492","$41,513","$121,792","$33,128",,"$4,314",,,,"$278,921",,,,,,,,
The Wind Rises (2013),"$269,007","$257,468","$134,835","$76,033",,"$5,209,580","$1,886,354","$119,513,192",,"$348,173","$5,446,333","$369,090","$499,417","$114,446","$769,724","$277,229","$32,263",,,,,,"$93,357",,,"$1,210,181",,,,,,,"$24,191",,"$247,352",,,,,,,,,,,,,,"$25,969",,,,,,,"$31,367",,,,,,,,
Evidence (2013),"$74,241",,,"$24,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,878",,,,,,,,,,,,,,,,
Jobs (2013),"$5,908,132","$291,107","$1,314,198","$655,466","$1,030,000",,"$279,301","$1,147,669","$1,394,905","$1,473,569","$2,183,252",,"$1,101,666","$299,752","$1,855,153","$218,976",,"$323,800","$482,765","$26,026","$46,072","$125,885","$1,460,293","$390,466","$18,799",,"$704,825","$18,436",,"$184,677",,"$399,682","$613,979","$107,329","$257,858","$303,043",,,"$116,380","$47,829",,,"$100,954","$154,782",,"$25,857","$252,789","$32,571","$290,277",,"$9,701","$45,702","$3,437",,,"$121,215","$178,367",,,,,,,
The Mortal Instruments: City of Bones (2013),"$5,457,857","$1,583,935","$3,874,678","$1,407,285","$4,260,000",,"$1,563,371","$38,795","$3,676,161","$3,538,964","$3,357,583","$5,377,648","$2,262,438","$567,630","$2,608,001","$269,898","$591,396","$222,885","$494,237","$16,649","$186,130","$63,415","$2,938,962","$888,245","$36,813","$4,045,193","$815,142","$35,670",,"$267,051","$498,044","$918,832",,"$129,594","$736,992","$182,197",,"$89,167","$50,308","$34,546",,"$895,160","$653,440","$715,686",,"$486,565","$705,242","$1,198,540","$271,966","$193,430",,"$28,374","$19,243","$35,864",,"$1,192,412",,,,,,,,
About Time (2013),"$1,084,180","$868,240","$2,026,175","$914,088",,"$15,322,921","$907,079","$1,667,751","$21,280,321","$7,636,052","$1,391,178","$1,850,124","$2,894,564","$630,898","$764,488","$226,512","$297,175","$332,155","$421,028","$38,161","$342,490","$69,025","$835,606","$563,825","$47,513","$12,098,359","$999,602","$34,093","$212,923","$105,032","$183,216","$1,251,809","$409,008",,"$293,908","$389,391","$11,717","$77,684","$116,214","$23,803",,"$504,498","$331,287","$128,523","$130,903","$105,772","$765,825","$177,382","$211,169","$385,991","$38,621","$96,260","$5,804","$18,159",,"$204,102","$101,181",,,,,,,
Truth or Die (2012),"$68,650",,,,,,,,,"$828,294",,,,,,,,,,,,,,,,"$1,326,189",,,,,,,"$88,987",,,,,,,,,,,,,,,,"$182,767",,,"$9,171",,,,,,,,,,,,
The Frozen Ground (2013),"$784,993","$174,130","$567,334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$121,564",,,,,"$46,837",,,,,,"$7,091",,"$80,375",,,,,,,,
You're Next (2011),"$403,301",,"$296,880","$128,138",,,,,,"$264,977","$462,010","$801,904","$1,252,303","$228,398","$533,455",,"$108,976",,"$329,076",,,,,"$419,180","$14,237","$1,828,877","$88,644",,,"$37,711",,"$189,427","$33,351",,"$121,865",,,,,"$4,056",,"$225,144","$259,727","$73,003",,"$83,913",,,"$204,618",,,,,"$8,304",,,,,,,,,,
Adore (2013),"$263,741","$17,404","$250,748",,,,,,"$256,744","$129,795",,,"$236,713",,,"$8,926","$19,300",,"$8,931",,,,,"$21,128","$2,342",,,,,,,,"$15,611",,,,,,,"$11,796",,,,,"$13,588",,,,,,,,,,,,,,,,,,,
The Suicide Shop (2012),"$40,003",,,,,,"$66,619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructions Not Included (2013),"$189,211",,"$46,103,013",,,"$44,467,206",,,"$16,022",,,,"$424,553",,"$88,280",,,,"$5,520",,"$1,328",,"$170,569","$59,215",,,,,,,,,,,,,,,,,,"$1,095,388","$1,509,511","$5,508,196","$678,174","$4,148",,,,,,,,"$182,304",,,,,,,,,,
One Direction: This Is Us (2013),"$206,420","$155,124","$2,313,955","$24,923",,"$28,873,374","$54,409","$1,177,610",,"$2,832,205","$1,070,312","$778,188","$1,127,640","$478,980","$2,908,556","$253,946","$153,709","$500,985","$298,723","$25,803","$120,628","$171,457","$798,275","$1,384,957","$124,978","$12,367,162","$376,441","$37,260","$176,183","$304,922","$831,815","$844,599",,"$737,599","$951,450","$250,056",,"$55,236","$87,162","$71,640",,"$824,896","$260,824","$386,900","$245,825","$787,699","$423,836","$332,419","$250,176","$37,840","$50,350","$68,675","$4,530","$72,273",,"$115,861","$150,818",,"$54,886",,,,,
Gravity (2013),"$21,606,484","$3,095,039","$17,759,503","$1,368,535","$70,680,000","$274,092,705","$3,649,865","$30,562,225","$53,986,951","$19,580,599","$38,239,132","$17,393,741","$12,041,885","$4,590,101","$8,725,409","$2,196,706","$1,328,503","$1,083,301","$2,754,238","$138,246","$818,055","$382,885","$8,823,348","$3,724,075","$254,396","$45,505,236","$3,928,376","$194,505","$2,620,008","$2,353,711","$2,226,575","$5,291,979","$2,132,939","$3,426,352","$4,212,976","$1,994,069","$18,411","$370,298","$585,778","$178,126",,"$2,158,654","$1,734,995","$2,631,119","$730,237","$2,105,528","$3,432,068","$1,977,500","$3,188,760","$1,630,751","$522,005","$525,277","$65,987","$221,936",,"$1,790,001","$6,186,250",,,$559,,,,
I Spit on Your Grave 2 (2013),"$587,648","$10,485",,,,,,,,,,,,,,,,,"$79,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prisoners (2013),"$1,169,756","$725,670","$1,651,018","$353,830",,"$61,002,302","$448,697","$190,436","$979,351","$3,496,603","$9,788,019","$5,172,757","$2,836,690","$1,358,609","$2,017,473","$104,241","$763,989","$303,521",,"$61,105","$207,930","$26,992","$2,427,825","$527,285","$78,495","$11,696,672","$941,821","$267,678",,"$995,833","$493,085","$610,543","$93,020","$630,137","$933,326","$164,222",,,"$130,155","$10,373",,"$269,039","$188,007","$294,599","$37,866","$196,518","$313,678","$90,909","$717,543","$165,189","$49,574","$233,953","$5,414","$12,287",,"$398,491","$120,005",,,,,,,
Insidious: Chapter 2 (2013),"$9,964,454","$1,390,876","$3,874,869","$369,756",,,"$295,099","$360,895","$3,795,179","$1,313,289","$4,670,508","$3,656,642","$5,145,050","$985,309","$1,990,090",,"$705,322","$135,384","$392,768",,"$69,734",,"$1,767,455","$863,474","$95,003","$11,556,462","$534,041","$16,692",,"$426,870","$210,720","$773,934","$451,251","$50,165","$694,969","$115,427","$15,483","$19,777","$68,158",,,"$789,973","$891,957","$913,515","$442,914","$530,881","$200,198","$2,617,436","$517,809","$28,789","$97,123","$90,565",,"$67,675",,"$2,737,429","$560,252",,"$148,334",,,,,
Rush (2013),"$3,716,882","$490,814","$2,341,631","$405,633","$1,758,414","$26,947,624","$364,026","$5,930,446","$603,613","$3,957,222","$2,540,735","$5,586,824","$1,818,786","$665,614","$8,694,638","$361,807","$4,343,982","$432,003","$234,363","$42,474","$153,681","$250,466","$1,250,553","$247,692","$6,248","$16,131,221","$1,455,899","$55,676",,"$156,013","$251,233","$331,893","$295,159","$188,912","$564,979","$997,928",,"$108,783","$115,946","$57,257",,"$581,334","$228,448","$181,486",,,"$837,536","$22,858","$728,381","$447,309","$6,156","$81,727","$6,849","$3,855",,,,,,,,,,
The Family (2013),"$6,291,877","$150,259","$1,339,877","$138,149","$8,520,000",,"$129,983","$994,280",,"$1,237,106","$8,238,234","$1,091,455","$1,096,508","$1,045,893","$2,109,900","$89,753","$224,767","$521,500","$318,695","$24,665","$258,818","$98,747","$912,238","$185,130","$46,107","$1,793,788","$577,032","$30,093",,"$371,216",,"$441,740","$321,347","$83,900","$127,561","$56,682",,"$304,719","$67,221","$25,845",,"$555,706","$173,672",,,"$39,990",,"$28,439","$752,262","$366,368","$26,185","$120,657","$12,640",,,"$143,381",,,,,,,,
Paradise: Faith (2012),"$23,363",,"$9,122",,,,,,,,,"$226,258","$48,775","$6,576",,,"$295,438",,,,,,,,,"$2,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The To Do List (2013),"$183,583",,,"$22,978",,,,,,,,,,,,,,"$20,125",,,"$17,254",,,,,"$21,633","$56,762","$9,155",,,,,"$14,437",,,,,"$38,770",,"$24,592",,,,,,,,,,,,"$8,638",,,,,,,,,,,,
Battle of the Year (2013),"$261,753","$165,206","$263,943","$53,370",,,,,"$208,947","$176,733","$926,184","$768,958","$138,746","$10,547","$148,946",,"$117,476","$15,113","$18,676","$2,116","$345,773",,,,"$3,347","$78,274","$140,009","$2,998","$209,241","$69,702",,"$439,387","$73,429","$4,289","$5,581","$48,978","$117,934","$38,935","$27,883","$11,332",,,,,"$117,061","$31,902","$66,116","$57,092","$268,112",,,"$20,575","$22,357",,,"$321,702",,,"$45,652",,,,,
Casting By (2012),"$4,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastards (2013),"$7,813",,,,,,,,,,"$283,271",,"$33,607",,,,,,,,,,"$71,336",,,"$19,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska (2013),"$10,589","$14,028","$42,780",,,,"$31,621","$130,737",,"$495,873","$354,311","$327,218","$1,966,445","$150,556","$1,138,757",,"$57,453","$33,099",,,,"$3,985","$188,183","$134,418","$29,835","$995,670",,"$3,289",,"$240,121","$73,832","$406,386",,"$99,370","$45,170",,,,,"$10,583",,"$12,200",,"$33,918",,,"$88,493",,,,,,,,,,,,,,,,,
Don Jon (2013),"$1,983,628","$190,845","$870,635","$54,391",,,"$244,295",,,,"$2,253,816","$683,786","$677,389","$260,348","$1,104,757","$272,843","$143,239","$213,341","$387,334","$27,184","$113,566","$100,062","$786,097","$84,112",,"$1,296,985","$880,026","$55,237",,"$100,593","$102,130","$582,583","$230,965","$209,727","$300,578","$110,685",,"$67,089","$42,416","$3,577",,"$204,969","$46,294",,,"$34,045",,"$26,487",,"$129,948",,"$79,638",,"$6,011",,,,,,,,,,
Adventures in Zambezia (2012),"$5,326,001",,"$1,917,652",,"$1,410,000",,,,"$3,025,132","$2,723,952",,,,,,,,,,,,,,"$108,481","$33,282",,,,,,,,,,,,,,,,,"$289,936","$439,758",,"$177,902","$174,938",,"$19,955",,,,,,"$21,193",,,,,,,,,,
Mood Indigo (2013),"$663,387","$9,427","$142,302","$9,966",,,"$24,984",,"$218,645","$25,969","$6,642,321","$480,807","$131,343","$347,455","$191,268","$68,136","$21,839","$9,374","$44,762",,,,"$190,810","$5,630",,"$278,108","$77,013",,,,,"$77,906",,,"$166,081","$90,337",,"$5,972",,,,,,"$64,219",,,"$62,225",,,"$64,819",,,,,,,,,,"$17,030",,,,
Metallica Through the Never (2013),"$813,013","$18,773","$474,522",,,,,,,"$284,656",,"$647,758","$358,149","$68,185",,"$45,409","$80,408","$49,829",,,,"$12,792","$122,702","$155,634","$2,758","$295,007","$286,635",,,,,"$69,179","$190,662",,,"$67,977",,"$79,781","$29,210",,,"$101,034","$3,831","$126,640",,"$62,745","$45,813",,"$45,253",,,"$8,297","$6,155","$3,038",,,,,,,,,,
Runner Runner (2013),"$6,197,279","$581,870","$2,047,434","$302,399",,,"$328,189",,"$809,735","$3,147,062","$2,906,013","$2,678,911","$2,323,226","$685,962",,"$174,570","$432,750","$554,525","$870,807","$64,427","$439,360","$103,180","$1,207,089","$266,889","$25,144","$4,393,445","$280,886","$41,052","$657,309",,"$190,835","$871,108","$702,817","$243,568","$530,735","$122,218",,"$305,923","$107,431","$51,223",,,"$275,356","$305,413","$133,854","$241,447","$267,390","$325,855","$688,880","$295,876","$45,829","$147,079","$27,359","$36,383",,"$711,742","$168,565",,"$184,613",,,,,
Something in the Air (2012),"$28,759",,,,,,,,,,"$354,639","$122,747","$88,918","$33,551","$206,169","$27,675","$26,983",,"$4,427",,,,"$211,736",,,"$110,870",,,,,,,,,,,,,,"$1,814",,,,,,,,,,,,"$2,031",,,,,,,,,,,,
Cloudy with a Chance of Meatballs 2 (2013),"$11,610,705","$1,150,591","$9,084,609","$394,415",,,"$821,994","$1,009,051","$5,141,169","$11,357,635","$4,705,345","$10,818,766","$7,176,634","$1,280,062","$4,403,824","$500,378","$1,234,017","$528,801","$1,751,298","$30,463","$774,022","$177,080","$13,057,310","$4,006,503","$153,504","$20,100,028","$1,677,568","$114,590","$1,688,401","$781,460","$1,876,882","$2,965,180","$1,288,019","$1,589,730","$1,356,565","$571,278","$85,572","$301,308","$274,509","$23,986",,"$4,248,641","$2,015,852","$2,923,246","$800,198","$2,422,138","$1,365,761","$867,290","$1,943,942","$247,470","$75,737","$307,715","$19,209","$531,690",,"$1,329,368","$135,887",,"$394,099",,,,,
Nobody Else But You (2011),"$13,378",,,,,,,,,,,"$43,975",,"$49,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The English Teacher (2013),,"$12,974",,,,,,,,,,,,,"$129,671",,,"$2,161",,,"$46,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,583",,,,,,,,,,,,,,,
Dragon (2011),,"$999,832",,"$122,967",,"$11,137","$1,033,542",,"$174,356",,,,,,,,,,,,,,,,,"$130,892",,,,,,,,,,,,,,,,,,,,,"$27,619",,,,,,,,,"$843,606",,"$1,310,156",,,,,,
The Woman in the Fifth (2011),,"$9,794",,,,"$113,800",,,,,"$162,766",,"$3,118","$10,377",,,,,"$1,308","$6,787",,"$3,727",,,,"$261,698",,,,"$23,289",,,,,,,,,,,,,,,,,,,"$42,147",,,"$24,076",,,,,,,,,,,,
Behind the Candelabra (2013),,"$47,837",,,,,"$32,856",,,"$2,363,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$207,168",,,,,,,,,,,,,,,,,
Aftershock (2012),,"$67,313",,"$24,496",,,,,,,,,,,,,,,,,,,,,,"$4,870",,,,,,,,,,,,,,,,,,,,"$9,634",,,"$112,103",,,"$17,770",,,,,,,,,,,,
3096 Tage (2013),,"$30,394",,"$8,015",,,"$78,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Way Way Back (2013),,"$60,143","$57,426",,,,"$8,246",,,"$1,191,589","$2,323","$152,143","$99,087","$6,739",,"$35,857","$5,745","$5,815",,,"$48,837","$5,517","$50,709","$64,820","$4,157","$2,405,782","$126,821","$26,022",,,"$27,682",,,"$63,867","$111,722",,,,,,,,,,,,"$382,855","$24,470",,,,,,,,,,,,,,,,
The Reluctant Fundamentalist (2012),,"$43,691",,,,"$552,959","$32,691",,,"$644,807",,,,,"$163,590",,,"$42,668","$12,317",,"$10,642",,,,,"$160,634",,,,,,,,,"$12,286",,,,,,,,,,,,"$193,098",,,,,"$8,196","$6,862",,,"$17,476","$273,299",,,,"$1,360",,,
Back to 1942 (2012),,"$83,109",,"$1,357",,,"$356,437",,,"$108,847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,783",,,,,,,,,,,,,,,,,
The Thieves (2012),,"$184,575",,"$27,079","$2,950,000","$685,839","$343,591",,"$82,672,356","$57,883",,,"$2,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,494","$3,543",,,,,,,,"$199,243",,,,,,,,
Passion (2012),,"$23,177","$99,942","$2,281",,,"$16,340",,,,"$81,755","$101,172",,"$81,141",,,,"$52,892","$76,915",,,,,,,,,"$4,441",,"$45,856",,,,,,,,,,,,,,"$27,108",,,,,,"$8,415",,,,,,,,,,,,,,
Thanks for Sharing (2012),,"$36,656","$570,947","$35,621",,,,,,"$303,704",,,"$228,098","$40,016",,,,"$158,014",,,"$56,517",,,"$139,380","$7,417","$768,175",,,,,,,,,,,"$12,467",,,"$23,118",,,,,,,"$53,431",,,,,,,,,,,,,,,,,
Stuck in Love. (2012),,"$76,743",,,,,,,,"$135,022",,,"$486,440",,,,,,,,,,,"$32,145","$1,100","$104,128",,,,"$40,120",,,,,,,,,,,,,,,,,,,"$8,251",,,"$12,651",,,,,,,,,,,,
Fruitvale Station (2013),,"$4,976",,,,,"$21,723",,,,"$247,770","$91,706",,"$35,331",,,"$8,564","$3,960","$10,624",,"$8,235",,"$44,673",,,"$145,080",,,,,,,,,"$76,865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tai Chi Hero (2012),,"$471,020",,"$38,447",,,"$123,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ip Man: The Final Fight (2013),,"$360,828",,,"$1,700,000",,"$1,122,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,513",,,,,,,,,"$728,764",,,,,,,,
Killing Season (2013),,"$39,692","$297,617",,,,,,,,,,,,,,,"$27,088",,,"$34,631","$8,331",,"$79,766",,,,,,,,,,,,,,,,,,,"$61,877",,"$30,834",,,,"$355,670",,,"$16,211",,,,"$79,724",,,,,,,,
The Colony (2013),,"$56,798","$236,555",,,,,,,,,,,,,,,,,,"$8,568",,,,,$62,,,,,,,,,,,,,,,,,,,,,,"$28,465","$204,792",,,"$22,625",,,,,,,,,,,,
Vehicle 19 (2013),,"$45,159",,"$31,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$591,299",,,,,,,,
