Movie Name,Domestic,Australia,United Kingdom,Portugal,France,New Zealand,South Korea,Japan,Hong Kong,Taiwan,Singapore,Thailand,Malaysia,Philippines,Germany,Italy,Netherlands,Sweden,Spain,Switzerland,Belgium,Austria,South Africa,Norway,Israel,Denmark,Finland,Greece,Kenya,Türkiye,Hungary,Brazil,Argentina,Mexico,Colombia,Venezuela,Chile,Peru,Ecuador,Central America,Uruguay,Lesser Antilles,Dominican Republic,United Arab Emirates,Czech Republic,Bulgaria,Lebanon,Ukraine,Iceland,Serbia and Montenegro,Latvia,Croatia,Bolivia,Russia/CIS,Poland,Baltic States,Middle East,Slovenia,Czech Republic/Slovakia,Puerto Rico,West Indies,India,Greece and Cyprus,S/E/W Africa,Egypt,Jamaica,Cyprus,Romania,Indonesia,Trinidad & Tobago,China,Middle East Other,Yugoslavia,Sri Lanka,Russia/CIS/Ukraine,Middle East/UAE,Lithuania,Estonia,Central America+,Paraguay,Netherlands Antilles,Panama
Croupier (1998),"$6,201,143","$127,295","$434,394",,,,,,,,,,,,,,,,,,,,,,,,,"$45,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shower (1999),"$1,157,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footloose (1984),"$80,035,402","$3,662",,,,$963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duel in the Sun (1946),"$20,408,163",,,,"$20,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Five Senses (1999),"$497,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,808",,,,"$6,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality (1998),"$25,648",,,,,,,,,,,,,,,"$29,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972),"$18,016,290",,,,,,,,,,,,,,,,,,,,,,,,,,,"$73,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Official Story (1985),"$29,426",,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,395",,,,,"$22,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampopo (1985),"$224,097",,,,,,,,,,,,,,,,"$220,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saving Grace (2000),"$12,178,602","$922,219",,,,,,,,,,,,,,,,,"$2,295,082",,,,,,,,,"$97,650",,,,"$125,064",,,,,,,,,,,,,"$54,680",,,,,,,,,,"$18,116",,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkinhead (1988),"$4,385,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel Magnolias (1989),"$84,614,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godzilla 2000: Millennium (1999),"$10,037,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love & Sex (2000),"$543,896",,,,,,,,,,,,,,,,,,,,,"$36,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steal This Movie (2000),"$76,424",,,,,,,,,,,,,,,,,,"$2,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backstage (2000),"$1,191,835",,,,"$169,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nurse Betty (2000),"$25,170,054","$751,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,880",,,,,,,,,,,,,,"$4,589",,,"$8,386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Way of the Gun (2000),"$6,055,661","$43,115",,,,,,,,,,,,,,,,,"$131,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almost Famous (2000),"$32,534,850","$2,236,273","$1,781,713",,,$451,,,,,,,,,"$705,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,412",,,,"$34,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under Suspicion (2000),"$260,562",,"$277,675",,,,,,,"$17,222",,,,,,,,,,,,,,,,,,,,,,,,"$752,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancer in the Dark (2000),"$4,184,036","$48,476",,,,,$133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$529,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remember the Titans (2000),"$115,719,751","$2,334,708","$728,448",,,,,,,,,,,,"$678,872",,,,,,,"$159,801",,,,"$55,780",,,,,,,,,,,,,,,,,,,,,,,"$25,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellraiser (1987),"$14,564,027",,"$11,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tigerland (2000),"$139,692","$9,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Contender (2000),"$17,872,723","$203,388","$459,179",,,,,,,,,,,,"$67,179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Elliot (2000),"$21,995,263","$3,384,423","$25,236,517",,"$11,697,269",,"$178,710",,,,,,,,"$5,813,186","$5,751,025",,,"$6,436,247",,,,,,,"$305,748",,,,,,,,,,,,,,,,,,,"$42,847",,,,"$53,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's Cooking? (2000),"$1,045,899","$206,727","$66,051",,,,,,,,,,,,,,,,"$49,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamonds Are Forever (1971),"$43,819,547","$2,003","$8,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How the Grinch Stole Christmas (2000),"$260,715,005","$4,388,373","$36,147,137",,,,,,,,,,,,"$9,315,399",,,,,,,,,,,"$223,729",,,,,,,,,,,,,,,,,,,,,,,"$300,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crouching Tiger, Hidden Dragon (2000)","$128,530,421","$5,688,526","$12,775,401",,,,,,,"$1,259,614",,,,,"$3,855,260",,,,,,,"$575,212",,,,"$558,583",,,,,,,,,,,,,,,,,,,"$233,123",,,,"$127,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Planes, Trains & Automobiles (1987)","$49,530,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Living Daylights (1987),"$51,185,897",,"$34,171",,,$362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Transformers: The Movie (1986),"$5,849,647",,"$10,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolat (2000),"$71,509,363","$5,215,845","$9,799,733",,,,,,,"$609,807",,,,,"$16,206,796",,,,,,,"$1,126,445",,,,"$309,178",,,,,,,,,,,,,,,,,,,"$208,035","$29,599",,,"$34,102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Emperor's New Groove (2000),"$89,636,687","$3,831,140","$13,303,088",,,$653,,,,,,,,,"$10,069,073",,"$1,466,091",,,,,"$1,235,566",,,,"$1,246,634",,,,,,,,,,,,,,,,,,,"$40,367","$7,865",,,"$37,429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollock (2000),"$8,598,593","$214,888",,,"$81,268","$11,994",,,,,,,,,"$60,866","$44,012",,,"$22,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before Night Falls (2000),"$4,242,892","$138,019","$446,929",,,,"$2,983",,,,,,,,"$44,384",,"$37,215",,,,,"$29,152",,,,,,,,,,,,,,,,,,,,,,,"$15,933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O Brother, Where Art Thou? (2000)","$45,512,588","$1,034,510",,,"$2,557,794",,,,,,,,,,"$1,818,946","$1,993,353",,,"$2,418,654",,,,,,,,,,,,,,,,,,,,,,,,,,"$4,827",,,,"$68,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annie (1982),"$57,059,003","$4,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Officer and a Gentleman (1982),"$129,795,554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar & Spice (2001),"$13,305,101","$33,767",,,,,,,,,,,,,"$262,160","$14,814",,,,,,"$31,553",,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With a Friend Like Harry... (2000),"$3,830,441",,,,,,,,,,,,,,,,,,,,,"$15,550",,,,,,,,,,,,,,,,,,,,,,,"$4,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Hills Cop (1984),"$234,760,478","$2,155,670","$1,382,048","$111,124","$2,967,437","$121,545",,"$4,148,250","$426,841","$321,649","$229,653","$183,963","$60,515","$60,107","$1,958,319","$1,115,481","$778,533","$1,188,696","$657,102","$406,369","$386,320","$285,542","$544,360","$444,497","$262,855","$366,151","$229,656","$92,984",,,,"$1,632,952","$538,500","$569,494","$140,256","$394,694","$123,769","$148,134","$89,499",,"$32,353","$92,312","$49,275",,,,"$17,542",,,,,,,,,,,,,,,"$21,694",,,"$12,057",,,,,,,,,,,,,,"$107,139",,,
Fantasia 2000 (1999),,"$1,160,024",,,,,,,,,,,,,,,,,"$392,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Kid (1921),,"$10,540",,,"$26,916","$4,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Women (2000),,"$9,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Destination (2000),,"$1,706,462","$15,580,935","$378,236","$4,022,930","$105,471","$1,201,475","$1,581,586","$730,456","$536,918","$780,110","$617,795","$266,393","$260,827","$6,928,330","$3,240,736","$1,665,552","$313,061","$4,336,179","$404,188","$1,489,258",,"$565,109","$305,993","$174,163","$186,086","$59,242",,,"$691,752","$89,135","$2,225,027","$1,763,357","$3,331,329","$284,744","$401,744","$156,999","$119,134","$30,028","$163,700",,,,,,"$12,560",,,"$58,946","$17,786",,"$9,769","$5,428",,"$231,062","$53,490","$39,896","$38,953","$27,769","$855,995","$25,915","$75,631",,,,,,,,,,,,,,,,,,,,
Cabaret (1972),,"$77,992","$23,745",,,"$6,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limelight (1952),,"$1,400",,$366,,$19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Creole (1958),,$506,,,,$544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Time Crooks (2000),,"$315,557",,,,,,,,,,,,,"$495,413",,,,,,,,,,,"$28,532",,,,,"$60,840","$168,064",,,,,"$21,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission: Impossible II (2000),,"$13,164,272","$26,373,540","$2,283,426","$21,826,757","$1,328,171","$13,587,885","$94,103,715","$4,675,113","$11,269,024","$2,013,034","$2,566,627","$1,199,101","$2,414,706","$25,018,930","$11,526,238","$4,642,666","$3,383,478","$12,498,159","$4,553,911","$3,920,548","$4,224,565","$2,113,825","$2,953,364","$1,962,716","$1,992,736","$1,768,008","$2,241,600","$146,416","$2,543,749","$839,598","$8,993,512","$7,057,113","$10,356,226","$1,559,290","$1,493,806","$1,996,121","$754,369",,"$2,100,000",,,,,,"$162,162","$430,962",,"$294,907",,,"$275,251",,"$1,236,089","$1,551,082",,,"$256,908","$496,343",,,"$2,159,525",,,"$488,958",,"$200,532","$151,052","$1,405,402",,"$3,453,141","$884,849","$45,244","$39,497",,,,,,,,
The Gold Rush (1925),,"$2,205",,,"$26,916",$207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eraserhead (1977),,"$1,378","$2,486","$5,103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 2 (1990),,"$1,775,332","$3,557,209","$86,739","$2,871,157","$163,964","$563,592","$4,069,704","$891,006","$513,171","$284,264","$303,945","$295,089","$175,333","$1,884,592","$519,542","$164,682","$316,210","$2,037,263","$224,069","$111,183","$85,901",,,"$26,032","$96,604","$155,851",,,"$58,600","$56,064","$1,665,272","$168,666","$1,047,587","$226,136","$158,916","$84,434","$112,468","$62,816","$216,648","$19,725",,,,,"$34,568",,,,,,,"$19,527",,,,,,"$30,454","$351,847",,"$178,017",,"$207,771",,"$46,631",,"$71,915","$326,300",,,,,,"$134,109",,,,,,,
The Adventures of Rocky & Bullwinkle (2000),,"$839,154","$6,139,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Golden Bowl (2000),,"$189,881",,,,,,,,,,,,,"$41,066",,,,,,,,,,,,,,,,,,,,,,"$2,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-Men (2000),,"$6,481,541","$22,186,479","$604,245","$9,426,024","$1,168,051","$5,100,836","$16,916,071","$1,586,239","$2,122,849","$1,422,867","$1,730,942","$771,859","$1,250,864","$12,250,936","$4,188,346","$2,025,466","$1,633,708","$6,427,028","$1,200,705","$1,498,399","$1,099,292","$1,016,710","$656,955","$1,066,361","$1,078,908","$696,223","$880,447",,"$838,764","$293,131","$6,071,833","$3,009,291","$10,766,863","$1,004,729","$1,462,078","$940,108","$425,359","$175,692",,"$160,835","$229,238","$183,624",,,"$139,889","$92,208",,"$174,622",,"$68,702","$108,548","$117,312","$1,124,819","$498,784",,,"$62,437","$226,596","$1,411,399",,"$809,304",,,"$155,573","$132,466",,"$126,325","$373,532",,,,,,,"$299,461","$63,288","$44,778","$930,380","$29,491",,
What Lies Beneath (2000),,"$4,651,385","$19,911,075",,"$10,375,781",,"$492,115","$3,778,991","$1,246,945","$3,980,000","$875,000","$277,510","$575,378",,"$9,636,178","$8,274,859",,"$1,510,228","$11,729,827","$1,191,443","$1,823,871","$788,520","$680,298",,,"$884,559","$614,713","$1,850,000",,"$587,278",,"$3,902,561","$3,326,487","$7,782,574",,"$197,000",,,,,,,,,,,,,"$240,420",,,,,,,,,,,,,,,,"$276,823",,,,"$73,035",,,,,,,,,,,,"$1,594,857",
Thomas and the Magic Railroad (2000),,"$378,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutty Professor II: The Klumps (2000),,"$2,976,807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$88,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autumn in New York (2000),,"$602,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coyote Ugly (2000),,"$5,999,011","$5,625,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Replacements (2000),,"$738,417",,,,,,,,,,,,,"$730,318",,,,,,,"$63,701",,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cell (2000),,"$1,552,295",,,,,,,,,,,,,"$5,326,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bring It On (2000),,"$3,320,888","$2,518,155",,,,,,,,,,,,,,,,,,,,,,,"$241,094",,,,,,,,,,,,,,,,,,,"$4,340",,,,"$97,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlander: Endgame (2000),,"$140,478",,,,,,,,,,,,,"$350,112",,,,,,,"$51,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Watcher (2000),,"$369,717","$1,600,469",,,,,,,,,,,,"$1,266,930","$3,037,400",,,,,,"$292,928",,,,"$101,865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duets (2000),,"$831,864",,,,,,,,,,,,,,,,,,,,"$20,509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman on Top (2000),,"$40,476","$92,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best in Show (2000),,"$837,999","$436,614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Broken Hearts Club: A Romantic Comedy (2000),,"$7,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Carter (2000),,"$194,013",,,"$227,427",,,,,,,,,,"$536,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$69,405","$32,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meet the Parents (2000),,"$11,549,612","$21,589,963",,"$9,740,638",,,,,,,,,,"$17,504,124",,,,"$12,379,703",,,"$2,136,153",,,,"$986,332",,,,,,,,,,,,,,,,,,,,,,,"$203,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requiem for a Dream (2000),,"$164,762","$84,189",,,,,,,"$180,223",,,,,,,"$52,474",,,,,,,,,,,,,,,,,"$643,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. T & the Women (2000),,"$19,277","$44,919",,,,,,,,,,,,"$589,249",,,,,,,"$121,370",,,,"$87,077",,,,,,,,,,,,,,,,,,,"$12,911",,,,"$4,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ladies Man (2000),,"$17,087",,,,,,,,,,,,,"$10,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Souls (2000),,"$101,331","$585,106",,,,,,,,,,,,,,,,,,,"$60,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedazzled (2000),,"$2,379,481",,,,,,,,,,,,,"$8,397,799",,,,,,,"$1,140,204",,,,"$288,125",,,,,,,,,,,,,,,,,,,"$93,543",,,,"$100,562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pay It Forward (2000),,"$1,376,155","$930,690",,,,,,,,,,,,"$126,918",,,,,,,"$31,309",,,,,,,,,,,,,,,,,,,,,,,"$13,686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book of Shadows: Blair Witch 2 (2000),,"$485,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,705",,,,"$29,219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Little Vampire (2000),,"$204,822","$4,794",,,,,,,,,,,,,"$187,645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Numbers (2000),,"$78,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie's Angels (2000),,"$10,176,579","$18,752,778",,,,,,,,,,,,"$11,772,761",,,,,,,,,,,"$1,035,474",,,,,,,,,,,,,,,,,,,"$215,505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Legend of Bagger Vance (2000),,"$304,630","$234,968",,,,,,,,,,,,"$1,263,465",,,,,,,"$119,260",,,,,,,,,,,,,,,,,,,,,,,"$6,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Nicky (2000),,"$1,794,298","$1,978,618",,,,,,,,,,,,"$1,724,404",,,,,,,"$331,939",,,,"$26,267",,,,,,,,,,,,,,,,,,,"$5,507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men of Honor (2000),,"$1,424,842","$1,913,244",,,,,,,,,,,,"$1,346,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Planet (2000),,"$433,118",,,,,,,,,,,,,"$1,322,391",,,,,,,"$182,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You Can Count on Me (2000),,"$527,948","$245,333",,,,,,"$15,360",,,,,,,,,,,,,,,,,"$54,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 6th Day (2000),,"$1,986,603","$2,894,129",,,,,,,,,,,,"$7,009,296",,,,,,,,,,,"$239,450",,,,,,,,,,,,,,,,,,,,,,,"$61,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bounce (2000),,"$895,187","$859,543",,,,,,,,,,,,"$1,327,888",,,,,,,"$199,265",,,,,,,,,,,,,,,,,,,,,,,"$14,782",,,,"$3,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rugrats in Paris (2000),,"$4,770,997","$11,119,263",,,,,,,,,,,,,,,,,,,,,,,"$60,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 Dalmatians (2000),,"$5,806,633","$16,197,246",,,,,,,,,,,,"$8,430,586",,,,,,,"$1,644,479",,,,"$633,210",,,,,,,,,,,,,,,,,,,"$209,747",,,,"$141,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malena (2000),,"$134,091","$60,896",,,,,,,,,,,,"$237,604",,,,,,,"$22,938",,,,,,,,,,,,,,,,,,,,,,,"$1,565",,,,,,,,,"$180,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quills (2000),,"$811,973","$727,673",,,,,,,,,,,,"$110,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,093",,,,"$9,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unbreakable (2000),,"$4,836,192","$16,033,184",,,,,,,,,,,,"$13,285,101",,,,,,,"$2,036,647",,,,"$973,642",,,,,,,,,,,,,,,,,,,"$323,077",,,,"$192,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeons & Dragons (2000),,"$830,945","$2,790,809",,,,,,"$19,253",,,,,,"$1,653,807","$60,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proof of Life (2000),,"$2,278,079","$3,748,683",,,,,,,,,,,,"$392,013",,,,,,,"$63,750",,,,"$311,901",,,,,,,,,,,,,,,,,,,"$53,664",,,,"$61,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Limit (2000),,"$5,846,878","$9,101,961",,,,,,,,,,,,"$7,377,243",,,,,,,"$1,360,909",,,,"$492,318",,,,,,,,,,,,,,,,,,,"$311,061",,,,"$158,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snatch (2000),,"$2,838,620",,,,,,,,,,,,,"$1,593,551",,,,,,,"$216,861",,,,"$387,030",,,,,,,,,,,,,,,,,,,,,,,"$35,915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dude, Where's My Car? (2000)",,"$3,177,365","$4,448,837",,,,,,,,,,,,"$4,154,045",,,,,,,"$375,135",,,,"$278,962",,,,,,,,,,,,,,,,,,,"$4,971",,,,"$100,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Women Want (2000),,"$11,689,023","$24,660,636",,,,,,,,,,,,"$33,822,945",,,,,,,"$4,466,753",,,,"$1,552,657",,,,,,,,,,,,,,,,,,,"$514,195",,,,"$203,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finding Forrester (2000),,"$1,841,639","$1,060,099",,,,,,,,,,,,"$3,402,648",,,,,,,"$324,163",,,,"$138,015",,,,,,,,,,,,,,,,,,,"$22,043",,,,"$15,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gift (2000),,"$2,928,203","$6,024,362",,,,,,,,,,,,"$1,055,129",,,,,,,"$359,068",,,,"$232,960",,,,,,"$1,410,978",,,,,,,,,,,,,"$30,694","$14,717",,,"$47,473",,,,,,,,,,,,,,,,"$45,472",,,,,,,,,,,,,,,,,
