Movie Name,Mexico,Spain,France,United Kingdom,Germany,Italy,United Arab Emirates,Netherlands,Türkiye,Ukraine,Sweden,Greece,Poland,Romania,Hungary,Portugal,Belgium,South Africa,Switzerland,Bulgaria,Austria,Israel,Denmark,Norway,Czech Republic,Lebanon,Finland,Slovakia,Egypt,Estonia,Croatia,Lithuania,Latvia,Slovenia,Iceland,Cyprus,Brazil,Peru,Colombia,Argentina,Panama,Chile,Ecuador,Venezuela,Bolivia,Trinidad & Tobago,Uruguay,Paraguay,Russia/CIS,Australia,Taiwan,South Korea,Indonesia,Malaysia,Singapore,Philippines,Hong Kong,Thailand,Japan,Vietnam,New Zealand,India,Pakistan,China,Serbia and Montenegro,Domestic,Dominican Republic,Jamaica,Kuwait,Qatar,Bahrain,Oman,Jordan,Mongolia,Switzerland (French),Central America,Puerto Rico,Costa Rica
Kedi (2016),,"$9,052",,"$42,939",,,,"$564,642","$67,441",,,"$86,981","$138,801",,,"$16,982",,,,,,,,"$144,450",,,,,,,,"$10,215",,,,,,,,,,,,,,,,,"$111,790","$420,144",,"$44,389",,,,,,"$23,574",,,"$117,835",,,"$403,641",,,,,,,,,,,,,,
Seasons (2015),,"$44,770","$6,322,099",,"$81,283",,,,,,,,"$55,901",,"$62,942",,"$85,096",,,,"$4,495",,,,"$82,165",,,"$24,667",,"$5,089",,"$16,966",,,,,,,"$1,775",,,,,,,,,,,,,,,,,,,,"$3,543,547",,,,,"$722,684",,"$150,092",,,,,,,,,"$223,304",,,
Sleepless (2017),,"$601,639","$1,622,534","$1,108,880","$1,171,661","$812,983","$778,883","$1,246,640",,,"$28,408",,,"$172,077",,"$425,870","$166,242","$248,173","$281,947",,"$165,557","$419,948",,,,"$96,276",,,"$35,227",,,,,,,,,,,,,,,,,"$190,192",,,,"$5,277","$326,419","$127,820",,"$54,183","$73,685","$75,145",,"$42,817","$156,062","$124,455",,,,,,,,,,,,,,,,,,
The Unknown Girl (2016),,"$73,895","$1,250,351","$52,160",,"$319,391",,"$208,856","$5,825",,,"$59,771",,"$2,833",,,,,,"$1,340",,,,"$12,138",,,,,,,,$302,,"$3,735",,,,,"$25,783","$42,455",,,,,,,"$10,700",,"$40,656",,,"$171,900",,,,,,,,,,,,,,,,,,,,,,,,,,
Eternity (2016),,"$4,022","$743,356",,,,,,"$4,452",,,,,,,"$8,056",,,,$433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,864",,,"$19,014",,,,,,,,,,,,,,,,,,,,,,,,,,
Frantz (2016),,"$640,753","$4,367,401","$90,195",,"$452,956",,"$111,299","$29,258",,,"$35,350",,,,"$20,468",,,,$346,,,,"$4,596",,,"$39,729",,,,,"$7,890",,"$3,537",$829,,,,"$51,235","$156,323",,,,,,,"$18,982",,"$103,809","$289,827",,"$125,674",,,,,,,,,"$47,014",,,,,,,,,,,,,,,,,
One Piece Film: Gold (2016),,"$118,479","$130,301",,,"$385,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$59,493",,"$1,418,529",,,,,,"$246,170","$47,824,455",,"$15,930",,,"$15,584,811",,,,,,,,,,,,,,
Purgatorio (2014),,$872,,,,,"$17,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,776",,,,,,,,,,,,,,,,,,,,,,,,
The King's Choice (2016),,"$200,235",,,,,,,,,,,,,,"$19,651",,,,,,,,"$9,143,517",,,,,,,,,,,,,,,"$69,817",,,,,,,,,,,"$470,865",,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Name Of (2013),,"$14,988",,"$8,500","$43,135",,,,,,,,"$1,044,770",,,,"$6,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afterimage (2016),,"$18,573",,,,"$89,739",,,,,,"$6,168","$842,372","$4,017",,,,,,"$1,983",,,,,,,,,,,,"$1,232",,,,,,,"$35,241",,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,443",,,,,,,,,,,,
In Between (2016),,"$194,849","$765,939","$23,314",,"$468,247",,"$67,318",,,,,,,,,,,,,,,,"$18,651",,,,,,,,,,,,,,,,,,,,,,,,,,"$26,261",,,,,,,,,,,"$7,396",,,,,,,,,,,,,,,,,
L'ora legale (2017),,"$157,075",,,,"$10,810,164",,,,,,"$489,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$57,074",,,,,,,,,"$24,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poveda (2016),,"$203,462",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,116",,,,,,$899,,$528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Feast of the Goat (2005),,"$193,973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,396",,
Late Bloomers (2006),,"$416,081",,,"$1,911,828",,,,,,,,,,,,,,"$6,939,992",,"$826,525",,,,,,,,,,,,,,,,,,,"$77,398",,,,,,,"$9,562",,,,"$23,213",,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson (2017),,"$28,384",,"$6,813",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$141,932",,,"$17,566",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Other Side of Hope (2017),,"$414,798","$1,422,901","$85,159",,"$734,269",,"$172,408","$14,010",,,,,,,"$27,669",,,,"$5,342",,,,"$67,375","$1,264",,"$463,905",,,,,,,"$12,919","$3,967",,,,"$35,715","$122,214",,,,,,,,,"$59,973","$455,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,
King of the Belgians (2016),,"$10,141",,,,"$158,942",,,,,,,,,,,,,,"$23,500",,,,,,,,,,,,"$4,417",,,,,,,,,,,,,,,,,"$8,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God's Own Country (2017),,"$100,006","$234,351","$1,172,687",,"$46,428",,"$297,895",,,,"$19,123",,"$12,281",,,,,,,,,,"$128,861",,,"$30,784",,,,,,,,,,,,,,,,,,,,,,,"$144,698",,,,,,,,,,,"$37,216",,,,,"$335,609",,,,,,,,,,,,
A Fantastic Woman (2017),,"$258,117","$553,250","$135,861",,"$285,380",,"$217,010","$10,995",,,"$43,652",,"$5,727",,"$12,045",,,,,,,,"$25,933",,,,,,,,"$4,531",,"$12,377",,,,,"$81,361","$58,997",,,,,,,"$20,061",,,"$13,667",,"$46,287",,,,,,,,,"$33,125",,,,,"$2,020,988",,,,,,,,,,,,
Alone in Berlin (2016),,,"$136,344","$453,705",,"$267,082",,"$94,935",,,,"$48,329",,,,"$38,585",,"$18,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$115,127",,,,,,,,,,,,,,,,,
Lou! (2014),,,"$1,434,708",,,,,,,,,,,,,,"$146,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Week and a Day (2016),,,"$60,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,800",,,,,,,"$2,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Wedding (2016),,,"$575,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,156","$23,985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staying Vertical (2016),,,"$439,963",,,,,,,,,,,,"$3,117",$539,,,,,,,,,,,,,,,,,,,$494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olé! (2005),,,"$4,305,130",,,"$10,652,727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nocturama (2016),,,"$290,256",,,,,,"$1,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalida (2016),,,"$5,383,669",,,,"$39,582",,"$30,656",,,"$80,041",,"$10,911",,"$6,532",,,,,,,,,,,,,,,,,,,,,,,"$6,847",,,,,,,,,,"$61,431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Taking of Tiger Mountain (2014),,,"$126,337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$57,341","$170,924",,"$43,632","$6,837",,,,,,"$141,020,000",,,,,,,,,,,,,,
Song to Song (2017),,,"$571,225","$14,691",,"$288,310",,"$86,405",,,,,"$46,736",,,"$43,308",,"$6,964",,,,,,,,,"$59,626",,,,,,,,,,"$50,994",,,,,,,,,,,,"$35,432","$11,916",,"$148,395",,,,,,"$5,767",,,,,,,,"$443,684",,,,,,,,,,,,
Hôtel Normandy (2013),,,"$812,031",,,,,,,,,,,,,,"$20,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dear Zindagi (2016),,,,"$471,703",,,,,,,,,,,,,,,,,,,,"$10,862",,,,,,,,,,,,,,,,,,,,,,,,,,"$249,264",,,,,,,,,,,"$91,273","$9,268,607",,,,,,,,,,,,,,,,
Kahaani 2 (2016),,,,"$126,986",,,,,,,,,,,,"$1,126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,708",,,,,,,,,,,"$16,354","$4,559,673",,,,,,,,,,,,,,,,
Strangled (2016),,,,"$1,143",,,,,,,,,,,"$207,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dangal (2016),,,,"$2,818,873",,,"$6,085,633",,"$428,201",,,,,,,,,,,,,,,"$97,152",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,451,253","$5,441,690","$826,567",,,,,"$3,350,290",,,,"$461,846","$77,319,500",,"$193,050,870",,,,,,,,,,,,,,
Gold (2016),,,,"$507,302",,"$1,030,941",,"$266,472",,"$110,363",,,,,"$204,248","$124,712",,,,,,,,,,,,"$22,086",,,,,,,,,,,,,,,,,,,,,"$730,981","$608,448",,"$170,586",,,,,,,,,"$83,065",,,,,,,,,,,,,,,,,
Fist Fight (2017),,,,"$1,000,000","$105,000",,"$1,416,688","$714,000",,"$266,733",,,,"$430,865","$341,800",,,"$230,053",,"$97,223",,,,"$171,900",,,,,,,,"$27,632",,"$68,873","$51,858",,,,,,,,,,,,,,,"$1,400,000",,,,,,,,,,,"$80,255",,,,,,,,,,,,,,,,,
A Street Cat Named Bob (2016),,,,"$5,378,423",,"$1,096,723","$53,891","$307,802",,,,,"$105,248",,,,,,,,,,,"$335,432",,,,,,,,,,,,,,,,,,,,,,,,,,"$430,790",,"$167,395",,,,,,"$25,019",,,"$462,836",,,"$7,606,781",,"$82,703",,,,,,,,,,,,
Kung Fu Yoga (2017),,,,"$12,133",,,"$1,712,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$745,978",,,"$78,123",,,,,,"$228,356",,,"$82,783",,,"$254,531,595",,"$362,657",,,,,,,,,,,,
Trespass Against Us (2016),,,,"$95,442",,"$210,433","$109,252",,,,,"$8,527",,,,"$9,702",,,,,,,,,,,,,,,,,,$444,,,,,,,,,,,,,,,"$33,764",,,"$28,920",,,,,,,,,"$15,002",,,,,,,,,,,,,,,,,
Rupture (2016),,,,$995,,,"$16,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Young Offenders (2016),,,,"$3,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,460",,,,,,,,,,,,"$8,616",,,,,,,,,,,,,,,,,
The Belko Experiment (2016),,,,"$166,507",,,"$210,646",,,"$26,112",,,,,,,,,,,,,,,,,"$46,764",,,,,,,,,,,,,,,,,,,,,,"$461,651","$6,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingrid Goes West (2017),,,,"$86,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,192",,"$19,143",,,,,,,,,"$5,286",,,,,,,,,,,,,,,,,
Machines (2016),,,,"$4,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Ghost Story (2017),,,,"$173,963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$98,705",,"$60,620",,,,,,,,,"$22,024",,,,,,,,,,,,,,,,,
Kills On Wheels (2016),,,,"$1,697",,,,,,,,,,"$2,303","$23,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,898",,,,,,,,,,,,
OK Jaanu (2017),,,,"$82,058",,,"$310,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,867","$4,651,941",,,,,,,,,,,,,,,,
Berlin Syndrome (2017),,,,"$43,312",,,"$22,929",,"$10,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$97,537","$157,957",,"$36,488",,,,,,,,,,,,,,,,,,,,,,,,,,
Have a Nice Day (2017),,,,"$10,979",,,,,"$4,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$409,431",,,,,,,,,,,,,,
Before I Fall (2017),,,,,,"$1,478,092","$100,117","$496,679","$58,390","$57,649",,,,,,"$19,217",,"$28,016",,,,,,,,,,,,,,,,,,,"$787,852",,"$77,527","$119,378",,,,,"$36,818",,"$40,317","$11,833","$398,577",,,"$177,267",,,,,,"$103,144",,,"$141,848",,,,,,,,,,,,,,,,,
Lucky and Zorba (1998),,,,,,"$49,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Can Quit Whenever I Want: Masterclass (2017),,,,,,"$3,440,826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When the Bough Breaks (2016),,,,,,,"$55,281",,,,,,,,,,,"$465,009",,,,,$735,,,"$11,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boo! A Madea Halloween (2016),,,,,,,"$210,533",,,,,,,,,,,"$577,389",,,,,,,,"$12,497",,,"$9,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As I Open My Eyes (2015),,,,,,,,"$19,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifesto (2015),,,,,,,,,"$42,387",,,"$36,223",,,,"$15,535",,,,"$8,784",,,,,,,,,,,,"$4,695",,,,,,,,,,,,,,,,,"$147,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MindGamers (2015),,,,,,,,,"$3,303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,447",,,,,,,,,,,,,,,,,,,,
XX (2017),,,,,,,,,"$24,757",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Dog: True Blue (2016),,,,,,,,,,,,,"$1,104,314",,,,,,,,,,,,,,,,,,,,,,,,,,"$45,277",,,,,,"$73,898",,,,,"$5,511,973",,,,,,,,,,,"$183,098",,,,,,,,,,,,,,,,,
The Citizen (2016),,,,,,,,,,,,,,,"$54,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,495",,,,,,,,,,,,
Don't Blink (2015),,,,,,,,,,,,,,,,$407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$76,134",,,,,,,,,,,,
White Wedding (2009),,,,,,,,,,,,,,,,,,"$617,455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,710",,,,,,,,,,,,
The Crumbs (1991),,,,,,,,,,,,,,,,,,,,,,,"$4,719,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome to Norway (2016),,,,,,,,,,,,,,,,,,,,,,,,"$610,580",,,,,,,,,,,"$2,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delirium (2014),,,,,,,,,,,,,,,,,,,,,,,,,"$64,230",,,"$29,281",,,,"$32,102",,,,,,,,"$489,115",,,,,,,"$21,465",,"$252,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Eye for Beauty (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Snow Queen 3: Fire and Ice (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$230,118",,,,,,,,,,,,"$5,134,561",,,"$2,503,912",,,,,,,,,,,,"$11,554,062",,,,,,,,,,,,,,
Chocolat (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$226,694",,"$47,334","$15,713",,,,,,,,,"$213,137","$349,338",,"$16,983",,,,,,,,,"$63,634",,,,,,,,,,,,,,,,,
Forbidden to Forbid (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$166,288",,,,,"$17,103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Snow (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$296,417",,"$13,999","$3,616,287",,,,,,,"$223,921","$2,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once Upon a Time Veronica (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$81,925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildflower (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,416",,,,,,"$14,738",,,"$1,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viking (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,104",,,,,,"$13,682",,,,"$26,833,929",,,,,,,,,,,,,,,"$2,116,918",,,,,,,,,,,,,,
Sheep & Wolves (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$82,008",,,,,,"$71,035",,,,"$2,353,508",,,"$192,052",,,,,,,,,,,,,,,,,,,,,,,,,,
The Night My Mother Killed My Father (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,999","$14,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Blind Date with Life (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,659",,,,,,,,,,"$249,107",,,,,,,,,,,,"$4,245",,,,,,,,,,,,,,,,,
The Invisible Guest (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,867",,,,,,,"$21,619",,"$268,219",,,"$655,018",,,,,,,,,,,,"$25,919,310",,,,,,,,,,,,,,
The Year of Maria (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,237",,"$8,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Film Critic (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$157,290",,,,,,,"$1,243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tricks (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,866",,,,,,,,,,,"$10,356",,,,,,,,,,,,,,,,,,,,,,,,,,,
This Beautiful Fantastic (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$85,797","$70,838",,,,,,,,,,,"$158,834",,,,,,,,,,,,,,,,,
Our Lovers (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master i Margarita (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,117,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Am Dragon (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,638,290",,,,,,,,,,,,,,,"$8,814,761",,,,,,,,,,,,,,
Good Boy (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,222,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ideal (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$202,894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Unspoken (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$84,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trenk, the Little Knight (2015)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$90,588",,,"$41,952",,,,,,,,,,,,,,,,,,,,,,,,,,
Kaidan (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,525",,"$1,334",,,,,,"$65,431",,"$3,560,173",,,,,,,,,,,,,,,,,,,
Headshot (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,626",,,,,,,,,,,,"$1,751",,,,,,,,,,,,,,,,,
Sadako vs. Kayako (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$249,955",,,"$165,925",,,,,,"$8,701","$8,385,267",,,,,,,,,,,,,,,,,,,
Family Heist (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$634,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Queen of Spades (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$491,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Børning 2 (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostages (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$341,762",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen of Spades: The Dark Rite (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,285,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangoon (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,089",,,,,,,,,,,"$22,860",,,,,,,,,,,,,,,,,
Master (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,847",,"$51,005,701",,,,,,,,,"$11,616",,,,,,,,,,,,,,,,,
Past Life (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,579",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sword Master (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,225",,,,,,,,"$102,858",,,"$8,970",,,"$14,502,045",,,,,,,,,,,,,,
The Osiris Child (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,822",,,,,,,,"$46,136",,,,,,,,,,,,,,,,,,,,
Pork Pie (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$77,888",,,,,,,,,,,"$788,924",,,,,,,,,,,,,,,,,
Zhongkui: Snow Girl and the Dark Crystal (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,161",,,,"$133,380","$253,613",,"$36,038","$67,403",,,"$13,924",,,"$63,620,000",,,,,,,,,,,,,,
Pink (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$105,808",,,,,,,,,,,"$27,761",,,,,,,,,,,,,,,,,
Creepy (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,559",,,,,,,"$4,721,487",,,,,,,,,,,,,,,,,,,
Crossing the Line (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,171",,,,,,,,,,,,,,,,,,,,,,,,,,
My Love Story!! (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$130,031",,,,,,,"$6,830,188",,,,,,,,,,,,,,,,,,,
The Advocate: A Missing Body (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,457,770",,,,,,,,"$42,245",,,,,,,,,,,,,,,,,,
Blood and Ties (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,509,001",,,,,,,,,,,,,,,,,,,,,,,,,,
The Great Gilly Hopkins (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,155",,,,,,,,,,,,,,,,,,,,,,,,,,
Old Partner (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,287,483",,,,,"$5,445",,,,,,,,,,,,,,,,,,,,,
The Teacher's Diary (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$411,301",,"$13,735","$31,847",,"$25,545","$3,060,661",,,,,,,,,,,,,,,,,,,,
The Girl in the Sun (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$106,623",,,"$11,158",,"$336,497",,"$17,512,577",,,,,,,,,,,,,,,,,,,
The Guillotines (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$221,282","$434,635",,"$345,894","$115,259",,,"$5,080",,,"$11,090,000",,,,,,,,,,,,,,
Beyond the Edge (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$734,629",,,,,,,,,,,,,,,,,
At Cafe 6 (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$798,652",,,,,,,,,,,,,,
The Stolen Years (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,840,000",,,,,,,,,,,,,,
