Movie Name,France,Italy,Germany,Portugal,Spain,Bulgaria,Türkiye,Slovakia,Domestic,Mexico,Hong Kong,South Korea,Finland,Iceland,Lithuania,United Kingdom,Netherlands,Belgium,South Africa,Norway,Sweden,Poland,United Arab Emirates,Israel,Austria,Switzerland (German),Nigeria,Romania,Lebanon,Greece,Ukraine,Bahrain,Qatar,Jordan,Hungary,Egypt,Switzerland (French),Croatia,Oman,Ghana,Kenya,Serbia and Montenegro,Latvia,Estonia,Slovenia,Ethiopia,Venezuela,Peru,Argentina,Brazil,Colombia,Ecuador,Chile,Uruguay,Bolivia,Japan,Australia,Russia/CIS,New Zealand,Philippines,Singapore,India,China,Malaysia,Thailand,Czech Republic,Denmark,Taiwan,Vietnam,Switzerland,East Africa,Panama,Indonesia,Cyprus,Trinidad & Tobago,Paraguay,Pakistan,Mongolia,Kuwait,Dominican Republic,Jamaica
Justin Bieber: Never Say Never (2011),"$284,479","$139,259","$2,100,201","$53,508","$1,088,985",,,,,"$1,091,675",,,"$108,688","$83,950","$25,518","$3,741,695","$620,895","$433,783","$250,849","$803,508","$537,179","$180,203","$409,635","$99,154","$214,819",,,,"$77,043",,,,,,,"$15,521",,"$86,842",,,,,,,"$54,616",,,"$356,727","$651,935","$3,126,978","$246,165","$290,326",,"$107,212","$39,570",,"$4,577,280",,"$431,057","$315,777","$270,699",,,"$427,203",,,"$376,509","$56,523",,"$122,837",,,,,,,,,,,
StreetDance 2 (2012),"$8,644,880","$3,545,952","$10,052,865","$444,270","$1,607,853","$215,716",,"$112,354",,,"$697,281","$1,273,142","$359,315","$22,352","$198,113","$22,294,205","$1,263,173","$1,044,675",,"$320,224","$162,723","$2,042,439","$1,036,349",,"$1,035,187",,,,"$145,429","$430,686","$198,253",,,,"$260,033","$41,664",,"$232,988",,,,,,,"$91,201",,,,,,,,,,,,"$2,374,619","$4,687,779","$507,443","$320,648","$476,752",,,"$1,019,478","$457,934","$636,851",,"$295,467","$49,393",,,,,,,,,,,,
Nurse (2013),"$626,386","$68,307",,,,,,,,,,,,$699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,225",,,,,,,,,,,,,,,,
Tad: The Lost Explorer (2012),"$2,053,874","$847,513",,"$342,017","$23,871,402",$746,"$570,433","$119,844",,"$7,274,656",,"$1,279,209",,"$38,334",,,"$1,179,043","$1,003,019",,,,"$984,064","$287,155",,,,,,"$54,289","$187,105",,,,,,,,"$98,728",,,,,,,"$9,459",,,"$2,232,646","$572,901","$3,353,750","$940,129","$524,867","$900,301","$125,493","$102,505",,,"$396,917",,,"$64,854",,,,,"$76,352",,,,,,,,,,,,,,,
The Duke of Burgundy (2014),"$11,007",,"$4,588",,"$14,222",,"$3,601",,,,,,,,,"$66,493","$14,909","$2,254",,,,"$3,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Army (2014),"$38,571",,,,"$44,837",,,,,,,,,$876,,"$9,792",,,,,,,,,"$10,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It Follows (2014),"$733,443","$709,606","$162,049","$5,637","$215,870",,"$68,411","$22,549",,"$471,577","$79,807","$186,962",,,,"$1,561,728","$171,167","$120,421",,"$613,468",,"$192,695","$200,918",,"$28,779",,,,"$29,040","$15,033","$10,840",,,,"$17,455","$16,180",,"$25,097",,,,,"$8,555","$17,936",,,,"$129,794","$2,761","$252,405",,"$48,285","$22,057","$8,794",,,"$217,943","$312,931","$66,431","$9,688",,"$74,290",,"$89,070","$94,530","$76,200",,"$23,366","$159,610",,,,,,,,,,,,
Goodbye to Language (2014),"$60,905",,,,,,,,,"$14,041",,,,$575,,,,,,,,,,,"$12,440",,,,,,,,,,,,,,,,,,,,,,,,,"$72,927","$1,445",,,"$3,646",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Perfect World of Kai (2007),"$44,999",,,,,,,,,,,"$182,884",,,,,,"$1,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,555,297",,,,,,,,,,,,,,,,,,,,,,,,,
Space Chimps 2: Zartog Strikes Back (2010),"$441,374",,,,,,,,,,,"$172,194",,"$15,674",,"$2,318,090",,"$329,960","$180,842",,,,"$199,284",,,,,,"$1,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$667,551",,,,,,,,,,,,,,,,,,,,,,,
Mad Max: Fury Road (2015),"$18,127,803","$3,169,383","$9,525,256","$888,347","$4,348,949","$330,042","$1,907,946","$393,996","$154,280,290","$7,909,567","$1,082,042","$27,796,782",,"$257,825","$203,046","$27,158,053","$2,234,836","$1,947,418","$1,098,055","$2,038,106","$2,749,747","$1,929,454","$3,121,387","$782,620","$1,241,555","$1,116,482","$51,578","$877,438","$331,640","$813,040","$681,642","$106,119","$192,027","$145,663","$822,978","$330,615","$741,635","$484,454","$307,092",,"$650,116","$171,277","$176,182","$224,493","$152,797",,"$1,612,674","$909,553","$2,000,409","$6,269,724","$2,034,665","$487,654","$1,220,067","$91,663","$390,420","$13,163,340","$16,343,072","$12,488,915","$2,552,408","$1,110,368","$1,245,593","$2,229,215",,"$1,909,492","$1,601,341","$868,427","$1,333,086","$2,705,682","$990,030",,,,,,,,,,,,
Insidious: Chapter 3 (2015),"$3,005,646","$1,130,697","$2,740,428","$141,328","$2,363,698",,"$436,613","$68,896",,"$4,686,592","$346,081","$5,575,914",,,"$94,577","$6,104,425","$674,929","$687,324","$67,298","$406,794","$579,665","$557,101",,,"$410,016",,,,"$123,965","$299,397","$279,743","$132,761","$205,173","$114,379","$27,788","$289,965",,,"$75,717",,,,"$34,595","$60,341",,"$3,755","$2,571,801","$967,859","$499,361","$2,263,296","$1,075,941","$955,972","$696,563","$181,754","$167,307",,"$363,693","$5,848,011",,"$3,581,187","$1,099,224","$1,394,254",,"$3,023,273","$558,441","$131,065",,"$1,543,011","$1,685,334",,,,,,,,,,,,
Star Wars: Episode VII - The Force Awakens (2015),"$88,527,046","$28,508,842","$111,351,219","$3,901,908","$35,978,401","$2,578,651","$5,820,667","$1,136,741","$936,662,225","$27,649,496","$11,082,181","$24,142,352","$8,095,069","$905,627","$563,605","$163,599,922","$15,705,344","$11,033,696","$3,206,747","$8,361,919","$21,346,653","$16,685,439","$6,052,663","$3,385,097","$9,379,428","$7,979,279",,"$3,405,655","$606,176","$3,406,287","$2,509,424",,,,"$5,827,770","$153,648","$4,180,648","$1,245,788","$49,970",,"$285,657","$711,089","$424,911",,"$578,788",,"$14,823,693","$6,127,657","$1,921,657","$27,982,311","$9,130,293","$3,211,683","$8,463,006","$468,960","$1,868,562","$97,862,640","$72,465,422","$26,689,555","$9,950,627","$8,176,268","$7,173,581","$4,571,351","$124,159,000","$6,628,971","$5,946,413","$3,879,858","$11,987,128","$6,464,714","$895,542",,,,,,,,,,,,
