Movie Name,France,Italy,Germany,Portugal,Spain,Bulgaria,Türkiye,Slovakia,Domestic,Mexico,Hong Kong,South Korea,Finland,Iceland,Lithuania,United Kingdom,Netherlands,Belgium,South Africa,Norway,Sweden,Poland,United Arab Emirates,Israel,Austria,Switzerland (German),Nigeria,Romania,Lebanon,Greece,Ukraine,Bahrain,Qatar,Jordan,Hungary,Egypt,Switzerland (French),Croatia,Oman,Ghana,Kenya,Serbia and Montenegro,Latvia,Estonia,Slovenia,Ethiopia,Venezuela,Peru,Argentina,Brazil,Colombia,Ecuador,Chile,Uruguay,Bolivia,Japan,Australia,Russia/CIS,New Zealand,Philippines,Singapore,India,China,Malaysia,Thailand,Czech Republic,Denmark,Taiwan,Vietnam,Switzerland,East Africa,Panama,Indonesia,Cyprus,Trinidad & Tobago,Paraguay,Pakistan,Mongolia,Kuwait,Dominican Republic,Jamaica
Guardians of the Galaxy Vol. 2 (2017),"$24,809,137","$7,900,157","$30,165,433","$995,552","$10,314,253","$394,221","$1,525,166","$600,083","$389,813,101","$19,005,245","$4,756,321","$20,921,370","$1,534,857","$473,545","$175,393","$53,060,497","$4,462,893","$2,548,187","$1,545,351","$2,467,458","$4,499,986","$3,247,124","$2,900,361",,"$3,450,633",,,"$1,145,604",,"$627,157","$7,311",,,,"$1,713,606",,,,,,,,,,"$121,461",,"$2,480,721",,"$4,822,234","$20,925,686","$3,486,978",,"$3,154,354","$223,812","$1,099,814","$10,097,680","$24,606,483","$27,881,604","$3,756,100","$6,316,923","$4,606,033","$3,428,270","$100,663,260","$5,327,621","$5,248,385","$1,794,331","$3,287,701","$4,715,392",,"$3,151,067",,,"$7,683,449",,,"$221,185",,,,,
Captain America: Civil War (2016),"$23,219,052","$12,963,449","$21,770,093","$1,528,426","$11,354,178","$516,255","$5,051,436","$486,912","$408,084,349","$41,420,350","$15,473,511","$62,859,896","$1,431,062","$337,237","$136,836","$53,779,860","$4,388,326","$2,489,851","$2,132,347","$2,520,919","$3,606,960","$2,691,473","$5,963,288",,"$2,844,970","$1,793,551",,"$1,162,072",,,"$1,429,130",,,,,,"$752,167",,,,,,,,"$104,910",,"$1,947,286",,"$8,314,077","$40,802,843","$7,072,395",,"$6,784,327",,,"$24,366,759","$25,436,768","$16,557,300","$1,406,107","$14,195,000","$8,396,857","$12,094,000","$180,794,517","$10,685,000","$11,956,000","$1,459,184","$3,084,144","$16,397,475","$35,827","$3,020,845",,,,,,,,,,,
Doctor Strange (2016),"$15,688,092","$8,194,378","$17,402,095","$954,007","$6,975,576","$544,989","$3,202,816","$389,195","$232,641,920","$13,587,076","$8,172,143","$41,325,970","$1,293,064","$289,348","$178,354","$28,547,412","$3,614,533","$1,893,163","$1,158,119","$1,542,492","$3,140,938","$2,463,489","$3,444,965",,"$2,146,709",,,"$1,499,057",,"$1,175,663","$2,431,951",,,,"$1,205,704",,,,,,,,,,"$86,007",,"$1,680,938","$2,457,332","$3,460,732","$22,746,665","$3,131,814",,"$2,548,326","$165,003","$691,322","$16,390,905","$15,902,123","$22,318,675","$2,221,423","$6,208,092","$5,382,107","$5,174,482","$109,194,913","$5,863,005","$5,029,805","$1,296,133","$2,285,111","$9,496,024","$77,681","$2,379,075",,,,,,"$166,117",,,,,
X-Men: Apocalypse (2016),"$16,164,749","$5,810,167","$9,004,793","$860,452","$5,425,579","$311,867","$2,433,371","$222,598",,"$17,807,456","$6,554,697","$20,642,326","$598,082","$169,795","$123,371","$24,287,465","$2,395,785","$1,690,455","$1,039,752","$1,049,167",,"$1,082,378","$3,693,725",,,"$939,353",,"$816,539",,,"$903,314",,,,,,"$538,012",,,,,,,,"$54,418",,,"$3,278,161","$3,885,486","$20,550,478","$1,889,547",,"$1,014,806",,,"$7,360,778","$11,392,143","$11,154,528","$1,924,905","$8,914,451","$5,865,247","$5,799,126","$120,765,095","$2,871,603","$3,153,857","$497,023",,"$3,771,307",,,,,,,,,,,,,
Spider-Man: Homecoming (2017),"$18,790,173","$10,157,185","$11,664,461","$1,321,129","$11,950,872","$340,638","$2,659,165","$408,209","$334,201,140","$27,069,013","$9,080,755","$51,515,806","$1,158,441","$331,584","$149,352","$39,582,694","$4,042,454","$2,278,867","$2,308,622","$2,827,030","$3,680,062","$2,692,532","$5,023,621","$2,602,715","$1,755,851",,"$280,973","$1,044,817","$629,019","$1,112,868","$1,628,395","$665,503","$1,102,206","$330,441","$1,063,307","$533,993",,"$461,870",,"$53,051","$260,893","$179,822","$139,920","$203,713","$104,236",,"$2,527,948","$5,205,100","$7,033,029","$31,896,083","$4,592,912","$2,692,449","$4,362,392","$396,392","$1,407,192","$25,390,871","$19,719,661","$16,341,826","$2,695,355","$7,523,563","$5,316,786","$11,403,714","$116,280,889","$6,771,976","$7,910,547","$1,283,316","$2,468,895","$9,657,745","$2,140,029","$1,853,733",,"$305,426","$12,335,003",,"$870,753","$305,790","$665,551","$100,575","$1,666,038","$779,671","$297,261"
Love at First Fight (2014),"$2,215,989",,,,"$76,081","$4,949",,,,,,,,,,,,"$68,144",,,,"$7,090",,,"$17,923",,,,,"$30,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teza (2008),"$6,209","$122,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Salt of the Earth (2014),,"$1,859,455","$515,488",,"$196,895","$37,609","$8,322",,"$1,343,349","$245,775",,,,,"$9,813",,"$77,654","$42,893",,"$19,376",,,,,"$87,408","$44,954",,"$7,140",,"$79,838",,,,,,,"$22,840",,,,,"$9,199",,,"$14,836",,,,"$56,628","$408,420","$4,892",,,,,,,"$62,990","$150,066",,,,,,,,,"$106,626",,,,,,,,,,,,,
Il mio miglior nemico (2006),,"$23,500,977",,,"$209,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Flat for Three (2012),,"$11,398,541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freche Mädchen (2008),,,"$7,645,100",,,,,,,,,,,,,,,,,,,,,,"$650,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$106,814",,,,,,,,,,,
Seed (2006),,,"$48,710",,,,,,,,,,,,,,,,,,,,"$106,652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garfield's Fun Fest (2008),,,,"$21,705",,,"$696,003",,,,,"$431,096",,,,,,,,,,"$538,623","$124,361",,,,,,"$7,552",,,,,,,,,,,,,"$14,361",,,"$96,612",,,,,"$729,560",,,,,"$408,638",,,,,,,,,,,,,,,,,,,,,,,,,,
Elsa & Fred (2014),,,,"$17,419","$88,885",,,,,"$198,953",,,,,,,,,"$29,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,558",,,,,"$5,507",,,,,"$86,601",,,,,,,,,,,,,,,,,,,,,,
Blindsided (2013),,,,,"$62,387",,,,,,,,,,,,,,,,,,"$32,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$151,530",,,"$42,673",,,,"$82,935",,,,,,,,,,,,,,,,
Lili's Apron (2004),,,,,"$31,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Elephant (2012),,,,,"$1,284,608",,,,,,,,,,,"$25,920",,"$39,958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,603","$8,212","$338,903",,,,"$57,333",,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaching for the Moon (2013),,,,,"$40,253",,,,,,,,,,,"$8,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,439,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Want You (2012),,,,,"$15,718,869",,"$54,938",,,"$818,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,339",,,,,"$82,805","$368,996","$52,473",,,,"$716,128","$27,147","$36,556",,,"$6,108,136",,,,,,,,,,,,,,,,,,,,,,,
The Grump (2014),,,,,,"$3,361",,,,,,,"$5,245,346","$5,643","$5,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Reef 2: High Tide (2012),,,,,,,"$530,537",,,,,"$1,590,071",,,,"$158,097",,,,,,,"$171,945",,,,,,"$35,122",,,,,,,,,,,,,,,,,,,,,"$1,486,228",,,,,"$9,159",,,"$2,458,622",,,,,"$2,390,000",,,,,,,,,,,,,,,,,,
Voices (2007),,,,,,,"$34,557",,,,,"$1,626,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$96,539",,,,"$27,847",,,,,,,,,,,,,
The Skeptic (2009),,,,,,,,,"$6,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$99,457",,,,,,,,,,,,,,,,,,,,,,,
The Power of Few (2013),,,,,,,,,"$25,000",,,,,,,,,,,,,,"$20,659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Berlin File (2013),,,,,,,,,"$665,210",,"$63,681","$48,146,202",,,,,,,,,,,"$6,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$96,249",,,,,,,,,"$1,506",,,,,,,,,,,,,,,,
Filly Brown (2012),,,,,,,,,,"$90,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarzan (2013),,,,,,,,,,"$2,474,594","$113,658","$4,158,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$908,190","$458,027","$854,137","$5,026,193","$394,942",,"$208,838","$43,017","$52,497",,,"$5,589,673","$227,345","$33,056","$170,194",,"$3,010,000","$54,032","$93,181",,,,,,,,,,,,,,,,
The Fox and the Child (2007),,,,,,,,,,"$25,455","$24,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$85,331",,,,"$9,035",,,,,,,"$138,300",,,,,,,,,,,,,
Nothing Left to Fear (2013),,,,,,,,,,"$1,167,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$396,573",,,,"$88,468",,,"$14,963",,,,,,,,,,,,,,,,,,,,,,,,,,
Memories of My Melancholy Whores (2011),,,,,,,,,,"$104,471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,033",,,,,,,"$148,163",,,,,,,,,,,,,,,,,,,,,,,
The End (2012),,,,,,,,,,"$47,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,861",,,,,,,,,,"$2,934",,,,,,,,,,,,,,,,,,,,,,,
The Depraved (2011),,,,,,,,,,"$59,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When a Man Falls (2007),,,,,,,,,,"$11,663",,,,,,,,,,,,,"$41,195",,,,,,,,,,,,,,,,,,,,,,,,,"$52,551",,,,,,,,,,"$15,438",,,,,,,,,,,,,,,,,,,,,,,
PK (2014),,,,,,,,,,,"$869,591",,,,,"$3,172,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,712,959",,"$443,482",,,"$47,094,300","$19,380,000",,,,,,,,,,,,,,,,,,
Millionaire Dog (2014),,,,,,,,,,,"$9,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$118,293","$417,361",,,,"$226,274",,,"$77,811",,,,,,,,,,,,,,,,,,,,,,,,,,
Flu (2013),,,,,,,,,,,"$56,731","$19,504,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,336",,,"$178,146",,,,,,,,,,,,,,,,,
The Attorney (2013),,,,,,,,,,,"$193,570","$77,796,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansel and Gretel (2007),,,,,,,,,,,,"$2,101,678",,,,"$6,404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,511",,,,,,,,,,,,"$87,032",,,,,,,,,,,,,,,,,,,,
Happily N'ever After 2: Snow White: Another Bite at the Apple (2009),,,,,,,,,,,,"$378,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drishyam (2013),,,,,,,,,,,,,,,,"$162,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,216",,,"$12,875,265",,"$11,712",,,,,,,,,,,,,,,,,
Kevin Hart: Let Me Explain (2013),,,,,,,,,,,,,,,,"$73,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supermensch (2013),,,,,,,,,,,,,,,,"$7,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half of a Yellow Sun (2013),,,,,,,,,,,,,,,,"$214,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,763",,,,,,,,,,,,,,,,,,,,,,
Peeples (2013),,,,,,,,,,,,,,,,,,,"$96,398",,,,"$29,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,320",,,,,,,,,,
The Single Moms Club (2014),,,,,,,,,,,,,,,,,,,"$318,436",,,,"$20,829",,,,"$52,305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suddenly (2006),,,,,,,,,,,,,,,,,,,,,"$2,876,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,680",,"$14,155",,,,,,,,,,,,,,,,,,,,,,
Shortcut to Happiness (2003),,,,,,,,,,,,,,,,,,,,,,,"$61,892",,,,,,"$19,660",,"$192,524",,,,,,,,,,,,,,,,,,,,,,,,,,,"$331,218",,,,,,,,,,,,,,,,,,,,,,,
Java Heat (2013),,,,,,,,,,,,,,,,,,,,,,,"$166,917",,,,,,"$19,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,136",,,,,,,,,,,,,,,,
Love N' Dancing (2009),,,,,,,,,,,,,,,,,,,,,,,"$21,666",,,,,,"$4,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forbidden Empire (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,554,937",,,,,,,,,,,,,,,,,"$64,925",,"$14,259",,,,,"$23,918",,,"$34,125,682",,,,,,,"$102,241",,,,,,,,,,,,,,,,
Highlander: The Source (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$90,856",,,,,,,,,,,,,"$60,061",,,,,,,,,,,,,,,,,,,,,
Happy New Year (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$92,327",,,,,,,,,"$567,528",,"$232,246",,,,,,,,,,,,,,,,,,,,,,
At the Devil's Door (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrente 4: Lethal Crisis (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,558","$539,738",,,,"$7,694","$30,956","$6,238",,,,,,,,,,,,,,,,,,,,,,,,,,
Torrente 5 (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$187,135",,,,,"$21,430",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Identical (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winning Streak (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,613",,,,,,,"$41,702",,,,,,,,,,,,,,,,,,,,,,,
Santos (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Anomaly (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$119,730",,,"$6,536",,"$53,788",,,,"$72,239",,,,,,,,,,,,,,,,,
Newcastle (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$114,536","$138,551",,,,,,,,,,,,,,,,,,,,,,,,
Thunderpants (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$108,260",,"$49,978",,,,,,,,,,,,,,,,,,,,,,
Son of a Gun (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,402",,,,,,,,,,,,,,,,,,,,,,,,
Foodfight! (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,266",,,,,,,,,,,,,,,,,,,,,,,
Animal (1977),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,552,275",,,,,,,,,,,,,,,,,,,,,,,
Unit 7 (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,822",,,,,,,,,,,,,,,,,,,,,,,
Kandagar (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,867,613",,,,,,,,,,,,,,,,,,,,,,,
Piranha (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,240,000",,,,,,,,,,,,,,,,,,,,,,,
The Tattooist (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$380,118",,,,,"$76,562",,,,,,,,,,,,,,,,,
Ghost Son (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,851",,,,"$28,551",,,,,,,,,,,,,,,,,
Private Valentine: Blonde & Dangerous (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,277",,,,,,,,,,,,,,,,,,,,,
The White Haired Witch of Lunar Kingdom (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,850,000",,,,,,,,,,,,,,,,,,
Legendary (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,450,000",,,,,,,,,,,,,,,,,,
Maattrraan (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,124,812",,,,,,,,,,,,,,,,,
Comet (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,907",,,,,,,,,,,,,,,,
