Movie Name,Argentina,Uruguay,Australia,Russia/CIS,Türkiye,France,Spain,Germany,United Kingdom,United Arab Emirates,Romania,Belgium,Portugal,Ukraine,South Africa,Oman,Thailand,Singapore,Philippines,Domestic,New Zealand,South Korea,Austria,Lebanon,Peru,India,Malaysia,Nigeria,Kenya,Venezuela,Italy,Poland,Netherlands,Sweden,Czech Republic,Slovakia,Lithuania,Greece,Croatia,Latvia,Mexico,Ecuador,Bolivia,Vietnam,Bahrain,Brazil,Norway,Iceland,Chile,Colombia,Taiwan,Denmark,Slovenia,Hungary,Switzerland (French),Switzerland (German),China,Finland,Bulgaria,Serbia and Montenegro,Israel,Qatar,Hong Kong,Cambodia,Switzerland,Estonia,Japan,Ethiopia,Ghana,Egypt,Indonesia
The Finest Hours (2016),"$353,534","$23,557","$177,086","$3,195,800","$286,855","$300,577",,"$32,296","$356,716","$1,543,347","$310,453","$75,052","$178,782","$500,397","$202,248","$178,209","$359,113","$318,022","$161,295",,"$205,561",,,"$183,460","$258,479","$293,008","$628,349",,"$21,827",,,"$120,806",,,"$39,802",,,"$84,824",,,"$872,330","$554,575","$111,022",,"$201,275","$384,305",,,"$160,910","$304,987","$1,158,023",,,,,,,,"$100,951",,"$96,757",,"$1,196,108",,,,"$2,221,112",,,"$55,709",
Me Before You (2016),"$1,987,719",,"$9,140,279","$3,865,895","$1,101,584","$897,108","$3,972,365","$20,300,000","$13,700,000","$890,952","$274,091",,"$331,806","$253,570","$771,257",,"$1,366,004",,,,"$1,686,712","$6,900,218",,,,,,,,,"$7,814,049","$1,572,000","$2,100,000",,"$371,153","$283,788","$138,695",,,,"$11,600,000",,,,,"$20,729,129","$4,401,114","$108,653",,"$1,389,503","$4,100,000",,"$129,761","$259,611",,,,"$839,962","$118,097",,,,"$1,300,000",,"$2,500,000",,"$705,000",,,,"$105,000"
Gods of Egypt (2016),"$515,068","$64,595","$1,871,004","$11,358,404","$1,674,669","$3,443,003","$2,251,143","$1,377,351","$1,288,806","$1,527,578","$1,116,282","$657,259","$261,221","$1,104,319","$448,543",,"$3,030,188","$1,276,147","$3,068,942",,"$400,001","$6,528,233","$181,554","$298,338","$2,176,087",,"$2,329,446",,,"$247,284","$1,159,814","$652,294","$963,291",,"$502,018","$261,833","$117,360","$393,877","$166,423",,"$4,564,695","$992,747","$410,020",,,"$4,737,278","$26,219","$39,020","$729,604","$1,487,881",,"$280,018","$50,103","$538,058","$52,765","$276,777","$35,598,525","$37,484","$595,925","$69,710",,,"$1,847,480",,,"$60,805","$4,982,433",,,"$77,216",
Embrace of the Serpent (2015),"$129,812","$6,774","$300,316",,,,"$112,100",,"$59,026",,,,"$7,402",,,,,,,"$1,329,249",,,"$27,722",,,,,,,,,,,,,,,"$54,808",,,"$50,398",,,,,,,"$5,674",,"$1,123,285",,,,,,,,,"$10,610",,,,,,,,,,,,
10 Cloverfield Lane (2016),"$420,499","$11,530","$3,053,436","$1,310,014","$177,104","$2,688,871","$1,206,010","$1,335,305","$7,107,143","$347,223","$111,604","$289,785","$214,497","$116,466","$60,128","$9,182","$412,517","$276,202",,,"$392,333","$2,525,730","$212,833","$46,116",,,"$196,641",,,"$53,976","$157,889","$244,239","$758,514","$503,389","$59,495","$23,291","$41,245","$126,930",,,"$1,358,735","$29,600","$12,778",,,"$1,448,485","$170,603","$69,831","$74,594","$134,944","$857,509","$54,498",,"$134,423",,,,,,,"$132,401",,"$422,332",,,,,,,,
London Has Fallen (2016),"$853,203","$29,543","$4,495,818","$2,323,333","$583,673","$2,290,641","$3,089,855","$3,486,396","$15,939,904","$3,632,279","$735,031","$1,075,837","$1,202,645",,"$931,777","$224,610","$1,446,720","$1,360,646","$2,124,339",,"$602,362","$5,115,427","$847,167","$859,898","$1,114,815",,"$3,025,750",,,,"$3,137,843","$444,713","$2,945,801","$790,086","$117,312","$61,689","$72,668","$818,352","$140,818",,"$4,114,367","$38,503",,,,"$2,406,346","$300,282","$87,430","$138,322","$265,337","$3,672,026","$507,263","$73,473","$404,302",,"$596,918","$52,302,200","$255,276","$328,158","$60,029",,,"$2,183,407",,,,,,,,
Zootopia (2016),"$8,369,084","$463,743","$21,698,904","$39,154,545","$1,451,349","$31,884,949","$15,222,767","$34,237,118","$34,169,763","$2,060,043","$1,272,421","$4,488,364","$2,225,250","$1,995,155","$1,494,201","$94,375","$3,523,000","$4,370,000","$1,022,000","$341,268,248","$2,730,842","$29,456,695","$3,751,557","$167,388","$4,242,507","$1,699,000","$3,134,000",,,"$1,628,000","$12,643,572","$5,937,109","$5,807,558","$6,921,327","$1,415,576","$879,904","$404,554","$944,722","$283,126",,"$17,139,134","$2,494,960","$909,666",,,"$10,675,203","$2,579,949","$317,924","$4,266,919","$5,587,150","$8,850,230","$4,035,059","$191,111","$1,456,306","$1,655,928","$3,303,486","$236,086,416","$1,657,796","$1,010,741","$143,051","$1,653,780",,"$7,043,370",,"$5,081,556","$393,779","$70,127,286",,,,
The Source (2011),"$97,544","$23,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$122,122",,,,,,,,,,,,,,,,,,,,,,,,,
A War (2015),"$20,477",,,,,"$51,742",,"$17,398","$26,256",,,,$419,,,,,,,,,,,,,,,,,,,,,,"$12,698",,,"$23,126",,,,,,,,,,,,,,"$838,678",$967,,,,,,,,,,,,,,,,,,
As the Shadow (2006),"$5,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
