Movie Name,Argentina,Uruguay,Australia,Russia/CIS,Türkiye,France,Spain,Germany,United Kingdom,United Arab Emirates,Romania,Belgium,Portugal,Ukraine,South Africa,Oman,Thailand,Singapore,Philippines,Domestic,New Zealand,South Korea,Austria,Lebanon,Peru,India,Malaysia,Nigeria,Kenya,Venezuela,Italy,Poland,Netherlands,Sweden,Czech Republic,Slovakia,Lithuania,Greece,Croatia,Latvia,Mexico,Ecuador,Bolivia,Vietnam,Bahrain,Brazil,Norway,Iceland,Chile,Colombia,Taiwan,Denmark,Slovenia,Hungary,Switzerland (French),Switzerland (German),China,Finland,Bulgaria,Serbia and Montenegro,Israel,Qatar,Hong Kong,Cambodia,Switzerland,Estonia,Japan,Ethiopia,Ghana,Egypt,Indonesia
The Other Side of the Door (2016),,,,"$871,103","$125,662","$1,851,016","$585,159",,"$868,073","$195,343","$72,073",,,"$38,662","$55,343","$7,016",,"$243,986","$228,877",,"$3,550",,,"$41,863","$133,341",,"$365,776",,,"$63,017","$136,916","$505,788",,,,,,,,,"$1,047,100","$251,523",,,"$70,586",,,,,,"$424,083",,,,,,,,,,,"$59,260",,,,,,,,,
The Pimp (2010),,,,"$921,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Trouble (2011),,,,"$12,437,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samyy luchshiy film 2 (2009),,,,"$14,322,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race (2016),,,,"$39,222","$13,468","$1,072,306","$618,880","$237,554","$251,542","$54,748",,"$79,545","$46,379",,"$26,779","$1,190",,"$33,828",,,,"$16,709","$9,748","$3,060",,"$75,189",,,,,"$2,233,479",,"$130,235","$15,466",,,,"$50,754","$28,700","$18,330",,,,,"$5,318","$14,587",,"$2,469",,"$31,945",,,"$4,672",,,,,,,,"$289,768",,"$57,086",,"$29,266","$15,614","$151,495",,,,
Misconduct (2016),,,,"$55,243",,,,,,,,,,,,,,,,,,"$970,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les anarchistes (2015),,,,"$4,849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,518",,,,,,,,,,,,,,,,,,,,,,,,,
Southbound (2015),,,,"$11,610",,,,,,,,,,,,,,,,"$23,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becoming Zlatan ... (2015),,,,"$13,369",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Commune (2016),,,,"$18,117",,"$551,313","$130,238",,"$33,257",,"$4,223","$20,179","$19,161",,,,,,,,,"$25,479",,,,,,,,,"$282,780",,"$389,808",,"$2,451",,,"$24,253",,,,,,,,"$10,065","$6,492",,,,,"$2,821,190","$6,039",,,,,"$26,557",,,,,,,,,,,,,
Goltzius and The Pelican Company (2012),,,,"$30,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Teachers (2013),,,,"$275,512","$18,240","$32,482,020",,,,,,,,"$21,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$70,648",,,,,,,,,,,,,,,,,
Mafia: Game of Survival (2016),,,,"$4,215,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,097,754",,,,,,,,,,,,,,
Araf/Somewhere in Between (2012),,,,,"$180,179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagerfeld Confidential (2007),,,,,"$6,956",,,,"$21,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,388",,,,,,,,,,,,,,,,,,,,
Peggy Guggenheim: Art Addict (2015),,,,,,"$51,985",,,"$136,416",,,,,,,,,,,"$498,428","$92,747","$27,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janis: Little Girl Blue (2015),,,,,,"$406,595","$35,008","$227,754","$144,510",,"$2,171",,"$8,005",,,,,,,,,,"$43,298",,,,,,,,"$171,025","$19,370","$8,280",,,,,,,,,,,,,"$56,303",,,"$3,733","$30,717",,"$93,470","$11,984","$10,478",,,,,,,,,,,,,,,,,
Tomorrow (2015),,,,,,"$8,169,471","$92,133",,"$13,490",,,"$1,081,862","$33,824",,,,,,,"$62,510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,037",,,,,"$1,504,398","$301,670",,,,,,,,,,,,,,,
Plastic Planet (2009),,,,,,"$4,757",$345,"$113,311",,,,"$2,021",,,,,,,,"$3,164",,,"$722,947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April and the Extraordinary World (2015),,,,,,"$180,872",,$28,,,,"$18,769",$722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Birth of a Nation (2016),,,,,,"$554,119","$52,936",,"$279,117","$20,979",,,,"$1,218","$9,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wakhan Front (2015),,,,,,"$101,351",,,,,,"$4,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desierto (2015),,,,,,"$718,361","$6,125",,,"$38,943",,,,,"$3,893",,,,,,,"$75,793",,,,,,,,,,,,,,,,,,,"$2,055,323",,,,,,,,,"$24,516",,,,,,,,,,,,,,,,,,,,,
Marie's Story (2014),,,,,,"$820,923","$168,316",,,,,"$2,395","$2,863",,,,,,,,,"$49,978","$109,279","$3,734",,,,,,,,,,,,,"$4,028",,,,,,,,,,$278,,,,,,,,,,,,,,,,,,,,,,,,
The Life of Budori Gusuko (2012),,,,,,"$43,724",,,,,,,,,,,,,,,,"$101,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,868,421",,,,
Morning Light (2008),,,,,,,$134,,,,,,,,,,,,,,$145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Autumns, 3 Winters (2013)",,,,,,,"$21,319",,,,,"$1,207",,,,,,,,,,,,,"$2,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatima (2015),,,,,,,"$14,435",,,,,,"$147,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse Money (2014),,,,,,,"$1,747",,,,,,,,,,,,,"$6,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Semen, a Love Sample (2005)",,,,,,,"$2,471,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,658",,,,,,,,"$15,367",,,,,,,,,,,,
From Afar (2015),,,,,,,"$53,418",,"$2,715",,,,"$1,813",,,,,,,"$30,169",,,,,,,,,,,"$62,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Carat (2008),,,,,,,"$277,723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They Are All Dead (2014),,,,,,,"$42,877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sisters in Law (2005),,,,,,,,"$15,214",,,,,,,,,,,,"$33,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonewall (2015),,,,,,,,"$41,469",,,,,,,,,,$546,,,,,$932,,,,,,,,"$62,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captive (2015),,,,,,,,,"$79,328",,,,,,,,,,,,,,,,,,,"$10,277","$6,391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khoobsurat (2014),,,,,,,,,"$657,005",,,,,,,,,,,,"$8,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrelated (2007),,,,,,,,,"$154,463",,,,,,,,,,,"$4,529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Poem Is a Naked Person (1974),,,,,,,,,$183,,,,,,,,,,,"$96,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lovers & the Despot (2016),,,,,,,,,"$12,014",,,,,,,,,,,,,"$27,996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitoor (2016),,,,,,,,,"$191,993",,,,,,,,,,,,"$14,820",,,,,"$2,719,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazer Team (2015),,,,,,,,,"$220,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molly Moon and the Incredible Book of Hypnotism (2015),,,,,,,,,"$1,018",,,,,,"$14,864",,,"$26,294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jodi No. 1 (2001),,,,,,,,,"$73,581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaadein... (2001),,,,,,,,,"$93,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaking Through (2015),,,,,,,,,$310,"$13,822",,,,,"$7,350",,,"$7,643",,,,,,,,,,,,,"$588,083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saathiya (2002),,,,,,,,,"$223,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaante (2002),,,,,,,,,"$431,619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mastizaade (2016),,,,,,,,,"$25,180",,,,,,,,,,,,,,,,,"$2,466,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khakee (2004),,,,,,,,,"$336,293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fida (2004),,,,,,,,,"$83,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asambhav (2004),,,,,,,,,"$31,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glastonbury (2006),,,,,,,,,"$170,118",,,,,,,,,,,,,"$13,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,412",,,,,,,,,,,,,,,,,,,,
Kaal (2005),,,,,,,,,"$364,686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deewane Huye Paagal (2005),,,,,,,,,"$331,492",,,,,,,,,,,,,,,,,"$4,848,689",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waqt: The Race Against Time (2005),,,,,,,,,"$1,580,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Perfect Match (2016),,,,,,,,,,"$71,707",,,,,"$440,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naked Soldier (2012),,,,,,,,,,"$37,187",,,,,,,,,,,,,,,,,"$212,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$81,514",,,,,,,,
The Mystery of Sintra (2007),,,,,,,,,,,,,"$131,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,307",,,,,,,,,,,,,,,,,,,,,,,,,
The Decent One (2014),,,,,,,,,,,,,"$3,382",,,,,,,,,,"$10,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Of Mind and Music (2014),,,,,,,,,,,,,"$25,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Young Messiah (2016),,,,,,,,,,,,,"$25,648",,"$21,057",,,"$37,923",,,,,,"$10,358",,,,,,,,"$136,673",,,,,,,"$4,523",,"$390,268",,,,,"$146,939",,,,,"$66,548",,,,,,,,,,,,,,,,,,,,
Woodlawn (2015),,,,,,,,,,,,,,,"$7,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Stone Gap (2014),,,,,,,,,,,,,,,"$3,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retribution (2015),,,,,,,,,,,,,,,,,"$13,068",,,,,,,,,,,,,,,,,,,,,,,,"$190,627",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloody Reunion (2006),,,,,,,,,,,,,,,,,"$107,736","$7,541",,,,"$2,702,346",,,,,"$68,756",,,,,,,,,,,,,,"$138,657",,,,,,,,,,"$69,647",,,,,,,,,,,,,,,,,,,,
Jeruzalem (2015),,,,,,,,,,,,,,,,,"$23,247","$18,000","$43,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,978",,,,,,,,,,,,,,,,,,,,
Un + Une (2015),,,,,,,,,,,,,,,,,"$3,889","$5,881","$1,263",,,"$69,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$133,654",,,,
Africa United (2010),,,,,,,,,,,,,,,,,,"$3,959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Me to You (2010),,,,,,,,,,,,,,,,,,"$6,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,027,475",,,,
Black Out (2012),,,,,,,,,,,,,,,,,,,,"$2,734",,,,,,,,,,,,,"$385,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie: The Sleepwalking Cannibal (2012),,,,,,,,,,,,,,,,,,,,"$1,632",,,,,,,,,,,,,,,,,,,,,$174,,,,,,,,,,,"$43,972",,,,,,,,,,,,,,,,,,,
Daawat-e-Ishq (2014),,,,,,,,,,,,,,,,,,,,,"$18,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCD (Any Body Can Dance) (2013),,,,,,,,,,,,,,,,,,,,,"$18,096",,,,,"$7,370,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Forecast (2015),,,,,,,,,,,,,,,,,,,,,,"$13,576,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blind Date (2015),,,,,,,,,,,,,,,,,,,,,,"$57,378",,,,,,,,,,,,,,,,,,,"$89,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Face Reader (2013),,,,,,,,,,,,,,,,,,,,,,"$61,043,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humraaz (2002),,,,,,,,,,,,,,,,,,,,,,,,,,"$5,643,157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Signal (2007),,,,,,,,,,,,,,,,,,,,,,,,,,"$2,723,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ko (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,"$281,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Straight Son (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,164,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walesa: Man of Hope (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,938",,,,,,,,,,,,,,,,"$22,623",,,,"$12,924",,,,,,,,,,,,,,,,,,,,,
Find a Boyfriend for My Wife... PLEASE! (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,828,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insignificant Things (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$251,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Used Parts (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$52,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Of Love and Other Demons (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courted (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,952",,,,,,,,,,,,,,,,,,,,,,,,,
Dogora - Ouvrons les yeux (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,684",,,,,,,,,,,,,,,,,,,,
The Secret of the Magic Gourd (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,725,713",,,,,,,,,,,,,,
Monk Comes Down the Mountain (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$64,260,000",,,,,,,,,,,,,,
An Inspector Calls (1954),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,700,000",,,,,,,,,,,,,,
"Crouching Tiger, Hidden Dragon: Sword of Destiny (2016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,262,712",,,,,,,,,,,,,,
Ghost in the Shell: Stand Alone Complex - Solid State Society (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,127",,,,"$2,053,304",,,,
