Movie Name,Türkiye,Germany,Greece,Austria,United Kingdom,France,Belgium,Brazil,United Arab Emirates,Spain,Portugal,Netherlands,Ukraine,Bulgaria,Norway,Croatia,Egypt,Iceland,Lebanon,Russia/CIS,Malaysia,Thailand,Japan,Philippines,Singapore,Hong Kong,China,Sweden,South Africa,Australia,New Zealand,South Korea,Finland,Italy,Poland,Czech Republic,Slovakia,Hungary,Slovenia,Argentina,Uruguay,Ecuador,Domestic,Serbia and Montenegro,Peru,Bolivia,Nigeria,East Africa,Mexico,Chile,Israel,India,Denmark,Bahrain,Lithuania,Colombia,Venezuela,Taiwan,Vietnam,Switzerland (German),Saudi Arabia,Switzerland (French),Estonia,Latvia,Kuwait,Switzerland,Kenya,Oman,Ghana,Central America,Romania,Jordan,Cambodia,Qatar,Ethiopia
Interstellar (2014),"$4,508,240","$19,938,154","$1,783,794","$2,402,313","$34,581,591","$23,725,180","$3,666,681","$6,940,956","$2,396,001","$12,167,993","$1,922,517","$4,790,056","$1,921,784","$355,577","$3,089,614","$460,983","$1,180,904","$296,195","$376,148","$19,005,801","$2,560,376","$2,089,030","$11,461,294","$1,430,687","$3,676,772","$6,676,404","$139,380,291","$7,165,672","$710,777","$18,052,865","$2,731,941","$69,290,035","$2,216,377","$13,580,313","$19,572,765","$1,346,954","$648,766","$1,363,360","$119,302","$748,623","$109,668","$587,783","$188,020,017","$316,573","$958,402","$125,332","$29,198","$28,502","$5,787,992","$1,008,764","$1,049,964","$6,922,608","$4,229,914",,"$53,291","$1,310,083","$2,017,463","$8,942,017","$151,721","$3,891,150","$1,706,626","$889,475","$246,838","$152,448","$60,493","$48,100","$45,283",,,,,,,,
3 Days to Kill (2014),"$168,819","$1,158,065","$122,801","$249,739","$1,236,902","$2,441,861","$525,485","$124,408","$879,892","$998,254","$275,339","$787,055","$142,159","$87,620",,"$52,954","$114,029","$20,396","$178,081","$1,572,675","$463,592","$360,664","$1,274,980","$76,157","$213,381","$122,572",,,"$247,062","$763,646",,"$1,606,373",,"$962,167","$519,167","$33,753","$10,321","$94,013","$8,402","$549,067","$48,312","$70,570",,"$5,567","$61,505","$26,761",,,"$2,080,394","$60,746",,,"$40,289",,,"$369,795","$1,356,441",,,,,,,,,,,,,,,,,,
Non-Stop (2014),"$614,127","$12,631,866","$441,087","$1,030,076","$15,774,889","$10,288,846","$2,086,919","$4,539,798","$3,013,909","$1,921,051","$173,201","$1,854,999","$154,776","$186,948","$831,462","$140,739","$386,320","$121,491","$548,622","$2,820,431","$2,273,188","$1,175,129","$4,464,001","$874,795","$2,564,317","$1,967,902","$16,620,000","$971,939","$652,456","$5,474,198","$900,946","$14,971,602","$472,939",,"$826,980","$119,472","$88,064","$627,734","$37,875","$1,791,702","$254,320",,,"$20,561","$1,617,457","$100,897","$97,450","$54,438","$7,497,250","$520,559",,,"$430,779",,,"$1,790,387","$1,820,001",,,,,,,,,,,,,,,,,,
300: Rise of an Empire (2014),"$4,608,917","$13,951,665","$4,027,193","$2,092,520","$12,925,711","$14,299,845","$2,035,055","$17,382,915","$2,891,319","$9,231,579","$562,012","$2,808,979","$1,891,956","$580,594","$1,359,244","$296,150","$606,064","$138,453","$667,722","$17,476,062","$3,119,383","$2,267,711","$3,155,787","$3,312,297","$2,517,937","$1,841,800",,"$1,754,438","$1,012,000","$7,819,429","$1,417,480","$12,500,660","$404,189","$6,770,316","$2,456,257","$830,981","$334,270","$900,974","$145,240","$4,447,135","$194,928","$1,281,615",,"$156,551","$3,007,674","$637,712","$269,928","$134,047","$14,892,708","$1,855,469","$1,445,230","$6,560,319","$1,004,298",,,"$3,257,977","$3,688,605",,,,,,,,,,,,,,,,,,
Black Heaven (2010),"$16,994",,,,,"$193,865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bag Man (2014),"$53,159",,,,,,,"$73,272","$179,611","$80,022",,,,,,,,$608,"$13,307",,,,,,,,,,,,,,,,,,,,"$5,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Peabody & Sherman (2014),"$767,610","$8,541,895","$650,999","$1,408,211","$22,511,139","$10,787,342","$1,902,968","$6,412,927","$1,395,940","$9,544,184","$901,825","$1,783,194","$473,447","$394,333","$714,975","$333,206","$126,794","$108,822","$203,256","$10,632,660","$917,788","$288,726",,"$674,389","$1,426,013","$851,252","$19,130,000","$1,729,667","$889,371","$12,062,802","$1,136,129","$2,682,830","$790,188","$4,702,433","$2,247,662","$560,840","$217,255","$376,296","$115,465","$2,738,535","$266,531","$1,164,658",,"$157,072","$1,307,057","$211,311","$3,282","$25,945","$8,342,462","$1,432,464","$1,152,227","$140,043","$1,034,525","$275,516","$295,008","$2,441,847","$2,769,858",,,,,,,,,,,,,,,,,,
Need for Speed (2014),"$1,216,227","$7,347,125","$532,453","$1,253,782","$8,138,409","$3,791,670","$1,174,473","$3,403,366","$2,986,386","$1,340,801","$612,658","$1,356,775","$1,078,091","$344,107","$1,238,209","$219,523","$118,581","$88,854","$533,971","$13,860,794","$4,468,303","$1,173,635","$2,098,862","$814,037","$1,158,339","$796,522","$66,240,000","$1,140,605","$1,341,238","$3,949,958","$621,668","$634,460","$490,639","$2,302,973","$717,235","$327,722","$162,437","$427,256","$152,598","$1,303,256","$128,448","$549,642",,"$23,063","$519,927","$152,081",,"$33,768","$3,936,801","$421,071",,,"$679,321",,,"$1,105,278","$2,093,714",,,,,,,,,,,,,,,,,,
Age of Uprising: The Legend of Michael Kohlhaas (2013),"$5,919","$303,948","$16,147","$54,575",,"$371,503","$45,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,901",,,,"$5,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captain America: The Winter Soldier (2014),"$2,363,940","$12,477,139","$1,051,962","$1,345,894","$32,230,026","$16,891,973","$1,675,926","$28,319,218","$3,932,053","$7,763,694","$1,048,121","$2,615,386","$846,367","$372,510","$1,836,203","$179,012","$423,545","$234,458","$311,894","$14,948,380","$8,404,017","$5,078,880","$6,628,830","$7,048,065","$6,012,468","$7,292,579","$115,620,000","$2,123,252","$1,409,597","$18,390,356","$660,494","$30,177,601","$825,586","$9,732,200","$1,382,916","$966,467","$245,956","$1,046,447","$80,914","$4,575,831","$212,788","$3,051,240",,"$73,124","$3,045,013","$801,888","$69,744","$164,529","$25,720,282","$2,278,502","$1,223,804","$4,234,349","$1,891,273",,,"$3,047,666","$10,076,143",,,,,,,,,,,,,,,,,,
Starred Up (2013),"$1,750",,,,"$2,474,323","$199,082","$63,081",,,"$3,711",,"$180,358",,,,,,,,,,,,,,,,"$47,969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah (2014),"$6,456,662","$11,829,096","$1,720,971","$1,616,853","$16,755,678","$11,436,717","$2,220,842","$30,611,212",,"$9,453,890","$1,449,584","$3,067,888","$2,600,991","$1,202,339","$1,622,309","$280,760",,"$176,698","$516,752","$33,854,392",,"$1,991,858","$12,764,481","$771,751","$1,983,389","$1,182,398",,"$2,249,363","$1,287,084","$11,628,698","$1,867,474","$13,980,325","$906,073","$10,629,488","$2,460,534","$840,386","$585,303","$1,046,373","$565,476","$4,213,648","$228,708","$1,805,479",,"$199,649","$4,197,836","$643,735","$43,784","$53,851","$15,736,543","$2,542,437","$2,089,542","$1,136,872","$1,332,627",,,"$4,899,408","$3,607,435",,,,,,,,,,,,,,,,,,
The Nut Job (2014),"$335,627",,"$150,480",,"$7,076,985","$6,540,875",,"$1,165,391","$458,065","$3,738,349","$949,095","$387,969",,"$267,942","$553,678","$183,648","$27,393","$40,371","$47,476","$4,751,611",,"$8,849",,"$27,544","$50,051","$49,293","$4,960,000","$341,090","$608,564",,,"$2,782,884","$139,561","$1,292,764","$1,766,837","$284,761","$214,634","$652,769","$43,872","$920,994","$113,161","$355,100",,"$59,475","$456,012","$23,778","$8,998",,"$2,661,700","$557,260",,,,,,"$269,649","$3,963,751",,,,,,,,,,,,,,,,,,
The Legend of Hercules (2014),"$2,868,229","$608,796","$252,254","$151,831","$586,983","$1,859,559","$160,725","$3,664,648","$967,561","$2,159,503","$96,352","$472,159","$361,097","$393,753",,"$178,411","$217,843",,"$414,970","$4,651,290","$1,303,892","$864,043",,"$497,893","$810,966","$355,510","$3,920,000",,"$245,189",,,"$1,548,396",,"$2,482,607",,"$55,109","$39,184","$307,924","$54,093","$843,707","$71,251",,,"$35,342","$758,584",,"$49,600",,"$1,713,602","$245,802",,,,,,"$709,869","$1,858,476",,,,,,,,,,,,,,,,,,
Muppets Most Wanted (2014),"$343,338","$1,457,622",,"$141,422","$12,698,743",,,"$286,500",,"$726,123","$501,825","$734,205",,,,"$36,838",,"$20,686",,,"$43,028",,,"$23,887","$103,066",,,,"$23,955","$4,045,143","$599,175",,,,"$927,254",,,,,"$696,820","$24,484","$338,886",,,"$485,210","$84,611",,,"$2,637,357","$189,281","$237,360","$83,378",,,,"$470,879","$172,332",,,,,,,,,,,,,,,,,,
Dom Hemingway (2013),"$37,609","$93,662",,,"$221,449",,"$38,810","$196,613","$71,428","$98,173",,,"$4,195",,,,,,,"$9,433",,,,,,,,,,,,,,,,,,"$22,149",,,,,"$523,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Ties (2013),"$40,600",,,,"$33,817","$2,049,720","$223,880",,"$27,934","$37,874","$11,687",,,,,,,,"$10,714",,,,,,,,,,"$8,814",,,,,,"$70,539",,,,"$2,248",,,,,"$6,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Amazing Spider-Man 2 (2014),"$3,630,348","$15,913,013","$1,526,775","$1,581,184","$40,468,688","$22,738,177","$2,277,211","$24,871,027","$5,080,537","$8,892,763","$1,168,537","$3,460,190","$1,283,834","$385,465","$2,050,825","$358,102","$562,511","$187,816","$541,985","$20,871,833","$9,394,162","$5,579,329","$30,253,480","$10,211,056","$7,125,346","$7,828,990","$94,430,000","$2,833,430","$2,045,174","$14,859,113","$2,197,860","$33,797,633","$848,743","$12,981,685","$1,607,378","$560,939","$191,431","$569,104","$128,120","$4,557,198","$361,052","$2,234,495",,"$115,582","$3,380,646","$799,483","$381,935","$184,869","$28,460,534","$3,107,285","$1,605,659","$13,606,274","$2,252,203","$649,944",,"$4,687,699","$7,337,924",,,,,,,,,,,,"$66,491",,,,,,
Oculus (2013),"$253,406",,"$35,083",,"$1,909,880",,"$353,391","$865,132","$134,588",$183,"$13,664","$806,327","$50,572",,,"$17,561","$108,817","$17,478","$11,976","$2,156,729","$833,811","$302,645",,"$151,576","$419,596",,,"$164,832","$38,040",,,"$1,915,211",,"$1,529,984","$327,579",,,,,"$671,518","$15,815","$29,234","$27,695,246",,"$371,360","$20,980",,,"$1,840,396","$281,121",,,,,,"$503,236","$612,984",,,,,,,,,,,,,,,,,,
Rio 2 (2014),"$2,273,579","$17,147,487","$896,349","$3,280,194","$26,342,826","$23,917,917","$4,585,923","$28,717,054","$3,044,913","$11,210,238","$2,077,407","$6,220,360","$1,704,018","$794,081","$3,075,635","$512,305","$223,549","$165,306","$341,838","$26,853,427","$1,946,266","$594,740",,"$2,574,406","$1,847,504","$1,528,854","$39,400,000","$3,536,237","$2,002,227","$11,259,422","$1,915,910","$5,418,398","$2,065,294","$8,153,444","$4,304,206","$1,468,681","$760,297","$1,361,075","$465,386","$9,582,078","$879,459","$3,016,991",,"$326,536","$4,236,345","$1,160,506","$141,944","$85,064","$30,905,962","$5,575,618","$2,105,346","$2,365,023","$2,533,323","$451,945","$483,988","$9,592,842","$8,364,251",,,,,,,,,,,,,,,,,,
Fading Gigolo (2013),"$175,917","$518,282","$540,026","$393,488","$922,878","$1,272,844",,"$1,657,176",,"$1,642,107","$103,079","$212,466","$93,490",,,,,"$10,230",,"$793,037",,,,,"$15,786","$87,379",,,"$102,031","$773,198","$24,761",,"$83,667","$6,060,434","$1,208,863",,,"$69,166","$26,784","$916,078","$135,897",,,"$11,608","$51,296","$8,602",,,"$618,278","$124,603",,,"$100,743",,,"$182,237",,,,,,,,,,,,,,,,,,,
Transcendence (2014),"$217,084","$4,414,832","$527,673","$682,951","$3,359,136","$6,455,851","$952,297","$1,774,617","$799,676","$2,517,379","$447,149","$825,355","$316,247","$292,117",,"$48,627","$186,089","$46,360","$166,809","$4,751,855","$745,386","$930,421","$4,662,269","$538,986","$1,013,070","$785,393","$20,280,000","$265,079","$63,508","$2,742,123","$347,674","$5,306,413","$391,054","$3,621,083","$899,079","$232,040","$121,035","$539,397","$35,736","$542,807","$42,017","$83,905",,"$50,308","$175,353",,,"$9,339","$2,939,607","$224,188",,,,,,"$556,360","$395,018",,,,,,,,,,,,,,,,,,
The Other Woman (2014),"$498,268","$12,268,604","$161,512","$2,345,561","$15,515,452","$6,705,393","$1,836,680","$2,737,669","$1,263,342","$2,092,601","$424,366","$4,060,293","$665,805","$308,016","$1,598,253","$219,519","$347,372","$96,477","$371,743","$6,307,825","$395,666",,,"$515,643","$985,381","$1,063,179",,"$2,439,385","$1,562,906","$18,812,986","$1,973,725","$362,259","$1,136,933","$1,998,985","$687,229","$298,508","$187,381","$1,157,744","$224,826","$502,800","$128,140","$258,745",,"$125,279","$395,919","$60,077","$18,538","$54,220","$3,875,056","$183,952","$885,541",,"$1,832,270","$242,764",,"$690,932","$1,601,558",,,,,,,,,,,,,,,,,,
A Haunted House 2 (2014),"$29,198",,,,"$184,366",,"$146,549","$1,610,118",,,,"$311,381",,,,"$37,635",,"$9,328","$18,516","$1,036,032","$193,165",,,,"$23,143",,,,"$56,671",,,,,"$2,385,124",,,,,"$4,960","$291,570","$15,109","$6,903",,,"$288,335","$22,352",,,"$970,884",,,,,,,"$103,138","$284,753",,,,,,,,,,,,,,,,,,
Le Week-End (2013),"$13,482","$887,486","$36,729","$116,063","$2,243,316","$215,175","$53,820","$170,585",,"$576,740","$22,747","$206,062",,,,,,,,,,"$14,031",,,"$9,983",,,"$24,693","$70,279","$1,042,474","$146,114",,"$62,848","$439,139",,,,,,,,,,,,,,,,,,,,,"$1,205","$74,144",,,,,,,,,,,,,,,,,,,
Vampire Academy (2014),"$268,221","$760,067","$104,961","$79,569",,"$339,327","$182,284",,,"$108,529","$30,361","$261,704","$129,917","$37,193",,,,,"$18,611","$1,628,833","$611,401","$356,850",,"$111,782","$182,435","$112,068",,,"$172,232","$1,664,610","$227,684",,,,"$116,125","$42,572",,"$33,033","$40,854","$41,451",,,,"$19,606","$44,447",,,,"$98,258",,,,,,,"$25,382",,,,,,,,,,,,,,,,,,,
Brick Mansions (2014),"$538,556","$1,965,839","$67,323","$315,538","$468,079","$2,694,295","$332,207","$543,526","$1,114,119","$176,354","$334,561","$524,726","$216,492","$90,811","$170,060","$9,896","$41,646","$6,110","$65,603","$3,516,564","$1,364,605","$955,585",,"$148,911","$779,715","$161,115","$29,840,000","$94,324","$147,410",,,"$470,854","$185,216","$1,947,752","$365,577","$47,529","$23,486","$78,224",,"$114,251",,"$30,866",,,"$89,449",,,,"$633,186",,,,"$107,025",,,"$142,736","$99,780",,,,,,,,,,,,,,,,,,
Conquest 1453 (2012),"$31,052,991","$3,696,787",,"$469,498","$30,469",,,,"$298,573",,,,,,,,"$89,996",,,,,,,,,,,,,"$90,534",,,,,,,,,,,,,,,,,,,,,,,,"$32,467",,,,,,,,,,,,,,,,,,,,,
Locke (2013),"$21,112","$266,558","$142,567","$44,230","$1,434,082","$31,052","$48,680",,,"$241,266",,"$47,967",,,,,,,,"$257,186","$21,572",,,,,"$24,373",,"$61,747","$28,272",,"$61,503",,"$95,686","$639,569","$210,433",,,,"$1,489",,,,,"$9,099",,,,,,,,,,,,,,"$26,396",,,,,,,,,,,,,,,,,
Pompeii (2014),"$64,042","$3,557,122","$426,809","$565,924","$4,501,310","$6,063,158","$1,220,168","$4,928,296","$664,720","$3,318,992","$402,349","$711,159","$672,621","$388,321","$177,051","$224,234","$129,583","$35,826","$431,063","$11,318,555","$1,130,375","$864,372","$2,744,172","$384,658","$632,284","$729,142","$15,630,000","$154,174","$276,152","$1,249,864","$226,647","$9,576,287","$207,319","$4,060,090","$1,112,184","$219,070","$83,858","$349,146","$51,127","$789,562","$42,523","$138,648",,"$26,092","$420,665","$80,859",,"$32,370","$4,141,754","$144,336",,,"$149,567",,,"$590,076","$905,491",,,,,,,,,,,,,,,,,,
Neighbors (2014),"$455,733","$18,026,864","$282,430","$2,873,264","$26,923,122","$5,710,819","$2,255,198","$2,629,833",,"$3,295,836","$780,640","$3,506,626","$535,547","$187,295","$1,657,410","$198,743",,"$166,017","$265,251","$3,468,733","$576,177","$471,539",,,"$635,502","$882,712",,"$1,561,436","$551,898","$16,807,772","$1,640,604","$215,659","$616,985","$1,089,062","$932,032","$227,741","$168,769","$892,090","$284,036","$1,312,641","$169,909","$154,745",,"$128,486","$443,244","$92,037","$12,358","$15,790","$5,548,655","$424,763","$1,433,978",,"$835,495",,,"$671,984","$575,985",,,,,,,,,,,,,,,,,,
A Case of You (2013),"$26,193",,,,,,,,"$23,822",,,,,,,,,,"$16,880",,,,,,"$45,477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonight You're Mine (2011),"$46,941",,,,"$21,840","$46,506",,,,"$1,991",,,$787,,,,,,,"$8,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
