Movie Name,Russia/CIS,Thailand,Germany,United Kingdom,France,Spain,Italy,Netherlands,Austria,Belgium,Poland,Portugal,Sweden,Norway,Hungary,Denmark,Israel,Ukraine,Greece,Türkiye,Czech Republic,Slovakia,Finland,South Africa,Croatia,Lebanon,Bulgaria,Slovenia,Serbia and Montenegro,Iceland,East Africa,Mexico,Venezuela,Brazil,Peru,Colombia,Argentina,Ecuador,Chile,Uruguay,Bolivia,Australia,Hong Kong,New Zealand,Philippines,Singapore,India,South Korea,United Arab Emirates,Egypt,Nigeria,Malaysia,Domestic,Qatar,Bahrain,Oman,China,Kenya,Ghana,Japan,Jordan,Romania,Taiwan,Estonia,Switzerland (French),Lithuania,Latvia,Vietnam,Paraguay,Switzerland (German),Indonesia,Switzerland,Central America
What We Do in the Shadows (2014),"$406,693",,"$319,845","$200,108",,"$80,808",,,"$80,173",,,"$7,863",,$21,,,,,,,,,,,,,,"$1,693",,"$6,294",,"$12,297",,,,,,,,,,"$700,710","$81,076","$2,003,334",,,,,,,,,"$3,469,224",,,,,,,,,,"$42,472",,,,,,,,,,
The Best of Me (2014),"$394,913","$126,480","$925,557","$1,852,936",,"$737,555",,"$1,074,251","$263,950","$257,872","$309,942","$424,405",,,,,,"$43,040","$20,774","$90,018","$32,514",,,"$423,678","$44,677","$163,294","$67,010",,"$16,004",,,,,"$553,661","$70,784",,,,"$39,338",,,"$1,798,312","$62,556","$255,095","$1,002,410","$140,701","$59,752","$55,615","$274,781","$105,430",,,,,,,,,,,,,"$112,508","$17,858",,"$25,784",,,,,,,
John Wick (2014),"$2,593,466","$882,134","$3,703,908","$2,427,834","$3,261,781",,"$124,074","$1,411,624","$529,759",,"$636,712","$1,746,566","$134,754",,"$363,815","$122,498",,,"$48,781","$1,412,141","$231,023","$94,870","$134,575","$798,600","$91,623","$253,419","$162,318","$19,223","$49,530","$66,011",,"$1,635,199",,,"$268,928",,,,,"$8,647","$15,375","$2,822,192","$596,152",$139,"$382,636","$484,870","$172,940","$757,626","$1,026,694","$66,307",,"$588,728","$43,037,835",,,"$83,743",,,,"$2,322,383",,"$431,247","$2,632,338","$84,229","$185,649","$42,081","$34,964","$226,734",,,,,
Plastic (2014),"$497,026",,,"$396,917",,,,,,,,,,,,,,"$21,829",,,,,,,,,,,,,,"$22,730",,,,,,,,,,,,,"$6,429",,,,"$29,056",,,,,,,,,,,,,,,,,,,,,,,,
The Judge (2014),"$4,450,812",,"$318,233","$1,623,014","$867,670","$1,587,619","$2,992,880","$364,930","$121,848",,"$230,089","$579,065",,"$27,804","$49,945",,"$442,755","$410,656","$887,104","$325,818","$117,119","$95,238","$89,126","$180,960","$24,765","$185,859","$64,660",,"$12,090","$26,963","$19,317","$2,844,380","$26,507","$2,231,317","$206,468","$605,224","$725,204","$184,473","$224,790","$89,248","$10,471","$2,655,679","$473,284","$230,300","$220,729","$438,517","$404,552",,"$271,572","$61,379","$22,667",,,,,,,"$19,579",,"$257,743","$22,868","$263,471","$3,003,628",,,,,,,,,,
The Disappearance of Eleanor Rigby: Them (2014),"$79,595",,"$83,623",,,"$135,097",,,"$15,815","$134,034",,"$24,908",,,,,,,,"$20,884",,,,"$14,296",,,,,,,,,,,,,,,,,,,,,,"$20,174",,"$331,876",,,,,,,,,,,,,,,,,,,,,,,,,
Fury (2014),"$7,943,849","$660,341","$3,592,814","$12,742,222","$6,576,188","$5,124,539","$4,458,388","$2,543,873","$860,339","$1,775,299","$1,251,406","$1,084,022","$2,077,890","$1,809,906","$717,997","$765,606",,"$984,990","$736,692","$1,337,541","$469,059","$155,811","$702,176","$196,148","$464,202","$383,942","$214,593","$49,573","$66,356","$90,529",,"$5,687,195","$915,354","$2,145,567","$350,571","$328,358","$648,425","$197,546","$429,374","$45,627","$82,886","$7,829,679","$1,873,455","$1,328,500","$330,132","$1,414,610","$849,507","$9,313,575","$1,775,593","$245,512",,"$470,006","$85,817,906",,,,"$19,180,000","$15,969",,"$6,219,201",,,"$1,699,142","$98,263","$261,555","$177,584","$84,650","$133,328",,"$716,276",,,
The Salvation (2014),"$53,031",,"$153,022","$57,240",,,,,"$19,750","$104,566",,,"$164,816","$39,305",,"$643,901",,,,"$18,745",,,"$52,172",,,,,,,"$8,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,611",,,,,,,,,
Grace of Monaco (2014),"$1,779,428","$73,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$396,380",,"$408,289","$27,253",,,,,,"$1,406","$1,723,137","$62,723","$389,289",,"$26,613",,"$1,579,346",,,,,,,,,"$4,080,000",,,"$5,407,138",,,,,,,,,,,,,
Amazon Jack (2007),"$925,599",,,,,,,,,,,,,"$597,072",,"$1,397,934",,,,,,,,,,,,,,"$17,935",,,,"$379,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014)","$1,892,466",,"$96,112","$4,881,803",,"$1,855,610",,,,,,"$291,196",,"$7,975",,,"$345,101",,,"$13,705",,,,"$446,093",,,,,,"$47,189",,"$4,094,389","$1,777,491","$1,100,501","$1,286,806","$1,410,665","$1,322,035","$829,078","$431,214","$130,912","$281,139","$5,891,759","$424,656","$553,050","$173,129","$293,072",,,,,,"$396,723",,,,,,,,,,,"$182,114",,,"$42,270","$53,121",,,,,,
Left Behind (2014),"$801,181",,,,,,"$1,048,732",,,,,$758,,,,,,,,,,,,"$14,424","$3,951","$148,009",,,,,,,,"$2,553,164","$903,504",,,"$46,366","$219,601",,,,,,"$467,249","$317,538",,,"$541,734","$52,962",,"$780,847",,,,,"$5,331,602",,,,,,"$141,650",,,,"$12,700",,,,,,
Extraterrestrial (2014),"$37,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ouija (2014),"$2,861,431","$155,745","$3,088,410","$5,095,101","$1,742,307","$2,536,085","$2,219,716","$633,973","$493,280","$448,245","$462,780",,"$367,789",,,,,"$268,043","$43,986","$86,314","$62,998","$27,500","$13,728",,"$35,013","$109,207",,"$76,286",,,,"$6,617,360","$1,329,563",,,,"$1,133,470","$141,257","$830,560","$92,311",,,"$125,615",,"$674,381","$669,611","$82,857","$398,956","$852,788","$148,707",,"$1,579,373","$50,856,010",,,,,,,,,,"$2,504,201",,"$36,663","$97,045",,"$676,116",,,,,
Nightcrawler (2014),"$26,843",,"$453,505","$4,408,153","$2,895,717","$277,532","$788,653","$175,351","$175,673","$93,164","$1,156,643","$64,154",,"$45,115","$63,327","$61,577",,,"$27,740","$33,760","$33,615",,"$122,780","$65,599","$21,033","$67,691","$36,471",,"$4,031","$54,072",,"$153,857",,,,,,,,"$13,527",,"$1,987,491","$239,160","$303,139","$33,379","$147,078","$44,037",,"$350,327","$50,951",,"$94,873",,,,"$27,707",,,,,,"$173,704","$204,516","$60,126",,,"$8,547",,,,,,
Big Hero 6 (2014),"$20,236,417","$1,795,540","$14,722,100","$31,565,340","$11,253,511","$18,460,857","$12,146,460","$2,782,510","$1,453,877","$2,511,225","$3,024,540","$1,400,896","$3,478,537","$2,100,866","$604,067","$2,686,610","$1,854,841","$959,075","$731,876","$3,068,560","$649,683","$244,294","$1,046,219","$1,551,080","$162,675","$132,293","$327,306","$91,873","$104,835","$158,847",,"$16,989,441","$2,829,429","$12,822,819","$3,360,281","$4,811,849","$9,105,826","$2,289,378","$4,749,753","$293,078","$1,066,003","$17,773,756","$4,303,278","$2,404,916","$4,407,005","$4,108,229","$654,558","$20,136,819","$1,207,021","$74,155",,"$6,144,385","$222,527,828",,"$184,185",,"$83,765,749",,,"$76,825,518","$80,468","$552,921","$4,712,203","$278,447",,"$226,079","$112,294","$2,858,475",,,,,
The Book of Life (2014),"$1,179,013",,,"$9,103,293","$3,033,287","$1,154,146",,,,"$580,531",,,,,,,,"$102,539",,"$238,849",,,,"$120,290",,,,,,,,"$10,391,181","$2,698,548","$4,945,569","$905,486","$1,747,125","$1,268,557","$849,611","$1,183,897","$97,450","$78,636","$420,570",,"$151,571","$348,628","$429,705",,,"$227,755",,"$13,106","$601,032",,,,"$46,541",,,,,,,,,,,,,,,,,
"Love, Rosie (2014)","$805,943","$270,165","$3,764,672","$1,888,461",,,"$1,003,283","$542,115","$599,026","$132,914",,"$33,138","$45,119","$171,804","$26,695",,,"$93,276",,,"$137,312","$72,371",,"$98,962","$38,229","$152,349",,"$10,703",,"$35,968",,"$1,261,792",,"$1,596,869","$59,537",,,,"$97,874","$11,639",,"$1,438,277","$842,813","$289,525",,"$265,484","$42,641","$2,312,394","$130,470","$27,457",,"$289,639",,,,,,,,,,,"$480,732",,,"$55,718","$24,905","$27,271",,,,,
Calm at Sea (2011),"$7,463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schutzengel (2012),"$869,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paradise: Love (2012),"$50,281",,"$698,358","$13,463",,"$165,394",,,"$448,602","$39,338","$51,463",,,"$91,774",,"$75,746",,,,,,,,,,,,,,,,"$28,137",,,,,"$19,151",,"$3,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A French Gigolo (2008),"$40,905",,,,"$5,249,009","$266,126",,,,"$169,363",,,,,,,,,,"$45,231",,,,,,"$4,583","$6,493",,,,,,,,,,,,,,,,,,,,,,,,,,"$3,021",,,,,,,,,,,,,,,,,,,"$221,998",
Leviathan (2014),"$1,471,773",,,"$138,238",,"$421,546","$131,729",,"$23,150","$102,334","$16,088","$25,355","$170,028",$377,,"$140,913",,,"$76,392","$9,293","$20,300",,"$44,533",,,,"$17,305",,,,,,"$70,565",,,,,,"$7,115","$6,280",,"$385,644","$20,912","$35,422",,,,,,,,,,,,,,,,,,"$11,389",,,,,,,,,,,
Foxcatcher (2014),"$335,292","$46,124",,"$2,548,126","$1,043,751","$372,734","$304,978",,"$29,622","$54,549","$48,838","$67,209","$144,418","$137,207",,"$76,151",,,"$78,517","$72,024",,"$4,602","$75,145","$72,119","$16,535","$10,698",,,,,,"$315,865","$23,690","$303,286","$18,214","$14,182","$97,589","$23,385",,"$3,534",,"$347,541","$47,714","$21,884",,,"$55,531","$167,552","$42,631",,,,,,"$3,008","$7,485",,,,,"$5,237",,"$45,458","$8,964",,"$5,879","$12,945",,,,,,
Everybody Dies But Me (2008),"$235,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Warning (2007),"$176,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walking with Dinosaurs 3D (2013),"$3,220,309","$541,014","$3,088,723","$9,876,065","$4,664,544","$3,246,358","$4,978,433","$1,826,573","$669,476","$889,456","$1,004,397","$229,055","$2,016,849","$558,443","$341,239","$831,312","$587,248","$439,291","$467,520","$426,663","$664,301","$112,991","$326,106","$467,144","$150,586","$53,296","$272,167","$132,709","$110,835","$34,318","$10,051","$4,620,028","$2,947,310","$3,468,772","$1,958,050","$2,181,571","$807,648","$653,617","$1,133,118","$122,999","$671,295","$5,479,852","$700,597","$997,584","$356,463","$718,583",,"$4,488,044","$469,105","$75,875",,"$1,397,147",,,"$80,778",,,,,"$7,730,022",,,,,,,,,,,,,
Tsar (2009),"$5,265,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premature (2014),,"$12,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Words and Pictures (2013),,"$7,315","$439,256",,,"$86,127","$71,444",,"$71,514",,"$289,911","$85,320",,,,"$1,129",,,"$36,807",,,,,,,,,,,,,,,,,,,,,,,"$83,909",,"$76,950",,"$12,112",,"$10,937",,,,,"$2,171,257","$2,747","$2,276",$800,,,,,,,,,,,,,,,,,
Earth to Echo (2014),,"$31,703",,"$4,842,885","$715,846",,,,,,,,,,,,,,,,,,,"$33,715",,,,,,,,"$188,176",,,"$201,429","$317,278",,"$110,518",,,,,,,"$24,426","$16,835",,,"$113,830","$4,293",,"$130,783",,,,,,,,,,,"$14,503",,,,,,,,,,
The Rover (2014),,"$15,693",,"$274,068","$204,750",,"$212,454",,,"$23,067",,,,,,,,,,"$41,564",,,,"$6,134","$4,123",,,,,,,,,"$34,959",,,,,,,,"$401,693",,,"$33,951","$4,695",,,"$79,497",,,"$58,936",,,,,,,,,,,,,,,,,,,,,
Rob the Mob (2014),,$920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paradise (2013),,"$2,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$420,,,,,,,,,,,,"$5,906",,,,,,,,,,,,,,,,,,,,,,,,,,,
Switch (2011),,"$60,873",,,"$2,312,076",,,,,"$7,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$257,762",,,"$113,606",,,"$472,468",,,"$386,427",,,,,,,,,,,,,,,,,,,,,
Are You Here (2013),,"$10,932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,552",,"$39,561",,,,,,,,,"$11,074",,"$3,473","$27,562",,,,,,"$209,668",,,,,,,,,,,"$237,250",,,,,,,,,,
Headshot (2011),,"$111,791",,,,,,,,,,,,"$2,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Seiya: Legend of Sanctuary (2014),,"$63,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,313,180","$345,491","$2,439,732",,"$554,935","$538,742","$384,398","$343,229",,"$17,231",,"$123,412",,,"$25,054",,,,,,,,,,,"$5,698,965",,,"$2,150,340",,,,,,,,,,,,,
The Riot Club (2014),,"$23,493","$107,335","$2,525,772","$237,806",,"$498,546",,"$18,715","$21,370",,,,,,,,,,,,,,"$10,987",,,,,,,,,,,,,,,,,,,"$44,348",,,,,"$21,819",,,,,,,,,,,,,,,,,,,,,,,,,
God Help the Girl (2014),,"$20,637",,"$197,969","$18,563","$38,035",,,,,,,,,,,,,,,,,,"$3,614",,,,,,,,,,,,,,,,,,,"$41,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Homesman (2014),,"$26,169","$309,105",,"$168,748","$237,119",,,"$63,676","$216,555","$5,965","$18,701","$33,478","$45,131",,,,,"$214,437",,,,"$31,358",,,,,,,,,,,$12,,,,,,,,,,,,,,"$14,420",,,,,,,,,,,,,,,"$4,558",,,,,,,,,,
The Tale of The Princess Kaguya (2013),,"$37,148",,,"$379,807","$49,205",,,"$10,710","$57,876",,,,"$65,222",,,,,,,,,"$40,854",,,,,,,,,,,$520,,,,,,,,"$67,829","$328,578",,,,,,,,,,"$974,913",,,,,,,"$22,693,504",,,,,,,,,,,,,
The Look of Silence (2014),,"$2,732","$19,839",,,"$16,543",,,"$4,402",,,,,,,,,,,"$4,621",,,,,,,,,,$631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigor Mortis (2013),,"$1,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,211,990",,,"$315,648",,,,,,"$481,401","$7,865",,,,,,,,,,,,,,,,,,,,
The Tribe (2014),,"$5,309",,,,"$2,293",,,,,"$10,244","$1,575",,$356,,,,,,,,,,"$1,387",,,,,,,,"$11,139",,,,,,,,,,,"$32,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horns (2013),,"$261,904",,"$1,009,441","$1,493,115","$45,790",,,,"$29,895","$105,430",,,,,,,,,"$40,128",,,,"$17,969","$4,709",,,,,,,,,,"$45,397",,,,,,,,"$121,500",,"$89,870","$30,588",,,"$86,000",,,"$142,390",,,,,,,,"$73,917",,"$59,617","$43,834",,,,,,,,,,
The Prince (2014),,"$135,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$96,535",,,,,,,,,,"$153,036","$97,941",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rewrite (2014),,"$15,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$87,320",,,"$106,602",,,,,,"$121,025",,"$14,168","$84,296",,"$303,973",,,,"$21,832",,,,,,,,,,,,,,,,,,,,,
Young Detective Dee: Rise of the Sea Dragon (2013),,"$108,484",,,"$253,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$64,451","$395,608","$20,751",,"$725,132",,"$245,134",,,,"$473,981",,,,,"$96,400,000",,,,,,,,,,,,,,,,
Kung Fu Dunk (2008),,"$210,767",,,"$510,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,125,784",,,"$1,476,371",,"$323,188","$48,839",,,"$1,858,974",,,,,"$15,883,165",,,"$482,361",,,"$1,025,991",,,,,,,,,,
Reign of Assassins (2010),,"$165,125",,,,,"$34,144",,,,,$269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$212,678",,,"$540,832",,"$1,987,796","$31,998",,,"$409,988",,,,,"$9,910,952",,,,,,"$94,422",,,,,,,,,,
Zulu (2013),,"$33,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy's Hall (2014),,,"$287,373","$834,030","$1,559,393","$107,717","$1,150,087",,"$28,294","$127,201","$5,893",,"$6,079",,,,,,"$33,624","$3,243",,,,,,,,"$4,295",,$425,,,,,,"$9,581",,,,,,,"$13,843","$90,201",,,,,,,,,,,,,,,,,,"$3,313",,,,,,,,,,,
Two Lives (2012),,,"$930,820",,,"$375,975",,,"$16,536","$75,872",,,,"$133,621",,,,,,,,,,,,,,,,,,,,,,"$49,647","$44,169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Italian (2010),,,"$1,344,602",,"$8,895,760","$182,037",,,"$282,255","$376,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get on Up (2014),,,"$220,654","$172,937","$1,005,073","$28,400",,,"$35,659",,,"$13,442",,,,,,,,,,,,,,,,,,,,,,"$1,359",,,,,,,,,,"$43,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antboy (2013),,,"$17,340",,,,,,"$7,155",,,$378,,"$35,807",,"$1,915,529",,,,,,,"$6,214",,,,,"$1,657","$10,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Night Moves (2013),,,"$45,231","$83,506","$380,834",,,,"$27,301","$38,870","$1,277",,,,,,,,,"$3,548",,,,,,,,,,,,$401,,,,,,,,,,,,"$5,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Two Days, One Night (2014)",,,"$228,116","$1,125,914","$3,531,732","$323,936","$967,634","$288,869","$27,443","$469,360",,"$17,968","$18,800",,,,,,"$178,031","$20,746",,,"$77,172",,,"$2,550",,"$10,834",,,,,,,,,"$91,551",,,"$13,930",,"$165,126","$20,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pride (2014),,,"$727,739","$6,331,824","$780,882","$1,041,641","$1,546,434","$299,963","$87,490","$168,851","$23,205",,"$595,880","$78,006",,,,,"$81,361","$13,080",,,"$120,093","$42,472",,,,,,,,"$135,212",,,,,,,,,,"$4,638,391",,"$778,861",,,,"$76,600",,,,,"$1,446,634",,,,,,,,,,,,,,,,,,,,
The Drop (2014),,,"$119,894","$2,376,852","$354,741","$892,690","$121,458","$211,370","$21,328","$758,711",,,,"$119,632",,,,,"$23,272","$37,640",,,,,,"$22,152",,,,,,,,,,,,,,,,"$406,696","$81,067","$56,934","$41,535","$110,884",,,"$138,465",,,"$99,958",,"$15,664","$22,186","$17,457",,,,,"$8,222",,"$20,908",,,,,,,,,,
"20,000 Days on Earth (2014)",,,"$152,158","$849,051",,"$8,227",,,"$14,013",$137,"$16,157","$18,690",,"$23,719",,"$49,770",,,,"$5,289","$4,094",,"$29,487",,"$5,217",,,,,,,,,,,,,,,,,"$333,801",,"$72,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Good Deed (2014),,,"$80,160",,,,,,,,,,,,,"$1,655",,,,,,,,"$250,108",,"$9,913",,,,,"$25,212",,,,,,,,,,,,,,,,,,"$203,613","$16,338","$106,242",,,,"$92,015",,,,"$3,103",,,,,,,,,,,,,,
My Old Lady (2014),,,"$5,674","$434,042",,"$960,710","$48,892","$264,871","$125,491","$133,416",,"$114,647",,"$8,729",,"$1,061,533",,,,,,,,"$78,582",,,,,,,,"$51,489",,"$187,254","$48,484",,"$152,478",,"$18,748","$11,868",,"$2,119,478",,"$681,805",,,,,,,,,,,,,,,,,,,,,,,,,,"$84,690",,,
Bethlehem (2013),,,"$67,614",,"$91,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force Majeure (2014),,,$222,"$761,992","$622,896","$216,555","$216,209","$279,261","$44,763","$59,434",,,,,"$16,038",,,,"$109,002",,,"$1,572","$122,080",,,,,,,,,,,$315,,,"$25,994",,,"$9,250",,"$43,766","$49,802","$102,529",,,,,,,,,,,,,,,,,,$104,,"$53,058",,,,,,,,,
This Is Where I Leave You (2014),,,"$369,950","$378,151",,"$517,063",,,"$121,980",,,,,,,,"$128,294",,,,,,"$49,111","$118,123",,,"$38,183",,,,,,,,"$211,974",,,"$138,001","$135,188","$47,655",,"$2,059,568",,"$291,247",,"$131,904","$35,778",,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent (2014),,,"$815,741","$1,226,418",,"$485,824","$463,435","$185,458","$98,182","$60,827",,"$43,236",,"$4,860",,"$28,725",,,"$47,398","$56,799","$31,355","$17,346",,"$137,508","$15,808",,"$28,264",,,"$2,819",,,,"$256,366",,,"$54,308","$11,377","$32,667","$11,473",,"$2,509,416","$75,918","$174,848",,"$4,814",,"$448,218",,,,,,,,,,,,,,,,,,,,,,,,,
Ex Machina (2014),,,"$1,323,085","$3,816,953","$163,467","$923,009","$864,385","$77,467","$294,781",,"$487,273","$30,733",,"$144,637",,,,"$412,677","$44,676",,"$93,091","$28,533","$151,241",,,"$17,603","$52,248","$16,076",,,,,,,,,,,,,,"$1,069,477",,,,"$30,000",,"$414,996","$109,873",,,,"$25,442,958",,,"$15,755",,,,,"$6,441","$69,629",,"$38,267","$87,842","$50,128","$53,159",,,"$292,064",,,
Mr. Turner (2014),,,"$1,715,494","$9,365,673","$1,601,278","$418,943","$1,184,293","$638,086","$240,549","$332,110",,"$81,480","$161,309","$29,335",,"$285,060",,,"$100,224",,,,"$128,455","$41,434",,,,"$17,702",,"$8,527",,,,,,,,,,,,"$1,170,518",,"$562,089",,"$12,578",,,,,,,,,,,,,,,,,,,,,,,,"$126,148",,,
Young Goethe in Love (2010),,,"$5,428,560",,,,,,"$198,030",,,,,,,,,,,"$37,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La gran final (2006),,,"$4,253",,,"$191,659","$32,761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Still Life (2013),,,"$611,353",,,"$58,007","$1,279,714",,"$45,748",,,,"$60,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$406,543",,"$23,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Origins (2014),,,,"$24,299",,"$89,273",,,,,,,,"$5,643",,,,,,,"$25,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Villain (2014),,,,"$428,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$118,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kites (2010),,,,"$679,530",,,,,,,,,,,,,,,,"$16,325",,,,"$81,429",,"$3,305",,,,,,,,,,,,,,,,"$272,835",,"$111,576",,,"$8,937,348",,"$51,617",,"$9,303","$51,831","$1,685,269",,,,,,"$5,545",,,,$584,,,,,,,,,,
Life After Beth (2014),,,,"$157,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,077",,,,,,,"$4,648",,,,,,,"$15,188",,,,,,,,,,
In Order of Disappearance (2014),,,,"$91,199",,,"$260,787",,"$28,282",,"$12,538",,,"$408,884",,,,,"$31,410",,,,"$19,523",,,,,,"$1,447",,,,,,,,,,,,,,,,,,,,,,,,"$50,251",,,,,,,,,,,,,$125,,,,,,,
Welcome to New York (2014),,,,"$68,442",,,,,,,,,,,,,,,,"$3,302",,,,,"$2,126",,,"$1,938","$2,462","$1,572",,,,"$91,800",,"$60,103",,,,"$6,036",,"$26,113","$38,521","$9,303",,"$12,535",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Guest (2014),,,,"$1,352,579",,"$2,780",,,,,"$9,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,534",,,,,"$254,679",,,,,,,,,,,,,,,,,,,,,,,,
The Calling (2014),,,,"$27,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$156,794",,,,,,,,,,,,,,,,,,,,,,,,,
Honeymoon (2014),,,,"$15,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God's Pocket (2014),,,,"$233,737",,"$1,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,629",,,,,"$169,976",,,,,,,,,,,,,,,,,,,,
The Skeleton Twins (2014),,,,"$63,571",,"$12,497",,"$16,467",,,,,"$43,886",,,,,,,,,,,"$14,214",,,,,,,,,,,,,,,,,,"$279,755",,"$61,941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautiful Losers (2008),,,,"$7,678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grassroots (2012),,,,"$7,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corpo Celeste (2011),,,,$790,,,"$306,413",,,,,$382,,,,,,,,,,,,,,,,,,,,,,"$17,607",,,,,,,,,,,,,,,,,,"$13,489","$8,919",,,,,,,,,,,,,,,,,,,,
Ilo Ilo (2013),,,,"$16,998",,"$17,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,481",,,,,,,"$103,862",,,"$972,015",,,,,,"$31,052","$56,773",,,,,,,,,,,,,,,,,,,,
Love Is Strange (2014),,,,"$153,687","$109,859","$250,550",,"$97,000","$6,077","$16,927",,"$30,181","$14,534",,,,,,,,,,,"$14,783",,,,,"$1,425",,,,,,,,,,,,,,"$22,493","$77,649",,,,,,,,,"$2,262,223",,,,,,,,,,,,,,,,,,,,
National Theatre Live: Frankenstein (2011),,,,"$6,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$174,394",,"$21,928",,,,,,,,,"$417,783",,,,,,,,,,,,,,,,,,,,
