Movie Name,China,South Korea,Domestic,Portugal,Italy,Australia,Russia/CIS,New Zealand,Finland,United Kingdom,Norway,Sweden,Japan,Bulgaria,Argentina,Taiwan,Hong Kong,Hungary,Czech Republic,Mexico,Thailand,France,Germany,Spain,Austria,Belgium,Greece,Poland,Netherlands,Denmark,Serbia and Montenegro,Chile,Venezuela,Peru,Türkiye,Colombia,Brazil,Egypt,Central America+,Middle East Other,South Africa,Iceland,Lebanon,Singapore,Malaysia,Philippines,India,United Arab Emirates,Romania,Slovakia,Uruguay,Bolivia,Russia,Switzerland,Middle East/UAE,Ukraine,Czech Republic/Slovakia,Slovenia,Cyprus,Croatia,Latvia,Estonia,Lithuania,Kenya,Ecuador,Indonesia,Puerto Rico,Kuwait,Bahrain,Oman,Central America,Russia/CIS/Ukraine,Israel,Lesser Antilles,Jamaica,Dominican Republic,Nigeria,Qatar,East Africa,Jordan,Curaçao,Aruba,Baltic States,West Indies
Oasis (2002),,"$6,686,648","$10,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:14 (2003),,"$1,599,704",,,,,"$211,926",,,,,,,,,"$2,342",,,,,,,,,,,,,,,,"$13,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crimson Rivers 2: Angels of the Apocalypse (2004),,"$951,651",,"$217,906","$4,677,063",,"$1,530,000",,,,,,"$2,050,945",,"$136,863","$277,617",,"$272,012","$231,428","$1,992,549",,"$14,360,058","$3,417,049","$556,973","$426,023",,"$158,700","$438,284",,,,,,,"$22,872",,,,,,,,,,,,,"$136,239","$10,266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Series of Unfortunate Events (2004),,"$5,174,315",,"$471,150","$2,863,638","$7,218,652","$3,030,678","$941,631","$435,488","$25,422,594","$705,139","$896,518","$8,237,653","$13,831","$456,324","$1,374,838","$1,216,888","$190,532","$52,555","$2,828,958","$403,089","$5,011,341","$4,568,395","$4,674,098","$631,258","$1,388,995","$705,115","$847,007","$1,194,979","$517,991","$11,835","$390,505","$363,481","$179,832","$769,190","$336,220","$1,170,678","$20,686","$274,482",,"$482,221","$165,592","$75,355","$671,443","$465,613","$320,115","$57,795","$270,543","$54,515","$15,779",,,"$3,048,638","$632,993","$577,887","$405,198","$77,698","$64,795","$49,268","$44,161","$43,073","$27,113","$12,256","$11,856","$65,233","$203,987",,,,,,,,,,,,,,,,,,
A Very Long Engagement (2004),,"$236,236",,"$80,838","$655,951","$1,125,972","$283,226","$296,839","$321,753","$2,952,356","$443,100","$767,734","$898,672","$36,509","$59,003","$194,314","$230,775","$89,655","$16,651","$968,894",,"$31,380,114","$4,985,079","$2,161,087","$452,009","$1,991,281","$1,152,050","$205,739","$736,801","$415,255","$29,919","$27,278",,,"$2,173,341",,,,"$6,053",,,"$43,022","$28,496","$48,438",,"$93,798",,,,"$9,429",,,,"$1,435,102",,,,"$10,944",,"$8,592","$3,837",,"$4,630",,,,,,,,,,,,,,,,,,,,,
Last Life in the Universe (2003),,"$31,081","$32,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cat Returns (2002),,"$1,981","$563,718",,,$184,,,"$140,541",,"$348,567",,"$50,590,057",,,"$209,276","$672,850",,,,,"$1,978,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Twilight Samurai (2002),,"$20,982","$559,765",,,,,,,,,,"$6,745,440",,,,,,,,,,,,,,"$12,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facing Windows (2003),,"$5,235","$543,354",,"$12,310,285","$22,424","$70,000",,"$13,708",,,,,,"$179,265",,,"$21,844","$41,805",,,,,"$171,426",,,,,"$43,427",,,,,,"$807,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intimate Strangers (2004),,"$51,178","$2,110,589",,"$2,268,677",,,,,"$233,682",,,,"$3,344",,,,,,,,"$5,349,490","$195,313","$221,101",,,"$51,200",,,,,,,,,,,,,,,,,,,,,"$1,243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
