Movie Name,China,South Korea,Domestic,Portugal,Italy,Australia,Russia/CIS,New Zealand,Finland,United Kingdom,Norway,Sweden,Japan,Bulgaria,Argentina,Taiwan,Hong Kong,Hungary,Czech Republic,Mexico,Thailand,France,Germany,Spain,Austria,Belgium,Greece,Poland,Netherlands,Denmark,Serbia and Montenegro,Chile,Venezuela,Peru,Türkiye,Colombia,Brazil,Egypt,Central America+,Middle East Other,South Africa,Iceland,Lebanon,Singapore,Malaysia,Philippines,India,United Arab Emirates,Romania,Slovakia,Uruguay,Bolivia,Russia,Switzerland,Middle East/UAE,Ukraine,Czech Republic/Slovakia,Slovenia,Cyprus,Croatia,Latvia,Estonia,Lithuania,Kenya,Ecuador,Indonesia,Puerto Rico,Kuwait,Bahrain,Oman,Central America,Russia/CIS/Ukraine,Israel,Lesser Antilles,Jamaica,Dominican Republic,Nigeria,Qatar,East Africa,Jordan,Curaçao,Aruba,Baltic States,West Indies
White Noise (2005),,"$288,425",,"$176,854","$1,134,387","$1,328,574","$715,139","$160,298","$23,676","$12,065,730","$39,298","$72,525",,,"$577,485","$348,027","$149,877","$107,196","$43,416","$5,012,688",,"$2,363,048","$1,080,740","$3,235,881","$313,825","$510,620","$84,950","$33,567","$825,782","$155,266",,"$295,592","$438,641","$201,388","$163,707","$228,516","$732,414","$27,373",,,"$200,000","$81,516",,,,,,"$216,690","$13,497","$8,423",,,,,,,,,,,,,,,,,,,,,"$376,920",,,,,,,,,,,,,
The Upside of Anger (2005),,"$39,345",,"$190,581","$1,492,414","$2,851,887",,"$217,423","$106,870","$209,966","$131,726","$47,568",,"$10,051","$109,448","$9,614","$71,908",,,"$595,941",,"$591,521","$1,093,541","$751,090","$162,858","$184,473",,,"$76,757","$161,157",,"$38,584",,"$28,159","$150,047",,,,,,"$125,000","$14,360",,,,,,,"$13,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appleseed (2004),,"$2,662","$129,135",,,,,,,"$12,740",,,"$1,317,444",,,,,,,,,"$188,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elektra (2005),,"$1,200,465",,"$525,430","$1,547,657","$3,780,368","$650,670","$552,181",,"$2,757,515",,,"$485,278","$46,101","$101,959","$478,626","$163,681","$56,674",,"$2,376,953","$913,439","$3,158,851","$739,507","$4,293,982","$122,776","$320,744","$526,082","$46,091",,"$62,986",,"$44,074","$209,850","$76,911","$42,727","$139,937","$1,184,432","$39,216","$215,599",,"$615,072","$31,579","$23,986","$695,398","$441,210","$961,041","$102,074","$209,332","$47,838",,"$17,054","$11,910","$916,996","$175,475",,,,"$30,839",,"$19,714","$24,974","$9,597","$18,029",,"$56,271","$433,557","$649,848",,,,,,"$84,661","$89,402","$28,998","$30,307",,,,,,,,
Coach Carter (2005),,"$546,474",,,"$1,967","$1,441,898",,"$334,405",,"$3,005,306","$18,354","$64,793","$378,233",,,"$35,526",,"$56,627",,"$306,391",,"$1,144,236","$638,723","$143,129",,"$76,085",,,"$152,185","$17,227",,,,,,,,,,,"$227,783","$31,514",,"$300,675","$64,938","$83,131",,"$114,190",,,,,,,,,,,,,,,,,,,,,,,"$153,606",,,,,,,,,,,,,
Memories of Murder (2003),,"$46,128","$15,357","$4,124","$460,564","$35,921","$32,564","$8,509",,"$142,608",,,,,,,"$65,660",,,,,"$230,030",,"$163,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Storm (2004),,"$11,726","$95,204",,,,,,,"$38,208",,,,,,"$18,020",,,,,,,"$1,783,543","$77,078","$61,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault on Precinct 13 (2005),,"$380,275",,"$132,113","$175,108","$1,098,520","$671,788","$221,921","$24,281","$3,795,067","$52,637",,,"$4,789","$158,207","$293,666","$112,870",,,"$819,055","$41,400","$2,483,110",,"$2,065,351",,"$133,006","$257,750","$38,251","$413,073","$154,436",,"$51,241","$107,563","$50,476","$122,570","$75,788","$495,657","$26,789","$158,441",,"$281,429","$40,122",,,,"$140,084",,"$176,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hide and Seek (2005),,"$4,884,720","$51,100,486","$271,728","$2,190,965","$3,505,659","$5,023,782","$430,911","$275,290","$7,263,878","$485,653","$1,202,478","$9,456,638","$47,055","$1,232,231","$1,679,146","$631,723","$228,777","$70,497","$6,760,259","$254,960","$2,735,775","$3,764,954","$7,066,556","$561,046","$1,334,890","$1,362,595","$416,543","$1,277,579","$402,871","$21,069","$665,128","$578,231","$311,648","$815,819","$735,469","$2,284,568","$101,915","$386,521",,"$645,097","$110,247","$54,269","$527,846","$255,711","$232,450","$55,131","$223,324","$43,201","$35,041","$100,397","$46,069","$952,374","$596,536",,,"$116,401","$74,330",,"$25,422","$34,586","$35,235","$46,969",,"$249,751","$201,767","$599,609",,,,,,"$163,222","$46,049","$14,186","$64,748",,,,,,,,
Boogeyman (2005),,"$317,101",,"$131,323","$2,631,241","$222,151","$696,509","$364,869","$104,339","$4,091,220","$364,869","$318,650",,,"$276,457","$153,995","$127,080","$40,643",,"$2,169,534",,,"$1,353,690","$2,154,460","$145,020","$120,960",,"$180,189","$402,990","$128,164",,"$313,347",,,"$760,219",,"$800,000","$50,542",,,"$100,000","$35,923",,,,,,"$176,896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobody Knows (2004),,"$232,223","$684,118",,,,,,,,,,,,"$22,829","$50,643",,,,,,"$746,693",,,,,"$33,750",,"$101,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howl's Moving Castle (2004),,"$17,605,893","$6,789,268","$97,663","$654,934","$625,237","$154,228","$123,845","$255,600","$1,513,605","$73,724","$262,205","$190,000,000",,"$126,222","$2,800,000","$2,858,361",,,"$318,609",,"$8,771,562","$2,347,819","$730,865","$194,822","$133,957","$41,150",,"$63,446","$257,313",,"$108,777",,,"$201,224",,,,,,,,,,,,,"$13,254",,,,,,"$412,543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steamboy (2004),,"$404,118",,,"$29,743",,,,,,,,"$8,213,653",,,"$181,013",,,,,,"$460,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitch (2005),,"$4,410,922",,"$1,381,278","$10,698,009","$11,109,579","$3,664,476","$1,528,783","$465,480","$33,371,422","$1,424,158","$2,027,163","$4,147,634","$180,657","$656,449","$2,042,744","$887,567","$1,219,189","$199,039","$7,228,112","$934,197","$14,741,664","$34,469,729","$9,156,737","$4,392,885","$3,439,097","$1,751,156","$1,318,949","$4,160,196","$1,317,294","$98,181","$328,302","$1,079,924","$492,132","$918,667","$857,760","$4,002,052","$182,562","$702,828",,"$2,384,035","$286,976","$247,720","$1,367,524","$600,839","$524,831","$785,556","$705,305","$196,330","$38,466","$127,234","$48,703","$3,892,596","$5,466,348",,"$585,854",,"$375,765",,"$124,560","$142,565","$95,162","$54,938",,"$240,001","$376,751",,"$340,029","$178,070","$34,552",,,"$1,119,407","$98,675","$98,675","$119,999","$45,729","$84,238","$103,009","$146,781","$46,996","$27,463",,
Constantine (2005),,"$11,761,004",,"$1,176,590","$6,498,790","$6,101,633","$3,481,610","$957,982","$484,976","$12,833,131","$850,783","$1,299,254","$24,503,156","$105,418","$1,712,928","$5,650,122","$2,675,138","$394,593","$275,344","$8,847,430","$1,788,700","$8,842,363","$9,432,111","$7,183,337","$1,765,352","$1,693,115","$1,229,000","$1,213,313","$1,334,446","$1,018,855","$66,573","$763,564",,,"$1,736,004","$292,400","$7,300,000",,,,"$300,000","$125,266",,"$1,442,256","$1,330,000","$670,000",,"$332,023","$88,730","$77,849",,,"$1,800,000","$1,536,570",,"$591,396",,,,,,,,,,"$199,178","$434,000",,,,,,,,,,,,,,,,,
Night Watch (2004),,"$8,716","$1,502,188","$104,590","$601,398","$707,024","$15,875,743","$43,029","$111,340","$1,234,942",,,"$476,449","$33,164","$105,617",,,"$105,340","$151,879","$940,313",,"$1,341,716","$4,380,174","$2,729,248","$516,831","$230,378","$379,873","$243,033","$99,292","$122,286","$25,549","$58,331","$86,462","$78,511","$390,339","$53,195","$217,133","$55,056","$17,309",,"$43,082","$49,068",,"$111,619",,,,,"$21,849","$43,423",,,"$16,154,995","$101,596",,,"$222,452","$9,778",,"$9,842",,,,,"$15,913",,"$119,577",,,,,,"$19,143",,,"$21,342",,,,,,,,
Man of the House (2005),,"$7,015",,"$140,163","$81,324",,,"$17,648",,"$556,308",,,,,,,,,,"$401,485",,"$7,542","$155,062","$32,363",,"$3,143",,,,,,,,,,,,,,,"$242,752",,,"$18,385",,"$7,276",,,,,,,,,,,,,,,,,,,,,,"$79,997",,,,,,,,,,,,,,,,
Five Times Two (2004),,"$23,365",,"$38,286","$179,940","$45,572",,,"$42,539","$733,783","$42,539",,,"$10,842","$152,760","$22,529","$47,353","$26,624","$36,828","$116,699",,"$3,435,341","$1,157,529","$93,486","$308,422",,"$209,500","$176,422","$293,547",,,"$70,254","$44,056",,,,,,,,,,,,,,,,,"$7,471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pacifier (2005),,"$415,566",,"$864,179","$3,072,938","$8,626,450","$2,842,794","$1,195,873","$100,374","$7,932,070","$304,956","$288,430","$1,378,762","$62,146","$553,432","$875,955","$703,368","$126,128","$149,578","$10,579,290","$762,300","$4,922,275","$8,809,117","$6,426,988","$1,959,738","$2,111,890","$388,200","$473,475","$2,145,061","$314,538","$6,417","$276,527",,,"$390,971",,"$1,790,123","$72,128",,,"$1,490,660","$123,297",,,"$170,000","$438,000",,"$405,250","$80,342","$32,926",,,,"$1,746,626",,"$151,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be Cool (2005),,"$143,222",,"$458,417","$3,169,572","$3,401,748","$804,651","$545,468","$347,420","$7,978,177","$829,533","$509,058","$818,990","$86,777","$103,110","$365,496","$50,758","$394,680","$45,663","$1,424,274","$125,033","$1,871,780","$2,479,778","$3,523,051","$386,094","$511,618","$387,942","$204,095","$911,777","$467,143","$40,547",,"$114,469","$47,080","$391,859","$159,079","$936,075","$48,648","$108,809",,"$569,041","$118,617","$53,987","$374,926","$191,172","$152,442","$104,249","$217,686","$73,544","$25,667","$21,958","$6,418",,"$941,989","$388,970","$99,662","$75,779","$94,075",,"$52,000","$77,927","$50,005","$39,851",,"$29,297","$122,221","$416,501",,,,,"$970,292","$132,680","$51,362","$35,027","$37,501",,,,,,,,
Hostage (2005),,"$2,471,302","$34,639,939","$250,394","$1,587,979","$1,420,859","$1,091,144","$185,159","$147,025","$7,757,791","$285,773","$472,457","$2,419,982","$33,581","$743,492","$146,832","$196,924","$91,168","$225,855","$2,439,632","$306,900","$5,068,287","$3,568,234","$1,999,211","$755,196","$1,145,239","$369,900","$585,184","$655,054","$136,466","$6,104","$110,058",,,"$398,309",,,"$92,760",,,"$290,823","$70,758","$41,832",,,,,"$424,391","$55,879","$31,516",,,,"$655,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robots (2005),,"$4,474,902",,"$588,127","$3,495,457","$10,716,728","$2,046,289","$2,100,631","$664,891","$23,436,586","$1,885,757","$1,751,838","$12,679,972","$90,769","$1,360,301","$1,793,600","$502,495","$262,425","$281,341","$10,545,093","$417,855","$7,563,237","$10,776,369","$9,838,154","$1,310,939","$1,974,927","$368,637","$1,329,291","$1,789,452","$1,746,217","$23,000","$899,616","$1,045,395","$345,805","$482,501","$923,341","$3,771,868","$18,967","$652,816",,"$981,749","$173,499","$21,617","$632,603","$486,878","$400,783","$237,673","$186,486","$43,018","$71,520","$124,489","$46,734","$2,275,515","$1,380,664","$299,230",,"$396,657","$73,583",,"$75,918","$19,841","$104,036","$22,205",,"$238,587","$144,261","$1,071,427",,,,,,"$681,592","$80,218","$28,675","$56,431",,,,,,,,
Miss Congeniality 2: Armed & Fabulous (2005),,"$970,749",,"$356,218","$350,837","$6,266,980","$604,409","$695,456","$170,857","$10,121,539","$490,508","$118,000","$1,645,199","$71,840","$304,143","$811,642","$302,973","$517,285","$101,175","$3,291,509","$288,700","$445,604","$4,579,877","$2,428,299","$963,811","$1,264,333","$223,200","$196,336","$1,418,123","$462,011","$20,541","$121,936",,,"$295,808",,"$2,200,000","$77,290",,,"$1,100,000","$114,335",,,,,,"$324,940","$99,495","$18,204",,,,"$1,121,386",,"$111,746",,,,,,,,,,"$111,000",,,,,,,"$77,300",,,,,,,,,,,
Guess Who (2005),,"$882,670",,"$180,498","$695,840","$3,038,601","$695,710","$473,765",,"$4,283,766",,"$98,532","$31,562","$72,080",,"$419,280",,"$217,867",,"$2,593,175","$106,469","$1,440,518","$1,289,650","$6,152,393","$98,113","$1,071,830","$157,824","$115,245","$808,411",,,,"$658,134","$311,940","$119,169","$159,287","$1,676,379","$43,260",,,"$863,337","$82,976","$159,085","$337,308","$196,356","$423,129",,"$409,651",,,"$59,859",,,"$344,992","$877,367",,,"$180,054",,"$35,572","$48,279",,"$7,963",,"$187,547",,"$548,126",,,,"$513,024","$853,413",,"$76,382","$53,060","$56,130",,,,,,,,
Sin City (2005),,"$2,181,077",,"$534,961","$5,110,980","$4,803,731","$1,946,322","$646,257","$942,458","$12,899,526","$1,385,892","$1,206,118","$5,994,898","$72,046","$629,114","$478,591","$371,047","$471,417","$573,073","$2,900,891","$108,700","$8,199,306","$9,188,301","$6,102,303","$1,867,879","$1,269,916","$1,390,500","$1,060,116","$1,278,915","$1,310,345","$22,581","$357,078",,,"$698,481",,"$2,351,101",,,,"$220,468","$226,963","$23,599",,,,,,"$62,189","$137,474",,,"$2,050,000","$1,321,966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sahara (2005),,"$2,658,386",,"$593,444","$3,325,503","$4,256,902","$2,163,199","$694,521","$204,450","$9,049,598","$180,255","$290,886","$2,126,576","$139,739","$131,815","$701,961","$255,105",,"$116,592","$1,891,487","$465,500","$2,362,631","$4,687,284","$4,788,975","$730,672","$561,781","$331,200","$556,251","$612,935","$278,384","$44,152","$137,572",,,"$89,728",,,"$54,797",,,"$559,754","$171,866","$42,573",,,,,"$426,296","$56,460","$28,478",,,,,,"$280,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fever Pitch (2005),,"$719,353",,,"$17,610","$1,135,788",,"$178,741",,"$1,374,126",,,,"$20,346",,,,"$66,347",,"$1,586,974",,"$6,314","$43,293","$1,130,391",,,,"$12,217",,,,,"$272,538","$94,087",,,"$533,581",,"$8,590",,"$258,762","$25,231","$38,330","$156,435",,"$206,455",,"$113,433",,,,,,,"$232,610",,,,,,,,,,,,"$266,950",,,,,,,"$18,428","$2,013","$15,151",,,,,,,,
Not on the Lips (2003),,"$12,560",,,,,,,,,,,,,,"$22,057",,,,,,"$4,049,778",,,,,,,,,,,,,,,"$19,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanguy (2001),,"$1,239",,,"$692,752",,,,,,,,,,"$87,124",,,,,,,"$21,418,121","$1,097,208","$753,535","$158,670",,,,,,,"$64,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Yesterday (1991),,,"$453,243",,,"$33,195","$19,867","$7,695","$26,781","$5,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porco Rosso (1992),,,"$443,059",,"$337,951",$231,"$33,054",,"$143,749",,"$44,138","$26,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three of Hearts (1993),,,"$5,516,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Summer's Tale (1996),,,"$198,126",$580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiss or Kill (1997),,,"$796,681",,,,,,,,,,,,"$5,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venus Beauty Institute (1999),,,"$465,080",,,,,,,,,,,,,,,"$30,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadosh (1999),,,"$736,812",,,,,,,,,,,,,,,,,"$33,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Tracker (2002),,,"$55,188",,"$23,179","$257,778",,,,,,,,,"$168,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taboo (1999),,,"$114,425",,,,,,,,,,,,,,,,,,,,,"$13,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audition (1999),,,"$131,296",,,,,,"$13,500","$28,469",,,,,,,,,,,,"$53,102",,"$12,599",,,,"$52,178",,,,,,,"$64,916","$3,793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paragraph 175 (2000),,,"$96,630",,,,,,,,,,,,,,,,,,,,"$3,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devdas (2002),,,"$2,745,382",,,,$944,,,"$2,538,825",,,,,,,,,,,,"$143,623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabhi Khushi Kabhie Gham... (2001),,,"$2,902,000",,,,"$1,761",,,"$3,221,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Werckmeister Harmonies (2000),,,"$69,923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Tunnel (2001),,,"$46,296",,,,,"$59,867",,,,,,,,,,,,,,"$8,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Beautiful Country (2004),,,"$442,813",,,,,,,,"$400,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shackleton's Antarctic Adventure (2001),,,"$15,553,324",,,"$4,030,122",,,,,,,,,,,,,,,,"$39,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulse (2001),,,"$51,420",,"$33,363",,,,,"$2,637",,,,,,,"$231,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog Days (2001),,,"$13,031",,,,,,,,"$8,955",,,,,,,$58,,,,"$44,018","$83,464",,"$395,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balzac and the Little Chinese Seamstress (2002),,,"$666,327",,,"$156,839",,"$54,587",,,"$17,901",,,,"$34,406","$12,946",,,,,,"$662,714","$1,196,572","$204,954","$125,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Warrior (2001),,,"$50,257",,,,,,,"$216,464","$40,304",,,,,,,,,,,"$23,798",,"$29,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex Is Comedy (2002),,,"$40,470",,"$51,420",,,,,,,,,,,,,,,,,"$319,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Mother Likes Women (2002),,,"$82,916",,"$718,132",,,,,,,,,"$2,517",,,,,,,,"$37,840",,"$1,605,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fear and Trembling (2003),,,"$126,684",,,,,,"$83,829",,,,,,,"$11,752",,,"$15,271",,,"$2,067,677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twin Sisters (2002),,,"$1,563",,,"$356,589",,"$78,815",,"$42,793",,,,,"$87,582",,,,,"$65,313",,,"$156,454",,,,,,"$4,350,998",,,"$5,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Remember Me, My Love (2003)",,,"$227,986",,"$11,141,221","$163,781",,,,,,,,,"$147,589",,,,,"$63,969",,"$900,023",,,,,,,,,,"$15,842",,,,,,,,,,,,,,,,,,,"$9,075","$1,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wondrous Oblivion (2003),,,"$88,560",,,"$385,581",,"$97,421",,"$319,738",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head-On (2004),,,"$435,395","$7,015","$1,396,075",,,,,"$177,106","$181,896",,,,"$149,835",,,,"$2,290","$37,879",,"$564,183","$5,351,766","$658,569","$226,320",,"$101,159",,"$277,533",,,"$10,561","$34,940",,"$1,198,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take My Eyes (2003),,,"$30,496",,"$38,226",,,,,,,,,,"$58,626",,,,,"$92,347",,"$159,916",,"$5,624,242",,,,,"$58,500",,,"$11,860",,,,,"$12,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Far Side of the Moon (2003),,,"$248,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginger Snaps 2: Unleashed (2004),,,"$80,372",,"$863,253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Lights (2004),,,"$673,828","$21,647","$32,432",,,,,,,,,,"$98,682",,,,,,,"$1,106,407",,,,,,,,,,"$20,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Saddest Music in the World (2003),,,"$699,225",,,,,,,,,,,,"$15,155",,,,,,,,"$15,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Memory of a Killer (2003),,,"$333,707",,,,,,,,,,,,,,,,,,,"$214,911",,"$124,335",,,,,"$39,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gospel of John (2003),,,"$4,069,090","$9,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Corporation (2003),,,"$3,493,516",,,"$365,510",,"$41,482",,"$544,419",,,,,,,,,,,,"$102,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Fond Kiss (2004),,,"$30,148",,"$1,875,063","$67,320",,"$221,638",,"$444,385",,,,,,,,"$5,744",,,,"$2,340,189","$176,898","$1,079,007","$230,285",,,,"$53,303",,,,,,"$23,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As It Is in Heaven (2004),,,"$10,236",,,"$3,065,532",,"$543,577","$186,085",,"$2,159,014",,,,,"$9,236","$38,685",,,,,,"$8,736,046",,"$2,179,521",,,,"$366,267",,,,,,"$15,151",,,,,,"$748,386",,,,,,,,,,,,,"$270,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
She Hate Me (2004),,,"$366,037",,"$226,808",,,,,,,,,,,,,"$4,574",,,,"$653,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azumi (2003),,,"$41,803",,,,,,,,,,"$6,668,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What the #$*! Do We (K)now!? (2004),,,"$10,942,306",,,"$1,042,894",,"$175,295",,"$239,643",,,,,"$42,476",,,,,"$869,529",,"$18,621","$1,408,169","$646,626","$305,430","$39,792",,,"$146,301",,,,,,,,"$76,391",,,,,,,,,,,,,,"$1,737",,,"$42,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Life Aquatic with Steve Zissou (2004),,,"$24,020,403","$183,974","$386,452","$1,181,657",,"$173,293","$48,824","$3,020,573","$17,349","$392,863",,,"$84,477",,,,"$26,000","$100,914",,"$1,525,419","$955,208","$517,198","$203,921","$41,709","$152,550",,"$61,188","$12,187",,"$27,568",,,,,,,,,,"$47,328",,,,,,"$10,864",,,,,,"$67,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Love Song for Bobby Long (2004),,,"$164,308","$133,859","$607,263",,"$13,997",,,,,"$61,344","$198,266","$4,835",,,,,,,,,"$258,291","$200,252","$40,502","$45,540",,,"$76,196","$6,181",,,,,,,,,,,,,,,,,,"$17,507","$12,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamikaze Girls (2004),,,"$34,424",,,,,,,,,,"$5,046,894",,,"$6,097","$98,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La vie promise (2002),,,"$40,029",,,,,,,,,,,,,,,,,"$50,246",,"$805,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergeant York (1941),,,"$16,361,885",,,,,,,,,,,,,,,,,,,"$3,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruby & Quentin (2003),,,"$312,824",,"$1,333,391","$696,082","$1,023,207","$350,395",,"$4,168","$26,222",,,"$54,356","$218,090","$4,219",,"$567,990","$185,612","$52,976",,"$21,553,290","$345,495","$529,243","$51,454",,,"$298,521",,,,,,,"$51,411",,,,,,,,"$37,075",,,,,"$24,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhou Yu's Train (2002),,,"$142,562",,,,,,,,,,,,,$863,,,,,,,,"$155,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Star Is Born (1976),,,"$80,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
