Movie Name,Australia,New Zealand,Russia/CIS,Singapore,Taiwan,United Kingdom,South Africa,Domestic,Italy,Spain,United Arab Emirates,Mexico,Venezuela,Hong Kong,Thailand,Japan,France,Belgium,Netherlands,Norway,Germany,Poland,Denmark,Israel,Latvia,Switzerland (French),Switzerland (German),Sweden,Türkiye,Iceland,Romania,Portugal,Czech Republic,Slovakia,Egypt,South Korea,Malaysia,Philippines,India,Brazil,Uruguay,Colombia,Ecuador,Middle East Other,South Africa/Nigeria,Ukraine,Greece,Austria,Hungary,Czech Republic/Slovakia,Switzerland,Finland,Lithuania,Bulgaria,Croatia,Slovenia,Estonia,Serbia and Montenegro,Lebanon,East Africa,Nigeria,Central America+,Argentina,Chile,Peru,Bolivia,Indonesia,S/E/W Africa,Kuwait,Bahrain,Jordan,Qatar,Oman,Puerto Rico,Central America,Dominican Republic,Lesser Antilles,Jamaica,China,Cyprus,Vietnam,Pakistan,Switzerland (Italian),West Indies,Curaçao,Aruba,Ethiopia,Greece and Cyprus,Middle East,Middle East/UAE
Tell No One (2006),"$312,617",,"$545,000",,,"$2,483,990",,"$6,177,192",,,"$49,135","$85,442",,,,,"$22,194,261","$693,168",,,,"$254,366",,,,,,"$89,582","$46,954",,,"$68,723",,,,,,,,,,,,,,,"$121,078",,,,"$177,343","$2,353",,"$45,666",,"$13,687",,"$13,634","$10,994",,,,"$21,807",,,,,,,,,,,,,,,,,,,,,,,,,,,
Superbad (2007),"$6,287,231","$748,270","$2,219,459","$254,223",,"$13,377,716","$295,080",,"$889,369","$6,053,517",,"$1,288,983","$245,106",,,,"$2,893,656","$682,706","$917,588","$843,435","$2,047,011","$722,408","$626,946","$362,009","$134,398","$45,830","$300,901","$1,485,126","$383,528","$223,712","$112,899","$271,634","$51,806","$35,977",,,,"$69,259","$38,814","$1,647,233","$39,299","$218,078","$102,084",,,"$496,904","$210,952","$369,041","$88,059",,"$349,805","$117,330","$357,676","$71,236","$35,826","$74,996","$75,243","$20,505","$16,700","$13,538","$12,459",,"$396,284","$139,952","$170,139","$31,275",,,,,,,,,"$279,996","$33,088","$49,226","$15,034",,,,,"$8,745",,,,,,,
Talk to Me (2007),"$4,152","$26,217",,"$15,969",,"$25,059","$45,522",,,"$10,733",,,,,,,,,"$4,644",,"$79,587",,,,,,,,,,,,,,,"$22,555",,,,,,,,,,,,"$7,110","$3,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cave of the Yellow Dog (2005),"$208,831",,,,"$31,909","$258,893",,"$141,803","$162,267","$220,408",,,,,,,"$962,450",,,,"$901,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$499,459",,,,,,,,,,,,"$29,703",,,,,,,,,,,,,,,,,,,,,,,,,,,
Molière (2007),"$382,847","$61,188","$166,180","$26,318",,"$691,003",,,"$134,143","$100,650",,"$182,993",,,,,"$7,999,801","$46,165","$1,706",,,,,,,,,"$49,443",,"$4,509","$11,379",,,,,,"$1,955",,,"$101,307","$12,525",,,,,,,,"$15,092",,"$180,243",,"$14,009","$1,276",,,,,"$30,532",,,,"$27,870",,,,,,,,,,,,,,,,,,,,,,,,,,,
Rush Hour 3 (2007),"$9,080,541","$1,362,618","$4,292,073","$2,416,166","$863,253","$21,227,981","$2,026,858",,"$516,889","$3,438,386","$1,534,375","$3,758,080","$516,351","$1,057,751","$1,582,540","$8,147,455","$7,188,624","$1,538,289","$1,446,393","$1,550,307","$11,644,582","$256,808","$1,563,398","$806,212","$151,297",,,"$1,439,343","$913,195","$238,546","$214,657","$988,543","$39,274","$53,488","$143,969","$5,313,326","$2,595,065","$1,797,878","$924,718","$2,251,353","$6,244","$253,431","$161,303",,,"$523,980","$1,419,110","$1,595,844","$248,167",,"$1,613,795","$479,889","$234,621","$308,875","$198,093","$241,790","$70,952","$32,800","$253,160","$103,833","$72,546",,"$193,944","$208,762","$363,975","$65,935","$1,827,826",,,"$345,744",,,,"$1,512,170","$482,195","$29,094","$242,494",,,,,,,,,,,,,
Lady Chatterley (2006),"$281,991","$30,389","$18,134","$17,242","$73,405","$485,197",,,,"$105,087",,,,"$43,784",,,"$542,728",,,"$105,056","$26,251",,,,,,,"$116,680",,,,"$39,455",,,,"$106,441",,,,"$125,851",,,,,,,"$45,834","$59,403",,,"$270,288","$10,850",,,,,,,"$8,903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balls of Fury (2007),"$48,624",,"$840,500","$742,661",,"$4,425,910","$287,935","$32,886,940",,"$6,090","$151,806","$105,855","$238,255",,"$265,367","$422,334","$25,804",,,,"$21,217",,,,"$13,908",,,,,"$93,736",,"$259,504","$18,694","$11,448",,,"$189,184","$275,199","$29,322",,,,"$6,043",,,"$76,216","$109,253",,,,,,"$25,589",,,"$17,357",,,"$7,013",,,,,,"$35,380",$655,,,"$48,625","$21,679",,"$23,181","$8,482",,,,,,,,,,,,,,,,,
Sydney White (2007),"$642,598","$126,659",,,,"$3,472","$374,413",,,,"$234,806",,,,,,,,,,,,,,,,,,,"$52,187","$100,738","$88,391",,,,,,"$47,079",,,,,,,,,,,,,,,,,,,,,"$8,231","$7,062","$9,540",,,,,,,,"$32,484",,,,,,,,,,,,,,,,,,,,,
The Kingdom (2007),"$3,488,768","$527,676","$700,508","$536,852","$463,003","$5,755,077","$489,968",,"$851,352","$1,207,803","$1,185,715","$1,180,640","$238,899","$336,815","$898,516","$2,672,238","$3,907,998","$897,230","$1,165,128","$478,282","$2,603,962","$261,463","$441,020","$213,798","$52,709",,,"$668,113","$514,283","$59,204","$84,337","$598,594","$134,508","$45,935","$155,424","$1,838,821","$402,885","$432,829","$138,572","$261,637","$7,559","$129,351","$42,658","$376,488",,"$113,716",,"$380,504","$138,232","$171,215","$642,792","$141,640","$57,999","$103,361","$48,093","$54,050","$34,102",,"$297,409","$34,831","$22,410","$208,473",,,,,"$444,672",,,,,,,,,,"$24,839",,,"$46,945","$70,479",,,,,,,,,
