Movie Name,Australia,New Zealand,Russia/CIS,Singapore,Taiwan,United Kingdom,South Africa,Domestic,Italy,Spain,United Arab Emirates,Mexico,Venezuela,Hong Kong,Thailand,Japan,France,Belgium,Netherlands,Norway,Germany,Poland,Denmark,Israel,Latvia,Switzerland (French),Switzerland (German),Sweden,Türkiye,Iceland,Romania,Portugal,Czech Republic,Slovakia,Egypt,South Korea,Malaysia,Philippines,India,Brazil,Uruguay,Colombia,Ecuador,Middle East Other,South Africa/Nigeria,Ukraine,Greece,Austria,Hungary,Czech Republic/Slovakia,Switzerland,Finland,Lithuania,Bulgaria,Croatia,Slovenia,Estonia,Serbia and Montenegro,Lebanon,East Africa,Nigeria,Central America+,Argentina,Chile,Peru,Bolivia,Indonesia,S/E/W Africa,Kuwait,Bahrain,Jordan,Qatar,Oman,Puerto Rico,Central America,Dominican Republic,Lesser Antilles,Jamaica,China,Cyprus,Vietnam,Pakistan,Switzerland (Italian),West Indies,Curaçao,Aruba,Ethiopia,Greece and Cyprus,Middle East,Middle East/UAE
Mr. Woodcock (2007),"$22,658",,,"$337,370","$136,513","$3,218,055","$379,413",,,"$493,283","$102,875","$842,807",,,"$43,055",,"$10,006",,"$116,043",,,,"$243,030",,,,,"$221,754","$254,519","$53,442",,"$150,553",,,,,,"$51,758",,"$405,536",,"$39,067","$56,393",,,,,,,,,"$64,036",,,,,,,"$2,864",,,,"$106,745","$26,703","$39,011","$16,680",,,,,,,,"$277,963","$136,987",,,,,,,,,"$34,595",,,,,,
Good Luck Chuck (2007),"$2,676,860",,"$2,109,897","$139,783","$1,670,939","$8,155,160","$398,763",,,,,"$2,185,939","$495,723",,,"$155,325","$1,504,052","$665,261",,,"$228,304",,,,"$120,811",,,"$404,026",,"$109,062","$148,704","$473,808",,$1,,"$8,542",,"$121,603",,"$310,272",,"$101,813","$137,503",,,"$552,520","$218,691",,"$255,240",,,,"$141,692","$63,292","$101,538","$186,947","$59,013","$23,425","$60,700","$19,686","$18,225",,,"$98,656","$227,576","$35,464",,,,,,,,,"$272,430","$33,179","$13,551","$9,517",,,,,,,"$24,384","$13,321",,,,
Into the Wild (2007),"$2,051,032","$227,130",,,,"$1,987,817","$76,891","$18,354,356","$8,058,998","$780,998","$70,649","$180,405",,,,"$1,553,477","$13,570,398","$1,128,058","$1,434,924","$166,908","$2,454,187","$177,567","$171,003",,,,,"$451,017",,"$33,632",,"$248,067","$124,262",,,,,,,"$419,825",,,,"$63,502","$79,755",,"$166,853","$215,020","$85,702","$144,000","$2,021,044","$108,590",,,,,,,,,,,,,,,,,"$69,828",,,,,,,,,,,,,,,,,,,,,
The Game Plan (2007),"$4,057,788","$686,519",,"$1,074,592","$263,735","$8,477,553","$1,400,843",,"$5,595","$6,016,924","$358,854","$9,096,000","$2,459,438",,"$326,234",,"$1,010,506","$472,512",,,"$7,821,375",,,,"$94,829",,,"$11,975","$111,695","$77,912","$167,764",,,,"$26,375",,"$848,918","$476,739","$36,569","$2,138,638","$101,538","$1,155,762","$694,773",,,,"$169,329","$1,027,135",,,"$413,001",,"$184,002","$85,175",,"$108,068","$21,705","$17,088","$42,617","$24,996","$51,857",,"$1,519,256","$943,428","$760,623","$84,283","$381,843",,,,,,,,"$128,100",,,,,,,,,,,,,,,
"Lust, Caution (2007)","$800,994","$89,244","$206,535","$1,143,184","$7,940,104","$2,072,318","$31,615",,"$2,396,632","$2,247,011",,"$208,626","$36,872","$6,249,342","$48,963","$2,336,681","$1,735,655","$295,633","$189,698","$49,364","$1,162,030","$472,514","$173,981","$121,446","$28,571",,,"$380,142","$106,180","$15,020",,"$100,056","$39,830","$6,446",,"$10,524,524","$139,966","$104,536",,"$299,932","$6,754","$50,087","$2,091",,,"$3,491","$430,438","$240,807","$32,208",,"$336,842","$87,618","$22,630",,"$29,267","$16,725",,"$24,275",,,,,"$60,943","$19,977","$23,525","$3,717","$72,726",,,,,,,,,,,,"$17,109,185",,,,,,,,,,,
Feast of Love (2007),"$135,919","$13,031","$230,986","$27,353","$41,059","$147,253","$26,300",,,"$580,335","$49,093",,,"$97,450","$13,873",,,,,,,"$123,569",,,"$25,833",,,,,,,"$273,588","$31,767","$15,191","$15,059",,"$11,365",,,"$258,401",,,,,,,"$44,976",,,,,,,"$30,005",,,,,"$28,257",,"$9,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Seeker: The Dark Is Rising (2007),"$1,164,370",,"$1,684,882","$393,627","$183,742","$1,747,267","$175,943",,"$190,572","$4,035,966",,"$2,944,438","$937,911",,,"$106,145","$3,242,992",,,,"$489,015","$4,485","$191,482",,"$49,067",,,$530,,"$35,643",,"$89,749","$43,841","$21,125","$22,419",,"$499,865","$459,281",,"$1,056,594","$21,979","$394,769","$126,468",,,"$189,204","$135,819","$75,951","$95,793","$69,191","$77,459",,"$37,002","$62,133","$25,219","$12,912","$21,146","$11,011",,"$16,017","$22,357","$321,880","$150,262","$200,218","$206,955","$18,505","$306,652","$251,320",,,,,,"$299,042",,"$32,021","$32,704","$13,907",,,"$59,320",,,,,,,,,
The Heartbreak Kid (2007),"$5,981,458","$587,637","$5,946,408","$311,464","$792,400","$9,852,014","$912,922",,"$8,754,310","$3,510,555","$362,078","$5,210,508","$833,640","$703,961",,,"$5,145,918","$1,211,886","$1,453,118","$353,917","$11,684,199","$2,183,081","$744,858","$1,001,655","$205,157",,,"$1,020,366","$883,554","$184,654","$439,673","$1,439,943","$197,296","$108,679","$60,087",,"$226,671","$177,707","$45,929","$5,951,071","$63,994","$497,379","$166,822",,,"$1,227,819","$1,717,674","$2,340,959","$1,120,018","$265,798","$1,626,412","$368,338","$264,995","$141,014","$185,473","$329,831","$120,447","$30,039","$120,576","$15,343","$7,638","$516,437","$914,034","$481,654","$465,115","$10,052","$189,291",,,,,,,,,,,,,,,,,,,,,,,
Dan in Real Life (2007),"$1,703,565","$138,843","$1,431,626","$122,145","$18,916","$3,124,287","$267,573","$47,642,963","$311,839","$2,706,563","$30,218","$553,104","$393,565","$57,516","$9,807",,"$2,517,800","$129,493","$112,813","$95,816","$1,508,235","$390,492","$187,451","$485,833",,,,"$290,845","$83,256","$50,210",,"$315,533",,,,"$1,153,041","$65,286","$70,570","$26,309","$889,878","$16,228","$17,325",,,,"$320,790","$335,305","$220,525","$79,667",,"$21,262",,,,"$27,908","$52,611",,,"$14,094",,,,"$213,204","$96,830","$94,660","$2,636",,,"$43,500","$12,225",,"$17,018","$3,126",,,,,,,,,,,,,,,,,
The Darjeeling Limited (2007),"$2,101,663","$2,294","$339,857","$63,237",,"$3,170,953","$17,568","$11,902,715","$1,237,762","$1,735,972",,"$291,297","$35,048","$65,215",,"$1,022,652","$5,365,726","$224,733","$158,212","$223,071","$2,977,631","$54,676","$312,105","$82,747","$58,956",,,"$777,265",,"$21,482",,"$180,152","$11,369",,,"$82,017",,"$10,086","$75,142","$365,536","$16,888",,,,,,"$86,566","$440,924",,"$41,782","$800,975","$183,077","$39,345",,"$19,237","$22,122","$23,066","$19,482",,,,,"$118,402","$74,146",,,,"$45,076",,,,,,"$9,886",,,"$9,048","$3,483",,,"$25,822",,,,,,,,,
We Own the Night (2007),"$1,311,820","$114,947","$482,460",,"$73,565","$3,699,592","$466,838",,"$1,230,182","$3,742,720","$275,097","$835,827","$136,068","$30,543","$15,428","$19,919","$7,702,066","$507,077","$101,456","$392,651","$667,223","$96,982","$293,376",,"$40,178",,,"$857,588","$124,695","$34,123","$60,500","$173,260","$102,948","$47,708",,"$444,632",,"$79,328","$46,675","$1,140,011","$2,735",,,,,,"$151,301",,"$63,687",,"$174,352","$75,544","$28,376","$100,001","$6,657","$48,363","$25,598",,"$68,069",,"$9,432",,"$87,020","$52,644","$67,404",,,,"$138,554",,,,,,"$23,368",,,,,,,,,,,,,,,
Elizabeth: The Golden Age (2007),"$4,413,435","$680,288","$3,458,575","$122,256","$325,899","$10,346,837","$198,102",,"$6,808,077","$2,487,498","$220,760","$740,686","$153,409","$184,789","$195,545","$6,274,995","$1,130,370","$1,064,297","$1,010,147","$429,173","$5,398,436","$726,156","$1,307,335","$143,955","$122,686",,,"$670,901","$931,240","$17,638","$123,299","$871,897","$446,938","$67,180","$26,964","$1,274,983","$38,850","$177,176","$42,444","$1,022,085","$35,372","$135,042","$34,043","$150,304","$220,534","$632,288","$662,857","$753,485","$321,320","$437,628","$1,339,842","$198,469","$53,308","$69,045","$115,412","$85,582","$56,672","$59,936","$66,829","$14,429","$5,063","$85,275","$110,682","$48,413",,,,,,,,,,,,,"$11,871",,,"$40,247",,,,,,,,,,
Michael Clayton (2007),"$3,260,754","$311,168","$141,581","$115,091","$122,783","$4,211,739","$232,458",,"$6,289,332","$4,139,644","$176,534","$629,588","$127,521","$210,145","$154,105","$2,945,969","$4,884,686","$680,327","$475,015","$520,406","$3,822,030","$426,505","$537,395",,"$78,415",,,"$673,645","$668,562","$48,356","$94,735","$827,658","$102,682","$40,896",,"$856,933",,,,"$1,998,654","$104,720",,,,,,"$671,401","$418,972","$103,331",,"$1,096,760","$71,481","$14,985","$95,750","$76,132","$58,372","$25,633","$11,986","$59,066","$11,577","$11,344",,"$577,490","$189,470","$140,469","$3,890",,,,,,,,,"$40,401",,,,,,,,,,,,,,,
Sleuth (2007),"$92,366",,"$150,016","$18,688","$16,929","$732,302",,,"$687,786","$575,093","$44,755","$201,890",,,,,"$105,097",,"$8,670","$45,149","$569,098",,"$24,310",,"$79,577",,,"$64,791","$453,446",,,"$85,138",$340,,,"$78,800",,"$27,127",,,"$21,288",,,,,,"$113,256","$66,000","$74,325",,,,"$18,636",,,,,"$4,788",,,,,"$166,205","$20,990",,,,,,,,,,,,,,,,,,,,,,,,,,
Lars and the Real Girl (2007),"$1,398,865","$496,363",,"$49,041",,"$891,507","$15,272",,"$224,211","$287,503",,,,,,"$391,340","$98,349","$30,636","$12,886","$175,239","$673,128",,"$97,738",,,,,"$26,004",,"$14,993",,"$28,176",,,,"$98,110","$13,672",,,,"$1,237",,,,,,"$15,960","$145,677","$6,857",,,"$4,438",,,"$33,885",,,,,,,,"$74,502","$15,190",,,,,,,,,,,,,,,,,,,,,,,,,,
30 Days of Night (2007),"$2,038,544","$219,846","$2,135,249","$280,348","$393,781","$8,815,968","$273,262",,"$3,809,946","$4,113,870","$472,339","$2,070,634","$246,361","$348,888",,,"$1,942,095","$303,283","$265,608","$78,978","$1,779,037","$286,323","$182,025",,"$45,048",,,"$79,661","$555,513","$74,125",,"$161,336","$158,544","$39,508",,"$652,331","$1,115,219","$398,976","$168,159","$694,543",,"$177,601",,,,"$133,455","$426,800","$290,623",,,,"$47,197","$87,431",,,,"$20,852",,"$28,764",,"$3,597",,,"$105,160","$136,339",,"$132,431",,,,,,,,"$28,000","$57,589","$42,871","$17,415",,,,,,,,"$8,697",,,,
Rendition (2007),"$436,182",,,"$239,101","$221,991","$5,253,314","$246,947",,"$483,877","$1,350,950","$60,143","$1,042,158","$242,629","$89,119",,,"$1,039,623","$291,835","$592,991","$58,793","$676,226","$349,936","$434,290","$291,881","$28,114",,,"$248,037","$266,448","$23,791","$58,011","$220,689",,"$21,583","$26,359",,"$77,231","$90,661",,"$1,063,495","$15,220","$65,561","$59,037",,,,"$290,643","$217,944","$84,638",,"$202,481",,"$28,244","$63,654","$30,622","$37,565","$11,346","$9,413","$18,113","$28,549","$4,396",,"$420,070",,"$92,650","$10,367",,,,,,,,"$113,419",,,,,,,,,,,,,,,,
Gone Baby Gone (2007),"$1,310,611","$220,914","$46,001","$20,675",,"$3,625,002","$35,791",,"$115,103","$900,466",,"$400,763","$86,638",,,,"$2,781,336","$628,394","$317,952","$82,880","$424,165",,"$242,205","$72,717",,,,"$115,032","$170,259",,,"$229,114","$3,757","$14,729",,,"$83,852","$19,628",,,"$37,217","$54,703","$71,452",,,,"$193,330","$67,438","$88,165",,"$392,090","$9,469","$32,388","$40,342","$37,211","$56,248",,,,"$14,712","$17,204",,"$436,926","$30,917","$44,265","$4,934",,,,,,,,,"$30,499",,,,,,,,,,,,,,,
The Assassination of Jesse James by the Coward Robert Ford (2007),"$721,453","$108,355",,"$27,028","$27,754","$1,725,347","$40,462","$3,909,149","$577,583","$515,518","$59,231","$412,909","$39,368","$45,160",,"$833,527","$2,522,292","$265,332",,"$253,123","$715,057",,"$71,960",,,,,"$108,684","$214,562","$28,719","$57,225","$197,426",,"$3,636","$16,046",,,"$41,240",,"$257,300","$5,519",,"$20,567",,,,"$333,234","$175,362","$8,621",,"$325,344","$41,291","$22,531",,,,,,,,,,"$158,043","$55,512","$49,708","$7,148",,,,,,,,,"$3,194",,,,,,,,,,,,,,,
Irina Palm (2007),"$187,586","$44,783","$45,986",,"$27,955","$10,905",,"$44,383","$2,612,727","$807,806",,"$260,615",,,,,"$1,214,133","$144,552","$82,484","$40,166","$3,536,789",,"$11,989",,,,,,"$45,719",,"$6,885","$14,586","$23,794","$1,992",,"$12,511",,,,"$351,260","$8,716",,,,,,"$85,824","$254,338","$3,692",,"$652,102","$11,202","$11,779",,,"$8,457",,"$1,387",,,,,"$43,250",,,$241,,,,,,,,,,,,,,,,,,,,,,,,
Persepolis (2007),"$181,003",,"$21,172","$46,988","$62,452","$1,801,233",,,"$1,785,411","$623,336","$15,000","$160,500",,"$86,858",,,"$9,468,449","$415,836",,"$84,436","$1,554,377",,"$135,386",,,,,"$56,376","$190,636","$18,974","$3,765",,"$27,913","$6,126",,"$77,342",,,,"$74,060",,"$43,492",,,,,"$343,642","$297,335",$979,,"$668,189","$9,670",,,,,,,"$20,550",,,,"$43,912","$12,040",,,,,,,,,,,,$784,,,,,,,,,,,,,,
Control (2007),"$492,629","$93,726","$92,497",,"$26,938","$2,385,412",,,"$99,924","$149,862",,"$84,739",,,,,"$969,045","$156,620","$405,834","$70,158","$1,221,229",,"$154,772",,,,,"$305,437",,,,"$142,111","$7,898",,,"$11,389",,,,"$57,940",,,,,,,"$170,980","$74,290","$1,924",,,"$80,487",,,"$17,996","$2,164",,"$11,255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Jane Austen Book Club (2007),"$1,518,194","$228,049",,,,"$238,323","$192,946",,"$21,314","$120,029",,,,,,"$407,040",,"$11,147",,,"$303,541","$167,970",,"$12,760",,,,"$167,531",,,,,,,,,,,"$4,825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fugitive Pieces (2007),"$41,851",,,,,"$22,182","$23,048",,,,,"$96,217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silk (2007),"$4,820",,,"$6,679","$6,519","$63,659","$5,457",,"$1,615,449","$2,029,874","$4,535","$114,691",,"$60,370","$4,930","$2,575,040","$148,066",,"$12,589",,,,,"$6,170",,,,,,,,"$36,737",,,,,,,,"$97,987","$4,106","$13,209",,,,,"$29,876",,,,,,,,,,,,"$10,359",,,,"$11,485",,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Sheep (2006),"$457,731","$567,913","$210,835","$65,088",,"$1,664,708",,,"$39,546","$126,874","$21,154",,,,,,"$227,255","$70,355",,"$189,576","$541,512",,,,"$11,516",,,"$46,977",,,,,,,,,"$288,787",,,,,,,,,,"$24,189",,"$7,457",,,"$56,043","$26,136",,,,,,"$11,284",,,,"$148,517",,"$59,981",,,,,,,,,,,,,,,,,,,,,,,,,
The Edge of Heaven (2007),"$684,381","$127,178","$77,350",,"$26,299","$279,263",,,"$674,318","$1,340,082",,"$107,317",,"$6,056",,,"$3,882,526","$321,612","$17,924","$365,910","$5,102,332",,"$37,877",,,,,"$362,380","$1,959,106","$53,651","$8,703","$35,743",,,,"$3,544",,,,"$261,601","$27,264","$31,060",,,,,"$573,165","$220,903","$2,956",,"$229,907","$13,419","$8,850","$15,761",,,,"$19,910",,,,,"$155,500","$4,615",,,,,,,,,,,,,,,,,,,,,,,,,,
Saw IV (2007),"$4,188,778","$300,025","$1,995,806","$176,831","$376,806","$12,922,917","$285,231",,"$4,328,882","$6,800,171","$439,205","$813,492","$449,565","$455,172","$214,675","$3,472,371","$5,100,000","$1,125,418","$1,008,904","$316,422","$7,391,703","$608,764","$601,124",,"$75,624",,,"$873,510","$3,430,700","$43,194","$51,067","$578,428","$255,636","$69,691",,"$1,892,284",,"$140,112",,"$3,713,121","$29,142","$591,190","$308,769",,,"$153,544","$965,166","$1,508,099","$37,496",,"$1,002,070","$236,265","$151,589",,"$70,661","$123,211","$94,166",,"$1,697",,,,"$1,012,487","$286,824","$243,475","$15,429",,,,,,,,,"$84,434",,,,,,,,,,,,,,,
My Kid Could Paint That (2007),"$9,332",,,,,"$13,966",,,,,,,,,,,,,,,,,,,,,,"$3,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martian Child (2007),"$13,727",,,,"$189,447",,"$58,528","$7,500,310",,"$282,607","$43,226","$423,801",,,"$34,764",,"$59,298",,,,"$63,706",,,"$43,617",,,,,"$62,110",,,"$25,745",,,,"$136,564","$57,447","$35,457",,"$82,892",,,"$52,215",,,,,"$40,416",,,,,,,,,,,"$1,446",,,,"$33,556","$21,749",,"$4,121",,,,,,,,"$85,965",,,,,,,,,,,,,,,,
American Gangster (2007),"$10,687,526","$832,122","$1,495,012","$501,580","$592,380","$19,890,424","$797,557",,"$15,520,131","$14,529,675","$520,146","$3,361,972","$450,237","$457,653","$282,398","$10,268,365","$10,753,130","$2,313,696","$2,658,544","$1,936,444","$10,990,851","$1,452,179","$2,187,509","$617,082","$110,385",,,"$1,873,720","$1,363,862","$158,069","$212,178","$1,404,196","$549,025","$121,145","$93,748","$2,922,636","$156,466","$151,381","$631,724","$3,106,373","$86,771","$268,278","$53,246","$395,769","$896,482","$345,900","$2,354,779","$1,655,299","$536,329","$605,217","$2,555,668","$606,476","$164,845","$180,422","$254,238","$141,847","$125,048","$57,629","$132,463","$33,266","$43,168","$383,989","$793,526","$254,400","$164,167","$9,523","$347,173",,,,,,,,,,"$70,342",,,"$69,500","$47,434","$6,070",,,,,,,,
Bee Movie (2007),"$13,652,455","$1,444,711","$7,710,322","$1,160,396","$630,447","$18,416,598","$1,396,632",,"$9,595,892","$11,133,015","$827,994","$8,431,629","$820,204","$802,078","$126,883","$2,182,194","$11,678,354","$3,373,406","$4,525,904","$3,930,645","$9,525,697","$4,621,610","$2,179,932","$2,428,828","$172,841",,,"$3,801,842","$3,040,000","$198,931","$140,123","$3,348,227","$725,755","$155,473","$76,532","$7,832,889","$788,833","$322,840","$187,218","$7,123,249","$59,702","$1,152,203","$307,373","$654,546","$1,399,096","$998,081","$1,826,305","$2,043,594","$937,691","$591,081","$2,040,199","$702,000","$420,378","$37,628","$415,645","$315,439","$75,942","$44,244","$112,945","$3,160","$9,640","$993,374","$1,481,104","$673,669","$474,581","$42,383","$383,992",,,,,,,,,,,,,"$151,826","$24,659",,,,,,,,,
Before the Devil Knows You're Dead (2007),"$1,539,246","$130,047","$180,023",,"$5,700","$898,096","$22,672","$7,084,227","$4,648,889","$3,620,899","$50,225","$703,228","$158,368","$29,697",,"$390,034","$1,213,804","$220,208","$104,980","$13,388","$1,041,122",,,,,,,"$66,651","$53,607","$7,103",,"$95,219","$6,669","$5,826",,"$31,706","$52,877",,,"$434,515","$27,654","$47,436",,,,"$106,300","$876,347","$179,600",,,"$203,823",,,,"$9,062",,,,"$11,014",,,,"$595,095","$98,974","$73,326",$809,,,,,,,,,,,,,,,,,,,,,,,,
The Diving Bell and the Butterfly (2007),"$994,798","$284,061","$140,144","$51,620","$161,530","$1,820,554","$46,984",,"$750,003","$356,647","$2,469","$351,504","$68,100","$126,779",,"$1,395,213","$2,399,100","$86,189","$300,046","$326,753","$2,090,635",,"$205,324",,"$32,398",,,"$299,062","$127,606","$1,752","$6,235","$11,214","$6,690",,,"$174,560",,,,"$429,100","$3,306",,,,,,"$47,524","$270,214","$5,556",,"$118,160","$115,788","$19,236",,,,,"$9,398",,,,,"$105,015","$13,431","$7,937","$14,254",,,,,,,,,,,,,,,,,,,,,,,,
No Country for Old Men (2007),"$5,625,870","$793,853","$1,304,967","$103,479","$75,211","$14,187,286","$226,075","$74,283,625","$8,979,650","$10,785,397","$213,939","$1,814,834","$298,892","$438,968","$103,544","$3,316,927","$9,057,277","$1,894,104","$2,160,513","$1,849,994","$6,469,800","$919,082","$1,030,210","$936,994","$82,598",,,"$1,821,872","$549,295","$161,573","$135,533","$1,071,673","$445,077","$59,280","$35,187","$570,944","$10,554","$29,552",,"$2,414,268","$147,754","$340,100","$60,180","$165,527","$219,593","$25,558","$1,573,989","$783,607","$331,045","$506,000","$2,258,973","$890,360","$126,702","$80,700","$168,167","$122,876","$76,828","$48,196","$39,369","$15,737","$5,545","$215,789","$1,002,429","$381,610","$213,368","$1,773","$31,056",,,,,,,,,,,,,"$39,081","$15,503",,,,,,,,,
Be Kind Rewind (2008),"$920,837",,"$152,907","$105,687","$9,047","$7,650,502","$37,744",,"$220,443","$561,516",,"$358,400","$158,353","$340,309","$11,211","$712,255","$4,538,459","$54,601","$194,963","$146,812","$1,151,880",,,"$155,015",,,,"$283,547","$77,467","$54,047",,,"$19,982",,,"$216,970","$62,342",,"$27,010","$212,242",,"$6,069",,,,,"$132,771","$310,639","$27,508",,"$230,216","$195,759",,,,,,,,,,,"$50,631","$11,456",,"$4,645",,,,,,,,,,,,,,,,,,,,,,,,
Crazy Love (2007),"$56,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August Rush (2007),"$654,865",,,"$76,644","$627,564","$1,563,734","$309,373",,"$1,462,687","$274,850","$81,395","$1,681,783","$1,255,566","$208,177",,"$6,736,708","$577,947","$187,484","$130,809",,"$1,362,208",,,"$72,453","$41,676",,,,"$108,720","$19,574",,"$151,493",,,,"$12,979,486",,,"$6,719","$562,561","$23,133",,,,,,"$76,062","$146,262",,,,,"$9,154",,,,,,"$31,896",,,,"$70,284","$53,751","$72,251","$9,596","$86,009",,,"$15,924",,"$10,183",,,,,,,"$218,988",,,,,,,,,,,
"You, the Living (2007)","$61,102",,"$76,590",,,"$193,983",,"$21,438","$46,914","$43,482",,"$12,611",,,,,"$126,694","$49,869","$12,513","$333,517","$486,008",,"$56,571",,,,,"$205,304",,,,"$2,911",,,,"$3,198",,,,,,,,,,,"$26,675",,,,,"$59,366",,"$1,346",,,,,,,,,"$20,807",,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions for Lambs (2007),"$2,238,686","$233,699","$591,430","$254,403","$328,534","$3,154,503","$158,589",,"$8,321,849","$6,569,116","$195,942","$2,432,435","$211,206","$404,035","$235,516","$5,959,156","$2,998,698","$418,166","$269,522","$369,672","$2,973,386","$307,236","$358,240","$166,578","$16,103",,,"$215,310","$536,736","$25,437","$85,480","$506,336","$64,175","$23,366","$62,022","$1,085,357","$89,741","$168,110","$148,564","$1,825,530","$65,850","$171,337","$85,544",,,"$92,929","$618,753","$284,934","$77,799","$104,699","$892,207","$71,439","$20,145","$65,315","$73,337","$58,368","$35,522","$36,994","$22,940","$25,905","$10,710",,"$509,908","$1,377,354","$123,982","$16,882","$163,500","$234,860","$99,859","$42,634","$14,561","$11,232","$9,669","$122,598","$186,383","$46,232","$19,122","$12,319",,,,,,,,,,,,
Fred Claus (2007),"$3,594,743","$254,114","$536,318","$204,622",,"$13,344,768","$309,772",,"$288,393","$520,709","$188,756","$2,368,708","$742,531",,,,"$62,447","$23,693","$10,310",,"$388,385",,,,,,,,,"$65,038","$61,192","$56,395",,,,,,"$76,136",,,,"$139,857",,,,,,"$266,325",,,"$23,822",,,,,,,,"$72,049","$23,822","$6,094",,,,"$160,101","$33,092","$89,911",,,,,,,,"$46,262",,,,,,,,,,,,,,,
Beowulf (2007),"$6,836,212","$1,073,011","$9,093,876","$939,168","$2,577,177","$14,815,632","$716,809",,"$5,072,906","$7,169,936","$685,694","$5,652,941","$747,257","$1,134,834","$1,481,449","$7,148,122","$3,640,000","$1,505,872","$1,226,583","$976,850","$5,761,508","$1,316,117","$630,639","$510,197","$106,371",,,"$637,086","$2,450,993","$314,823","$140,379","$1,207,715","$254,814","$121,689","$129,001","$7,236,552","$890,480","$1,616,173","$1,540,779","$4,392,479","$30,423","$626,664","$224,175",,,"$725,716","$1,344,420","$1,156,233","$426,011",,"$686,002","$304,339","$126,799","$252,983","$130,542","$236,999","$29,452","$62,045","$56,884","$65,861","$34,788",,"$904,033","$675,440","$453,492","$76,862","$657,798",,,,,,,,"$87,153",,,,,,,,,,,,,,,
Mr. Magorium's Wonder Emporium (2007),"$5,252,504","$431,211","$1,699,698","$302,923","$195,077","$4,507,478","$192,298",,"$2,466,591","$2,371,539","$124,274","$1,285,173",,"$198,140","$154,174","$3,230,383","$1,050,401","$350,117","$764,466","$381,143","$1,246,585","$168,066","$512,477",,"$28,951",,,"$500,884","$873,556","$17,354","$37,354","$92,125","$158,795","$25,779",,"$4,067,103","$233,350","$93,591",,"$2,836,083",,,,,,"$317,461","$102,406","$119,696",,,"$147,336","$134,560","$16,284",,,,,,"$9,818","$14,288","$5,016",,,,,,,,,,,,,"$203,878",,,,,,,,,,,,,,,,
Love in the Time of Cholera (2007),"$205,747","$192,763","$168,808","$15,235",,"$731,049","$72,593",,"$5,462,115","$4,202,408","$46,360","$4,325,410","$346,793","$50,517","$21,765","$252,141","$423,158","$106,811","$53,096","$102,749","$1,501,681","$416,210","$615,134",,"$14,041",,,"$31,802","$237,587","$5,678","$73,594","$362,803","$81,216","$13,299",,,,,,"$1,449,796","$152,015","$1,647,262","$220,123",,,,"$536,078","$124,075","$280,364",,"$140,661","$38,026","$42,036","$35,645","$83,128",,,"$45,100","$50,304",,,,"$603,059","$383,805","$422,645","$72,599",,,,,,,,,"$431,194","$59,945","$13,667","$4,179",,,,,,,,,,,,
I Served the King of England (2006),"$180,303","$118,221","$110,000",,"$43,832","$1,407",,"$617,403",,"$621,209",,,"$35,268","$11,671",,,"$40,124","$6,228",,,"$292,814","$406,602",,,,,,,,,"$10,132","$28,223","$4,166,741","$274,582",,"$29,036",,,,,"$9,411","$26,634",,,,,,"$11,300","$145,359",,,,"$6,363",,"$26,995","$26,412",,"$3,777",,,,,"$69,163",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mist (2007),"$958,752",,"$2,769,724","$350,661","$525,544","$1,079,390","$30,721",,"$1,902,311","$3,502,124","$152,063","$1,305,429","$455,412","$521,094","$467,605","$3,355,677","$282,182","$587,258","$792,379","$84,473","$1,711,682","$1,534,536","$177,055",,"$53,635","$109,224","$224,225","$233,669","$672,374","$63,203","$62,500","$229,306",,,"$59,040","$3,596,628","$93,809","$176,424",,"$1,049,890","$5,314","$137,915",,,,"$192,541","$607,763","$72,346",,,"$333,449","$99,700","$70,523","$26,838","$36,216","$43,329",,,"$15,641",,,,"$428,010","$203,451","$133,855","$16,952",,,"$175,938","$30,521",,"$54,774","$11,260",,"$8,928",,,,,,,,,,,,,,,
