Movie Name,Domestic,Spain,France,Finland,United Kingdom,New Zealand,Australia,Germany,Czech Republic,South Korea,Russia/CIS,Hong Kong,Taiwan,Italy,Netherlands,Portugal,Ukraine,Austria,Denmark,Iceland,Hungary,Mexico,Türkiye,Brazil,Bulgaria,Argentina,Chile,Sweden,Poland,Egypt,South Africa,Slovakia,Peru,Japan,India,Russia/CIS/Ukraine,Thailand,Philippines,Singapore,Malaysia,Indonesia,Sri Lanka,Belgium,Switzerland,Greece,Israel,Middle East/UAE,Czech Republic/Slovakia,Norway,Romania,Lebanon,Slovenia,Croatia,Cyprus,Kenya,Central America+,Venezuela,Colombia,China,Russia,Greece and Cyprus,S/E/W Africa,Latvia,Lithuania,Estonia,Serbia and Montenegro,Central America,Puerto Rico,Ecuador,Uruguay,Dominican Republic,Bolivia,Lesser Antilles,Jamaica,Middle East Other,United Arab Emirates,East Africa,Vietnam,Palestine,Baltic States,West Indies
The Mummy Returns (2001),"$202,019,785","$11,576,048","$11,132,607","$993,035","$29,162,213",,"$9,341,940","$21,335,405","$581,957","$12,102,404",,"$5,231,724","$10,267,630","$7,720,589","$2,664,176","$1,362,559",,"$2,185,343","$1,200,233","$228,997","$1,281,629","$12,142,130","$1,611,536","$5,759,477","$230,513","$3,425,760","$1,806,385","$1,666,688","$1,431,741","$622,166","$1,315,329",,"$920,525","$30,174,149","$5,846,366","$2,986,243","$2,615,644","$2,561,565","$2,102,313","$1,216,184","$714,262","$27,436","$2,469,457","$2,070,849","$1,438,048","$1,374,161","$1,347,411","$1,196,589","$1,165,245","$209,336","$208,886","$185,348","$154,130","$135,371","$76,390","$2,626,277","$2,195,327","$1,518,780","$3,477,429",,,,,,,,,,,,,,,,,,,,,,
Cleopatra (1963),"$57,777,778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krull (1983),"$16,916,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fellini Satyricon (1969),"$1,135,943",,,,,"$1,499",$452,,,,,,,,,$214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Women (1980),"$12,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 to 5 (1980),"$103,290,500",,,,"$9,643",$543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Story (1970),"$106,550,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelle the Conqueror (1987),"$2,063,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rififi (1955),"$517,975",,,,,,"$3,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Knight's Tale (2001),"$56,569,702","$4,007,929","$1,667,978",,"$10,137,404",,"$4,518,086","$7,358,459","$182,539",,,"$54,686","$105,510","$2,800,000","$642,363",,,"$1,064,020","$237,370",,"$217,274","$5,376,705",,"$1,518,614","$79,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrek (2001),"$268,163,011","$11,327,553","$21,109,691","$992,266","$42,520,754","$2,380,582","$22,103,398","$17,028,144","$146,159","$10,455,458",,"$2,265,381","$1,766,789","$5,525,525","$2,454,782","$1,251,572",,"$2,118,942","$2,317,359",,"$923,149","$14,580,514","$602,303","$4,565,267","$19,961","$3,499,185","$1,898,158","$2,630,288","$4,920,386",,"$1,974,552",,"$625,929","$18,055,730",,,"$675,696","$522,780","$1,060,275","$185,145","$127,693",,"$2,892,160","$2,821,794","$748,437","$3,436,623",,,"$1,770,335",,,"$58,340","$81,929",,,"$1,180,000","$1,764,030","$973,972","$849,069","$1,070,302",,,,,,,,,,,,,,,,,,,,,
