Movie Name,Domestic,Spain,France,Finland,United Kingdom,New Zealand,Australia,Germany,Czech Republic,South Korea,Russia/CIS,Hong Kong,Taiwan,Italy,Netherlands,Portugal,Ukraine,Austria,Denmark,Iceland,Hungary,Mexico,Türkiye,Brazil,Bulgaria,Argentina,Chile,Sweden,Poland,Egypt,South Africa,Slovakia,Peru,Japan,India,Russia/CIS/Ukraine,Thailand,Philippines,Singapore,Malaysia,Indonesia,Sri Lanka,Belgium,Switzerland,Greece,Israel,Middle East/UAE,Czech Republic/Slovakia,Norway,Romania,Lebanon,Slovenia,Croatia,Cyprus,Kenya,Central America+,Venezuela,Colombia,China,Russia,Greece and Cyprus,S/E/W Africa,Latvia,Lithuania,Estonia,Serbia and Montenegro,Central America,Puerto Rico,Ecuador,Uruguay,Dominican Republic,Bolivia,Lesser Antilles,Jamaica,Middle East Other,United Arab Emirates,East Africa,Vietnam,Palestine,Baltic States,West Indies
Jeepers Creepers (2001),"$37,904,175","$2,132,859","$681,559",,"$8,799,096",,"$850,711","$1,328,905","$42,467",,,"$187,524","$10,697","$2,059,108","$633,388",,,"$300,080",,,,"$2,458,360",,"$685,483",,,,,"$24,977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$153,514",,,,,,,,,,,,,,,,,,,,,,,
The Wicker Man (1973),"$141,919",,,,"$332,576",,"$38,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.I.E. (2001),"$1,138,836",,"$129,121",,,,,"$49,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinner Rush (2000),"$634,566",,,,,"$299,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glitter (2001),"$4,274,407","$188,018","$27,654","$4,545","$26,865",,"$34,476","$39,142",,,,,,,,,,,,,,"$78,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's a Mad Mad Mad Mad World (1963),"$46,332,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Play Misty for Me (1971),"$10,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who Knows? (2001),"$907,323","$20,560","$1,059,994",,,,"$24,240","$27,527",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Big Red One (1980),"$7,206,220",,,,,$603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruising (1980),"$19,798,718",,"$15,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Metro (1980),"$3,007,945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulholland Drive (2001),"$7,220,243","$692,207","$3,639,652","$285,656","$1,202,285",$55,"$573,443","$1,539,144","$92,926","$5,000","$141,565",,,"$633,880","$300,263","$5,177",,"$86,426",,,"$60,205","$44,252",,"$209,299","$3,428","$22,470","$30,488",,,,,$776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Harry (1971),"$35,988,495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiddler on the Roof (1971),"$10,404,330",,,,,,"$1,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnt Money (2000),"$183,132",,,,,,,,,,,,,,,,,,,,,,,,,,"$6,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On the Line (2001),"$4,365,455","$141,582",,,,,,"$14,317",,,,,,"$9,743",,,,,,,,,"$10,283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donnie Darko (2001),"$1,478,493","$37,431","$228,223",,"$1,793,383","$98,459","$358,353",,,,"$65,142",,"$10,951","$2,841,366","$124,704",,,,,,,,"$36,050",,,,,,,,,,,,,,,,,,,,,,,,,,"$6,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Man Who Wasn't There (2001),"$7,504,257","$1,497,229","$1,686,766","$58,631","$2,368,064",,"$489,383","$727,484","$44,772","$20,000",,,,"$1,224,714","$183,867",,,"$27,476",,,,"$154,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monsters, Inc. (2001)","$290,642,256","$14,161,175","$17,783,870","$276,968","$56,784,709","$1,076,702","$13,149,655","$15,022,030","$294,637","$335,777","$1,889,928",,"$1,358,525","$7,551,516","$1,950,063",,,"$2,458,505",,"$37,725","$458,347","$21,640,641","$183,601","$6,558,871","$232,728","$1,505,572","$276,284",,,,"$565,993",,"$240,509","$74,659,431",,,,,"$18,203",,,,,,,"$170,800",,,"$3,107,280",,,,,,,,"$2,255,572","$193,273",,,,,,,,,,,"$426,324","$45,416",,"$112,367",,,,,"$9,545",,,,
The One (2001),"$43,905,746","$1,854,394","$2,496,556",,"$1,316,565","$344,652","$2,182,340","$720,042","$40,025",,"$5,624,487","$518,910","$519,057","$948,346","$330,832",,,,,,"$79,843","$1,655,438",,"$768,610","$58,799",,,,,,"$252,587",,,,,,,,,,,,,,,,,,"$59,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tape (2001),"$490,475",,,,,,,,,,,,,,"$25,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When a Stranger Calls (1979),"$21,411,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Sorcerer's Stone (2001),"$318,886,962","$25,096,595","$48,137,835","$3,070,350","$88,031,585","$3,177,320","$21,415,315","$67,802,864","$1,745,622","$2,504,289","$30,980","$5,014,325","$4,734,322","$26,634,708","$17,808,990",,,"$5,597,385",,"$4,809","$1,235,948","$17,733,367","$390,175","$13,254,031","$300,078","$6,916",,,,,"$1,406,789","$3,179",,"$153,426,587",,,,,,,,,,,,,,,"$6,810,296",,,,,,,,,,"$27,300,000",,,,,,,,,,"$367,333",,,,,,,"$100,702",,"$166,684",,,
The Devil's Backbone (2001),"$755,249",,"$325,957",,"$145,302",,"$6,894",,,,,"$27,376",,"$97,854",,,,,"$25,191",,,"$5,075,197",,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Bedroom (2001),"$35,930,604","$1,394,402","$75,228",,"$945,047","$62,619","$728,030","$373,200","$21,102",,,,"$38,231","$288,479","$44,930",,,,,,,"$646,725",,,,,"$93,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funny Girl (1968),"$52,223,306",,$957,,,,$373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breathless (1960),"$414,173","$14,680",,,"$1,197",$550,"$18,176",,,,"$119,772",,,,,$792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Wave (1977),$957,,,,,$425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fame (1980),"$21,202,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flash Gordon (1980),"$27,107,960",,,,"$58,914","$5,943","$4,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baran (2001),"$125,900","$25,668",,,,,,,,,,,,"$15,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amélie (2001),"$33,225,499","$6,820,670","$44,454,020","$1,303,623","$6,285,731","$418,626","$3,336,919","$15,361,219","$654,778","$90,050","$252,657","$439,255","$693,701","$6,991,860","$1,780,773",,,"$1,008,637",,,"$263,633","$1,618,795",,,"$25,068","$587,337",,,,,"$24,540","$3,937",,,,,,,,,,,,,,,,,"$1,220,896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Another Teen Movie (2001),"$38,252,284","$1,078,396","$4,219,670",,"$2,506,023","$324,176","$2,715,651","$5,383,475","$83,679",,,,,,"$643,117",,,"$768,219",,,"$98,040","$1,162,667",,"$978,602","$14,910",,"$36,666",,,,"$317,461",,,,,,,,,,,,,,,,,,"$100,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Royal Tenenbaums (2001),"$52,364,010","$577,863","$1,292,595",,"$3,827,447","$273,588","$1,255,590","$1,483,297","$9,574",,,"$169,490","$36,503","$2,410,721","$114,759",,,"$395,664",,,"$15,421","$426,147",,"$569,277","$3,419",,,,,,,,,,,,,,,,,,,,,,,,"$287,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill & Ted's Bogus Journey (1991),"$38,037,513",,,,,"$2,337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring (2001),"$316,115,420","$28,012,547","$35,623,016","$5,119,369","$90,393,518","$9,700,746","$24,782,093","$78,561,249","$3,931,932","$21,046,515","$987,411","$3,181,887","$6,620,323","$24,667,536","$13,036,148","$2,935,879","$13,582","$6,845,000","$11,485,996","$667,788","$2,025,331","$15,799,230","$4,454,856","$10,445,125","$347,112","$3,658,920","$2,611,007","$15,782,664","$8,844,029","$167,782","$1,874,426","$374,645","$1,258,399","$69,429,112","$874,459",,"$2,192,337","$1,403,464","$2,195,060","$1,016,167","$597,978",,"$6,094,454","$8,339,749","$5,774,640","$2,715,451","$1,025,314",,"$8,161,464","$186,305","$857,532","$483,175","$769,116",,,"$1,459,642","$2,290,061","$2,991,832","$15,080,952","$7,179,111",,,"$136,514","$148,017","$342,841","$666,518",,"$1,100,098","$400,000","$418,949","$140,000","$304,743",,,,"$59,827",,"$87,294","$1,442,161","$627,372","$138,629"
The Majestic (2001),"$27,807,266","$444,484","$269,662",,,,"$302,890","$53,072",,"$158,869",,"$69,971","$94,722","$205,934",,,,"$19,738",,,,"$206,258",,"$319,684",,,,,,,,,,"$5,303,635",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Beautiful Mind (2001),"$170,742,341","$10,359,805","$3,706,550","$1,234,451","$11,566,132","$1,423,731","$10,368,890","$13,641,360","$444,889","$6,140,813",,"$1,225,060","$1,072,921","$12,260,691","$2,548,342",,,"$1,645,762",,,"$402,672","$7,786,598","$1,999,236","$5,767,213","$103,997","$1,512,073",,,,,"$1,154,472",,,"$14,286,836",,,,,,,,,,,,,,,"$2,680,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali (2001),"$58,203,105","$1,921,353","$5,241,132",,"$6,227,355","$198,488","$3,461,737","$2,098,135",,"$820,623",,,"$46,330","$1,066,925","$656,023",,,"$166,791",,,,"$185,249","$87,081",,,"$4,889",,,,,"$263,216",,,"$1,798,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yentl (1983),"$40,218,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Am Sam (2001),"$40,311,852","$1,690,712","$1,086,067",,"$665,115","$49,790","$2,464,334","$755,881",,"$9,811,314",,,"$491,450","$3,442,912","$175,137",,,"$218,196",,,"$9,377","$1,422,017","$135,001","$1,450,935",,"$550,051","$80,167",,,,"$256,097",,,"$25,789,069",,,,,,,,,,,,,,,"$92,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster's Ball (2001),"$31,273,922","$924,594","$630,916","$201,629","$3,583,605","$67,630","$1,073,223","$705,217",,"$382,554",,"$101,948","$37,105","$250,458","$137,391",,,"$133,435",,,"$27,078","$613,819",,,,"$65,713","$88,933",,,,"$22,307",,,,,,,,,,,,,,,,,,"$567,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Servant (1963),"$45,522",,,,"$26,201",$280,,,,,,,,,,"$3,443",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brotherhood of the Wolf (2001),"$11,274,610","$2,324,599",,,"$175,288","$45,007","$181,922","$4,877,562","$69,532",,"$700,000","$119,453",,,,,,"$266,676",,,,"$1,050,455",,"$336,120",,"$225,212","$115,410",,,,,,,"$591,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Time Is It There? (2001),"$195,760",,"$62,832",,,,,"$6,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impostor (2001),"$6,285,176","$548,771",,,"$34,240",,"$38,001",,"$5,385",,,,"$31,109","$36,582",,,,,,,,"$182,359","$32,579",,,,,,,,"$23,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48 Hrs. (1982),"$78,868,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian for Beginners (2000),"$4,544,753","$649,166","$184,298",,"$203,555",,"$146,902","$3,597,882",,,,,"$1,308","$377,453","$189,270",,,"$96,822","$5,293,229",,,,,,,"$181,796","$61,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mothman Prophecies (2002),"$35,746,370","$3,435,383","$1,732,364","$115,525","$3,136,825","$140,034","$1,942,283","$1,111,402","$60,099",,,"$147,740","$143,883","$2,387,789","$309,098",,,"$171,367",,,"$76,972","$1,427,708","$388,612","$779,339","$7,099","$257,449","$73,012",,,,"$99,818",,,"$372,582",,,,,,,,,,,,,,,"$418,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saving Silverman (2001),,"$688,761",,"$27,140",,,"$176,322","$1,928,117","$14,798","$37,901",,,,"$93,224",,,,"$136,588",,,"$84,588","$1,004,421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000 Miles to Graceland (2001),,"$542,444",,,,,"$127,326","$554,411","$22,651",,"$29,710",,,"$626,155",,,,,,,"$84,244",,,,"$20,794","$148,721","$21,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mexican (2001),,"$5,353,328",,,"$5,059,516",,"$3,592,748","$8,101,028","$117,694",,,,,,,,,"$1,396,939","$595,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Over It (2001),,"$511,934",,,"$4,972,797",,"$629,345","$603,842",,,,,"$10,749","$7,728",,,,,"$21,550",,,"$198,434",,"$44,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just Visiting (2001),,"$963,063",,"$7,158","$858,301",,"$14,255",,,,,,,,,,,,,,,"$138,449",,,"$12,427",,,,,,"$24,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driven (2001),,"$385,406",,,"$212,947",,"$639,376","$1,140,102","$77,537",,,,"$310,449",,,,,"$247,349","$98,881",,"$75,789",,,,"$9,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Forsaken (2001),,"$86,834","$115,300",,"$23,536",,"$133,351",,,,,,,"$108,977",,,,,,,,"$171,863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat (2000),,"$3,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Eyes (2001),,"$430,893","$414,118",,"$236,396",,"$79,625","$1,104,594",,,,"$21,132",,,"$9,087",,,"$119,422",,,,"$1,185,886",,"$532,916","$5,044",,,,,,,,,"$619,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's the Worst That Could Happen? (2001),,"$1,519,436","$3,206",,"$105,463",,"$208,498","$559,075",,,,,,"$21,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis: The Lost Empire (2001),,"$5,564,048","$22,076,350","$399,217","$8,597,152",,"$1,145,414","$7,159,686","$70,285",,,,,"$5,016,119","$620,543",,,"$1,066,135",,,"$158,465",,,,"$43,427",,,,,,,,,"$8,834,890",,,,,,,,,,,,,,,"$1,530,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lara Croft: Tomb Raider (2001),,"$7,736,638","$11,576,113","$1,034,734","$18,403,392","$687,641","$8,428,397","$12,788,541","$335,740","$2,000,000","$1,336,623","$2,116,358","$3,539,771","$5,079,130","$2,201,626","$1,456,737",,"$1,667,321","$1,167,968","$178,693","$722,358","$5,206,219","$1,545,005","$2,661,625","$101,404","$2,010,302","$544,117","$1,678,539","$1,095,471","$202,896","$1,294,916",,"$257,880","$21,444,178","$2,377,639",,"$1,371,262","$1,441,193","$1,280,390","$722,893","$454,990",,"$1,512,667",,"$1,823,918","$895,603",,"$626,687","$1,236,825","$115,639","$140,874","$175,115","$173,679","$129,538","$50,735",,"$408,682","$857,103","$2,137,721",,,,,,,,"$742,940",,,,,,,,"$506,006",,,,,,
Baby Boy (2001),,"$26,881","$54,189",,"$66,594",,"$25,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Closet (2001),,"$1,442,620",,,"$260,463","$150,023","$553,872","$295,699","$16,669",,,"$19,102",,,,,,,,,,"$274,631",,,,,"$168,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiss of the Dragon (2001),,"$550,073",,,"$1,871,100",,"$1,773,190","$1,934,252",,,,,"$71,368",,"$552,413",,,"$263,387","$100,312",,,"$743,241",,"$79,124","$18,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost and Delirious (2001),,"$7,194",,,,,,,,,,,,"$82,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Fantasy: The Spirits Within (2001),,"$4,299,096","$7,425,304",,"$3,422,705",,"$2,567,656","$5,800,864","$148,046",,,,"$237,083",,,,,"$662,168","$184,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Score (2001),,"$23,697,286","$3,834,397",,"$6,097","$169,810","$1,707,751","$1,750,126","$99,535",,"$14,033","$288,122","$485,417","$3,264,915","$968,542",,,"$204,558",,,,"$1,416,958",,"$1,194,793","$84,590",,,,,,"$354,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bully (2001),,"$49,942","$97,230",,,,"$11,399",,,,,,,,,,,,,,,"$65,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Always (1989),,"$1,496,187","$3,718,307","$171,130","$1,508,633","$23,166","$318,024","$1,549,140",,,,"$100,907","$637,476","$1,314,789","$237,803","$169,116",,"$128,187","$79,947",,,"$69,891",,"$927,405",,"$47,169","$2,558","$181,388",,,"$195,986",,"$17,660","$7,945,399",,,"$104,285","$81,372","$133,101","$6,901",,,"$406,014","$505,520","$30,639","$45,120",,,"$98,547",,,,,,,"$8,859","$8,628","$9,390",,,,,,,,,,,$105,$455,"$6,882",,"$13,202",,,,,,,,
Jurassic Park III (2001),,"$7,783,212","$10,534,113",,"$26,485,776",,"$5,472,737","$17,648,925","$310,132",,,,"$868,180",,"$2,369,767",,,"$1,327,799","$747,228",,,"$12,662,384",,,"$75,496",,,,,,,,,"$41,288,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
America's Sweethearts (2001),,"$4,000,247","$3,011,986",,"$8,119,591",,"$3,996,157","$6,841,254","$120,294",,,"$251,474","$427,287","$3,701,440","$1,626,396",,,"$774,551","$984,609",,"$164,737","$3,490,807",,"$1,795,563","$46,370",,,,,,,,,"$2,718,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planet of the Apes (2001),,"$11,997,374","$20,231,900",,"$24,732,707",$94,"$6,060,123","$12,630,919","$215,818",,,,"$631,279",,"$1,857,210",,,"$1,058,496","$1,141,155",,,,,"$5,037,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,156,088",,,,,
Greenfingers (2000),,"$14,431",,,"$42,424",,"$161,127","$50,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Sin (2001),,"$1,919,618",,,"$142,300","$80,171","$258,519","$581,160","$252,560",,,,"$327,632",,"$112,107",,,"$115,118",,,"$63,895","$3,078,452",,"$1,017,944","$31,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Princess Diaries (2001),,"$1,985,977","$657,186","$142,465","$7,458,715",,"$3,783,241","$11,196,285","$102,771",,,"$230,307","$437,348",,"$1,022,663",,,"$1,925,253",,,,"$4,010,592",,,"$22,613",,,,,,,,,"$3,229,000",,,,,,,,,,,,,,,"$998,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rush Hour 2 (2001),,"$2,357,798","$8,880,487",,"$16,213,289",,"$6,284,063","$10,742,000","$29,973",,,,"$1,168,667",,"$1,656,652",,,"$1,145,840",,,"$188,703","$3,886,531",,"$1,732,622","$121,865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Pie 2 (2001),,"$7,580,000","$17,244,854","$925,107","$26,052,174","$930,694","$6,807,893","$30,006,457","$779,329",,,"$323,777","$398,454",,"$2,854,341",,,"$3,145,051","$481,605",,"$735,313","$5,260,926",,"$3,104,022","$94,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Outlaws (2001),,"$1,409","$2,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session 9 (2001),,"$1,234,083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captain Corelli's Mandolin (2001),,"$1,139,874",,"$424,171","$12,981,177",,"$2,339,543","$947,708","$75,309",,,,"$263,436",,"$295,547",,,"$116,658",,,,"$679,110",,,"$11,727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat Race (2001),,"$1,218,855",,,"$6,369,100","$395,065","$2,054,209","$3,509,883","$165,993",,,,"$166,894","$1,418,911","$1,260,583",,,"$305,373",,,"$62,696","$1,929,844",,"$974,163","$24,510","$36,594",,,,,"$115,935",,,"$2,310,386",,,,,,,,,,,,,,,"$138,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghosts of Mars (2001),,"$509,536","$1,937,390",,"$148,898",,"$160,687","$496,679",,"$33,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An American Rhapsody (2001),,"$71,488","$44,762",,,,,,,,,,"$4,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O (2001),,"$499,099","$65,742",,,,,,,,,,"$21,723","$2,648,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Musketeer (2001),,"$1,492,160","$1,096,428","$10,968","$196,702",,"$215,887",,,,,,"$13,449","$551,362",,,,,,,"$18,671","$1,183,827",,"$517,727",,"$10,510","$34,673",,,,"$117,798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul Survivors (2001),,"$680,237",,,"$290,113",,"$1,064",,,,,,,,,,,,,,,"$81,147","$28,649",,,,,,,,"$19,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Glass House (2001),,"$639,311","$246,459",,"$97,843",,"$38,468","$346,259","$5,061",,,,,"$284,587",,,,,,,,"$1,065,220",,,,,,,,,"$45,549",,,,,,,,,,,,,,,,,,"$145,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardball (2001),,"$336,914","$84,655",,"$119,611","$49,701","$143,640","$110,799",,,,,"$183,780","$176,338",,,,,,,,"$342,869",,,,,,,,,,,,"$1,579,946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Trouble (2002),,"$362,648",,,,,"$54,218",,,,,,,"$25,542",,,,,,,,,,,,,,,,,"$111,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Day (2001),,"$2,342,085","$2,747,656","$187,751","$2,774,913",$376,"$2,559,356","$1,883,021","$66,249",,,,"$299,800","$2,114,032","$526,945",,,"$393,199",,,"$75,948","$1,495,326",,"$1,124,298","$32,424","$323,162",,,,,"$259,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidewalks of New York (2001),,"$240,576","$106,127",,,,"$253,296","$68,866",,,,,"$5,218","$155,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
