Movie Name,Thailand,Russia/CIS,Philippines,Singapore,Vietnam,South Korea,Ukraine,Czech Republic,Belgium,Slovakia,Romania,Lithuania,South Africa,Estonia,Croatia,United Arab Emirates,Latvia,Egypt,Oman,Ecuador,Spain,Greece,Sweden,Norway,United Kingdom,Argentina,Colombia,Uruguay,New Zealand,Brazil,Peru,Portugal,Mexico,Bolivia,Australia,Chile,Poland,China,Iceland,Taiwan,Hong Kong,Malaysia,Germany,Italy,France,Türkiye,Austria,Lebanon,Bulgaria,Jordan,Domestic,Netherlands,Denmark,Finland,Hungary,Serbia and Montenegro,Slovenia,Japan,Israel,Switzerland (German),Kuwait,Switzerland (French),Qatar,Bahrain,Cyprus,Iraq,Kenya,Palestine,Venezuela,Costa Rica,Panama,Guatemala,West Indies,El Salvador,Dominican Republic,Honduras,Nicaragua,Paraguay,Aruba,Curaçao,Mongolia,Indonesia,India,Pakistan,Cambodia,Sri Lanka,Nigeria,East Africa,Switzerland,Ethiopia,Russia,Ghana,E/W Africa,Central America,Puerto Rico,Trinidad & Tobago,Jamaica
Wild Tales (2014),,"$334,439",,,,,,"$281,842","$182,752","$32,366",,,,,"$12,371",,,,,"$77,445","$5,220,118","$256,137",,,"$613,979","$11,783,141","$299,540","$788,678",,"$1,034,264","$199,296","$27,109",,,"$319,552","$573,730",,,"$10,745","$35,936","$302,084",,"$1,178,255","$1,103,954","$2,661,864","$17,940","$149,830","$12,604","$17,732",,,"$112,308",,"$15,128","$113,746","$16,254",,"$268,270",,,,,,,,,,,"$318,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Legend of Sarila (2013),,"$231,965",,,,,"$7,138",,,,,,,,,"$109,615",,,,,"$6,468",,,,,,,,,,,,,,,,"$513,885",,,,,,,,,,,,,,,,,,,"$21,223","$11,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Chance Encounter (2014),,"$378,475",,,,"$78,222",,,"$140,345",,,"$8,724",,,,,,,,,"$127,671","$164,197",,,,,,,,,,,,,,,"$279,105",,,,,,"$745,794",,"$3,472,295","$85,017","$181,402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphin Tale 2 (2014),,"$1,040,141","$107,495","$192,385",,,,,,,,,"$587,481",,,"$404,960",,,,"$409,416",,,,,"$2,618,363","$447,443","$280,096","$86,738",,"$272,614","$695,368",,"$609,520","$65,314",,"$152,884",,,,,,,"$2,154,367","$505,070","$351,680",,"$182,791","$78,507",,,,,,,"$170,437",,,,"$613,962",,,,,,,,,,"$703,788",,,,,,,,,,,,,,"$33,797",,,,"$32,856","$17,918",,,,,,,,,
Wrestling Queens (2013),,"$3,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulette (2012),,"$37,614",,,,,,"$13,307",,"$26,953",,,,,,,,,,,"$131,863","$34,631",,,,,,,,,,"$441,003",,,,,"$146,693",,,,,,"$4,498,900","$251,722","$8,675,397",,"$398,049",,,,"$29,494",,,,,,"$5,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOL (Laughing Out Loud) (2008),,"$171,945",,"$10,154",,,,,,,,,,,,,,,,,,,,,,,"$12,919",,,,,,"$60,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterix and Obelix: Mansion of the Gods (2014),,"$1,611,256","$8,728","$39,064","$258,092","$45,123",,,,,,,,,,,,,,,,,,,,,,,,"$30,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
She Monkeys (2011),,"$7,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Taking of Deborah Logan (2014),,"$212,797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$101,843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1½ Knights - In Search of the Ravishing Princess Herzelinde (2008),,"$241,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horrible Bosses 2 (2014),,"$2,917,361",,"$663,131",,,"$477,352","$71,940","$551,138","$158,390","$573,847","$20,524","$735,259","$122,718","$93,562","$1,365,873","$64,965","$206,837","$40,105","$323,092","$499,715","$252,244",,"$104,860","$5,674,379",,,"$104,910","$394,919",,,"$416,027",,,"$5,570,886",,"$452,919",,"$84,723","$719,253","$295,799","$324,413","$3,673,888","$1,840,129","$2,058,344","$70,257","$1,133,584","$304,871","$145,419","$116,866",,"$1,246,806",,"$466,622","$464,137","$75,819","$38,909",,"$1,169,841",,,,,"$77,576",,,,,"$2,037,235",,,,,,,,,,,,,,"$271,106",,,,,,,,,,,,,,
Pokrov Gates (1983),,"$8,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard to Be a God (2013),,"$1,265,308",,,,,,,,,,,,,,,,,,,"$5,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Sea (2014),,"$260,024",,"$63,503",,,,,,,,"$4,359","$45,645","$5,715",,"$62,798",,"$34,369","$11,211",,,"$154,112","$12,673",,"$384,042",,,,,,,"$38,771",,,,,,"$312,686",,,"$164,174",,,"$1,268,268",,"$57,347",,"$13,406",,"$6,127","$1,171,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Most Violent Year (2014),,"$22,847",,"$9,521",,,,,"$145,048",,,,,,"$4,667","$24,692",,"$1,794","$4,906",,"$394,295","$29,015","$16,703",$440,,,,,,,,"$16,768","$136,838",,"$74,882",,,,,"$11,243","$15,426","$15,020",,,"$2,295,240","$1,455",,"$6,347",,"$2,763",,"$48,589",,"$57,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild (2014),,"$284,219",,"$49,330",,,,"$108,009","$437,386","$42,190",,"$22,853","$25,372","$64,493",,,"$37,131",,,"$39,601","$351,710",,"$366,657",,"$1,575,402",,,"$20,065","$429,707",,"$42,160",,"$271,502",,"$2,238,220","$67,099","$76,095",,,,"$233,620","$17,118","$1,987,269","$216,656","$591,539","$34,211","$343,727",,,,,"$729,708","$63,577","$154,473","$19,786","$6,262",,,"$175,078",,,,,,,,,,,,,,,,,,,,,,,,"$99,518",,,,,,,,,,,,,,
Lemon Tree Passage (2014),,"$20,773",,,,,,,,,,,,,,"$34,926",,,"$16,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloss (2007),,"$4,684,165",,,,,"$514,562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,045",,,,,"$18,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Istoriya Asi Klyachinoy, kotoraya lyubila, da ne vyshla zamuzh (1966)",,"$19,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drive Hard (2014),,,"$17,401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Damned (2013),,,"$23,185","$18,365",,,,,"$22,381",,,,,,,,,,,,,,,,,,,"$14,276",,,"$26,805",,"$678,939",,,,,,,,,"$680,444",,,,"$33,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Chance (2013),,,"$6,662","$13,370",,"$409,792",,"$29,860",,,,,"$67,664",,,"$28,511",,,,,,,,,"$3,892,895","$56,720",,,"$529,978","$252,083",,,"$571,565",,"$1,876,854",,"$28,172",,"$9,384",,"$47,734",,"$235,104",,,,"$49,793",,,,,,"$614,426",,,,,"$288,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walking on Sunshine (2014),,,"$14,995","$130,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exorcismus (2010),,,"$88,049","$17,042",,,,,,,,,,,,,,,,,,,,,,,"$501,420",,,,"$227,862",,"$477,069",,,,,,,"$46,566","$24,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$587,137",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hateship Loveship (2013),,,,"$2,513",,,,,,,,,"$15,167",,,,,,,,,,,,,,,,,"$11,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Secret (2013),,,,"$6,190",,,,,,,,,"$2,976",,,,,,,,,,,,"$15,982",,,,,,,"$15,996","$166,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You Are the Apple of My Eye (2011),,,,"$2,272,504",,"$346,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,925,128","$7,975,115","$1,398,023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Passenger (2013),,,,"$16,923",,,,,,,,,,,,"$22,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inherent Vice (2014),,,,"$24,825",,,,,"$79,270",,,,"$14,849",,,,,,,"$23,538","$504,674","$31,875",,,"$1,127,325",,"$11,404","$3,135",,"$37,270","$12,298","$28,133","$94,995",,"$517,036","$31,296",,,"$4,317",,,,"$407,403","$707,955","$349,454","$12,370","$72,014",,,,,"$184,474","$85,875","$42,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trash (2014),,,,"$123,232",,,"$217,283","$53,083",,"$14,243",,,,"$32,293",,"$35,780",,"$5,680","$5,779",,,,,,,"$23,135",,"$13,542",,"$1,246,678",,,,,,,"$88,510",,,,,,,"$605,461","$664,134",,,"$10,513","$53,074","$5,639",,"$114,618",,,,"$11,097","$6,082",,"$305,457",,,,,"$1,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Longest Week (2014),,,,"$9,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rabbi's Cat (2011),,,,"$4,372",,,,,"$73,927",,,,,,,,,,,,,,,,,,,,,"$69,126",,,,,,,,,,,,,,,"$4,037,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's a Wonderful Afterlife (2010),,,,"$25,384",,,,,,,,,,,,,,,,,,,,,,,,,"$43,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Face of Love (2013),,,,"$7,494",,"$507,992",,,,,,,,,,"$13,140",,,,,"$630,761",,,,,,,"$5,707","$42,239","$65,310",,"$11,091","$96,850",,,,,,,,,,,,"$75,958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special ID (2013),,,,"$977,407",,,,,,,,,,,,,,,,,,,,,,,,,"$22,256",,,,,,,,,"$25,040,000",,,"$1,031,875","$2,055,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behaving Badly (2014),,,,"$39,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thérèse (2012),,,,"$3,638",,,,,"$108,103",,,,,,,,,,,,"$229,383","$29,075",,,"$184,403",,,,"$65,993","$182,603",,,,,"$79,218",,,,,,"$15,151",,,,"$3,406,055","$2,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudderless (2014),,,,,,"$473,092",,,,,,,"$14,109",,,,,,,,,,,,,,,,,,,,,,,,,,$655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Days with Coo (2007),,,,,,"$210,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,988,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Kinkade's Christmas Cottage (2008),,,,,,"$7,335",,,"$3,994",,,,"$25,811",,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Matter of Size (2009),,,,,,"$15,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mommy (2014),,,,,,"$99,708",,,"$232,050",,"$8,772","$5,998","$5,158","$5,540",,,"$5,415",,,,"$80,226","$14,748","$76,074","$31,414",,"$31,924","$61,098",,,,,,,,,,"$89,620",,"$1,999",,,,"$84,246","$434,479","$8,221,004",,"$11,566","$14,887",,,,"$130,742",,"$16,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With Love... from the Age of Reason (2010),,,,,,"$26,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Girl Walks Home Alone at Night (2014),,,,,,,,"$14,302",,,,,,,,,,,,,"$4,764",,,,,,,,,"$4,623",,,,,"$42,955",,"$6,310",,,,,,"$3,284",,,"$5,249","$15,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gett (2014),,,,,,,,,"$36,376",,,,,,,,,,,,"$52,854","$12,926",,"$5,287",,,,,,,,,"$85,449",,,,"$6,219",,$810,,,,,"$71,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freedom (2009),,,,,,,,,"$17,594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$601,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tip Top (2013),,,,,,,,,"$4,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The New Girlfriend (2014),,,,,,,,,"$105,801",,"$2,174","$10,853",,,"$4,853",,,,,,"$195,470","$54,985",,"$12,280","$147,363",,,,,"$37,390",,"$16,337","$84,745",,,,"$48,727",,,,"$72,900",,,"$230,451","$3,980,572",,"$24,003",,,,,,,,,,,,,,,"$40,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secret Defense (2008),,,,,,,,,"$58,709",,,,,,,,,,,,,,,,,,,,,,,,"$49,367",,,,,,,,,,,,"$4,645,133","$22,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Magic Crystal (2011),,,,,,,,,"$74,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$71,141",,,,,,"$195,599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disengagement (2007),,,,,,,,,"$8,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,950",,"$407,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just a Sigh (2013),,,,,,,,,"$53,045",,,,,,,,,,,,"$60,410",,,,,"$19,416",,"$30,068","$29,211",,,,,,,,,,,,,,,,"$1,138,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clouds of Sils Maria (2014),,,,,,,,,"$2,737",,"$3,179",,,,,,,,,,"$209,284","$11,855",,"$15,029",,"$62,632",,"$13,541",,,,"$6,246","$89,624",,"$301,280",,"$16,927",,,,"$40,683",,"$553,766","$180,207","$1,150,090","$12,177","$107,175","$8,215","$3,410",,,"$43,344",,"$45,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Your Hands (2010),,,,,,,,,"$31,709",,,,,,,,,,,,"$15,783",,,,"$77,790",,,,,,,,,,,,,,,,,,,,"$118,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selma (2014),,,,,,,,,"$356,902",,,,"$68,288",,,"$73,760",,,"$2,333","$49,458","$198,537",,,$682,"$3,738,077",,,"$11,714","$236,622",$117,,"$30,958","$438,538",,"$1,977,390","$28,173","$107,704",,,"$37,769","$227,162",,"$1,022,841","$1,828,365","$1,957,509","$49,638","$104,697","$1,554",,,"$52,076,908","$597,921","$112,852",,,,"$3,620",,,,,"$54,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When the Road Bends... Tales of a Gypsy Caravan (2006),,,,,,,,,"$14,761",,,,,,,,,,,,,,,,"$11,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Interview (2014),,,,,,,,,"$70,519",,,,"$8,610",,,,,,,,"$902,327",,,"$33,689","$432,810",,,,"$81,687","$544,566",,,"$128,759",,"$935,710",,,,,,,,"$1,853,619",,"$277,013",,"$237,705",,,,,"$44,561",,,,,,,,"$102,451",,"$23,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,000 Times Good Night (2013)",,,,,,,,,"$19,908",,,"$1,716",,,,,,,,,"$321,290",,"$19,432","$1,348,780","$146,853","$21,378",,,"$7,946","$127,773",,,"$15,868",,,,,,,,,,,,,"$15,889",,,,,,,,"$66,773",,,,,,,,,,,,,,,"$382,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Gallery (2014),,,,,,,,,"$1,907",,,,,,,,,,,,"$81,592",,,,,,,,,,,,,,,,,,,,,,,,,,"$17,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fanny (2013),,,,,,,,,"$52,282",,,,,,,,,,,,,,,,"$6,257",,,,,,,,,,,,,,,,,,,,"$304,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let's Be Friends (2005),,,,,,,,,,,"$2,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,186,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amour Fou (2014),,,,,,,,,,,$124,,,,,,,,,,,,,,,,,,,,,,,,,,,,$780,,,,,,,,"$47,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Style (2014),,,,,,,,,,,,"$84,446",,,,,,,,,,,,,,,,,"$34,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'71 (2014),,,,,,,,,,,,"$1,914",,"$14,259",,"$27,117","$4,084",,,,"$80,282",,"$25,482","$28,664","$1,567,094",,,,,,,"$7,814",,,,,,,,,"$27,268",,,,,,,,,,,,,"$7,353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosewater (2014),,,,,,,,,,,,,"$11,147",,,,,,,,,,,,"$18,047",,,,,,,"$13,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fed Up (2014),,,,,,,,,,,,,"$7,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dear White People (2014),,,,,,,,,,,,,"$15,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$214,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dil Bole Hadippa (2009),,,,,,,,,,,,,"$67,330",,,,,,,,,,,,"$224,785",,,,"$54,705",,,,,,"$85,373",,,,,,,"$49,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When the Game Stands Tall (2014),,,,,,,,,,,,,"$10,655",,,,,,,,,,,$136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black or White (2014),,,,,,,,,,,,,"$72,888",,"$6,249","$25,076",,"$2,487",,,"$118,370",,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,674",,"$2,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,104",,,,,,,,,,
Top Five (2014),,,,,,,,,,,,,"$60,713",,,"$86,826",,,"$12,675",,,,,,"$98,501",,,,,,,,,,"$134,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$196,,,,,,,,,,,,,,,,,,,,"$12,913",$197,,,,,,,,,
A Madea Christmas (2013),,,,,,,,,,,,,"$642,631",,,"$31,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$178,848",,,,,,,,,,
Madea's Big Happy Family (2011),,,,,,,,,,,,,"$815,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labyrinth of Lies (2014),,,,,,,,,,,,,,,"$9,164",,,,,,"$278,092",,"$66,736",,,"$90,117","$62,245","$26,471","$109,967","$106,556",,,"$66,924",,"$158,459",,"$2,054",,,,,,"$1,756,867","$406,348","$547,458","$10,231","$11,873",,,,,,"$70,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May in the Summer (2013),,,,,,,,,,,,,,,,"$1,405",,,"$1,182",,"$91,250",,,,,,,,,"$19,660",,,,,,,,,,,,,,,"$97,354",,,,,,"$22,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Matador's Mistress (2008),,,,,,,,,,,,,,,,"$10,324",,,,,"$175,884",,,,,,,,,,,"$5,790",,,,,,,,,,,,"$350,810","$172,983",,,"$8,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilo Two Bravo (2014),,,,,,,,,,,,,,,,,,,"$13,926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,438",,,,,,,,,,,,,"$9,335","$1,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Returned (2013),,,,,,,,,,,,,,,,,,,,"$20,202",,,,,,,,,,,,,"$193,943","$6,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorothy Mills (2008),,,,,,,,,,,,,,,,,,,,"$85,775",,,,,,,"$65,454",,,,"$306,761",,"$733,229",,,,,,,"$21,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangerines (2013),,,,,,,,,,,,,,,,,,,,,"$428,687","$49,334","$45,859","$27,775","$10,419","$122,048","$54,955","$16,203","$124,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Way He Looks (2014),,,,,,,,,,,,,,,,,,,,,"$10,659",,,,,,,,,"$1,016,161",,,,,,,,,,,"$31,174",,,,"$48,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valami Amerika 2 (2008),,,,,,,,,,,,,,,,,,,,,$365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,096,334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Five Star Life (2013),,,,,,,,,,,,,,,,,,,,,"$442,736",,,,,"$79,763",,"$10,740",,,,,,,,,,,,,,,,"$2,198,866",,,,,,,"$306,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Men, Women & Children (2014)",,,,,,,,,,,,,,,,,,,,,"$96,389",,,,"$114,433",,,,,,,,,,"$56,851",,,,,,,,"$119,213",,"$136,178",,,"$17,983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Snow 2: Red vs. Dead (2014),,,,,,,,,,,,,,,,,,,,,,,,"$1,137,857",,,,,,,,,,,,,,,"$12,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ragnarok (2013),,,,,,,,,,,,,,,,,,,,,,,,"$3,719,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Minoes (2001),,,,,,,,,,,,,,,,,,,,,,,,"$389,200",,,,,,,,,,,,,,,,,,,"$111,858",,,,"$34,164",,,,"$266,959","$4,227,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McLibel (2005),,,,,,,,,,,,,,,,,,,,,,,,,"$1,329",,,,,,,,,,,,,,,,,,,,,,$784,,,,"$4,337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer in February (2013),,,,,,,,,,,,,,,,,,,,,,,,,"$603,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion's Heart (2013),,,,,,,,,,,,,,,,,,,,,,,,,,"$10,589,824",,"$525,492",,"$155,797","$52,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thesis on a Homicide (2013),,,,,,,,,,,,,,,,,,,,,,,,,,"$6,006,766",,"$343,706",,"$432,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
