Movie Name,United Kingdom,Spain,Italy,Germany,France,Poland,Sweden,Norway,Belgium,South Africa,Netherlands,Türkiye,Israel,Ukraine,Hungary,Denmark,Finland,Czech Republic,Switzerland,Slovakia,United Arab Emirates,Iceland,Bulgaria,Egypt,Romania,Greece,Croatia,Serbia and Montenegro,Lebanon,Mexico,Brazil,Venezuela,Argentina,Chile,Uruguay,Japan,Russia/CIS,Australia,Hong Kong,New Zealand,Malaysia,Singapore,Philippines,Taiwan,Thailand,Peru,Colombia,Central America+,Puerto Rico,Ecuador,Dominican Republic,Bolivia,Domestic,Austria,Portugal,Estonia,South Korea,Slovenia,Middle East Other,Lithuania,Pakistan,Czech Republic/Slovakia,Kenya,Latvia,Cyprus,Nigeria,North Macedonia,India,Indonesia,Vietnam,China,Kuwait,Bahrain,Qatar,Jordan,East Africa,Oman,Curaçao,Central America,Switzerland (German),Switzerland (French),Switzerland (Italian),Saudi Arabia,Jamaica,Lesser Antilles,Aruba,Middle East/UAE,Russia/CIS/Ukraine,Russia,Netherlands Antilles,Switzerland (French/Italian),West Indies,Bangladesh,South Africa/Nigeria,S/E/W Africa,Greece and Cyprus,Guatemala,Costa Rica,El Salvador,Panama,Honduras,Nicaragua,Sri Lanka,Paraguay
My Super Ex-Girlfriend (2006),"$5,499,940","$2,027,732","$4,657,653","$765,687","$2,763,764","$204,144","$280,124","$229,139","$873,980","$495,365","$560,872","$362,994","$137,904","$350,633","$151,480","$314,008","$110,003","$55,892","$493,930","$28,310","$299,298","$43,031","$61,465","$51,161","$96,226","$411,497","$12,674",,"$77,329","$2,136,475","$790,867","$448,668","$167,199","$123,317","$13,147","$468,269","$2,551,322","$2,220,384","$236,966","$378,425","$332,090","$495,412","$589,536","$718,902","$387,162","$262,786","$176,612","$257,897","$455,561","$170,658","$28,595","$38,863",,"$224,151","$352,591","$52,926","$1,933,956","$34,037",,"$59,858",,"$100,629",,"$57,923",,,,"$245,637","$374,728","$57,988",,,"$41,042","$34,925","$34,278",,"$15,917",,,,,,,"$41,541","$51,211",,,,,,,,,,,,,,,,,,,
Marie Antoinette (2006),"$1,790,424","$3,298,920","$3,150,009","$1,333,579","$7,870,774","$335,324","$1,046,250","$370,779","$482,302","$100,326","$336,212",,,,,"$114,417","$513,300",,"$490,120",,,,,,"$52,662",,,,"$19,916",,"$893,109",,"$296,330","$127,562","$53,116","$15,735,433",,"$1,640,704","$135,570","$215,673",,,"$35,089","$46,030",,"$54,020","$52,643",,,,"$15,000",,,"$305,223","$472,961","$36,377","$73,809",,,"$40,113",,,,"$76,594",,,,"$11,337",,,,,,,"$6,045",,,"$5,578",,,,,,,,"$2,181",,,,,,,,,,,,,,,,,,
Who Killed the Electric Car? (2006),"$2,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$82,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Inconvenient Truth (2006),"$1,689,099","$547,200","$282,524","$2,146,515","$5,158,951","$8,938","$465,469","$340,618","$1,636,843","$185,878","$867,330","$204,662","$48,678",,"$16,544","$244,187","$12,145",,"$1,726,332",,"$49,929","$25,016",,,,,,,"$12,397","$180,561","$326,446","$13,789","$60,794","$55,631",,"$3,644,349",,"$3,184,352","$288,926","$680,559","$21,810","$105,224","$42,156","$147,441","$53,997","$33,015","$23,113",,,"$12,145",,"$4,106",,"$427,637","$341,670",,"$19,666","$79,966","$6,481","$14,804",,"$17,526",,,,,,"$18,914","$9,033",,,,,,,,,,"$152,485",,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Patrol (2004),"$16,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,383",,,,,,,,,"$143,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drawing Restraint 9 (2005),"$16,266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$234,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower City (2005),"$74,924",,"$8,826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,096",,,,,,,,,,,,,,,"$130,794",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoned (2005),"$59,305","$12,402",,,,,"$76,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fearless (2006),"$2,089,236","$442,179","$278,765",,"$1,876,491",,"$145,940","$59,354","$100,063","$46,053","$51,337","$280,494",,,,"$325,348","$17,270",,,,,"$20,093",,"$13,456","$6,054",,,,"$43,113","$400,123",,"$323,541","$77,763","$55,301","$2,611","$2,409,993","$97,152","$1,358,185","$3,866,820","$172,645","$2,540,000","$2,020,000",,"$2,682,195","$557,600","$72,959",,,,,,"$5,922",,,"$36,811",,"$1,834,611",,,,,,,,,,,,"$790,600",,"$12,900,000",,,,,,,,"$27,492",,,,,,,,,,,,,,,,,,,,,,,,,
The Fast and the Furious: Tokyo Drift (2006),"$10,507,158","$4,738,552","$4,389,074","$9,733,517","$6,662,679","$775,561","$668,274","$1,017,875","$1,720,641","$606,710","$1,272,437","$1,068,994","$508,867","$567,963","$386,708","$877,778","$384,205","$411,148","$1,443,148","$120,090","$981,832","$59,793","$72,188","$64,943","$182,882","$1,089,456","$109,821","$11,262","$70,239","$5,350,594","$2,676,529","$539,418","$300,714","$103,684",,"$8,331,839","$5,658,087","$5,920,537","$475,179","$1,106,526","$1,521,334","$818,092","$734,842","$2,073,163","$1,375,219","$113,127","$225,711","$834,251",,"$105,511",,,"$62,514,415","$1,897,520","$1,089,372","$109,523","$1,259,941","$127,298","$770,103","$200,524","$15,724","$512,014","$28,828","$104,416","$117,425",,"$2,036","$386,955","$958,125","$102,238",,,,,,,,,,,,,,,,,,,,$1,,,,,,,,,,,,,,
Garfield: A Tail of Two Kitties (2006),"$12,212,030","$8,584,642","$4,838,072","$8,105,944","$9,416,161","$2,360,068","$2,546,598","$1,904,150","$3,026,404","$1,022,950","$2,174,585","$2,073,137","$1,001,636","$550,029","$849,804","$2,343,137","$1,039,979","$870,006","$2,286,654","$268,688","$410,996","$187,133","$162,942","$45,816","$109,013","$1,149,348","$88,819","$133,556","$55,006","$4,693,578","$3,941,048","$827,306","$844,279","$766,641","$168,336","$20,216","$5,847,870","$5,369,874","$1,205,119","$1,317,424","$296,864","$562,209","$236,880","$537,306","$732,948","$492,058","$732,393","$582,908","$608,822","$212,593","$66,324","$44,814",,"$2,105,880","$1,167,128","$189,908","$1,263,991","$433,409",,"$358,900",,"$1,200,716",,"$149,734",,,,"$154,987","$185,273","$46,200","$7,214,236","$195,073","$93,174","$76,441","$31,354",,"$13,024",,,,,,,"$22,770","$71,912",,,,,,,,,,,,,,,,,,,
Waist Deep (2006),"$8,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouth to Mouth (2005),"$1,667",,,,"$1,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superman Returns (2006),"$30,157,106","$11,721,291","$6,859,237","$3,695,831","$11,800,000","$245,333","$1,627,281","$1,748,519","$1,141,192","$1,447,452","$1,116,936","$1,114,571","$180,000","$115,428",,"$2,054,723","$292,854","$156,057","$876,630","$51,614","$845,593","$250,444","$54,588","$261,394","$79,432","$1,108,150",,"$91,150","$50,668","$15,200,000","$8,700,000","$337,000","$1,560,704","$399,000",,"$11,300,000","$1,738,566","$10,618,911","$3,260,358","$1,425,056","$1,500,000","$2,470,000","$4,200,000","$1,670,689","$2,554,305",,,,"$1,250,000",,,,,"$336,000","$1,194,613",,"$11,800,000",,,,,,,,,,,"$3,200,000","$2,680,000",,"$8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonard Cohen: I'm Your Man (2005),"$88,696",,,,,,,,,,,,,,,,,,,,,"$4,039",,,,"$14,800",,,,,,,,,,,,"$230,045",,,,,,"$16,590",,,,,,,,,"$1,044,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmond (2005),"$37,736",,"$74,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Miss Sunshine (2006),"$6,458,370","$4,688,542","$2,039,673","$3,303,727","$8,488,386","$60,682","$565,370","$192,633","$536,140","$230,968","$476,718","$126,656","$276,604",,"$90,259","$90,715","$204,449","$18,111","$708,953","$9,685",,"$150,836","$44,626",,"$34,098","$271,088","$113,418","$23,033","$34,333","$427,643","$1,533,512","$293,408","$190,473","$168,873","$39,340","$1,309,691","$52,766","$5,200,951","$96,504","$838,132",,"$100,894","$16,607","$75,944",,"$64,127","$105,489",,"$79,697","$19,199","$5,437","$5,024","$59,891,098","$285,188","$350,473","$34,515","$188,978","$100,851",,"$13,076",,"$70,167",,"$23,729",,,,"$104,973",,,,,,,,,,,"$115,704",,,,,"$7,812","$10,606",,,,,,,,,,,,,,,,,,,
Brothers of the Head (2005),"$39,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fallen Idol (1948),"$32,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$341,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babel (2006),"$5,133,436","$13,981,232","$3,372,629","$7,887,516","$3,904,790","$960,937","$1,513,161","$912,704","$2,577,292","$307,274","$2,290,813","$1,345,257",,"$239,860",,"$1,629,508","$247,893","$407,577","$2,291,430","$44,697",,,"$117,744","$24,969","$99,514","$584,600",,"$50,508",,"$7,349,426","$2,726,297","$712,114","$1,738,658","$822,193",,"$14,998,633","$2,857,491","$5,489,024","$481,999","$488,283",,,,"$367,116","$221,572","$261,641","$894,341",,,"$156,298",,"$14,172","$34,302,837","$1,456,988","$1,499,686",,"$1,447,031",,,,,,,,,$466,,,,,"$1,810,727",,,,,,,,"$436,581",,,,,,,,,,,,,,,,,,,,,,,,,
Krrish (2006),"$1,301,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$102,690",,,,,,"$6,716",,,,,,,,,,,,,,,,,,,,,,,,"$15,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Times (2005),"$165,647",,,,"$143,667",,,,,,,,,,,,,,,,,,,,,,,"$7,276",,,,,,,,,,,,,,,,"$66,887",,,,,,,,,,,"$12,498",,"$33,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Man (2006),"$8,133,813","$6,398,603","$662,306","$583,137","$2,608,139",,,,"$1,795,710","$614,307","$1,553,437","$174,402",,"$248,754","$40,225",,,,,,"$531,171","$64,290","$105,203","$79,150","$107,196",,"$21,261",,"$121,722","$5,340,605","$2,083,716","$907,338",,"$115,455","$34,682",$1,"$2,360,544","$2,885,197",,"$400,175","$530,266","$556,893","$393,205",,,"$511,415","$282,618",,,"$137,037","$77,861","$17,344",,,"$278,934","$24,039",,"$114,568",,"$92,659",,,,"$89,855",,"$44,213",,"$15,536",,,,"$122,064","$98,645","$134,570","$51,985","$29,000","$27,647","$108,640","$656,644",,,,,"$98,611","$98,768","$67,416",,"$2,727,298",,,,,,,,,,,,,,,,
Monster House (2006),"$12,462,338","$5,456,949","$1,012,851","$1,425,253","$3,264,321","$395,885","$110,777","$225,704","$617,299","$236,105","$491,768","$238,075","$321,340","$68,411","$179,645","$178,980","$10,320","$213,032",,"$40,674","$218,716","$91,634","$41,064","$22,186","$14,122","$180,700","$39,837","$14,629","$16,758","$7,061,387","$2,672,422","$1,088,606","$555,676","$461,026","$63,780","$4,544,551","$1,440,876","$6,136,400","$1,083,476","$542,098","$546,880","$707,786","$348,156","$556,949","$405,783","$331,625","$664,694",,,"$256,516","$61,043","$42,901",,"$93,383","$237,421","$9,906","$7,765,657","$26,105",,"$17,774",,,,"$24,122",,"$35,276",,"$85,693","$263,660",,,"$126,491","$43,608","$41,760","$8,885","$11,155","$9,226","$10,499","$413,149","$67,506","$83,380","$1,959",,"$28,600","$28,600","$11,450",,"$1,592,964",,,,,,,,,,,,,,,,
Snakes on a Plane (2006),"$7,994,471","$1,108,743","$84,356","$595,436","$1,999,915","$34,237","$265,377","$397,544","$512,102","$356,353","$334,957",,"$246,731","$72,179",,"$149,132","$58,575","$9,982",,"$17,579",,"$60,155","$17,481",,"$34,182","$114,576",,"$8,795",,"$1,003,896","$788,773","$195,330","$272,200","$37,857",,"$311,068","$715,699","$2,207,877","$494,571","$325,512","$695,387","$539,597","$369,802","$768,092","$795,811",,"$14,669",,"$338,796","$42,935",,"$13,817",,"$172,699","$231,356",,,,,,,,,,,,,,"$370,684",,,,,,,,,,"$56,149","$85,646",,,,,,,,,,,"$70,223","$78,296",,,,,,,,,,,,
Talladega Nights: The Ballad of Ricky Bobby (2006),"$6,272,154","$612,801","$42,353","$189,535",,,"$179,857",,"$17,332","$251,405",,,,"$56,796","$29,253",,,,,,"$179,736","$128,489","$17,447",,"$44,230",,,,,"$453,891",,"$97,239",,,,,"$376,232","$4,534,472",,"$471,704","$117,568","$144,573","$41,081",,,,,,,,"$15,367",,"$148,213,377",,"$90,431","$17,138",,"$8,219",,,,,,"$15,006",,"$8,345",,"$19,086",,,,"$57,669","$24,169","$24,450","$14,559","$7,461","$5,444","$6,012",,,,,,"$21,000","$21,000","$9,202",,"$526,012",,,,,,,,,,,,,,,,
Night at the Museum (2006),"$40,838,600","$16,944,430","$16,188,874","$23,483,358","$17,944,874","$2,222,611","$3,656,853","$1,544,175","$3,456,939","$2,151,381","$2,891,900","$559,925","$470,219","$1,415,434","$891,676","$2,125,113","$1,330,652","$863,220","$3,120,424","$168,690","$1,030,482","$287,302","$143,798","$271,908","$202,504","$3,095,300","$206,259","$83,487","$222,585","$20,409,103","$10,755,963","$3,334,977","$3,216,799","$1,893,724","$216,519","$30,018,767","$12,955,968","$18,944,731","$4,895,815","$1,865,953","$2,126,384","$2,662,808","$1,661,611","$6,648,485","$2,517,818","$1,187,804","$505,760","$1,989,152","$2,123,886","$771,757","$225,715","$197,681","$250,863,268","$3,001,100","$1,424,411","$99,934","$25,457,705","$284,980",,"$174,541",,"$1,044,180",,"$179,835",,,,"$1,759,368","$1,354,020","$126,189","$8,319,134","$460,578","$210,010","$192,699","$108,146",,"$43,887",,,,,,,"$63,288","$120,864",,,,,,,,,,,,,,,,,,,
World Trade Center (2006),"$9,037,513","$5,958,708","$7,093,226","$4,969,242","$6,448,421","$752,518","$1,274,012","$892,992","$1,743,912","$316,507","$1,546,174","$395,569","$338,784","$145,604","$196,612","$2,238,476","$317,522","$147,725","$891,715","$54,683","$277,223","$79,588","$20,944","$52,916","$61,241","$576,463","$23,131","$13,884","$40,874","$5,165,796","$2,855,302","$447,364","$378,092","$399,355",,"$19,929,261","$902,490","$1,671,326","$747,612","$291,837","$334,532","$709,122","$696,614","$2,199,186","$554,942","$307,491","$433,368",,,"$136,460",,"$19,081",,"$480,840","$1,493,656","$34,155","$2,194,161","$32,497","$243,250","$61,507",,"$196,469","$21,906","$32,046","$39,190",,"$3,700","$193,165","$389,693","$21,214","$2,901,627",,,,,,,,"$543,819",,,,,,,,,,,,,,,,,,,,,,,,,
Stranger Than Fiction (2006),"$1,918,713","$410,634","$325,935","$743,431","$1,072,557","$97,650","$98,008","$71,453",,"$133,086",,"$349,547",,"$40,850","$70,652","$23,814",,"$24,592","$1,019,181","$8,905","$54,887","$71,190","$16,455",,"$34,307","$849,600",,"$3,823","$4,962","$268,209","$654,919",,"$181,346",,"$16,847","$900,759","$130,720","$1,907,709",,"$168,461","$40,576","$47,416","$17,507","$93,038",,,"$59,197",,,,,,,"$156,157","$79,430",,,,,"$8,079",,,,,,"$12,890",,,,,,,,,,"$13,156",,"$4,069",,,,,,"$10,000","$10,000","$4,524",,,,,,,,,,,,,,,,,,
Miami Vice (2006),"$13,994,361","$4,417,672","$4,372,997","$9,633,050","$12,457,176","$813,219","$1,290,757","$1,668,477","$2,389,715","$673,984","$1,424,101","$776,928","$377,340","$234,780","$510,008","$984,986","$918,851","$326,416","$1,956,372","$69,061","$737,056","$160,483","$110,599","$90,175","$125,058","$1,245,600","$153,741","$17,578","$63,630","$2,999,929","$2,266,051","$453,512","$465,908","$181,562",,"$7,694,456","$1,610,687","$5,206,936","$387,526",$522,"$307,218","$511,397","$490,346","$1,108,224","$847,841","$181,961","$240,150",,,"$89,000",,"$4,325",,"$1,658,091","$1,681,581","$117,141","$3,090,939","$114,310","$446,179","$55,898","$15,846","$434,620","$40,209","$82,399","$54,550",,"$3,483","$188,829","$725,747","$84,946","$3,763,495",,,,,,,,"$586,423",,,,,,,,,,,,,,,,,,,,,,,,,
"Good Morning, Night (2003)","$66,805","$185,295","$3,641,803",,"$240,734",,,,,,,,,,,,,,,,,,,,,,,,,"$67,389",,,,,,,,,,,,,,,,,,,,,,,"$10,093","$10,301","$5,972",,"$6,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pursuit of Happyness (2006),"$18,852,776","$8,926,557","$21,309,984","$12,096,782","$7,614,243","$302,532","$541,414","$345,107","$1,095,654","$1,040,577","$1,340,879","$719,987","$446,370","$91,048","$202,978","$428,499","$59,275","$50,180",,"$22,490","$436,438","$68,573","$36,164","$90,607","$118,187","$852,590","$22,181","$9,187","$113,923","$7,789,998","$6,331,267","$1,268,108","$303,107","$237,232","$92,632","$22,680,713","$431,916","$10,808,433","$744,209","$1,132,605","$134,399","$535,685","$272,520","$1,121,490","$243,136","$445,001","$1,118,140",,,"$215,415","$146,737","$47,851",,"$1,020,738","$524,091","$32,251","$4,036,847","$75,266",,"$46,672",,,,"$41,825",,"$59,661",,"$665,638","$207,160",,"$848,578","$123,438","$91,337","$66,550","$49,605","$84,579","$29,764","$43,024","$460,961","$991,860","$364,066","$98,531",,"$100,881","$122,774","$39,293",,,,,,,,,,,,,,,,,,
Tears of the Black Tiger (2000),"$34,657","$4,002",,,"$24,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Tucker Must Die (2006),"$7,273,502","$2,604,389","$807,239","$3,807,654","$24,937","$9,232","$500,393","$490,890","$1,344,533","$476,102",,,,"$266,926","$166,262",,,,,,"$206,638","$78,185","$52,088","$43,710","$57,870","$169,310",,"$17,680","$36,066","$978,217",,,,,,,"$1,712,196","$2,894,839",,"$394,795","$202,182","$429,189","$257,174","$179,896",,"$192,275",,,"$328,539",,"$24,267",,,"$985,908",,"$56,594",,"$42,004",,"$30,943",,,,"$68,947",,,,"$80,630","$174,561",,,,"$24,292",,"$17,780",,"$3,346",,"$216,990",,,,,"$38,554","$65,340",,,,,,,,,,,,,,,,,,,
The Ant Bully (2006),"$3,971,526","$2,181,265","$349,807","$383,659","$2,657,542","$368,775",,"$161,843","$211,752",,"$341,556","$171,543",,"$47,272",,"$207,556",,"$456,480","$68,042","$75,101",,"$60,159","$11,545",,"$8,539","$203,275",,"$5,243","$4,253","$726,000","$482,952",,"$179,878","$192,595",,,"$978,097","$2,006,114","$320,575","$150,527",,"$206,000",,"$223,475",,,,,,,,,,"$87,780","$140,122",,"$1,392,763",,,,,,,,,,,,,,,,"$10,154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Death of Mr. Lazarescu (2005),"$86,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,050",,,"$22,819",,,,,,,,,,,,,,,,,,,,,,"$8,995",,"$2,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crank (2006),"$2,933,706","$1,607,281","$131,979","$3,368,763","$1,287,581",,,,"$215,397","$216,216","$4,975","$434,272",,"$237,953",,,,"$50,864",,"$35,471",,"$49,247","$132,046",,"$44,081",,,,,"$456,879",,"$101,375","$165,939","$43,036","$9,156",,"$1,084,876","$1,000,861",,"$28,936",,,,"$78,020","$341,680",,,,,,,"$4,830",,,"$214,779",,"$717,559",,,"$70,477",,,,,,,,,,,,,,,,,,,"$24,398",,,,,,,,,,,,,,,,,,,,,,,,,
Black Gold (2006),"$108,067","$25,561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Night Listener (2006),"$1,341,506","$233,365","$106,528",,,,,,,"$6,214",,"$52,127",,,,,,,,,"$74,140",,"$6,186",,"$10,803",,,,"$17,791","$577,521",,"$302,251",,,,,,"$21,879",,,,,,"$41,186",,,,,,,,,,,"$11,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnyard (2006),"$8,926,840","$2,302,952","$1,119,394","$2,560,291","$3,567,549",,"$382,427","$639,977","$717,262","$738,751","$1,161,390","$863,499","$605,478","$282,839","$329,077","$887,628","$339,139",,"$93,071",,"$198,863","$90,516",,,,"$358,581",,,"$6,188","$4,688,873","$1,344,338","$594,809","$363,704","$287,268","$38,801",,"$2,702,398","$3,094,601",,"$457,401","$117,234","$247,895","$95,272",,,"$400,202","$351,915",,,"$160,030",,"$20,975",,"$527,377","$1,098,179",,"$831,252",,"$90,858",,,,,,,,,,,,,,,,,,,,"$432,183",,,,,,,,,,,,,,,,,,,,,,,,,
Step Up (2006),"$8,339,575","$97,350","$4,743,789","$4,981,547","$2,329,300","$1,679,819",,,"$2,051,846","$518,022","$3,002,106",,,"$183,520",,,,"$268,330","$2,052,168","$260,107",,"$161,992",,,"$46,482","$316,800",,"$17,747","$179,903","$396,074",,"$127,526","$52,788","$8,039","$4,164","$1,470,535","$1,460,294","$5,047,655","$313,659","$832,024",,,,,"$229,093",,,,,,,"$2,895","$65,328,121","$401,069","$405,584",,"$2,308,955",,,,,,,,,,,,,,"$7,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoom (2006),"$30,258","$22,323",,,,,,,"$2,074","$88,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,181",,"$185,063",,,,,,,,"$14,999",,,,"$30,541",,,,,,,,,,,,,,,,,,,,"$6,045",,,"$6,835",,,,,,"$13,000","$13,000","$4,511",,,,,,,,,,,,,,,,,,
Half Nelson (2006),"$524,775","$220,293",,"$25,220","$371,333",,,,"$67,078","$52,743","$1,692",,,,"$3,889","$16,843",,,,,,,,,,"$128,500",,,,,,,,,,,,"$482,025",,"$36,184",,,,"$8,194",,,,,,,,,,"$1,020","$22,754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tideland (2005),"$109,578","$83,268","$80,883",,"$179,997",,,,"$14,595",,,,,,,,,,,"$1,628",,,"$2,387",,"$2,848",,,,,"$19,103",,,,,,,,"$1,249",,,,,,"$2,557",,,,,,,,,,,,,"$2,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Material Girls (2006),"$1,504,262",,"$518,048",,"$17,179",,,,,"$132,106",,,,,,,,,,,,"$35,105",,,,,,,"$22,181","$1,628,878",,,,,,,,"$1,361,960",,"$106,880",,,,,"$48,069","$53,730",,,,,,,"$11,449,638",,,,,,,,,,,,,,,,,"$17,552",,,,,,,,,"$23,389",,,,,,,,,,,,,,,,,,,,,,,,,
Accepted (2006),"$1,373,422","$12,176",,"$49,141",,,,,,,,,,,,,,,,,"$117,759",,,"$4,769",,,,,"$22,009",,,,,,,,"$385,563",,,,"$75,220",,,,,,,,,,,,,,,,,,"$86,548",,,,"$7,122",,,,,,,"$48,269",,,,,,,,,,,,,,,,,"$117,759",,,,,,,,,,,,,,,,,
Heading South (2005),"$317,059","$121,483","$178,561","$258,158","$539,014",,"$37,920",,,,"$65,415",,,,,,,,,,,,,,,,,,,"$22,847",,,"$130,487","$14,909","$10,262",,"$6,858","$119,018",,"$18,507",,,,,,,,,,,,,,"$49,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Illusionist (2006),"$4,298,088","$12,775,508","$3,211,198",,"$1,916,657","$149,769","$18,828","$131,387","$563,575",,"$313,144","$955,487",,"$339,834",,"$118,928","$16,785","$56,445",,"$18,259",,"$16,754","$23,064",,"$65,279","$564,500","$62,493",,"$21,324","$7,272,964",,"$97,709","$1,291,249","$511,712","$53,431","$422,213","$739,349","$2,230,452",,"$94,812",,,,"$226,213",,"$319,577",,,,,,"$23,382",,,"$189,244",,"$3,693,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Queen (2006),"$18,325,317","$2,887,973","$2,682,560","$4,313,451","$6,033,069","$793,583","$2,440,673","$730,433","$445,418","$620,771","$1,611,751","$423,009",,"$46,244",,"$1,004,864","$1,163,345","$262,808","$828,296","$58,486",,"$64,823","$25,959",,"$39,228","$257,200","$136,758","$31,288",,"$833,767","$2,118,425","$43,853","$848,709","$265,563","$67,598","$4,296,924","$522,800","$7,943,093","$562,448","$3,225,307",,,,"$83,973","$93,543","$120,002",,,,"$6,540",,"$7,690","$56,441,711","$939,560","$435,197",,"$531,756","$119,143",,"$24,018",,,,,,,,,,,,,,,,,,,"$6,566",,,,,,,,,,,,,,,,,,,,,,,,,
Beerfest (2006),"$738,207",,,,,,,,,,,,,,,,,,,,,"$65,209",,,,,,,,,,,,,,,,"$398,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idlewild (2006),"$42,623","$4,327",,"$9,299","$15,593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel-A (2005),"$380,937",,"$209,004",,"$5,309,231","$54,608",,,,,,"$74,524",,"$22,951",,,,"$23,034","$250,409","$11,480",,,"$25,148",,"$6,683",,,,,,"$13,961",,"$24,852",,"$6,888","$1,076,085","$318,527",,,,,,,,,"$6,969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinceañera (2006),"$74,533","$97,234","$218,184",,,,"$28,063",,,,,"$15,781",,,,,,,,,,,,,,,,,,"$50,192",,,,,,,,,,,,,,,,,,,,,,,,"$19,424",,,$679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Puffy Chair (2005),$731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
