Movie Name,United Kingdom,Spain,Italy,Germany,France,Poland,Sweden,Norway,Belgium,South Africa,Netherlands,Türkiye,Israel,Ukraine,Hungary,Denmark,Finland,Czech Republic,Switzerland,Slovakia,United Arab Emirates,Iceland,Bulgaria,Egypt,Romania,Greece,Croatia,Serbia and Montenegro,Lebanon,Mexico,Brazil,Venezuela,Argentina,Chile,Uruguay,Japan,Russia/CIS,Australia,Hong Kong,New Zealand,Malaysia,Singapore,Philippines,Taiwan,Thailand,Peru,Colombia,Central America+,Puerto Rico,Ecuador,Dominican Republic,Bolivia,Domestic,Austria,Portugal,Estonia,South Korea,Slovenia,Middle East Other,Lithuania,Pakistan,Czech Republic/Slovakia,Kenya,Latvia,Cyprus,Nigeria,North Macedonia,India,Indonesia,Vietnam,China,Kuwait,Bahrain,Qatar,Jordan,East Africa,Oman,Curaçao,Central America,Switzerland (German),Switzerland (French),Switzerland (Italian),Saudi Arabia,Jamaica,Lesser Antilles,Aruba,Middle East/UAE,Russia/CIS/Ukraine,Russia,Netherlands Antilles,Switzerland (French/Italian),West Indies,Bangladesh,South Africa/Nigeria,S/E/W Africa,Greece and Cyprus,Guatemala,Costa Rica,El Salvador,Panama,Honduras,Nicaragua,Sri Lanka,Paraguay
Stick It (2006),"$858,816",,"$30,517",,,,,,,,,,,,,,,,,"$7,309",,"$78,818",,,,,,,,,,,,,,,"$220,916","$3,306,274",,"$429,657",,,,,,,,,,,,,,,"$112,975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man Push Cart (2005),"$19,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An American Haunting (2005),"$3,394,905","$3,103,045",,"$184,932","$151,998","$88,740",,,"$69,212",,,"$28,046",,,,,,"$47,021",,"$18,221","$147,599",,,,,,,,,"$2,041,796","$430,745","$994,870","$529,788","$410,016",,,"$990,889",,,,,,,"$210,677","$2,778","$135,530",,,,,,"$43,350",,"$42,845","$85,476",,,,,,,,,,,,,,,,,,,,,,,,"$161,612",,,,,,,,,,,,,,,,,,,,,,,,,
Down in the Valley (2005),"$210,507",,"$43,793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$568,932",,,,"$2,137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over the Hedge (2006),"$25,901,994","$7,988,251","$9,691,689","$22,603,541","$11,220,659","$3,166,106","$2,736,255","$3,724,453","$3,015,543","$1,605,361","$2,598,312","$705,500","$1,770,262","$595,907","$1,172,273","$2,601,692","$783,579","$475,665","$3,100,350","$222,397","$416,968","$202,512","$13,213","$20,775","$63,899","$827,149","$153,382","$36,563","$26,409","$12,214,727","$7,098,681","$1,110,722","$2,652,731","$1,404,897",,"$8,987,831","$7,054,092","$12,383,548","$1,735,406","$2,124,771","$645,769","$1,337,817","$446,399","$1,505,978","$296,553","$865,122","$1,035,434","$1,246,180",,"$330,675",,,,"$3,257,559","$2,229,373","$79,329","$5,752,187","$111,262","$298,963","$121,478","$6,973","$525,011","$20,803","$54,864","$12,443",,"$1,630","$114,189","$272,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poseidon (2006),"$6,744,755","$8,550,398","$3,854,218","$2,594,928","$4,263,309","$557,211","$580,366","$940,331","$1,242,280","$262,000","$1,576,114","$1,189,379","$100,000","$618,197",,"$565,764","$404,277","$143,642","$574,099","$40,458","$599,175",,"$99,669","$194,566","$78,234","$975,650",,"$48,765","$55,040",,"$3,193,171","$217,800","$1,414,063",,,"$9,941,041","$4,669,785","$3,413,274","$1,812,826","$499,889","$1,086,703","$1,443,106","$841,387","$2,155,190","$1,837,128","$453,000","$206,700",,"$489,000",,,,,,"$722,429",,"$14,093,621",,,,,,,,,,,"$1,967,000","$822,800",,"$8,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Da Vinci Code (2006),"$55,532,575","$34,543,406","$39,197,477","$50,331,913","$33,177,033","$6,161,797","$7,961,908","$6,026,661","$7,623,643","$2,080,579","$10,308,341","$4,639,619","$1,715,217","$2,111,254","$2,360,464","$9,448,539","$3,637,295","$2,339,258",,"$737,703","$1,353,848","$544,097","$492,805",,"$522,796","$6,640,131","$605,981","$398,029",,"$19,275,573","$18,035,534","$2,528,108","$4,748,930","$2,668,721","$410,075","$79,343,641","$13,283,667","$20,641,716","$4,580,707","$3,362,396","$1,262,574","$2,026,729","$2,261,435","$6,072,819","$2,202,295","$1,520,376","$2,777,383","$1,712,696",,"$670,541","$427,969","$274,957",,"$7,122,318","$4,207,315","$375,441","$21,959,009","$641,333",,"$461,031",,,,"$446,619",,"$53,290",,"$3,139,109","$1,641,733",,"$13,206,121",,"$257,462","$160,447",,"$203,266","$61,303","$62,148",,"$5,256,098","$1,933,226","$297,634","$19,996","$160,020","$159,777","$64,900",,,,,,,,,,,,,,,,,,
X-Men: The Last Stand (2006),"$35,645,846","$12,315,946","$7,401,192","$12,658,448","$22,320,911","$530,312","$2,315,060","$1,409,341","$2,649,265","$1,809,518","$1,964,264","$1,165,959","$600,075","$688,535","$640,352","$2,000,828","$610,906","$257,736","$1,794,001","$83,583","$619,973","$196,537","$141,884","$224,305","$147,219","$1,632,774","$141,053","$49,491","$111,054","$16,483,872","$11,181,839","$1,802,556","$2,202,510","$1,221,807","$93,767","$12,965,004","$6,071,371","$12,601,706","$2,722,049","$1,877,508","$1,962,167","$3,070,217","$3,133,607","$3,079,286","$2,815,626","$792,538","$1,832,479","$1,511,157","$2,335,661","$523,280","$303,478","$112,926",,"$1,709,845","$1,068,695","$70,999","$12,406,569","$102,796",,"$55,780",,"$347,513",,"$72,923",,,,"$943,600","$1,384,859","$120,072","$2,657,186","$190,946","$33,215","$52,270",,,"$21,104",,,,,,,"$182,521","$356,199",,"$1,472,958",,,,,,,,,,,,,,,,,
The Break-Up (2006),"$19,289,594","$4,154,697","$5,530,907","$9,791,031","$3,167,714","$1,014,182","$764,128","$1,054,953","$1,262,170","$1,304,651","$1,300,503","$537,283","$728,268","$368,638","$954,528","$839,495","$435,353","$246,611","$1,644,912","$68,566","$435,331","$186,013","$57,645","$48,672","$148,499","$1,576,800","$149,948","$29,744","$75,308","$4,722,693","$3,684,216","$683,255","$960,763","$353,218",,,"$1,768,674","$7,417,033",,"$644,439","$197,458","$433,089","$232,519","$842,375","$351,748","$257,985","$298,493",,,"$157,063",,,,"$1,730,701","$1,275,918","$103,746","$1,555,923","$211,245","$249,509","$74,840",,"$304,227","$22,842","$76,826","$106,521",,"$4,077","$238,336","$206,452","$31,252",,,,,,,,,"$601,355",,,,,,,,,,,,,,,,,,,,,,,,,
12 and Holding (2005),"$4,160","$17,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
