Movie Name,Malaysia,France,Belgium,United Kingdom,Iceland,Spain,Mexico,Germany,Türkiye,Portugal,Austria,South Africa,Italy,Croatia,Slovenia,Russia/CIS,Thailand,Domestic,Brazil,Venezuela,Peru,Bolivia,Ukraine,Poland,United Arab Emirates,Sweden,Netherlands,Denmark,Norway,Hungary,Greece,Israel,Bulgaria,Czech Republic,Finland,Egypt,East Africa,Lebanon,Slovakia,Serbia and Montenegro,Colombia,Argentina,Ecuador,Uruguay,South Korea,Japan,Australia,Singapore,Philippines,Hong Kong,Indonesia,New Zealand,Taiwan,Nigeria,Ghana,Bahrain,Chile,India,Vietnam,China,Switzerland,Lithuania,Latvia,Trinidad & Tobago,Jamaica,Romania,Canada
Haywire (2011),"$497,687","$1,027,596","$305,495","$3,682,205","$22,605","$1,211,998","$361,357","$709,483","$202,580","$146,194","$126,462","$85,761","$1,225,522",,"$23,375","$2,053,554","$178,039",,"$509,200","$364,147","$182,816","$4,969","$145,213","$181,512","$251,595",,"$557,160","$19,112","$176,325","$78,467","$196,465",,"$128,226","$22,921","$14,783",,"$5,863","$17,242","$8,835","$14,167",,"$201,678",,"$16,311","$213,109",,,"$228,835","$55,483","$60,865",,,,,,,"$56,152",,,,,,,,,,
14 Blades (2010),"$1,007,827",,,,,,,,,,,,,,,,"$56,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$109,718",,"$1,126,692",,"$985,218",,,"$501,231",,,,,,,,,,,,,,
Apollo 18 (2011),"$253,628","$336,255","$106,011","$1,715,859",,,"$749,833","$349,202","$83,515","$33,348","$45,162","$17,765",,,,"$2,108,953","$83,248",,"$1,364,151","$121,927","$182,049","$6,763","$100,318",,,,"$144,058",,,,,,,,,,,,,,"$54,973","$330,975",,"$12,585",,,,"$25,562","$26,377","$238,372",,,,,,,"$57,555",,,,,,,,,,
Seeking Justice (2011),"$157,066","$4,215,110","$371,530","$948,244","$9,838","$904,767","$790,783",,"$280,899","$196,180",,"$204,638","$967,184","$9,751","$14,158","$631,204","$14,506",,"$974,263","$334,502","$155,809",,,"$369,865","$471,768",,"$187,205",,,"$46,622",,,"$20,890",,,"$96,419",,"$67,188",,,"$162,769","$706,988",,"$29,120","$197,752",,,,,"$67,211",,,,"$34,000",,,"$39,553",,,,,,,,,,
The Flowers of War (2011),"$26,101",,,"$11,817",,"$335,644",,,"$45,331","$52,019",,"$30,036",,,,"$196,960","$11,303",,"$320,948",,,,,,"$54,935",,,,,,,,,,,,,"$15,967",,,,,,,,,,"$111,780",,"$1,331,369",,,,,,,,,,,,,,,,,
One for the Money (2012),"$164,071","$1,371,626","$161,657","$893,394","$26,817","$408,831","$468,556","$1,047,826","$155,998","$56,008","$429,533","$142,586",,,"$48,279","$1,555,047","$17,261","$26,414,527","$1,530,861","$293,413","$89,125","$3,373",,"$262,791","$275,656",,"$291,919",,,"$180,876",,,"$85,566","$14,396",,"$59,574","$2,387","$119,153",,"$14,443","$44,389","$91,616","$15,440","$35,905",,,"$920,752","$270,387","$42,007","$55,595",,,,,,,"$22,521",,,,,,,,,,
Detective Dee: The Mystery of the Phantom Flame (2010),"$887,808",,,,,,,,"$25,080",,,,"$105,896",,,,"$341,423",,,,,,,,"$39,766",,,,,,,,,,,,,,,,,,,,"$3,005,871",,,"$938,991",,"$1,451,985",,"$11,581","$759,625",,,"$5,170",,,"$155,866","$43,710,371",,,,,,,
Chronicle (2012),"$1,247,302","$8,710,258","$862,595","$10,899,971","$58,801","$2,165,496","$2,895,188","$1,657,345","$417,002","$201,421","$268,783","$205,667","$1,060,028","$46,590","$24,253","$4,019,053","$577,069",,"$1,067,752","$647,819","$540,153","$73,932","$83,821","$237,660","$282,306","$523,534","$1,179,233","$289,453","$628,441","$148,385",,"$113,315","$51,626","$84,548","$121,110","$76,199","$25,575","$35,544",,"$13,787","$556,646","$659,921","$162,263","$33,447","$2,564,831",,"$8,024,267","$1,059,345","$832,097","$894,762",,"$994,443",,,,"$13,812","$79,545",,,,,,,,,,
The Woman in Black (2012),"$342,136","$3,681,801","$556,170","$34,552,457","$48,457","$4,307,495","$8,892,166","$2,701,175","$560,634","$162,816","$849,016","$63,245","$1,073,496","$23,308","$23,603","$4,957,084","$154,743",,"$2,362,332","$334,146","$533,984","$70,162","$100,235","$530,907","$276,654","$172,050","$804,824","$297,682",,"$45,940","$993,576",,"$24,293","$137,141",,"$93,688",,"$41,121","$33,127","$2,750","$812,391","$1,414,046","$42,002","$102,320","$465,844","$258,562","$791,209","$412,000","$61,869","$97,861",,,,,,,"$360,090",,,,,,,,,,
Toast (2010),"$17,052",,,,,,,,,,,,,,,"$12,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,337",,,,,,,,,,,,,,,,,
Safe House (2012),"$437,563","$5,360,224","$1,174,570","$11,371,424","$95,669","$6,783,245","$2,337,393","$4,314,140","$506,699","$870,360","$706,355","$1,408,476","$3,701,923","$115,664","$87,714","$2,877,561","$397,585",,"$1,782,280","$702,019","$224,064","$17,925","$248,978","$341,308","$1,251,025","$1,689,257","$2,444,442","$518,639","$969,884","$148,248","$410,399","$567,000","$191,551","$65,762","$97,116","$192,884","$65,476","$212,038","$21,863","$38,768","$518,885","$1,014,527","$82,099","$102,068","$1,041,144","$4,198,743","$9,017,159","$639,407","$333,089","$325,093","$946,134","$598,671",,"$77,325",,,"$123,134",,,,,,,,,,
The Vow (2012),"$456,345","$2,381,281","$667,733","$8,749,557","$53,477","$6,727,887","$3,540,475","$8,140,721","$531,688","$318,531","$1,127,084","$939,671","$264,537","$103,599","$119,682","$2,839,641","$106,103",,"$1,526,252","$1,063,823","$380,811","$22,375","$210,395","$2,338,564","$550,591","$416,711","$1,029,456","$357,881","$984,437","$324,304","$335,363",,"$81,850","$102,232",,,"$24,561","$217,646","$191,655","$66,372","$288,137","$214,034","$184,135","$125,674","$1,625,045","$1,619,266","$11,654,152","$885,628","$1,392,308","$299,177","$490,418","$1,271,484",,"$77,818","$13,512",,"$282,805",,,,,,,,,,
Journey 2: The Mysterious Island (2012),"$4,452,973","$12,095,241","$1,915,098","$10,709,999","$93,868","$6,590,744","$12,680,160","$6,246,520","$1,014,946","$774,813","$820,112","$1,579,213","$5,908,558","$264,437","$177,168","$17,558,757","$1,268,550","$103,887,748","$5,906,369","$2,193,356","$2,668,180","$490,973","$1,015,569","$2,177,155","$1,335,420","$888,816","$1,621,815","$172,798","$184,540","$763,740","$421,518","$674,836","$354,452","$564,411","$233,146","$223,905","$54,078","$113,557","$185,205","$38,823","$3,942,709","$4,877,070","$2,137,773","$301,716","$8,499,847","$2,795,435","$7,518,548","$2,244,444","$1,574,215","$4,535,404","$2,087,416","$684,052",,,,,"$2,782,403",,,"$48,000,000",,,,,,,
Bodyguards and Assassins (2009),"$997,751",,,,,,,,,,,,,,,"$23,949","$114,297",,,,,,,,"$18,800",,,,,,,,,,,,,,,,,,,,"$724,114",,,"$1,443,899",,"$2,138,798",,"$17,950","$1,124,979",,,,,,,,,,,,,,
The Sorcerer and the White Snake (2011),"$1,336,639",,,,,,,,,,,,,,,,"$376,587","$18,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$648,229","$163,718","$408,897",,"$36,404",,,,,,,,"$26,679,242",,,,,,,
Flying Swords of Dragon Gate (2011),"$1,027,440",,,$186,,,,,,,,,,,,"$367,776","$194,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,163","$662,765","$43,195","$780,804",,"$44,109",,,,,,,,,,,,,,,
Ghost Rider: Spirit of Vengeance (2011),"$3,454,089","$4,256,875","$465,761","$4,601,073","$19,652","$2,253,770","$5,150,696","$4,705,702","$1,789,447","$480,819","$967,086","$676,910","$3,731,609","$48,032","$35,664","$13,285,571","$1,505,387",,"$14,485,312","$505,363","$368,449","$56,636","$959,424","$642,913","$1,165,062",,"$708,088","$162,187","$173,146","$176,848","$193,386",,"$91,758","$151,956",,"$89,326","$15,134","$100,233","$49,284",,"$339,693","$685,576",,"$12,231","$545,501","$475,369","$1,626,802","$1,530,965","$1,691,905","$474,114","$2,342,436","$233,800",,"$8,962",,,"$108,367",,,,,,,,,,
Gone (2012),"$69,911","$202,032","$80,358","$925,917","$12,607","$1,173,154","$693,421","$189,012","$167,110","$89,184","$77,339","$69,098",,,,"$1,035,035","$15,257",,"$869,949","$93,251","$51,180","$25,414",,"$304,212","$161,599",,,,,"$34,038","$60,371",,,,,"$14,708","$6,066","$61,691",,,,"$91,357","$16,665","$32,820",,,"$541,190","$173,649","$27,537","$33,277",,,,,,,"$56,921",,,"$630,000",,,,,,,
The Lorax (2012),"$942,241","$4,796,248","$734,543","$12,428,587","$121,726","$9,770,736","$9,817,166","$4,158,900","$791,922","$1,576,499","$1,077,926","$1,714,403","$2,644,446","$243,386","$190,298","$15,864,074","$368,282","$214,373,500","$5,193,161","$1,930,953","$919,534","$163,374","$1,045,174","$1,092,924","$1,271,498","$992,725","$2,477,417","$953,432","$1,403,429","$392,014","$638,846","$1,303,770","$97,065","$241,524","$809,524","$133,276","$12,902","$117,505","$178,818","$16,813","$1,927,023","$1,528,691","$726,523","$174,375","$1,859,560","$8,182,759","$15,706,029","$1,601,837","$505,908","$674,977","$430,646","$2,146,121",,"$31,461","$6,588",,"$664,799","$120,258",,,,,,,,,
Act of Valor (2012),"$301,280",,"$126,204","$837,022","$19,754","$859,812","$479,572","$582,072",,"$71,137","$153,307","$21,945","$2,907,547",,,"$267,704","$464,068","$70,012,847","$116,826","$98,140","$53,917","$2,364",,,"$459,979",,"$228,745","$11,073",,,,,"$30,516",,,,,"$62,225",,,,,,,"$665,789","$1,259,474","$763,440","$924,542","$83,399","$634,699",,,,,,,,,,,,,,,,,
This Means War (2012),"$1,319,945","$2,810,148","$1,471,956","$7,979,125","$57,237","$1,790,835","$4,577,973","$5,683,880","$611,288","$861,143","$1,268,840","$1,096,620","$560,455","$225,544","$158,100","$12,968,824","$486,384",,"$5,280,170","$688,518","$642,949","$120,419","$1,103,234","$390,574","$793,730","$1,175,438","$2,249,406","$570,254","$940,984","$333,050","$194,219","$641,382","$308,734","$234,940","$364,495","$384,489","$32,697","$387,081","$71,203","$69,139","$1,053,017","$439,163","$210,166","$117,233","$5,858,061","$7,358,824","$8,377,261","$1,513,769","$758,702","$979,378",,"$643,257",,,,"$12,369","$326,818",,,,,,,,,,
John Carter (2012),"$4,345,140","$8,939,150","$924,733","$7,431,120","$94,572","$7,527,168","$12,093,015","$8,231,988","$953,708","$503,568","$1,120,944","$732,825","$3,570,912","$68,961","$48,131","$33,369,163","$2,341,291",,"$6,544,723","$2,984,453","$1,395,122","$444,998","$2,826,302","$1,544,024","$2,139,593","$1,315,899","$1,537,439","$738,830","$819,960","$564,168","$543,533","$438,211","$560,026","$286,309","$424,537","$213,547","$41,770","$183,577","$117,233","$39,347","$1,982,059","$2,915,604","$1,250,394","$50,681","$6,485,533","$7,528,236","$7,376,500","$2,070,634","$2,052,155","$1,890,557","$1,744,360","$749,937",,,,,"$1,170,643",,,,,,,,,,
The Awakening (2011),"$146,841",,,"$1,042,550",,"$931,823","$555,601",,"$213,886","$2,305",,,"$1,699,366","$18,078",,"$774,333",,,"$276,928",,"$41,231",,,"$425,378","$115,880",,,,,,,,,,,,,"$15,253",,,"$215,123",,,,,,,"$74,998",,"$120,397",,,,,,,,,,,,,,,,,
Lockout (2012),"$703,369","$4,005,013","$259,122","$1,896,069","$11,970","$1,308,175",,"$433,501","$191,728","$51,351","$79,788","$37,832",,"$12,377",,"$2,989,548","$711,523",,,,,,"$175,404",,"$496,090",,"$157,507","$20,642",,,,,,"$37,787",,,"$6,238","$30,800","$1,906","$13,358",,,,,"$2,834,316","$1,524,094",,"$155,825","$174,833","$301,083",,,,,,,,,,,,,,,,,
Salmon Fishing in the Yemen (2011),"$25,284","$241,793","$142,496","$9,562,192","$1,427","$2,809,322","$251,357","$1,896,320",,"$99,152","$284,948","$359,404","$680,122","$14,215",,,"$84,349",,"$158,720",,"$108,601","$16,556",,"$246,428","$43,863","$288,306","$161,030","$150,628","$90,741","$14,809","$226,160",,"$44,199","$63,483","$171,640","$3,202","$3,154","$11,539","$19,469",,"$65,996","$108,163",,"$15,476",,"$178,283","$4,438,468","$113,537",,"$84,798",,"$1,080,211",,,"$198,883",,"$39,157",,,,,,,,,,
Wrath of the Titans (2012),"$3,714,136","$7,324,412","$1,484,244","$12,364,609","$71,276","$7,926,162","$17,811,321","$8,208,218","$2,445,418","$702,649","$1,331,487","$994,048","$5,447,003","$209,038","$121,256","$22,262,485","$2,461,126",,"$15,869,618","$6,820,191","$3,015,519","$518,775","$1,667,885","$1,649,454","$1,666,953","$1,002,562","$1,357,923","$561,479","$602,908","$636,622","$1,749,779","$444,454","$452,696","$746,860","$194,981","$237,532","$103,189","$222,067","$121,256","$125,335","$5,205,874","$5,226,328","$1,439,874","$206,110","$6,672,586","$7,638,624","$5,607,623","$2,887,442","$3,394,375","$1,440,350","$2,537,979","$823,103",,,,,"$2,434,959",,,,,,,,,,
The Raid: Redemption (2011),"$44,708","$1,211,887","$62,054","$1,635,868","$11,129",,,"$499,939","$108,430",,"$30,996",,,,,"$249,853","$16,732",,,,,,,,"$120,834",,"$143,429",,,,"$50,039",,,,"$20,376",,,,,,,,,,,,"$233,670","$216,693","$114,881","$154,709",,"$117,105",,,,,,,,,,,,,,,
The Cabin in the Woods (2011),"$440,855","$2,367,009","$448,611","$8,530,392","$35,029","$27,567","$752,928","$1,723,749","$664,083","$125,323","$343,291",,"$1,527,772","$20,467","$31,498","$2,330,529","$682,390","$42,073,277",,,"$281,464","$58,366",,"$462,548","$415,533","$164,704","$794,643","$110,160","$495,037",,"$606,453",,"$39,486",,"$202,317",,,"$32,830",,,"$382,059","$742,359","$158,265",,"$1,388,307",,"$366,221","$410,389","$180,368","$380,028",,$101,,,,,"$242,430",,,,,,,,,,
Silent House (2011),"$65,246",,,"$680,524",,,"$980,483",,"$92,722","$21,883",,,,,,,,,"$254,043","$616,486","$246,968",,,,"$64,634",,,,,,"$36,177",,,,,"$37,819",,,,,"$153,343","$354,713",,,,,,,,,,,,,,,"$167,923",,,,,,,,,,
The Three Stooges (2012),"$399,876","$1,684",,"$2,537,705",,"$114,411","$389,943","$76,065",,,,"$21,256","$51,342",,,,"$19,153",,,"$133,697","$419,499",,,,,,,,,,,,,,,,,,,,,"$848,651",,"$81,346",,,"$3,666,290","$298,154","$171,186",,,"$153,106",,,,,"$80,056",,,,,,,,,,
Mirror Mirror (2012),"$944,196","$6,906,282","$839,371","$11,908,879","$16,912","$4,790,092","$6,564,879","$5,447,240","$391,584","$454,535","$915,311","$880,030","$6,571,936","$115,508","$117,726","$9,731,580","$837,737",,"$9,127,201","$2,863,047","$996,415","$121,901","$374,293","$1,499,833","$702,475","$444,084","$1,337,895","$1,680,434","$631,842","$288,634","$850,301",,"$78,531","$262,408","$176,368",,"$5,825","$167,319","$223,328","$34,216","$1,847,430","$1,964,032",,"$96,640","$3,597,268","$4,237,103","$6,097,147","$1,060,056","$672,559","$1,156,157",,"$536,120",,"$35,459",,,"$639,967",,,,,,,,,,
Battleship (2012),"$6,415,419","$8,918,606","$1,447,151","$12,216,671","$83,333","$5,280,066","$9,633,057","$9,546,461","$1,440,285","$619,169","$1,128,193","$915,979","$5,747,869","$136,642","$92,908","$21,998,643","$4,817,092",,"$3,773,080","$2,461,566","$1,252,260","$134,575","$1,994,042","$931,981","$1,703,604","$1,437,234","$1,546,652","$629,098","$1,201,917","$430,553","$623,133","$383,777","$178,621","$310,095","$251,827","$247,803","$34,129","$128,535","$84,325","$32,373","$1,478,203","$1,510,747","$417,851","$49,055","$14,552,031","$18,128,606","$10,194,275","$4,189,981","$2,851,193","$2,490,367","$3,762,420","$1,201,129",,"$83,416","$10,862",,"$664,911","$1,790,632",,"$48,328,711",,,,,,,
Circumstance (2011),,"$61,926","$32,737","$6,727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take Shelter (2011),,"$1,052,569","$43,386","$293,933",,"$179,502",,"$240,584","$54,565","$29,035","$27,617","$24,081","$21,727","$13,980","$8,560","$12,727","$8,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road to Nowhere (2010),,"$83,496",,,,,,,,"$37,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC Africa (2001),,"$13,806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pleasure of Being Robbed (2008),,"$21,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clara et moi (2004),,"$821,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,340",,,,,,,,,,,,,,
Footloose (2011),,"$4,812","$458,952","$2,311,784","$53,412","$564,355","$116,191","$1,747,930",,,"$242,902","$528,895",,"$33,975","$74,106",,,"$51,802,742",,,,,,,"$172,143",,"$179,016","$136,626","$250,715",,,,,,"$22,620","$16,923",,,,,,,,,,,"$2,933,101","$336,474",,,,"$568,212",,,,,,,,,,,,,,,
Martha Marcy May Marlene (2011),,"$183,547",,"$713,763",,"$306,635",,"$58,398",,"$34,689","$1,499",,"$13,454",,,"$5,665",,,,,,,,,,"$105,428",,"$111,972","$67,120",,,,,,,,,,,,,,,,,,"$168,705",,,,,"$16,939",,,,,,,,,,,,,,,
We Need to Talk About Kevin (2011),,"$268,940","$209,489","$3,518,623",,"$132,782","$393,338","$89,590","$26,751","$24,825","$13,235",,"$84,796",,,"$35,757","$14,033",,"$267,703","$36,655","$9,334",,,"$130,213",,"$16,111","$329,975","$530,680","$91,621",,,,,"$10,598","$188,481",,,,,,"$34,766","$39,427",,"$3,299","$39,944",,"$702,332",,,"$56,197",,"$194,131",,,,,,,,,,,,,,,
A Pain in the Ass (2008),,"$1,900,973","$78,203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,053",,,,,"$17,946",,,,,"$31,741",,,,,,,,,,,,,,,
Brighton Rock (2010),,"$16,140","$15,525","$1,743,184",,,,"$35,353",,"$6,913","$9,855",,,,,,,,,,,,,,"$2,883","$62,758",,,,,,,,,,,,,,,,,,,,,"$552,284","$7,180",,,,"$223,649","$8,222",,,,,,,,,,,,,,
Margaret (2011),,"$3,234",,"$93,888",,"$60,381",,,,,,,"$2,569",,,,,,,,,,,"$3,797",,,,,,,,,,,,,,,,,,,,,,,"$354,500",,,,,,,,,,,,,,,,,,,,
Carnage (2011),,"$2,795,006","$385,154","$1,673,225","$7,889","$4,037,313","$297,842","$7,754,332","$144,209","$184,938","$780,744","$21,682","$4,516,944","$8,789","$18,624","$709,906",,,"$513,197",,"$47,724",,"$5,920","$1,662,890","$65,213","$102,257","$617,212","$48,662","$43,730",,"$91,585",,,"$32,787","$85,324",,,"$31,673",,"$20,196",,"$241,454",,"$37,370",,"$651,917","$343,371",,,"$70,379",,"$50,752",,,,,"$75,375",,,,,,,,,,
Margin Call (2011),,"$1,560,973","$102,598","$557,951",,"$2,449,037","$220,647","$1,317,722","$102,195","$102,133","$180,321","$142,111","$540,072",,,"$755,548","$8,664",,"$158,459","$52,151","$60,662",,"$18,727","$364,811","$55,962",,"$75,458",,,"$18,911","$74,520",,,,,,,"$18,085",,,"$92,705","$291,722",,"$41,164",,,"$1,837,529","$121,269",,"$341,118",,"$328,713",,,,,"$80,634",,,,,,,,,,
Polisse (2011),,"$19,798,008","$218,658","$68,356",,"$61,329","$10,373","$22,171","$2,694","$8,235","$1,464",,"$87,707",,,,"$3,159","$211,440","$32,786",,,,,,,"$9,606",,,"$58,857",,,,,,,,,"$6,402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Must Be the Place (2011),,"$953,130","$64,076","$322,902",,"$367,254",,"$860,956","$72,089","$47,259","$84,879","$5,951","$8,059,623",,,,"$6,590",,"$142,924",,,,,"$269,083",,,"$42,541","$81,790",,,"$48,871",,,"$7,811","$71,064",,,,,"$8,665",,,,,,,"$264,872","$2,600",,,,,,,,,,,,,,,,,,,
Shame (2011),,"$2,290,991","$547,500","$3,203,687","$5,611","$1,425,419","$391,599","$1,070,622","$119,746","$226,830","$205,249","$28,451","$1,398,307","$4,781",,"$422,561","$13,889",,"$557,243","$72,953","$28,088",,,"$551,501",,"$249,809","$555,221","$250,588","$277,708",,"$284,898",,,"$32,053","$123,312",,,,,"$5,791","$62,884","$135,399",,"$17,201","$41,589",,"$380,366",,,"$124,409",,"$43,723",,,,,"$64,786",,,,,,,,,,
A Screaming Man (2010),,"$165,048","$10,178","$8,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous (2011),,"$328,894","$17,752","$737,043",,"$441,371","$73,576","$2,227,187",,"$145,375","$132,379","$64,968","$2,035,154",,,"$2,556,933",,,,,,,"$114,329","$133,513","$60,215","$6,382",,,,,"$197,542",,,"$16,108",,,,"$15,941",,"$24,504",,,,"$22,462",,,"$886,278",,"$13,142","$13,677",,"$78,471",,,,,"$44,328",,,,,,,,,,
J. Edgar (2011),,"$11,749,795","$674,231","$1,647,423","$11,633","$4,165,909","$1,525,192","$1,492,876","$192,381","$357,298","$241,291","$31,244","$8,035,717","$59,412",,"$719,985",,,"$795,982","$231,440","$125,987","$16,452",,,"$186,256","$199,857","$323,559","$1,862,861","$419,811",,"$421,633","$247,960",,,"$206,300","$30,163","$8,468","$17,389",,"$34,134",,"$725,861","$82,728","$66,687",,"$3,558,295","$2,037,881","$143,046","$49,059","$165,396",,"$108,904",,,,,"$98,667",,,,,,,,,,
Hugo (2011),,"$9,600,362","$1,532,587","$8,743,731","$43,653","$7,896,643","$3,280,798","$6,319,061","$776,652","$1,576,976","$597,378","$430,039","$9,526,733",,,"$5,922,725","$145,800","$73,864,507","$7,575,951","$864,313","$943,662","$115,963","$710,530","$385,476","$420,159","$512,945","$1,307,946","$508,003","$527,499","$105,388","$1,363,335","$445,630",,"$301,095","$312,180",,"$6,238","$113,467","$88,630",,"$1,208,170","$2,294,166","$497,324","$141,578","$382,994","$11,695,447","$10,813,466","$386,058","$103,206","$662,332","$715,238","$927,209",,,,,"$619,888","$202,607",,,"$1,904,000",,,,,,
House of Tolerance (2011),,"$894,785","$31,377","$19,564",,"$38,823",,,,"$29,173","$38,278",,,,,"$40,356",,"$19,327","$197,862",,,,,,,,,,,,,,,"$10,971",,,,,,,"$5,477",,,,,,,"$63,927",,,,,,,,,,,,,,,,,,,
The Deep Blue Sea (2011),,"$109,836","$75,015","$802,745",,"$400,534",,,,"$34,231",,,,,,,,"$1,126,525","$154,200",,,,,,,,,"$17,074",,,"$119,404",,,,"$47,539",,,,,,,,,,"$27,707",,"$181,082",,,,,"$47,622",,,,,,,,,,,,,,,
"Oslo, August 31st (2011)",,"$262,039","$16,671","$2,951",,"$68,583",,,,"$17,438",,,,,,"$10,986",,"$101,475","$15,718",,,,,,,,,"$15,623","$970,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Another Happy Day (2011),,"$643,053",,,,,,,,"$8,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wuthering Heights (2011),,"$61,008","$44,152","$963,993",,"$65,885",,,,"$11,690",,"$17,246",,,,"$55,927",,,,,,,,,,"$78,399","$130,871","$66,659",,,,,,,"$77,372",,,,,"$3,401",,,,,,,,,,"$51,690",,"$13,007",,,,,,,,,,,,,,,
The Twilight Saga: Breaking Dawn - Part 1 (2011),,"$31,131,910","$6,788,961","$48,806,194","$130,944","$26,146,033","$18,856,968","$33,077,090","$6,964,798","$3,107,474","$4,538,641","$3,898,762","$20,016,885","$614,551","$334,922","$31,818,662","$3,379,701",,"$32,709,793","$4,769,360","$2,956,463","$399,799","$2,423,266","$4,103,354","$1,909,601","$7,783,818","$4,333,454","$4,310,247","$4,305,359","$1,193,692","$2,822,707",,"$368,812","$1,934,037","$2,368,196","$623,391","$78,023","$505,096","$760,674","$120,898","$3,727,908","$5,354,882","$1,489,956","$229,671","$9,282,393","$3,455,688","$19,616,606","$2,181,325","$5,719,162","$2,094,715",,"$3,656,570",,"$54,122",,,,,,,,,,,,,
The Rum Diary (2011),,"$413,911","$125,059","$2,499,158","$8,358","$208,629","$394,042","$681,622","$303,169","$276,547","$76,999","$36,231","$1,439,166",,"$30,003","$4,704,054",,,"$425,365",,"$195,342","$2,833","$456,180","$661,562","$148,888","$24,633","$455,593",,"$256,830","$97,203","$510,937",,,"$150,922",,,,"$56,666","$45,905",,,"$338,847",,"$2,609",,"$784,355","$837,911","$82,303",,"$206,145",,,,,,,"$87,166",,,,,,,,,,
My Week with Marilyn (2011),,"$1,221,043","$185,773","$5,137,004","$14,233","$752,895","$223,720","$957,085","$254,600","$75,445","$191,066","$172,095","$1,234,484","$8,752","$1,071","$606,437","$32,823",,"$631,232","$2,560","$23,282","$2,556",,"$256,678","$32,305","$508,624","$124,653","$408,762","$406,370",,"$147,375",,"$21,642","$39,572","$264,363",,,"$23,130","$1,071",,"$44,854","$87,830",,"$15,388",,,"$2,741,489","$67,168",,"$200,884",,"$422,589",,,,,"$23,438",,,,,,,,,,
À l'aventure (2008),,"$25,013",,,,,,,,,,,,,,"$56,322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Silence Before Bach (2007),,"$42,198",,,,"$322,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,071",,,,,,,,,,,,,,,,,,,,,,
Sarah's Key (2010),,"$6,418,284","$537,355","$784,963",,"$810,545","$155,104","$163,886",,,"$18,368",,"$816,791",,,,,,"$212,074",,,,,,,"$25,990","$4,375,823","$36,016","$731,877",,,,,,,,,,,,,,,,"$80,640",,"$1,257,172","$7,075",,"$32,152",,"$635,513",,,,,,,,,,,,,,,
The Tree (2010),,"$1,479,589","$235,825","$2,890",,"$165,615",,"$102,213","$8,699",,"$14,918",,"$18,124",,,"$38,075",,,"$56,727",,,,,,,"$15,899",,,,,,,,,"$8,754",,,,,,,,,,,,"$200,061",,,"$18,793",,,"$3,743",,,,,,,,,"$8,660",$302,,,,
Waiting for Happiness (2002),,"$45,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sitter (2011),,"$3,192",,"$3,862,166","$39,253","$61,802",,"$180,894",,,,,,,,,,,,"$217,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extremely Loud & Incredibly Close (2011),,"$1,797,701","$180,895","$1,099,134","$7,045","$504,093","$1,853,015","$911,553",,"$213,402","$111,948","$55,586","$825,428",,,,,,"$938,657","$254,596","$165,914","$36,867",,,"$145,295","$26,209","$1,006,089","$197,973","$78,221",,"$63,227","$163,573",,,"$61,180",,"$4,401","$24,700",,,"$264,806","$402,938","$71,212","$39,015",,"$6,109,517","$1,256,486","$241,267","$90,369","$215,634",,"$135,249",,,,,"$47,033",,,,,,,,,,
Rampart (2011),,"$24,292",,"$471,004",,,,,,"$8,757",,"$28,417",,,,,,"$972,512",,,,,,,"$62,923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
