Movie Name,Malaysia,France,Belgium,United Kingdom,Iceland,Spain,Mexico,Germany,Türkiye,Portugal,Austria,South Africa,Italy,Croatia,Slovenia,Russia/CIS,Thailand,Domestic,Brazil,Venezuela,Peru,Bolivia,Ukraine,Poland,United Arab Emirates,Sweden,Netherlands,Denmark,Norway,Hungary,Greece,Israel,Bulgaria,Czech Republic,Finland,Egypt,East Africa,Lebanon,Slovakia,Serbia and Montenegro,Colombia,Argentina,Ecuador,Uruguay,South Korea,Japan,Australia,Singapore,Philippines,Hong Kong,Indonesia,New Zealand,Taiwan,Nigeria,Ghana,Bahrain,Chile,India,Vietnam,China,Switzerland,Lithuania,Latvia,Trinidad & Tobago,Jamaica,Romania,Canada
Mulan: Rise of a Warrior (2009),"$201,937",,,,,,,,,,,,,,,,"$152,409",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$741,821",,,"$505,741",,"$175,087",,,"$22,162",,,,,,,,,,,,,,
Puss in Boots (2011),"$2,695,167","$33,237,577","$4,845,703","$24,035,077","$125,246","$20,653,981","$17,537,732","$34,002,212","$4,086,074","$3,982,784","$6,038,904","$2,706,645","$21,400,840","$686,328","$580,253","$50,585,502","$875,472",,"$24,549,204","$7,267,168","$3,438,613","$759,691","$4,107,338","$6,335,147","$1,235,540","$5,865,486","$6,049,436","$3,290,897","$4,600,259","$1,608,811","$2,619,557","$2,031,286","$856,378","$1,777,210","$1,956,315","$100,047","$27,549","$236,421","$596,953","$205,073","$4,357,921","$856,929","$2,239,186","$496,130","$15,127,312","$13,758,233","$15,642,773","$2,300,589","$1,423,066","$1,828,312","$993,944","$1,869,689",,"$12,445","$1,701",,,,,,,,,,,,
Tower Heist (2011),"$787,086","$1,225,266","$400,204","$7,060,653","$64,453","$4,331,653","$2,687,020","$4,430,889","$600,456","$913,887","$725,753","$1,184,689","$2,238,078","$174,324","$229,124","$6,876,690","$444,773",,"$2,321,339","$1,861,000","$559,697","$51,541","$1,013,623","$395,570","$1,301,402","$658,463","$1,004,516","$691,885","$509,061","$355,433","$843,221","$1,252,799","$138,420","$77,627","$494,743","$79,686","$6,349","$103,525","$15,188","$51,765","$447,294","$1,329,850","$156,954","$94,956","$562,506","$4,056,777","$10,852,306","$943,791","$421,347","$361,700",,"$549,880",,"$22,757","$13,223",,,,,,,,,,,,
The Adventures of Tintin (2011),"$1,254,199","$53,970,688","$9,951,665","$25,927,543","$39,892","$13,565,811","$4,217,881","$16,561,165","$1,703,414","$2,708,481","$1,015,191","$1,925,706","$4,953,944","$101,983","$17,887","$8,889,594","$587,511","$77,591,831","$10,626,954","$1,939,398","$373,724","$142,978","$797,667","$1,541,223","$1,641,692","$12,802,714","$4,787,909","$6,764,564","$2,726,282","$230,558","$1,157,922","$552,221","$83,663","$743,990","$1,823,781","$183,106","$24,218","$37,099","$181,682","$64,727","$701,300","$1,440,228","$520,233","$188,025","$5,618,530","$13,513,900","$16,130,802","$2,104,620","$416,630","$1,173,051","$1,981,881","$4,380,123",,"$21,528",,"$80,366","$501,138","$3,002,651",,,,,,,,,
Trespass (2011),"$270,421","$1,180,065",,"$893,677","$9,808","$1,620,801","$913,177",,"$157,539","$290,680",,,,"$48,158",,"$837,868","$180,567",,"$1,941,089",,"$240,465","$1,847",,"$214,175","$270,557",,"$407,570",,,,"$44,691",,"$68,236",,"$29,857",,,,,,"$105,646",,,,,,,"$136,699","$97,841","$132,438",,,,,,,,,,,,,,,,,
Immortals (2011),"$1,876,170","$3,292,169","$785,469","$9,780,526","$84,246","$7,710,989","$5,365,813","$8,446,489","$3,353,587","$536,678","$1,153,787","$699,240","$5,595,234","$307,520","$149,569","$15,616,648","$1,480,663",,"$14,390,947","$1,971,045","$1,076,036","$110,874","$1,460,812","$1,701,753","$1,597,077","$1,034,944","$1,769,577","$665,358","$678,171","$570,563","$2,834,394",,"$581,837","$551,613","$307,547",,"$32,413","$406,618","$233,744","$166,378","$1,473,046","$1,717,399",,"$70,504","$10,227,757","$5,349,198","$4,566,553","$1,736,665","$879,832","$982,945",,"$776,866",,"$67,873",,,"$270,618",,,,,,,,,,
Jack and Jill (2011),"$686,159","$556,012","$545,993","$5,185,578","$31,405","$4,712,688","$8,609,215","$5,279,500","$503,175","$383,768","$1,076,180","$1,315,739","$713,333","$79,982","$108,058","$5,997,664","$205,705",,"$11,903,884","$4,543,361","$1,395,698","$375,791","$651,963","$479,195","$744,950","$117,998","$761,829",,,"$583,068","$346,578","$1,002,111","$103,430","$134,193",,"$69,903","$16,718","$305,579","$119,857","$78,661","$824,864","$1,322,604","$291,477","$319,956",,"$193,324","$5,704,261","$738,839","$315,445","$128,846","$450,648","$224,512",,"$65,375",,"$23,493","$664,661",,,,,,,,,,
Shaolin (2011),"$2,207,445",,,,,,,,,,,,,,,,"$798,268","$66,099",,,,,,,"$241,479",,,,,,,,,,,,,,,,,,,,,"$699,988","$65,258","$1,712,442","$67,521","$2,632,665",,"$49,703","$693,491",,,,,,"$278,106","$33,470,508",,,,,,,
The Descendants (2011),"$90,221","$5,747,561","$733,057","$12,929,006","$57,823","$11,328,136","$2,365,365","$6,049,147","$573,727","$1,569,113","$1,047,156","$458,354","$4,054,051","$84,156","$66,747","$615,245","$57,946",,"$3,767,380","$130,913","$289,982","$30,535","$31,215","$951,642","$212,660","$1,106,521","$2,510,197","$1,825,137","$1,171,534","$181,760","$1,135,537","$1,292,227","$31,864","$227,510","$438,448","$45,318","$12,577","$70,602","$47,887","$37,775","$520,685","$1,499,714","$74,479","$258,824",,"$3,120,338","$15,947,488","$469,918","$75,387","$690,318",,"$1,209,772",,,,"$12,372","$499,137",,,,,,,,,,
The Muppets (2011),"$209,797",,"$1,220,246","$27,029,046","$66,147","$3,265,756","$4,318,666","$5,298,392","$984,391","$1,206,343","$642,994","$127,167","$491,468","$39,989","$19,173","$337,378",,"$88,631,237","$1,849,122","$947,983","$467,212","$237,078","$32,833","$1,374,760","$141,340",,"$3,379,778",,,"$71,860","$340,493","$1,039,773","$141,818","$58,142",,"$11,553","$5,301","$20,409","$8,258","$21,916","$1,748,022","$3,058,833","$1,308,967","$75,972",,,"$10,080,813","$256,791","$44,740","$312,810","$159,820","$1,170,577",,,,,"$612,888",,,,,,,,,,
War Horse (2011),"$164,192","$5,395,663","$1,096,120","$29,572,235","$18,477","$5,143,973","$1,261,395","$2,966,557","$297,590","$628,264","$319,665","$187,498","$1,438,517","$14,874","$52,324","$1,488,036","$99,045",,"$1,073,065","$331,962","$172,053","$23,925","$67,587","$90,905","$134,459","$378,367","$1,096,817","$152,919","$227,373","$26,070","$435,721","$277,533","$48,541","$41,288","$96,559","$4,281","$8,089","$27,756","$10,671","$17,803","$274,901","$646,217","$239,453","$42,574","$427,823","$7,675,193","$10,922,401","$157,491","$47,879","$542,041",,"$944,377",,,,,"$123,651",,,,,,,,,,
Singham (2011),"$6,352",,,"$219,065",,,,,,,,,,,,,,"$350,864",,,,,,,"$650,841",,,,,,,,,,,,,,,,,,,,,,"$144,244",,,,,"$1,926",,,,,,"$13,713,638",,,,,,,,,
Shanghai (2010),"$101,227",,,,,"$741,782",,"$32,084","$24,449",,,"$37,379",,"$3,156",,,"$25,331","$46,425",,,,,,,"$123,110",,,,,,"$71,686",,,,,"$15,405",,"$28,740",,,,,,,"$1,763,090","$5,113,939","$31,727","$132,573",,"$172,103",,,"$116,741",,,,,,,"$6,721,903",,,,,,,
CC2C (2009),"$32,187",,,"$708,286",,,,"$11,496",,,,"$49,682",,,,,,,,,,,,,,,"$70,768",,,,,,,,,,,,,,,,,,,,"$172,120","$144,899",,,"$18,600","$35,366",,,"$2,939",,,"$8,752,001",,,,,,,,,
Sing Your Song (2011),"$1,593",,,"$15,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Feet Two (2011),"$1,324,875","$5,214,967","$1,626,098","$9,173,770","$45,366","$2,587,355","$3,595,472","$3,962,619","$2,896,748","$381,809","$827,718","$955,047","$3,333,412","$76,753","$72,957","$6,447,057","$258,078","$64,006,466","$4,249,476","$2,016,364","$1,270,365","$208,136","$563,439","$1,582,894","$442,910","$1,134,190","$2,603,978","$1,195,385","$1,458,330","$693,632","$1,024,845","$1,094,667","$183,193","$453,101","$375,095","$60,314","$20,455","$30,263","$307,969","$50,928","$1,328,459","$1,181,097","$775,059","$44,620","$1,145,852","$2,209,746","$11,082,388","$1,289,240","$1,690,419","$830,997","$582,401","$1,153,506",,,,,,,,"$8,076,758",,,,,,,
Arthur Christmas (2011),"$524,084","$7,352,342","$579,414","$34,235,549","$47,477","$4,089,776","$3,366,205","$3,265,322","$742,401","$577,644","$608,389","$494,313","$3,337,702","$172,394","$193,126","$6,773,104","$112,041","$46,462,469","$2,918,649","$2,066,507","$492,091","$206,356","$709,790","$2,073,403","$355,196","$784,436","$429,514","$1,054,525","$919,317","$406,396","$695,304","$194,581","$276,322","$232,537","$252,037","$39,298","$13,284","$137,743","$111,621","$124,177","$967,901","$740,891","$412,757","$56,021","$4,121,769","$1,598,340","$9,413,233","$381,818","$92,484","$345,358","$246,263","$764,677",,"$26,043","$2,295","$7,220",,,,,,,,,,,
Bullet to the Head (2012),"$765,737","$1,076,910","$182,311","$1,294,004","$13,590","$617,829","$1,022,964","$948,671","$34,285","$53,538","$255,270","$27,171","$389,385","$12,187",,"$1,598,979","$175,130",,"$424,293",,"$123,770",,,,"$502,421",,"$292,882",,"$82,329",,,,"$31,809",,,"$20,651","$12,608","$87,574",,,,,,,,"$257,381",,"$45,658","$179,852","$88,191",,,,,,,,,,"$1,840,000",,,,,,,
The Expendables 2 (2012),"$5,027,237","$15,825,283","$2,678,030","$9,686,288","$231,512","$7,168,633","$10,828,854","$12,133,346","$3,067,931","$2,048,281","$2,004,259",,"$7,022,081","$255,673","$185,188","$17,937,429","$1,760,301",,"$16,370,725","$627,749","$2,036,020","$216,928","$1,355,003","$1,389,600","$2,487,314","$1,299,171","$2,955,415","$1,418,178","$1,894,309","$775,832","$816,536",,"$336,734","$836,015","$1,289,948",,,"$560,668","$232,699","$93,809",,"$2,191,925",,"$59,840","$2,661,741","$9,119,887","$8,490,452","$2,661,665","$2,276,039","$1,664,597",,"$1,002,156",,"$102,004",,,"$395,089","$1,802,653",,"$53,090,000",,,,,,,
The Hunger Games (2012),"$2,201,209","$14,510,197","$4,751,824","$37,332,095","$281,887","$10,483,434","$13,913,267","$20,303,785","$3,346,835","$1,792,187","$1,648,108","$1,181,692","$3,834,276","$210,079","$140,025","$13,405,279","$2,119,783","$408,010,692","$10,152,708","$1,692,559","$890,985","$115,391","$671,717","$2,556,864","$1,980,129","$7,717,011","$4,525,341","$3,396,860","$3,821,709","$509,906","$678,260",,"$251,566","$464,237","$2,276,178",,"$58,824","$225,896","$134,801","$55,172","$2,124,148","$2,365,803","$504,498","$185,791","$3,951,587","$5,071,758","$32,624,716","$3,729,893","$3,295,973","$2,628,593",,"$4,736,689",,"$65,739",,,"$950,888","$732,355",,"$27,049,819",,,,,,,
The Dark Knight Rises (2012),"$5,759,366","$35,725,110","$5,131,146","$71,777,106","$4,223","$15,394,652","$31,845,456","$35,463,041","$4,704,562","$2,173,057","$4,249,761","$1,975,303","$18,801,748","$688,521","$265,656","$17,480,637","$4,302,702","$448,149,584","$27,097,031","$7,143,582","$4,144,042","$908,162","$1,386,107","$3,819,281","$3,805,346","$12,731,153","$7,757,656","$9,598,024","$4,462,882","$1,461,978","$2,729,671","$2,712,488","$498,448","$1,662,457","$3,598,413","$948,637","$291,702","$562,986","$551,286","$276,946","$7,308,220","$10,955,266","$2,784,020","$411,304","$42,019,762","$24,115,087","$44,180,288","$7,023,329","$5,309,012","$46,606","$7,527,926","$4,653,098",,"$367,180",,,"$4,809,188","$9,223,966",,"$52,785,334",,,,,,,
