Movie Name,Domestic,New Zealand,France,Portugal,Italy,Ukraine,Germany,Bulgaria,Croatia,Slovenia,Australia,Bolivia,United Kingdom,Hong Kong,Japan,South Korea,Taiwan,Singapore,Malaysia,Philippines,Thailand,India,Spain,Sweden,Netherlands,Belgium,Denmark,Finland,S/E/W Africa,Israel,Norway,Switzerland,Austria,Greece and Cyprus,Romania,Egypt,Brazil,Mexico,Puerto Rico,Central America,Colombia,Venezuela,Argentina,Peru,Chile,Uruguay,Poland,South Africa/Nigeria,Türkiye,Hungary,Czech Republic/Slovakia,Latvia,Lebanon,Estonia,Serbia and Montenegro,Lithuania,East Africa,Iceland,Indonesia,Russia/CIS/Ukraine,Paraguay,Jamaica,Greece,Russia/CIS,Czech Republic,South Africa,Kenya,Cyprus,Ecuador,Dominican Republic,Lesser Antilles,China,Central America+,Yugoslavia,Slovakia,Middle East/UAE,Ireland,Lebanon/United Arab Emirates,Jordan,Vietnam,United Arab Emirates,Syria,Bahrain,Middle East Other,Morocco,Panama
Back to the Future (1985),"$212,836,762","$17,328","$3,964,310",,"$2,635,694",,"$3,434,590",,,,"$50,773",,"$5,868,029",,,"$79,133",,,,,,,"$2,582,092",,"$12,971",,,,,,,,"$46,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$140,068","$15,022",,,,,,,,,,,,,,,,,,,,,
Down by Law (1986),"$1,435,668",,,,"$62,389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,229","$24,913",,,,,,,,,,,,,,,,,,,,,,
Akira (1988),"$553,171","$36,244",,,,,,,,,"$1,040,047",,"$344,470","$148,415","$1,130,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlander (1986),"$5,900,000",$712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyrano de Bergerac (1990),"$5,820,020",,,"$2,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Young Frankenstein (1974),"$86,273,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Night on Earth (1991),"$2,015,810",,,,,,,,,,,,,,,$105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,893",,,,,,,,,,,,,,,"$89,579",,,,,,,,,,,,,,,,,,,,,,
Fantasia (1940),"$76,408,097",,"$3,304",,,,,,,,$418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Big Sleep (1946),"$25,556",$451,,,,,,,,,,,"$21,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heathers (1988),"$1,108,462",,,,,,,,,,,,"$55,507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben-Hur (1959),"$74,432,704",,,,,,,,,,,,,,,"$5,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Is Spinal Tap (1984),"$4,736,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koyaanisqatsi (1982),"$1,723,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Jones and the Last Crusade (1989),"$197,171,806","$483,358","$30,728,553","$973,815","$15,833,763",,"$15,695,037",,,,"$11,621,611",,"$22,688,630","$2,900,740","$49,440,469","$8,638,690","$5,790,585","$1,252,693","$687,203","$492,390","$569,367",,"$12,392,402","$4,731,891","$5,257,958","$3,189,868","$2,087,857","$2,453,608",,"$1,551,150","$2,258,960","$5,594,941","$1,123,640",,,"$60,416","$9,129,314","$1,537,526",,,"$897,083","$396,682","$329,688","$261,833","$217,938","$76,486",,,"$4,960","$42,732","$139,081",,,,,,,,,,,,"$929,559",,,"$1,163,388",,,"$64,891","$91,650","$104,728",,"$79,711",,,,,,,,,,,,,
Gandhi (1982),"$52,767,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Room with a View (1985),"$20,966,644","$1,136",,,,,,,,,,,,,,"$73,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink Floyd: The Wall (1982),"$22,244,207",,,,,,,,,,"$6,852",,,,,,,,,,,,,,,,,,,,"$14,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Life as a Dog (1985),"$8,345,266",,,,,,,,,,,,,,,,"$4,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field of Dreams (1989),"$64,431,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butch Cassidy and the Sundance Kid (1969),"$102,308,889",$654,,,,,,,,,,,"$1,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paris, Texas (1984)","$2,181,987","$1,427",,"$25,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When Harry Met Sally... (1989),"$93,117,425",,,,,,,,,,$506,,"$7,578",,,"$148,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An American Werewolf in London (1981),"$30,565,292",,,,,,,,,,,,"$113,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bram Stoker's Dracula (1992),"$82,522,790","$1,801",,,,,,,,,,,"$15,509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candyman (1992),"$25,792,310",$965,,,,,,,,,,,"$2,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Fear (1991),"$79,091,969",$523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrie (1976),"$33,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Nightmare on Elm Street (1984),"$25,624,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,624",,,,,,"$58,062",,,,,,,,,,,,,,,,,,,,,,
Breaking the Waves (1996),"$3,803,298",,,,,,,,,,,,"$2,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,107",,,,,,,,,,,,,,,,,,,,,,
Shine (1996),"$35,892,330",,,,,,,,,,,,,,,"$106,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingle All the Way (1996),"$60,592,389",$246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101 Dalmatians (1996),"$136,189,294","$5,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die Hard 2 (1990),"$117,540,947","$245,581","$5,470,660","$388,074","$1,721,665",,"$10,715,928",,,,"$5,420,176","$13,297","$11,087,479","$1,753,273","$40,105,369","$5,434,233","$3,085,264","$496,826","$395,605","$363,130","$441,976","$81,774","$6,175,024","$4,825,781","$2,130,905","$4,144,749","$1,095,642","$2,378,440","$974,932","$1,177,946","$1,205,959","$1,256,928","$627,527","$240,932","$96,313","$38,954","$3,497,690","$1,865,921","$721,110","$278,869","$395,520","$293,480","$829,099","$136,266","$107,160","$37,409",,,"$273,000","$97,220","$46,752",,,,,,,,,"$120,026",,"$106,556",,,,,,,"$53,629",,,,,"$40,278",,,,,,,,,,,,
Star Trek: The Motion Picture (1979),"$82,604,699",,,,,,,,,,,,"$69,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Trek II: The Wrath of Khan (1982),"$79,707,906",,,,,,,,,,,,"$110,605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batman Returns (1992),"$162,924,631",,,,,,"$5,939,559",,,,,,"$21,091,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grease (1978),"$190,071,103","$6,242",,,"$122,251",,"$3,806",,,,"$352,538",,"$808,034",,,,,,,,,,,,,,,,,,"$26,964",,,,,,,"$304,583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,730",,,,,,,,,,,
Grease 2 (1982),"$15,171,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaws (1975),"$265,859,065","$14,818",,"$12,090",,,,"$40,134",,,"$14,883",,"$966,705",,,,,,,,,,,,"$37,389",,,,,,,,,,,,,,,,,,,,,,,,,"$3,909",,,,,,,,,,,,,,,,"$4,710",,,,,,,,,"$2,981",,,,,,,,,,,
Jaws 2 (1978),"$81,766,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mars Attacks! (1996),"$37,781,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raising Arizona (1987),"$22,847,564",$658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scream (1996),"$103,046,663","$1,807",,,,,,,,,"$37,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamlet (1996),"$4,708,156",,,,"$1,518,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,033",,,,,,,,,,,,,,,,,,,,,
Prisoner of the Mountains (1996),"$790,078",,"$31,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000",,,,,,,,,,,,,,,,,,,,,,
Lost Highway (1997),"$3,726,792",,,,"$81,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,347",,,,,,,,,,,,,,,,,,,,,,
Crash (1996),"$2,664,812",$564,,"$6,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selena (1997),"$35,764,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaconda (1997),"$65,885,767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romy and Michele's High School Reunion (1997),"$29,235,353",$130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Powers: International Man of Mystery (1997),"$53,911,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truth or Consequences, N.M. (1997)","$109,261",,,,"$12,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warriors of Virtue (1997),"$6,524,620",,,,"$12,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fifth Element (1997),"$63,820,180","$8,440",,,,,,,,,"$112,599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassed Off (1996),"$2,576,331",,,,,,,,,,,,"$11,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lost World: Jurassic Park (1997),"$229,086,679",,"$29,120,276",,,,"$34,606,852",,,,"$15,673,811",,"$44,035,755",,"$85,961,054",,,,,,,,"$13,650,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Con Air (1997),"$101,117,573","$1,800",,,,,,,,,"$35,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batman & Robin (1997),"$107,353,792",,,,,,"$7,915,138",,,,,,"$24,818,099",,,,,,,,,,"$3,686,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules (1997),"$99,112,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contempt (1963),"$1,143,231",$172,,,,,,,,,,,"$16,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Face/Off (1997),"$112,276,146",$619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men in Black (1997),"$250,690,539",,,,,,,,,,$304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$540,000",,,,,,,,,,,,,,,,,,,,,,
Love Serenade (1996),"$604,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conan the Barbarian (1982),"$39,565,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George of the Jungle (1997),"$105,263,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event Horizon (1997),"$26,673,242",,,,,,,,,,$587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimic (1997),"$25,480,490",$313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Know What You Did Last Summer (1997),"$72,586,134",$176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gattaca (1997),"$12,532,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boogie Nights (1997),"$26,416,349",,,,,,,,,,,,,,,"$7,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starship Troopers (1997),"$54,814,377","$1,301",,,,,,,,,$165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Truman Show (1998),"$125,618,201",$511,"$10,761,700",,"$15,119,743",,"$19,790,705",,,,,,,,,"$110,829",,,,,,,"$7,514,571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scream 2 (1997),"$101,363,301",$503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titanic (1997),"$674,292,608","$7,599,048","$129,127,181","$5,814,394","$67,953,353","$1,026,724","$129,974,110","$1,024,062","$1,658,271","$1,460,506","$38,891,987","$1,127,643","$114,063,718","$15,162,878","$201,389,568","$17,287,679","$24,614,481","$4,161,529","$2,764,733","$4,841,409","$4,783,417","$12,749,919","$44,103,989","$22,088,384","$27,024,273","$20,701,637","$13,322,975","$8,770,850",,"$8,538,685","$11,067,392","$19,449,406","$11,666,369","$12,939,602","$1,917,855","$4,552,211","$70,460,123","$27,033,554","$5,933,840","$4,324,120","$5,349,365","$4,651,253","$23,269,046","$2,648,784","$6,179,457","$2,137,938","$14,078,241","$8,051,275","$10,423,522","$2,223,043","$3,152,309","$315,752","$2,243,454","$472,529","$245,612","$557,107","$226,192","$1,082,630","$2,989,269",,"$406,426","$646,208","$485,205","$13,361,254","$3,784,818","$569,257",,,"$1,201,929","$578,917","$640,194","$153,601,357",,"$1,293,350","$188,549",,,,"$419,652","$244,095","$2,940,983","$488,827","$24,818",,,
Tomorrow Never Dies (1997),"$125,304,276",,,,,,,,,,,,"$9,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Brown (1997),"$39,673,162",$645,,,,,,,,,"$1,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kundun (1997),"$5,684,789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Big Lebowski (1998),"$18,254,458","$3,578",,,,,,,,,"$12,181",,"$49,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallen Angels (1995),"$163,145",,,"$7,493","$2,105",,,,,,,,,,,"$73,282",,,,,,,,,"$5,139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Monkey (1998),"$39,371",,"$11,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wedding Singer (1998),"$80,245,725",,,,,,"$6,027,052",,,,"$11,196,306",,"$15,130,970",,,,,,,,,,"$675,072",,,,,,,,,,"$408,627",,,,,"$1,277,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As Good as It Gets (1997),"$148,478,011",,,,,,,,,,,,,,,"$16,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Things (1998),"$30,147,739",,,,,,,,,,"$18,554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Spanish Prisoner (1997),"$9,593,903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live Flesh (1997),"$1,785,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nil by Mouth (1997),"$266,130",,,,,,,,,,,,"$18,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Alan Smithee Film: Burn Hollywood Burn (1997),"$45,779",,,,"$7,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurt & Courtney (1998),"$668,228",,,,,,,,,,,,"$222,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Out of Sight (1998),"$37,562,568",$398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picnic at Hanging Rock (1975),"$49,582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,779",,,,,,,,,,,,,,,,,,,,,,,
Buffalo '66 (1998),"$2,375,097",$621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armageddon (1998),"$201,578,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There's Something About Mary (1998),"$176,484,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Best Years of Our Lives (1946),"$23,650,000",,"$6,620",,,,,"$4,727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Side Story (1961),"$44,055,492","$1,084","$1,813","$1,880",,,,,,"$6,978",$426,,"$11,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,240",,,,,,,,,,,,,,"$12,717",,,,,,
Midnight Cowboy (1969),"$44,785,053",,"$4,813",,,,,,,,,,"$11,311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The French Connection (1971),"$51,700,000","$1,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky (1976),"$117,235,147",$205,,,,,,,,,"$1,445",,"$13,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chariots of Fire (1981),"$58,972,904",,,,,,,,,,,,"$257,131",,,"$73,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terms of Endearment (1983),"$108,423,489",$260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Out of Africa (1985),"$87,071,205","$1,209,000","$21,064,000","$1,269,000","$11,199,000",,"$18,837,000",,,,"$8,024,000",,"$12,076,000","$738,000","$12,312,000",,"$1,641,000","$206,000","$122,000","$93,000","$194,000","$28,000","$7,159,000","$5,445,000","$5,197,000","$2,752,000","$6,299,000","$2,889,000",,"$1,940,000","$2,308,000","$4,569,000","$2,014,000",,,,"$1,815,000","$331,000",,,"$231,000","$515,000","$2,948,000","$167,000","$304,000",,,,,,,,,,,,,,,,,,"$555,000",,,"$1,606,000",,,,,,,,,,,,,,,,,,,,"$427,000"
The Last Emperor (1987),"$43,984,230",,"$9,278",$361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rain Man (1988),"$172,825,435",,,,,,,,,,,,,,,"$10,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan (1990),"$2,960,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labyrinth (1986),"$13,723,253","$4,785",,,,,,,,,"$6,144",,"$511,686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Breakfast Club (1985),"$45,875,171",,,,,,,,,,,,,,,,,,,,,,,,"$13,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday the 13th (1980),"$39,754,601",,,,,,,,,,,,"$157,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday the 13th: Part 3 (1982),"$36,690,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday the 13th Part VI: Jason Lives (1986),"$19,472,057",$468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halloween (1978),"$47,160,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
