Movie Name,Domestic,United Kingdom,Greece,Germany,France,Netherlands,Austria,Spain,South Africa,Italy,Czech Republic,Hungary,Mexico,Brazil,Argentina,Australia,New Zealand,Hong Kong,Türkiye,Egypt,Bulgaria,Japan,South Korea,Taiwan,Norway,Chile,Finland,Poland,Russia/CIS,Portugal,Switzerland,Czech Republic/Slovakia,Sweden,Denmark,Israel,Middle East Other,Slovenia,Cyprus,Lebanon,Romania,Croatia,East Africa,Iceland,Peru,Venezuela,Central America+,Colombia,Russia/CIS/Ukraine,Thailand,Philippines,India,Singapore,Belgium,Middle East/UAE,Estonia,Ukraine,Lithuania,Serbia and Montenegro,Latvia,Puerto Rico,Ecuador,Uruguay,Lesser Antilles,Dominican Republic,Bolivia,Jamaica,Paraguay,Malaysia,Indonesia,China,Russia,Baltic States,West Indies,Pakistan,Sri Lanka,New Caledonia,Vietnam,Bangladesh,United Arab Emirates,Kuwait,Bahrain,Slovakia,Qatar,Morocco,Mauritius,Reunion,Jordan,Oman,Tunisia,Djibouti,Aruba,Curaçao,Kenya,Lebanon/United Arab Emirates,Middle East,Palestine,Central America
Harry Potter and the Chamber of Secrets (2002),"$262,641,637","$89,005,943","$3,502,850","$59,731,853","$53,140,768","$13,890,781","$5,505,054","$23,990,519","$1,810,883","$74,559,208","$2,051,038","$1,229,249","$16,954,909","$6,045,666","$2,183,126","$20,858,080","$8,281","$4,907,373","$3,417,488","$213,639","$212,412","$142,786,414","$25,361,777","$4,678,736","$5,494,720","$1,537,076","$3,297,419","$5,746,832","$7,025,889",,,,,,,,,,,,,,"$3,621",,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,033,000",,,,,,,"$78,378",,"$56,266",,,"$2,191",,,,,,,,,,,,,,,
Thief (1981),"$11,492,915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talk to Her (2002),"$9,357,911","$1,345,280","$643,200","$1,942,213","$18,804,042","$869,433","$267,849","$10,225,505",,"$5,304,916","$123,865","$122,824","$886,697","$850,344","$455,196","$376,689","$64,445","$187,694","$61,443",,"$80,379",,"$5,377","$120,655","$370,032","$417,149","$685,933","$1,126,888","$24,164","$1,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasure Planet (2002),"$38,176,783","$10,192,426","$86,150","$5,267,616","$16,810,759","$753,461","$748,805","$4,854,544","$463,248","$4,555,510","$55,297","$100,554","$3,429,312",,"$331,942","$2,190,907","$155,418",,"$241,177",,"$12,458","$5,214,898","$1,065,173","$348,851","$1,059,536","$344,699","$405,179","$404,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elling (2001),"$314,729",,,"$264,444","$15,174",,"$171,655","$24,545",,"$253,001",,,,,"$25,731",,,,,,,,,,,,"$160,450",,,,,,"$600,325","$212,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptation. (2002),"$22,498,520","$938,840","$271,250","$357,917","$258,535","$294,744","$115,796","$550,385","$24,709",,"$56,969","$40,905","$601,646",,"$129,123","$1,139,021","$123,937",,"$392,202",,"$18,408",,,"$52,011","$297,882","$166,975","$37,846","$131,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equilibrium (2002),"$1,203,794","$1,734,463",,,"$494,857",,"$7,121",,"$101,945","$19,229","$22,065",,,,,,,,,"$8,572",,,,"$61,993",,,,"$198,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intacto (2001),"$307,333",,,,"$133,368",,,"$1,328,765",,"$12,914","$16,902","$14,406",,,,"$11,141",,,"$22,611",,,,,,,,,,"$16,745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lord of the Rings: The Two Towers (2002),"$342,952,511","$92,608,851","$6,059,436","$78,664,632","$40,865,205","$14,229,540","$7,920,333","$32,048,364","$2,355,320","$27,270,451","$3,217,259","$2,592,754","$15,998,901","$7,483,476","$2,449,990","$26,971,267","$6,297,328","$3,053,481","$4,189,959","$269,636","$351,442","$65,512,281","$30,417,237","$9,471,700","$10,171,089","$2,255,766","$5,218,677","$6,543,498","$2,796,777","$3,202,512","$9,199,955","$2,665,400","$18,182,244","$11,994,511","$2,524,320",,"$473,791",,"$150,000","$181,443","$952,352",,"$834,470","$1,230,444","$614,844","$1,709,288","$2,398,631",,"$3,044,038","$1,494,590","$954,354","$2,768,562","$7,301,216",,"$330,495","$14,267","$209,399","$583,020","$164,498","$1,448,939","$450,000","$162,133",,"$200,000","$229,319",,,"$1,868,898","$771,201","$6,989,677","$8,868,871","$704,932","$372,765",,,,"$43,074",,"$45,912",,,"$379,189",,,,,,,,,,,,"$1,085,526",,"$1,688,892",
25th Hour (2002),"$13,084,595","$940,502","$210,000","$527,258","$1,960,756","$196,634","$195,872",,,"$4,043,095","$38,949","$37,563","$276,653",,"$113,509","$583,900","$46,523",,"$112,283",,,,,,"$41,296","$65,301",,"$28,185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two Weeks Notice (2002),"$93,354,851","$20,737,672","$1,725,200","$15,015,240","$2,722,649","$3,067,571","$2,690,310","$5,080,106","$1,660,823","$5,865,644","$74,625","$281,117","$4,836,912",,"$633,915","$9,223,809","$780,030",,"$959,003","$90,431","$52,478","$6,712,861","$1,721,961","$972,414","$846,968","$200,384","$268,235","$446,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Girl (1991),"$59,489,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Neighbor Totoro (1988),"$2,250,213",,,,"$43,404",,,"$176,493",,"$575,362","$23,712",,,,,"$2,921",$795,,"$6,724",,,,,,"$290,640",,,,"$84,498",,,,"$99,735","$282,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,798,550",,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinocchio (2002),"$3,684,305",,"$200,750","$143,062","$1,352,731","$81,460","$173,134",,,"$25,654,379","$23,963",,"$385,565",,,,,,"$18,252",,,"$357,647",,"$58,333",,,,"$250,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hours (2002),"$41,675,994","$6,732,547","$2,078,000","$4,580,306","$5,231,637","$746,199","$694,814","$6,858,728","$238,411","$4,815,963","$487,393","$114,106","$1,772,152",,"$616,425","$3,961,950","$408,263",,"$275,443","$16,610","$29,566","$6,451,476","$330,711","$500,574","$1,449,837","$159,813","$635,897","$722,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pianist (2002),"$32,572,577","$3,998,172","$350,200","$4,721,707","$9,328,106","$1,083,069","$156,434","$7,495,011","$100,738","$5,584,061","$172,378","$145,112","$4,094,927",,"$488,710","$2,255,498","$741,381",,"$728,111",,"$12,822","$24,559,779","$1,206,852","$178,447","$640,789","$571,356","$540,121","$3,711,662","$178,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Son (2002),"$70,262",,,,"$708,100",,"$12,772","$34,413",,"$171,997",,,,,"$26,989",,,,,,,,,,,"$32,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of God (2002),"$7,564,459","$3,819,027","$171,600","$2,941,959","$810,184","$59,114","$115,721","$1,075,597","$46,460","$344,320","$40,242",,"$474,728","$10,300,000","$147,573","$344,841","$161,002",,,,,"$371,631","$39,023",,"$538,257","$33,348",,"$224,699","$70,790",,"$364,754",,"$461,953","$93,971",,,,,,,,,"$26,517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Intervention (2002),"$421,343",,"$35,300",,"$1,099,472",,,,,,"$3,552",,,,"$79,057",,,,,,,,,,"$36,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Band of Outsiders (1964),"$66,660",,,,,,,,,"$39,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secret Admirer (1985),"$8,622,757",,,,,,,,,,,,,,,,$216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaos (2001),"$206,789",,,,"$5,815,295",,,,,"$42,555",,,,,,"$11,168",,,,,,,,,"$173,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May (2002),"$150,277",,,,,,,"$99,023",,,,,,,,,,,,,,,,"$15,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evil Under the Sun (1982),"$6,110,000",,,,,,,,,,,,,,,,$804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Look Now (1973),,"$72,856","$41,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossroads (2002),,"$7,735,115",,"$2,749,018","$1,599,166","$1,064,665","$435,708","$280,485","$230,725","$108,905","$37,890","$24,286","$1,109,048","$259,342","$22,500","$1,843,152","$164,326","$45,517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hart's War (2002),,"$358,241",,"$137,066","$817,409",,"$8,643","$1,408,976","$101,083","$852,852","$74,461","$41,302","$1,568,160","$654,221",,"$188,620","$52,421",,"$246,370","$42,305","$18,108","$2,932,639","$227,640","$200,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Q (2002),,"$1,151,151","$25,600","$736,004","$1,283,630","$614,322",,"$5,374,792","$264,580","$2,037,209","$33,330","$31,238","$2,731,037","$641,224","$229,038","$1,747,459","$53,214","$108,103",,,"$11,520","$6,077,365","$870,956","$428,904","$21,992","$24,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Troopers (2001),,"$712,708",,"$707,908",,,"$58,265","$1,679,287",,,,,"$49,861",,,"$947,930",,,,,,,,,,,,"$6,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Orders (2001),,"$765,239",,"$58,316",,,,"$64,787",,"$16,167",,,,,,"$1,593,510","$213,813",,,,,,,,"$39,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonfly (2002),,"$117,200",,"$1,653,167","$2,339,236","$223,577","$425,644","$5,902,719","$77,202","$2,946,805","$43,617","$82,497","$4,578,494","$1,354,483","$208,713","$520,284","$98,577","$159,700","$385,854",,"$16,086",,"$123,870","$230,474",,"$133,164","$16,821","$13,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen of the Damned (2002),,"$2,020,149",,"$1,516,601","$1,693,916","$79,636","$204,030","$1,228,306","$61,244","$432,534",,,"$936,438","$199,915","$9,872","$1,620,689","$238,028",,,,,"$1,835,700",,"$57,522",,,"$53,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean Machine (2001),,"$6,288,153",,"$37,905","$91,156","$50,547",,"$97,144",,,,,"$67,084",,,"$462,195","$87,942",,,,"$35,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monsoon Wedding (2001),,"$2,214,809",,"$1,284,520","$50,225",,"$125,294","$1,261,181",,"$2,207,869",,"$37,222",,,"$190,334","$890,439","$283,687",,,,,,,,,"$19,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 Days and 40 Nights (2002),,"$7,717,740","$626,173","$13,308,625","$5,451,518","$2,063,314","$1,900,940","$2,457,947","$567,779","$2,533,586","$46,920","$306,402","$1,374,366","$215,215","$75,487","$2,142,623","$344,337","$199,270","$524,851",,"$61,851",,"$235,247","$733,566","$308,299","$164,780","$333,959","$456,738",,"$999,101","$2,527,261","$598,016","$474,786","$412,252","$358,431","$155,852","$115,693","$76,790","$64,316","$39,931","$35,851","$35,376","$21,051","$324,067","$269,395","$216,849","$125,843","$836,124","$723,008","$429,182","$236,689","$175,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Time Machine (2002),,"$5,681,962",,"$2,812,775","$2,117,341","$799,477","$276,583","$5,354,908","$180,538","$2,706,102",,"$113,353","$5,183,137","$1,558,127","$155,381","$2,309,635","$351,034",,"$371,302",,"$42,251","$9,994,922","$2,388,855","$571,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Age (2002),,"$21,708,088","$693,016","$34,573,796","$14,439,942","$1,918,042","$4,194,742","$11,671,705","$1,214,420","$8,257,003","$1,189,412","$1,577,763","$20,585,860","$5,641,527","$1,858,341","$10,869,472","$1,377,888","$1,007,376","$925,110","$66,058","$150,226","$16,125,417","$3,725,875","$3,623,255","$3,822,024","$1,864,910","$688,209","$2,199,848","$1,630,932","$650,062","$4,468,713","$1,330,264","$1,442,385","$1,673,578","$831,788",,"$114,910",,"$117,530","$56,749","$136,384",,"$232,626","$1,154,382","$2,092,179","$1,752,644","$2,244,435",,"$463,704","$752,948","$138,230","$926,518","$2,619,626","$738,358","$320,060","$206,423","$92,720","$83,642","$81,990","$1,570,546","$452,629","$298,830","$245,585","$183,220","$180,770","$53,706","$30,000","$373,760","$154,600",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Evil (2002),,"$4,096,015","$140,800","$5,015,157","$5,530,855","$399,464","$762,969","$4,582,633","$169,948","$4,541,400",,"$229,376","$3,075,683","$1,580,632",,"$1,584,570","$327,308","$827,986","$169,984","$33,127","$40,567","$17,477,878","$4,087,055","$740,980","$118,224","$139,111","$207,916",,"$802,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$511,492",,,,,,,,,,,,,,,,,,,,,,,,,,
Kissing Jessica Stein (2001),,"$660,604",,"$65,867","$90,168","$56,978","$33,944",,,"$76,144",,,"$278,972",,,"$178,192",,,,,,,,,"$32,632","$39,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And Your Mother Too (2001),,"$1,430,670",,"$66,060","$48,318","$464,636","$35,755",,,,"$36,554","$11,155",,"$234,208",,"$371,670","$80,740","$10,448",,,"$55,469",,,"$12,905","$354,296",,"$179,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blade II (2002),,"$13,165,653","$858,833","$10,346,127","$6,254,544","$1,367,598","$1,469,359","$8,485,384","$491,133","$3,219,630","$75,207","$324,499","$1,366,777","$1,240,276","$319,044","$3,328,382","$457,764","$97,793","$417,001","$34,152","$66,786","$2,586,818","$3,738,909","$301,882","$621,160","$380,293","$246,380","$291,733","$1,819,090","$721,812","$1,337,993",,"$460,087","$739,449","$266,759",,"$50,690",,"$453,742","$77,255","$81,938",,"$76,200","$77,815","$213,108","$208,891","$102,128",,"$526,906","$490,084",,"$444,115","$1,049,401",,,,,"$88,372",,"$1,173,619",,,,"$12,080","$7,965",,,,"$188,348",,,"$155,146","$137,585",,,,,,,,,,,,,,,,,,,,,,,,
George Washington (2000),,"$20,195",,,"$16,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clockstoppers (2002),,"$527,837",,,"$170,830",,,"$46,362","$133,972","$10,479",,,"$303,955",,,"$122,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Crimes (2002),,"$325,739","$252,500","$61,558","$1,485,931","$241,097",,"$4,542,718","$325,711","$1,664,424",,"$65,684","$2,002,509","$1,032,830","$718,720","$1,505,236","$199,498",,"$167,959",,,"$204,082","$924,104","$196,527","$31,176","$41,877","$18,788","$6,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Lampoon's Van Wilder (2002),,"$2,635,382",,"$5,493,187","$1,023,235","$693,939","$1,011,887","$159,908","$111,049","$2,424,221","$134,863","$74,608",,,,"$713,714","$108,761","$62,268",,,,,,,,,,"$19,966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changing Lanes (2002),,"$4,395,522","$324,200","$2,595,243","$1,283,814","$527,947","$292,398","$3,429,511","$319,739","$2,139,520",,"$85,904","$1,468,711","$320,006","$170,917","$154,107","$229,222","$156,379","$403,614","$25,644","$27,422","$3,270,650","$952,562","$200,470","$152,976","$32,705","$184,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Big Fat Greek Wedding (2002),,"$20,927,227","$4,640,150","$12,234,875","$2,514,049","$830,541","$1,635,436","$6,933,940","$1,830,890","$14,562,268","$323,924","$751,887","$6,647,852","$2,634,135","$1,187,435","$15,168,243","$1,626,877","$260,115","$24,073","$48,918","$63,147","$3,974,438",,"$506,187","$619,400","$617,591","$740,662","$992,030","$43,896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murder by Numbers (2002),,"$3,483,727","$501,500","$4,226,748","$2,337,863","$910,839","$770,831","$1,561,640","$413,441","$985,660",,"$104,324","$1,433,957","$534,689","$140,739","$762,669","$78,568","$177,615","$393,205","$54,445","$15,430",,"$713,498","$251,274","$341,848","$71,527","$41,567","$85,133","$284,933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine Queens (2000),,"$404,237",,,"$530,759","$34,516",,"$1,230,200",,"$34,148",,,,,,"$116,647",,,,,,,,,"$4,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unfaithful (2002),,"$5,653,287","$706,000","$8,023,527","$1,964,061","$1,021,877","$891,386","$5,484,475","$485,128","$9,860,168",,"$159,504","$6,098,731","$2,205,420","$753,589","$2,477,986","$229,824","$283,881","$884,781","$19,369","$46,381","$2,071,433","$1,560,673","$812,196","$298,672","$611,362","$497,402","$660,715","$531,623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
About a Boy (2002),,"$24,977,592","$650,000","$12,862,709","$2,947,558","$2,290,647","$2,094,925","$2,279,302","$419,856","$5,749,730",,"$224,088","$901,668","$521,007","$117,356","$5,269,055","$822,482","$423,293","$385,924","$35,515","$17,513","$6,353,114","$1,885,496","$419,158","$2,441,516","$79,155","$846,659","$1,152,098",,"$1,025,084","$3,046,915","$526,966","$2,703,740","$894,529","$782,968","$94,151","$133,121","$74,068","$24,080","$27,306","$103,932","$10,042","$270,125","$171,209","$51,526","$44,236","$37,183",,"$359,446","$144,292","$39,437","$318,656","$1,265,960",,,,,,,,,,,,,,,"$65,025","$73,311",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enough (2002),,"$1,426,463","$98,200","$1,913,144","$827,247","$498,568","$298,816","$1,206,167","$170,442","$376,058",,"$37,473","$2,475,039","$300,239",,"$558,316","$156,788","$41,433","$224,096","$13,903","$30,417",,"$181,131",,"$110,568",,"$26,898","$24,520","$802,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit: Stallion of the Cimarron (2002),,"$3,601,969","$383,400","$6,517,616","$5,918,538","$437,886","$914,504","$2,048,275","$349,850","$4,612,988",,"$180,924","$4,928,374","$1,040,938","$306,620","$2,395,158","$296,260","$276,739","$73,515",,,"$264,633","$1,351,024","$250,831","$708,152","$441,698","$413,272","$672,253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sum of All Fears (2002),,"$7,003,679","$548,100","$7,312,049","$3,868,619","$1,141,337","$1,141,020","$5,214,687","$598,750","$2,910,825",,"$144,960","$4,090,725","$949,091","$251,244","$3,168,859","$326,849","$1,067,694","$334,454","$105,039","$49,410","$16,076,216","$2,820,607","$837,082","$477,376","$282,438","$303,199","$298,307","$92,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undercover Brother (2002),,"$1,286,058",,,,,,"$5,612","$20,074","$90,724",,,,,,"$428,160","$264,336",,,,,"$82,362",,,,,,,,,,,,,,"$217,585",,"$7,553","$25,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Secrets of the Ya-Ya Sisterhood (2002),,"$195,118","$60,750","$1,402,922","$91,156","$60,237","$290,305","$10,846","$219,618","$42,380",,,"$352,065","$126,613","$13,804","$875,867",,,"$78,671",,,,,"$54,185","$9,448","$9,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bourne Identity (2002),,"$12,357,295","$845,900","$9,381,868","$3,794,071","$1,994,577","$1,115,775","$6,228,517","$1,126,898","$4,391,773","$125,013","$285,575","$3,788,587","$889,195","$208,363","$7,071,859","$694,660","$683,728","$389,757","$78,618","$67,273","$13,187,671","$3,125,368","$2,235,349","$1,400,098","$114,541","$538,941","$653,233","$1,116,872","$681,722","$1,471,067","$205,354","$1,263,772","$827,614","$795,213","$380,632","$89,080","$51,810","$79,232","$58,745","$63,705",,"$115,804","$291,209","$309,509","$270,000","$394,054",,"$486,260","$719,407","$225,680","$596,874","$1,890,522",,,,,,,,,,,,,,,"$267,980","$294,823",$0,,,,,,,,,,,,,,,,,,,,,,,"$42,578",,,,
Windtalkers (2002),,"$1,187,823","$47,125","$1,422,666","$1,880,294","$103,335","$19,522","$2,358,563","$58,900","$1,748,131",,"$66,627","$2,536,256","$370,150","$63,794","$1,148,667","$269,796","$685,468","$176,717","$63,399",,"$8,333,756","$842,402","$1,007,546","$161,800","$85,168",,"$23,065","$432,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwanna Mann (2002),,"$22,330",,,"$6,765",,,,"$53,219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Report (2002),,"$31,388,860","$1,492,800","$16,996,596","$18,777,372","$2,832,068","$1,791,958","$10,929,188","$584,851","$10,061,730","$641,507","$561,752","$5,797,583","$3,414,895","$758,070","$6,584,824","$1,013,341","$2,904,285","$1,350,961","$165,435","$129,696","$42,707,326","$19,701,400","$2,916,127","$1,714,528","$608,977","$873,526","$1,451,219","$2,804,778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshine State (2002),,"$40,532",,,,,,,,,,,,,,"$4,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey Arnold! The Movie (2002),,"$181,194",,,"$46,389",,,,,,,,"$392,899",,,"$25,058","$52,299",,,,,,,,,"$269,507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Deeds (2002),,"$5,919,318","$403,950","$7,082,283","$283,858","$335,986","$1,188,361","$3,154,448","$546,057","$587,340","$58,274","$248,613","$3,142,254","$716,754",,"$4,830,666","$787,144",,"$336,128",,"$33,453","$645,515","$142,526","$100,092","$627,480","$78,697","$151,964","$21,295","$783,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lovely & Amazing (2001),,"$217,470",,,,,,,,,,,,,,"$101,579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Like Mike (2002),,"$2,005,231",,"$1,038,604","$218,884",,"$150,423","$931,024","$96,621","$4,644",,,"$967,583",,"$45,188","$1,260,454",,,,,,,,"$7,176",,"$65,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Powerpuff Girls Movie (2002),,"$141,826",,,"$47,819",,,"$125,903",,"$21,227",,,"$1,618,770","$949,447","$262,461","$46,273",,"$267,710",,,,,"$91,925","$129,059","$11,024","$158,244","$54,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me Without You (2001),,"$64,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
