Movie Name,Domestic,United Kingdom,Greece,Germany,France,Netherlands,Austria,Spain,South Africa,Italy,Czech Republic,Hungary,Mexico,Brazil,Argentina,Australia,New Zealand,Hong Kong,Türkiye,Egypt,Bulgaria,Japan,South Korea,Taiwan,Norway,Chile,Finland,Poland,Russia/CIS,Portugal,Switzerland,Czech Republic/Slovakia,Sweden,Denmark,Israel,Middle East Other,Slovenia,Cyprus,Lebanon,Romania,Croatia,East Africa,Iceland,Peru,Venezuela,Central America+,Colombia,Russia/CIS/Ukraine,Thailand,Philippines,India,Singapore,Belgium,Middle East/UAE,Estonia,Ukraine,Lithuania,Serbia and Montenegro,Latvia,Puerto Rico,Ecuador,Uruguay,Lesser Antilles,Dominican Republic,Bolivia,Jamaica,Paraguay,Malaysia,Indonesia,China,Russia,Baltic States,West Indies,Pakistan,Sri Lanka,New Caledonia,Vietnam,Bangladesh,United Arab Emirates,Kuwait,Bahrain,Slovakia,Qatar,Morocco,Mauritius,Reunion,Jordan,Oman,Tunisia,Djibouti,Aruba,Curaçao,Kenya,Lebanon/United Arab Emirates,Middle East,Palestine,Central America
The Sweetest Thing (2002),"$24,718,164","$3,370,167","$290,000","$6,670,065","$2,399,342","$1,376,782","$998,123","$4,151,645","$189,565","$2,657,870",,"$247,359","$2,110,318","$1,820,097","$85,494","$2,778,627","$353,134","$131,051","$322,480",,"$46,013",,"$1,533,187","$173,903","$622,656","$70,711","$344,165","$277,373","$476,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Scorpion King (2002),"$91,047,077","$7,374,651","$924,000","$5,369,997","$2,521,329","$1,086,331","$659,047","$5,441,489","$399,352","$3,011,348","$298,882","$359,687","$6,088,747","$2,479,658","$215,349","$3,586,880","$530,871","$1,482,638","$719,200","$191,467","$109,921","$8,824,906","$18,118,687","$2,083,048","$523,176","$574,120","$924,212","$346,117",,"$742,980","$664,908","$472,333","$388,107","$289,460","$521,908","$580,361","$75,295","$63,761","$61,271","$107,170","$96,515","$32,527","$75,304","$520,076","$589,223","$964,500","$622,808","$2,049,571","$981,898","$1,483,213","$1,250,254","$1,047,444",,,,,,,,,,,,,,,,"$1,074,794","$583,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enigma (2001),"$4,301,582","$6,566,112",,"$799,581",,"$152,330",,"$1,343,345","$32,596","$934,260","$17,641",,,,,"$723,295","$177,100",,,,"$1,845",,,"$6,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spooky House (2001),"$65,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason X (2001),"$13,121,555","$646,927",,,"$280,654",,,"$331,616",,"$126,084",,,,"$278,738",,"$47,980",,"$61,499",,,,,,"$54,025",,"$26,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Praise of Love (2001),"$252,074","$108,316",,,,,"$46,299","$78,314",,,,,"$6,759",,,,,,,,,,"$11,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob the Gambler (1956),"$15,586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider-Man (2002),"$407,022,860","$45,780,340","$2,585,657","$30,652,664","$32,938,344","$4,150,075","$4,077,947","$23,707,297","$2,086,698","$20,839,912","$824,114","$1,030,188","$31,196,574","$17,538,493","$2,334,295","$17,233,598","$2,876,190","$3,728,668","$1,716,559","$400,582","$123,957","$58,925,689","$16,982,856","$3,439,854","$5,002,512","$2,949,973","$1,982,845","$1,516,737",,"$3,148,179","$5,649,362",,"$4,783,221","$3,378,574","$1,965,935",,"$136,338",,"$391,355","$201,644","$256,548","$104,761","$411,210","$1,850,250","$2,365,197","$3,504,018","$4,085,740",,"$3,436,468","$3,226,365","$5,396,829","$2,995,307","$4,175,035",,"$120,085",,"$63,785","$251,648","$84,788",,"$1,123,513","$408,868","$272,500","$308,000","$288,359","$272,500","$43,000","$2,110,453","$1,859,110","$4,983,142","$3,529,289",,,"$225,000","$162,535","$122,001","$50,002","$40,000","$971,208","$226,447","$213,465","$205,949","$158,241","$150,000","$106,713","$106,712","$95,542","$82,560","$60,980","$40,000","$78,502","$31,429",,,,,
The Mystic Masseur (2001),"$399,110",,,,"$4,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Beautiful Laundrette (1985),"$2,451,545","$9,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
