Movie Name,Domestic,United Kingdom,Spain,France,Italy,Germany,Netherlands,Poland,Belgium,Austria,Greece,Türkiye,Sweden,East Africa,Portugal,United Arab Emirates,South Africa,Estonia,Lithuania,Russia/CIS,Australia,Taiwan,Hong Kong,Malaysia,Singapore,Thailand,South Korea,Philippines,Mexico,Brazil,Argentina,Peru,Venezuela,Uruguay,Finland,Czech Republic,New Zealand,Lebanon,Iceland,Ukraine,Japan,Norway,Denmark,Israel,Slovenia,Hungary,Croatia,Romania,Slovakia,Egypt,Nigeria,Latvia,Serbia and Montenegro,Ghana,Colombia,Ecuador,Bolivia,China,Ethiopia,Dominican Republic,Curaçao,Aruba,Vietnam,India,Bulgaria,Chile,Central America,Russia,Kuwait,Switzerland,Qatar,Oman,Bahrain,Jordan,Indonesia,Trinidad & Tobago,Jamaica,Switzerland (German),Switzerland (French),Switzerland (Italian),Iraq,Mongolia,Pakistan
Bridesmaids (2011),"$169,106,725","$37,214,799","$4,803,495","$4,609,169","$1,842,301","$8,088,652","$2,636,881","$863,017","$1,004,999","$1,802,253","$75,714","$97,293","$3,513,590","$23,461","$547,598","$699,728","$859,447","$115,361","$138,714","$2,971,028","$46,747,219",,"$212,242","$81,266","$554,546",,"$405,441","$32,487","$1,097,609","$396,502","$284,240","$136,609","$270,564","$21,643","$653,628","$148,178","$2,936,009","$114,784","$274,173",,,"$1,646,715","$1,222,073","$1,463,168","$150,267","$236,099","$134,261","$128,081","$13,919","$23,798","$43,587","$65,194","$42,725","$4,391","$45,759","$54,316","$10,259",,,,,,"$40,939",,,,,,,,,,,,,,,,,,,,
Eye of the Dolphin (2006),"$72,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Lear (1987),"$61,821",,,"$23,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belle toujours (2006),"$10,921","$3,096","$22,313",,"$171,009",,,,,"$3,645",,,,,"$18,393",,,,,,,,,,,,,,"$8,771",,"$65,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanda (1970),"$51,713",,,"$56,809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Strange Case of Angelica (2010),"$50,135",,"$47,888",,,,,,"$4,336",,,,,,"$11,704",,,,,,,,,,,,,,"$16,165","$13,703","$16,945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penny Dreadful (2006),"$321,875",,,,,,,,,,,,,,,,,,,,,,,"$55,204","$17,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Way (2010),"$4,998,213","$843,578","$2,712,294",,"$133,726","$1,436,517","$101,446",,,"$245,222",,"$11,893",,,"$5,917",,,,,,"$2,287,668","$13,551",,,,,,,"$267,075",,"$77,870",,"$31,149","$12,307",,,"$338,624","$9,979",,,,,,,,,,,,,,,,,"$53,390","$37,789",,,,,,,,,,,,,,,,,,,,,,,,,,,
Let the Bullets Fly (2010),"$63,012",,,,,,,,,,,,,,,"$7,439",,,,,,"$64,740","$1,567,432","$31,838","$235,883","$74,977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$102,685,432",,,,,,,,,,,,,,$214,$483,,,,,,,,,,
Takers (2010),"$57,744,720","$686,142","$2,905,445","$972,802",,"$228,687",,,"$81,175",,,,,"$30,327",,"$521,147","$460,076",,,"$1,278,755",,,,"$957,802","$327,668","$65,265",,"$165,512","$680,058",,,"$79,560","$215,311","$12,683",,,,"$42,756","$24,447",,,,"$16,765","$57,418",,,,"$168,247",,"$9,478","$201,451","$28,861",,"$30,229","$155,748",,"$11,161",,,"$54,128",,,,,,,,,,,,"$27,430","$33,975","$28,998","$758,427",,,,,,,,
Cars 2 (2011),"$191,452,396","$24,894,721","$14,367,788","$27,585,179","$14,421,348","$18,194,707","$6,037,506","$5,698,308","$4,710,939","$3,014,735","$1,585,871","$3,922,812","$6,444,827","$37,452","$3,490,158","$1,948,408","$2,425,763","$442,707","$477,117","$19,915,542","$20,811,602","$2,655,049","$2,446,609","$1,134,250","$1,653,584","$965,927","$3,399,582","$1,690,149","$25,508,290","$16,599,764","$11,996,480","$1,401,796","$4,570,943","$609,355","$3,230,314","$1,661,999","$2,936,641","$214,988","$174,681","$2,470,971","$38,124,194","$5,762,653","$4,161,924","$1,542,628","$520,850","$1,543,177","$293,737","$467,261","$573,275","$194,897",,"$334,742","$59,215",,"$5,040,489","$1,625,985","$386,767",,,,,,"$673,954",,"$476,549","$5,424,295",,,,,,,,,"$670,199",,,,,,,,
