Movie Name,France,Italy,Germany,Belgium,Spain,Netherlands,Greece,Austria,Portugal,Poland,Lebanon,Switzerland (German),Finland,Norway,Iceland,Croatia,Estonia,Australia,South Korea,New Zealand,Taiwan,Hong Kong,Thailand,Mexico,Peru,Uruguay,Chile,Ecuador,Bolivia,Russia,United Kingdom,United Arab Emirates,Türkiye,Israel,Ukraine,Sweden,Qatar,Denmark,Romania,Bahrain,South Africa,Oman,Switzerland (French),Hungary,Jordan,Bulgaria,Czech Republic,Kenya,Slovakia,Lithuania,Nigeria,Latvia,Serbia and Montenegro,Ethiopia,Venezuela,Brazil,Colombia,Argentina,Russia/CIS,Malaysia,Singapore,Philippines,Vietnam,India,Domestic,Japan,Slovenia,Egypt,Ghana,China,Central America,Puerto Rico,Kuwait,Switzerland,Canada,Paraguay,Indonesia,Saudi Arabia,Iraq,Trinidad & Tobago,Dominican Republic,Jamaica,Curaçao,Aruba,Pakistan,Cambodia,Mongolia,Panama
Song One (2014),,,$293,,,,,,,,,,,,,,,,"$231,980",,"$20,840","$71,368","$23,537",,,,,,,,,"$13,026",,,,,,,,,,"$2,046",,,$379,,,,,,,,,,,,,,,,"$4,079","$9,119",,,,,,,,,,,,,,,,,,,,,,,,,,
Jab Tak Hai Jaan (2012),,,"$82,969",,,,,,,,,,,,,,,"$676,387",,"$159,088",,,,,"$86,154",,,,,,"$2,631,292",,,,,,,,,,,,,,,,,,,"$8,690",,,,,,,,,,"$105,839",,,,,"$3,047,539",,,,,,,,,,,,,,,,,,,,,,,
The Boy and the World (2013),,,"$1,505",,"$4,946",,,,$369,,,,,,,,,,,,,,,"$18,915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$121,928",,,,,,,,,"$129,480",,,,,,,,,,,,,,,,,,,,,,,
Rhythm Is It! (2004),,,"$4,094,889",,"$203,778",,,"$328,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krampus (2015),,,"$2,250,903","$68,381","$1,089,907","$182,180",,"$1,255,846","$96,391","$149,640","$25,549","$149,028","$55,438",,"$27,626","$58,724",,,,"$6,711",,,"$74,453","$2,048,921","$605,019","$15,994","$91,764","$177,226","$115,989",,"$1,764,715","$110,774",,,"$363,009",,,,"$173,215",,,"$8,608",,"$263,382",,,"$154,218",,"$35,216","$38,315",,"$37,388",,,"$1,344,194",,"$412,730","$430,019","$1,006,802","$512,328","$182,448","$135,781","$226,744",,,,"$79,041",,,,,,,,,,,,,,,,,,,,,
Dhoom 3 (2013),,,"$86,207",,,,,"$6,951",,,"$7,010",,,,,,,"$1,501,190",,"$441,840",,,"$45,674",,"$60,742",,,,,,"$4,446,998",,"$78,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,946",,"$2,970,000",,,,,,,,,,,,,,,,,,
Sarkar Raj (2008),,,,"$11,938",,,,,,,,,,,,,,"$225,723",,,,,,,,,,,,,"$719,707",,,,,,,,,,"$35,715",,,,,,,,,,,,,,,,,,,"$10,526",,,,"$12,096,779",,,,,,,,,"$51,993",,,,,,,,,,,,,,,
"You're Sleeping, Nicole (2014)",,,,$783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Court (2014),,,,,"$15,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hands (2006),,,,,"$22,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,388",,"$513,709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fencer (2015),,,,,"$174,947",,,,,,,,"$689,477",,,,,"$275,741",,,,,,,,,,,,,"$5,454",,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,443",,,,,,,"$95,952",,,,,,,,,,,,,,,,,,,,,,,
Aloha (2015),,,,,"$1,943",,,,,,,,,,,,,"$2,877,706",,"$291,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$521,352","$456,033",,"$154,367",,,"$132,871",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Sentence (2012),,,,,,$598,,,,,,,,,,,,,,"$21,354",,,,,,,,,,,,,,,,"$243,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 to 7 (2014),,,,,,"$11,303","$12,413",,,,"$18,746",,,,,,,,"$22,004","$6,396",,,,"$259,757",,,,,,,,,,,"$13,735",,,,,,"$33,210",,,,"$1,035",,,,,"$4,030",,"$8,356",,,,,,,"$120,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seymour: An Introduction (2014),,,,,,"$25,489",,,,,,,,,,,,,"$138,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Hill. La colina del dragón (2002),,,,,,"$678,228",,,,"$238,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolfpack (2015),,,,,,"$75,334",,,,,,,,,,"$2,330",,,,,,,,,,,,,,,,,,,,"$30,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,761",,,,,,,,,,,,,,,,,,,,,
Dhoom 2 (2006),,,,,,"$66,441",,,,,,,,,,,,"$349,160",,"$101,038",,,,,,,,,,,"$2,292,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,943,296",,,,,,,,,,,,,,,,,,,,,,,,
Strangerland (2015),,,,,,,,,"$18,511",,,,,,,,,,,,,,,,,,,,,,"$3,363","$13,662",,,,,,,,,,,,,,,,,,"$14,523",,"$5,776","$3,836",,,,"$11,083",,"$22,881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barely Lethal (2015),,,,,,,,,"$12,917",,"$14,826",,,,,,,,,,,,"$151,975",,"$169,138",,,,"$5,854",,,"$227,036",,,"$33,899",,"$31,143",,,,,"$37,942",,,,,,"$3,766",,,,"$4,264",,,,,,,"$146,642",,"$28,897",,"$40,839",,,,,"$18,634",,,,,,,,,,,,,,,,,,,,
Casa Grande (2014),,,,,,,,,$71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$121,209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Judgment (2014),,,,,,,,,$448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Disappointments Room (2016),,,,,,,,,"$26,481",,,,,,,,,,,,,,"$19,647","$692,884",,,,,"$46,569",,,"$1,968,656",,,,,,,"$140,602",,,,,,,,,,,,,,,,,"$359,073","$67,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golmaal Fun Unlimited (2006),,,,,,,,,"$2,020",,,,,,,,,,,,,,,,,,,,,,"$348,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do You Believe? (2015),,,,,,,,,,"$156,118",,,,,,,,,"$26,986",,,,,"$380,292","$29,187",,,"$60,214",,,,,,,,,,,,,"$16,055",,,,,,,,,,,,,,,"$756,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max (2015),,,,,,,,,,,"$85,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,246",,,,"$12,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piku (2015),,,,,,,,,,,,,,,,,,"$219,971",,"$32,491",,,,,,,,,,,"$369,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,813",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday (2014),,,,,,,,,,,,,,,,,,"$181,278",,"$34,608",,,,,,,,,,,"$415,719",,,,,,,,,,"$51,556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Up Sid (2009),,,,,,,,,,,,,,,,,,"$68,189",,"$11,070",,,,,,,,,,,"$337,281",,,,,,,,,,"$17,891",,,,,,,,,,,,,,,,,,,"$13,167",,,,"$3,111,717",,,,,,,,,,,,,,,,,,,,,,,,
Bhool Bhulaiyaa (2007),,,,,,,,,,,,,,,,,,"$129,298",,,,,,,,,,,,,"$1,374,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,471,448",,,,,,,,,,,,,,,,,,,,,,,,
Mere Brother Ki Dulhan (2011),,,,,,,,,,,,,,,,,,"$95,121",,"$51,858",,,,,,,,,,,"$758,510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,614",,,,"$10,556,106",,,,,,,,,,,,,,,,,,,,,,,,
I Hate Luv Storys (2010),,,,,,,,,,,,,,,,,,"$149,636",,"$23,813",,,,,,,,,,,"$747,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Ending (2014),,,,,,,,,,,,,,,,,,"$30,394",,"$15,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freedom (2014),,,,,,,,,,,,,,,,,,"$216,965","$625,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Topp Twins: Untouchable Girls (2009),,,,,,,,,,,,,,,,,,"$183,525",,"$1,582,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,316",,,,,,,,,,"$24,711",,,,,,,,,,,,,
Hamari Adhuri Kahani (2015),,,,,,,,,,,,,,,,,,"$17,162",,,,,,,,,,,,,"$136,565",,,,,,,,,"$34,463",,"$75,223",,,,,,,,,,,,,,,,,,,,,,"$4,600,313",,,,,,,,,,,,,,,,,,,,,,,,
Walking the Camino: Six Ways to Santiago (2013),,,,,,,,,,,,,,,,,,"$313,789",,"$202,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$612,717",,,,,,,,,,,,,,,,,,,,,,,
Gabbar Is Back (2015),,,,,,,,,,,,,,,,,,"$72,693",,"$50,456",,,,,,,,,,,"$307,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noodle (2007),,,,,,,,,,,,,,,,,,"$12,655","$203,854","$21,337",,,,"$94,743",,"$11,083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockstar (2011),,,,,,,,,,,,,,,,,,"$109,184",,"$31,154",,,,,,,,,,,"$507,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,890",,,,"$9,568,066",,,,,,,,,,,,,,,,,,,,,,,,
Rock On!! (2008),,,,,,,,,,,,,,,,,,"$28,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,651",,,,"$7,024,956",,,,,,,,,,,,,,,,,,,,,,,,
Kaminey (2009),,,,,,,,,,,,,,,,,,"$188,107",,"$7,857",,,,,,,,,,,"$351,491",,,,,,,,,,"$10,967",,,,,,,,,,,,,,,,,,,"$18,731",,,,"$7,741,053",,,,,,,,,,,,,,,,,,,,,,,,
Shootout at Lokhandwala (2007),,,,,,,,,,,,,,,,,,"$26,591",,,,,,,,,,,,,"$305,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,669,959",,,,,,,,,,,,,,,,,,,,,,,,
Boychoir (2014),,,,,,,,,,,,,,,,,,"$709,887","$10,202","$382,681",,"$157,298","$17,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,437",,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventure Planet (2012),,,,,,,,,,,,,,,,,,,"$166,222",,,,"$551,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$569,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-5 (2015),,,,,,,,,,,,,,,,,,,"$266,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,589",,,,,,,,,,,,,,,,,,,,,,,,,
A Hard Day (2014),,,,,,,,,,,,,,,,,,,"$26,451,087",,,"$18,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Story: Lockdown (2013),,,,,,,,,,,,,,,,,,,"$841,358",,,"$194,777","$652,377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,234,309","$1,941,030","$134,805",,,,"$400,197",,,,"$86,340,000",,,,,,,,,,,,,,,,,,
The Hairdresser (2010),,,,,,,,,,,,,,,,,,,"$95,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Lane (2009),,,,,,,,,,,,,,,,,,,"$666,715",,,"$86,679",,"$178,186","$281,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Echo (2008),,,,,,,,,,,,,,,,,,,"$225,751",,,,"$2,385","$498,959","$105,781",,,"$30,491","$2,514",,,,,,,,,,,,,,,,,,,,,,,,,,"$358,640",,,,"$124,048",,,"$127,011",,,,,,,,,,,,,,,,,,,,,,,,,,
We Shall Overcome (2006),,,,,,,,,,,,,,,,,,,"$74,087",,"$3,761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Like a Dragon (2007),,,,,,,,,,,,,,,,,,,"$1,126,468",,"$27,695","$373,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,688,155",,,,,,,,,,,,,,,,,,,,,,
Tinker Bell and the Great Fairy Rescue (2010),,,,,,,,,,,,,,,,,,,,"$61,821",,,,"$1,877,053","$309,056","$51,703","$310,178","$316,284",,,,,,,,,,,,,,,,,,,,,,,,,,,"$345,335",,"$468,218","$654,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Island of Lemurs: Madagascar (2014),,,,,,,,,,,,,,,,,,,,$92,,,,"$3,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,667","$1,697",,,,,,,,"$11,272,213",,,,,,,,,,,,,,,,,,,,,,,
The Dead Lands (2014),,,,,,,,,,,,,,,,,,,,"$872,336",,,,,,,,,,,,"$28,582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London Road (2015),,,,,,,,,,,,,,,,,,,,"$26,757",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanu Weds Manu (2011),,,,,,,,,,,,,,,,,,,,"$8,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eames: The Architect & The Painter (2011),,,,,,,,,,,,,,,,,,,,"$3,643",,,,,,,,,,,"$6,627",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$153,088",,,,,,,,,,,,,,,,,,,,,,,
Jig (2011),,,,,,,,,,,,,,,,,,,,"$24,672",,,,,,,,,,,"$154,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mardaani (2014),,,,,,,,,,,,,,,,,,,,"$10,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,988,944",,,,,,,,,,,,,,,,,,,,,,,,
Siddharth (2013),,,,,,,,,,,,,,,,,,,,"$8,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iberia (2005),,,,,,,,,,,,,,,,,,,,,"$25,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survivor (2015),,,,,,,,,,,,,,,,,,,,,,"$158,849","$357,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,670","$36,847","$35,402","$63,887",,,"$139,558",,,,"$1,360,000",,,,,,,,,,,,,,,,,,
After Lucia (2012),,,,,,,,,,,,,,,,,,,,,,"$9,945",,"$2,332,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,835",,,"$16,702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nun (2013),,,,,,,,,,,,,,,,,,,,,,"$43,669",,,,,,,"$1,072",,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,614","$82,691","$3,330",,,"$4,276",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhoot (2003),,,,,,,,,,,,,,,,,,,,,,"$19,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,513,768","$106,774",,,,,,,,,,,,,,,,,,,,,,,
Monsters: Dark Continent (2014),,,,,,,,,,,,,,,,,,,,,,,"$76,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$134,573","$7,613",,,,,,,,,,,,,,,,,,,,,,,,,,,
Amusement (2008),,,,,,,,,,,,,,,,,,,,,,,"$68,894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,685",,,,,,,,,,,,,,,,,,,,,,,,,,
A Buddha (2005),,,,,,,,,,,,,,,,,,,,,,,,"$31,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,190",,"$62,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Games Maker (2014),,,,,,,,,,,,,,,,,,,,,,,,"$446,006","$400,821","$42,998","$97,086","$284,568","$138,809",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,267,267","$293,604","$555,830","$868,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La vida loca (2008),,,,,,,,,,,,,,,,,,,,,,,,"$63,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrew's Nest (2014),,,,,,,,,,,,,,,,,,,,,,,,,"$10,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Widows of Thursdays (2009),,,,,,,,,,,,,,,,,,,,,,,,,,"$74,737",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,999,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How Strange to Be Named Federico (2013),,,,,,,,,,,,,,,,,,,,,,,,,,"$2,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,422",,"$33,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Bosque de Karadima (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,360,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pingpong (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,112",,,,,,,,,,,,,,,,,,,,,,,,,,,
Run & Jump (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macbeth (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshya (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$466,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ek Ajnabee (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omkara (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$521,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,700,000",,,,,,,,,,,,,,,,,,,,,,,,
Detective Byomkesh Bakshy! (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$248,382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,725,228",,,,,,,,,,,,,,,,,,,,,,,,
The King's Daughter (2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,221",,,,,,,,,,,,"$14,186",,,,,,,,,,,,,,,"$444,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Driver for Vera (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,294",,,,,,,,,,,,,,,,,,,,,,,,,,"$2,630,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August Winds (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You Don't Choose Your Family (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$562,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio Day (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,723,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinker Bell (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$409,213",,,,,,,"$4,818,895",,,,,,,,,,,,,,,,,,,,,,
Leonie (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,286",,,,,,"$53,692","$1,397,773",,,,,,,,,,,,,,,,,,,,,,
Metro (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,062,253",,,,,,,,,,,"$2,340,000",,,,,,,,,,,,,,,,,,
Pound of Flesh (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$58,427",,,"$7,970",,,,,,,,,,,,,,,,,,,,,,,,,
Vishwaroopam (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$325,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ram Gopal Varma Ki Aag (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,317",,,,"$2,609,577",,,,,,,,,,,,,,,,,,,,,,,,
Black Friday (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,575,897",,,,,,,,,,,,,,,,,,,,,,,,
Darna Zaroori Hai (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,948,707",,,,,,,,,,,,,,,,,,,,,,,,
Darna Mana Hai (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,203,145",,,,,,,,,,,,,,,,,,,,,,,,
Shahid (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$365,650",,,,,,,,,,,,,,,,,,,,,,,,
Working Girls (1986),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,777,378",,,,,,,,,,,,,,,,,,,,,,,
