Movie Name,France,Italy,Germany,Belgium,Spain,Netherlands,Greece,Austria,Portugal,Poland,Lebanon,Switzerland (German),Finland,Norway,Iceland,Croatia,Estonia,Australia,South Korea,New Zealand,Taiwan,Hong Kong,Thailand,Mexico,Peru,Uruguay,Chile,Ecuador,Bolivia,Russia,United Kingdom,United Arab Emirates,Türkiye,Israel,Ukraine,Sweden,Qatar,Denmark,Romania,Bahrain,South Africa,Oman,Switzerland (French),Hungary,Jordan,Bulgaria,Czech Republic,Kenya,Slovakia,Lithuania,Nigeria,Latvia,Serbia and Montenegro,Ethiopia,Venezuela,Brazil,Colombia,Argentina,Russia/CIS,Malaysia,Singapore,Philippines,Vietnam,India,Domestic,Japan,Slovenia,Egypt,Ghana,China,Central America,Puerto Rico,Kuwait,Switzerland,Canada,Paraguay,Indonesia,Saudi Arabia,Iraq,Trinidad & Tobago,Dominican Republic,Jamaica,Curaçao,Aruba,Pakistan,Cambodia,Mongolia,Panama
Bad Boys for Life (2020),"$13,622,780","$1,628,878","$19,945,565","$5,086,130","$7,297,951","$6,647,005","$441,329","$2,288,434","$1,641,136","$1,124,045","$598,187",,"$1,180,505","$1,648,122","$154,236","$342,453","$318,536","$14,912,862","$4,190,646","$1,327,861","$4,546,496","$772,932","$1,599,800","$12,580,056","$1,343,703","$128,274","$636,855","$749,852","$394,993",,"$20,087,780","$5,513,587","$447,173","$2,193,216","$2,102,364","$2,990,540","$1,206,508","$2,433,086","$2,256,986","$1,330,071","$3,363,632","$738,672",,"$1,934,796","$484,872","$724,016","$820,019","$257,548","$404,457","$215,573","$506,336","$203,600","$149,843","$38,774",,"$4,010,478","$4,548,918","$809,510","$9,379,162","$1,930,652","$964,341","$921,124","$520,289","$1,310,006",,"$3,221,007","$394,320","$987,261",,"$3,200,000","$2,521,542",,"$2,211,609","$3,540,233",,"$118,814","$4,222,760","$8,799,351","$356,327","$960,228","$797,241","$435,592","$142,344","$123,401","$211,847","$98,106","$10,938",
Number One Fan (2014),"$3,508,365",,,"$124,149",,,,,,"$2,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On the Way to School (2013),"$6,057,555","$616,913","$541,794","$174,676","$529,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,516",,,,,,,,,,,,,,,"$7,424",,,,,,,,,,,,,,,,,,,,,,,
Mr. Holmes (2015),"$386,620","$1,457,343","$527,691","$133,171","$720,691","$329,261","$485,638","$91,034","$119,013",,"$3,687","$39,655",,"$1,189",,,,"$1,394,394","$35,408","$464,161","$141,789","$358,547",,"$27,884","$5,240",,,,,,"$3,993,973","$62,722","$94,039",,"$12,887",,,,,,"$74,293",,,,"$1,630",,,,,,,,,,,"$17,172",,,"$80,952","$36,553","$172,667","$6,083",,,,,,,,,,,,,,,,,,,,,,,,,,
Copacabana Palace (1962),"$286,927",,,"$139,568",,,,"$22,216","$26,878",,,,,,,,,"$120,185","$92,011",,,,,,,,,,,,,,"$28,769",,,,,,,,,,,,,,,,,,,,,,,"$75,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Secret Life of Pets (2016),"$25,767,127","$14,810,477","$34,750,357","$4,920,463","$22,835,481","$9,005,205","$1,444,582","$5,113,192","$3,376,204","$6,706,528","$350,000",,"$3,452,423","$3,364,650","$307,038","$445,302","$659,642","$41,298,801","$17,494,325","$3,075,864","$5,276,000","$4,175,722","$1,337,913","$22,590,000","$4,701,000","$571,677","$6,011,012","$1,849,036","$814,000",,"$44,981,290","$1,884,354","$1,657,570","$5,426,979","$2,921,003","$4,858,281",,"$3,958,742","$1,190,073",,"$1,650,498",,,"$2,911,696",,"$898,326","$2,927,055",,"$1,043,611","$550,907",,"$607,934","$448,863",,"$994,212","$19,065,814","$4,315,522","$5,738,885","$33,241,623","$1,534,193","$2,659,571","$1,804,100","$2,684,000","$916,558","$368,384,330","$41,733,387","$561,064","$197,674",,"$58,307,653",,,,"$5,388,645",,"$259,846","$1,923,000",,,,,,,,"$76,366",,,"$4,739,000"
Little Boy (2015),"$104,441",,,,"$189,025",,,,,,,,,,,$796,,,"$59,031",,,,$843,"$9,697,966","$766,176",,"$36,762","$45,574","$14,253",,,"$13,987",,,,,,,,,,,,,,,,,,,,,,,,"$34,701","$40,454","$82,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self/less (2015),"$2,949,882","$641,064","$604,627","$544,599","$768,623","$379,220",,"$7,348","$132,194","$827,682","$41,346","$181,812",,,"$14,844","$141,012","$43,953","$778,961",,"$118,361","$492,096",,"$259,677","$222,124","$74,610",,,"$37,205","$15,915",,"$336,045","$252,043","$133,704",,"$234,287",,,"$25,381","$387,990",,"$80,177",,"$118,054",,"$12,319","$104,441","$119,928",,"$104,390","$35,022",,"$41,874",,,,,"$63,498","$110,001","$2,610,078",,,,"$80,098",,,,,,,"$5,400,980",,,,,,,,,,,,,,,,,,
Criminal (2016),"$1,260,288","$1,121,423",,,"$380,352","$107,589","$52,520",,"$190,800",,"$14,722",,,,"$25,694",,,,"$633,427",,"$261,980",,"$170,054","$868,069",,,,,"$14,681",,"$352,892","$842,656","$229,002",,,,,,"$235,914",,"$123,374","$24,715",,"$77,510",,,,,,"$28,279",,,,,,"$251,718","$68,758","$168,658","$728,718",,,,,,,,"$11,685",,,"$15,772,274",,,,,,,,,,,,,,,,,,
The Last Witch Hunter (2015),"$3,638,253","$3,014,588","$3,470,515","$1,307,363","$2,631,586","$833,837","$353,590","$730,705","$603,241","$705,708","$301,715","$587,584",,,"$72,933","$124,501","$115,678","$2,446,051","$767,189","$463,963","$2,136,628","$958,263","$1,810,848","$4,190,040","$1,601,671","$68,954","$726,052","$633,660","$81,697",,"$4,133,544","$2,315,397","$1,702,021",,"$797,353",,,"$9,981","$835,104",,"$488,981","$11,955","$214,199","$474,004",,"$343,619","$485,527","$45,808","$172,179","$104,069",,"$79,114","$42,607",,"$2,999,845","$9,056,339","$1,988,875","$971,184","$8,795,912","$2,588,978","$1,038,118","$1,827,612","$973,124",,,"$99,226","$32,940",,,"$27,404,245",,,,,,,,,,,,,,,,,,
Suicide Squad (2016),"$19,400,000","$13,700,000","$18,500,000",,"$12,292,560","$6,215,717","$1,467,331",,"$2,754,361","$4,052,607",,,"$2,573,995","$4,382,359","$496,270",,,"$26,126,519","$14,300,000","$3,880,450","$9,500,000","$6,500,000","$2,867,498","$27,600,000",,"$326,434",,,"$1,306,420",,"$43,700,000","$4,675,608","$3,353,914",,"$2,916,352",,,,"$2,089,608",,"$2,529,817",,,"$1,346,680",,"$709,130","$1,635,158",,"$847,227","$511,312",,,,,,"$36,600,000","$7,184,017","$7,260,926","$25,626,359",,,,,,,"$15,607,713","$255,362",,,,,,,"$3,100,000",,"$401,260","$7,300,000",,,,,,,,,,,
Independence Day: Resurgence (2016),"$10,213,367","$2,979,381","$16,958,477","$900,545","$4,778,992","$2,495,850","$126,950","$969,618","$553,652","$1,324,316",,,"$825,088","$1,746,172","$131,472",,,"$8,631,705","$11,210,007","$1,153,340","$5,936,900","$4,474,791","$2,527,211","$14,155,646","$2,319,395",,"$1,935,228","$827,923","$131,509",,"$15,702,475","$2,517,690","$1,020,540","$265,622","$876,596","$1,744,336",,"$921,953","$676,411",,"$669,106",,,"$1,052,974",,"$303,577","$721,192",,"$282,032","$189,090",,,,,,"$8,725,523","$2,407,061","$3,586,584","$6,777,053","$2,959,195","$2,593,209","$3,087,882","$247,455","$5,185,463",,"$25,037,885","$74,028",,,"$75,359,650",,,,"$1,411,742",,,,,,,,,,,,,,
