Movie Name,United Kingdom,Domestic,Russia/CIS,Poland,Spain,France,Belgium,Norway,Portugal,Romania,South Korea,Netherlands,Greece,Italy,Türkiye,South Africa,Sweden,Czech Republic,Slovakia,Germany,Lebanon,Kenya,Mexico,Venezuela,Brazil,Colombia,Ecuador,Argentina,Chile,Uruguay,Peru,Taiwan,Hong Kong,Singapore,Malaysia,Thailand,Philippines,Vietnam,Australia,Denmark,Switzerland (French),Austria,Hungary,Finland,Croatia,India,New Zealand,China,Switzerland (German),United Arab Emirates,Israel,Ukraine,Qatar,Bahrain,Bulgaria,Lithuania,Serbia and Montenegro,Oman,Slovenia,Iceland,Egypt,Ethiopia,Bolivia,Japan,Latvia,Estonia,Jordan,Kuwait,Ghana,Nigeria,Iraq,Pakistan,Mongolia,Cambodia,West Indies,Aruba,Curaçao,Russia,Tunisia
Southpaw (2015),"$12,283,085",,"$722,893","$514,776","$517,708","$4,432,922","$545,436","$187,617","$94,927","$318,363","$618,471","$291,527","$411,263","$1,371,785","$262,496","$119,313","$496,294","$102,181","$124,373","$2,509,359","$187,188",,"$1,366,459",,"$75,437",$748,"$51,928","$242,708","$70,765",,"$97,511","$659,915","$262,727","$194,131","$122,949","$134,091","$40,861",,"$3,722,359","$227,440","$218,562","$493,232","$20,612","$114,915","$41,605","$74,605","$340,433","$1,168,081","$418,324","$744,152",,"$46,546",,,"$94,874","$49,679",,"$1,311",,"$52,794",,,"$11,128",,"$39,149","$92,127","$58,534",,,,,,,,,,,,
Sicario (2015),"$7,236,353","$46,889,293","$340,772","$551,861","$1,954,488","$2,669,472","$486,901","$208,402","$250,915","$222,461","$998,475","$591,864","$162,230","$923,268","$92,437","$140,362","$440,373","$100,237","$71,167","$2,363,150","$214,119","$42,168","$2,234,320","$86,468","$199,001",,"$48,711","$332,549","$152,457","$30,478","$68,637","$364,324","$351,255","$387,669","$144,984","$332,363","$70,549","$48,230","$3,834,030","$319,221","$40,449","$329,982","$187,339","$201,027","$50,916","$81,220","$361,414",,"$471,917","$1,045,911","$332,378","$137,161","$156,345","$113,841","$133,297","$51,047",,"$31,571","$8,208","$61,231","$22,500",,"$15,382","$1,043,808","$31,093","$35,150","$55,260","$228,308","$162,230","$85,314","$26,478","$26,192","$13,500","$12,800","$52,802","$10,391","$10,236",,
Goodnight Mommy (2014),"$18,437",,,"$2,313",,,,,,"$1,813",,,,,"$10,145",,,,,"$3,798",,,"$353,034",,"$72,477",,"$70,869","$110,662","$315,975",,,,,,,,,,,,,"$50,699",,,,,,,,,,,,,,,,,,"$5,056",,,,,,,,,,,,,,,,,,,
A Brilliant Young Mind (2014),"$443,821",,,,,,"$20,557",,,,,"$24,231",,,,,,,,,,,,,,,,,,,,,"$74,224",,,"$19,951",,,"$176,435",,,,,,,,"$112,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevalier (2015),"$23,820",,,,,,,,"$1,114",,,,"$26,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$899,,,,,,,,,,,,,,,,,,,,
Anomalisa (2015),"$321,379",,,"$6,818","$71,906","$167,895","$68,924",,"$13,271",,"$81,861",,,"$42,217",,"$9,666",,,,"$123,592",,,"$54,745",,"$80,942",,"$7,117","$22,916",,$458,"$3,468","$21,912","$35,919","$23,288",,"$9,865",,,,,,"$29,226",,,,,,,,"$8,711",,,,,,,,,,"$6,403",,,,,,,,,,,,,,,,,,,
The Vatican Tapes (2015),$201,,"$990,769","$508,558","$130,596","$769,688",,,"$73,110",,,,"$96,246","$668,333",,"$29,144",,,,"$161,403","$65,026",,"$2,990,474",,"$855,419","$609,101","$253,897","$836,399","$175,480","$36,357","$882,952",,,"$137,535","$278,893","$9,389","$97,221",,,,,"$180,952",,,,"$55,376",,,,,,"$45,173",,,,"$42,218","$13,165",,,,"$63,914",,"$115,525",,"$9,120","$6,558","$42,809",,,,,,,,,,,,
Our Little Sister (2015),"$68,160","$467,555",,,"$460,062",,,,,,"$653,340",,,"$67,258",,,,"$2,691",,"$128,916",,,"$32,493",,"$44,078","$16,004",,"$17,738",,"$9,189",,"$138,068","$277,289",,,"$36,226",,,,,,"$16,240",,,,,"$196,520",,,,,,,,,,,,"$7,315",,,,,"$13,306,967",,,,,,,,,,,,,,,
The Intern (2015),"$4,121,679",,"$4,434,498","$1,050,920","$3,463,866","$2,597,353","$854,260",,"$754,647","$474,279","$24,069,877","$1,639,265","$479,350","$2,355,374","$711,593","$521,070","$1,008,546","$223,184","$209,630","$4,953,126","$436,365","$15,017","$5,940,670","$2,866,948","$2,258,044","$606,280","$227,618","$1,301,285","$307,795","$131,656","$586,717","$7,687,807","$3,936,786","$1,227,995","$241,912","$713,665","$462,188","$111,779","$6,722,298","$1,842,371","$284,235","$736,034","$765,922","$342,561","$155,334","$759,132","$619,143",,"$1,142,225","$1,582,839","$1,778,538","$494,226",,,"$134,937","$22,670","$72,767","$7,881","$29,687","$58,404",,,"$34,617","$14,015,444","$101,642","$113,210","$31,969",,"$148,374","$76,222",,,,,,,,"$3,000,000",
Love (2015),"$65,829",,,,,"$101,157",,,"$10,660","$11,471",,,,,,,,"$48,377","$2,234","$45,918",,,"$80,067",,"$58,857","$9,625",,,,,,,,,,,,,,,,"$39,548",,"$12,746","$8,464",,,,,,,,,,,"$58,042","$9,608",,"$37,150","$12,221",,,,,,,,,,,,,,,,,,,
