Movie Name,United Kingdom,Domestic,Russia/CIS,Poland,Spain,France,Belgium,Norway,Portugal,Romania,South Korea,Netherlands,Greece,Italy,Türkiye,South Africa,Sweden,Czech Republic,Slovakia,Germany,Lebanon,Kenya,Mexico,Venezuela,Brazil,Colombia,Ecuador,Argentina,Chile,Uruguay,Peru,Taiwan,Hong Kong,Singapore,Malaysia,Thailand,Philippines,Vietnam,Australia,Denmark,Switzerland (French),Austria,Hungary,Finland,Croatia,India,New Zealand,China,Switzerland (German),United Arab Emirates,Israel,Ukraine,Qatar,Bahrain,Bulgaria,Lithuania,Serbia and Montenegro,Oman,Slovenia,Iceland,Egypt,Ethiopia,Bolivia,Japan,Latvia,Estonia,Jordan,Kuwait,Ghana,Nigeria,Iraq,Pakistan,Mongolia,Cambodia,West Indies,Aruba,Curaçao,Russia,Tunisia
Dragon Nest: Warriors' Dawn (2014),,,"$494,150",,,,,,,,"$36,508",,,,,,,,,,,,"$105,513",,,,,,,,,,,,,,"$99,109",,,,,,,,,,,"$8,810,000",,,,,,,,,,,,,,,"$8,155",,,,,,,,,,,,,,,,
Attack on Titan Part 1 (2015),,,"$302,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$600,667","$1,407,115","$583,912","$201,197","$560,656","$668,086",,"$173,046",,,,,,,,"$49,528",,,,,"$28,163",,,,,,,,,,,,"$25,786,343",,,,,,,,,,,,,,,
13 Minutes (2015),,,"$15,044",,"$47,037",,"$10,512","$26,762","$12,802",,,,,,"$41,888",,,,,"$858,772",,,,,,"$76,196",,,,,,,,,,,,,,,,"$37,212",,"$3,785",,,"$36,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khottabych (2006),,,"$1,382,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taras Bulba (2009),,,"$17,054,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,834,005",,,,,,,,,,,,,,,,,,,,,,,,,,,
PiraMMMida (2011),,,"$1,169,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Guardians (2017),,,"$4,803,565",,,,,,,,,,,,,,,"$9,728",,,,,"$1,160,864",,"$140,183","$168,675",,,,"$2,509",,,,,,"$356,898",,,,,,,,,,,,"$2,877,806",,"$36,065",,,,,"$52,304",,,,,,,,"$156,886",,,,,,,,,,,,,,,,
Arthur 3: The War of the Two Worlds (2010),,,"$1,085,296","$343,640","$1,171,965","$27,367,493","$1,260,038","$205,755","$138,198",,"$366,645","$101,439","$179,075","$498,181",,,"$238,864","$56,808",,,"$5,873",,,,,,,,,,,"$27,212",,,,,,,,"$299,218",,,"$68,234","$140,522","$115,004",,,,,"$60,069",,,,,"$92,717",,"$36,861",,,"$26,872",,,,,,,,,,,,,,,,,,,
Kill Your Friends (2015),,,"$86,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equals (2015),,,"$455,753",,,,"$15,841",,"$15,566",,"$467,098","$39,143",,"$329,680","$70,377","$7,583",,,,,,,,,,,,,,,"$12,202","$83,868","$11,562","$93,555",,"$132,770","$94,094","$30,945",,,,,,,,,,,,"$24,369","$35,133","$26,445",,,"$4,129",,,,,,,,,"$3,087","$4,139","$7,608",,,,,,,,,,,,,
The Marquis (2011),,,"$13,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghadi (2013),,,,"$3,577","$66,572",,,,,,,,,,,,,,,,"$579,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Another Country (2012),,,,,"$77,848","$211,859",,,,,"$64,128",,,"$60,956",,,,,,,,,"$23,872",,"$137,304",,,"$10,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Lovers (2010),,,,,"$29,482",,"$33,232",,,,,,,,"$14,071",,,,,,,,,,,,,,,,,"$16,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Hearts (2014),,,,,"$109,822","$2,319,513","$182,451",,,,,,,"$240,495",,,,,,,,,,,"$39,965",,,,,,,,,,,,,,,,,"$24,379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Bottle in the Gaza Sea (2010),,,,,"$144,854","$305,966","$33,598",,,,,,,,,,,,,,,,,,"$175,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Generations (2015),,,,,"$52,409",,"$11,969",,"$3,910",,"$55,662","$87,931",,"$210,917","$22,226",,,,,"$49,630",,,,,,,,"$9,567",,,,,,,,"$10,137",,,,,,,,"$10,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Made in Hungaria (2009),,,,,"$2,611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$929,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West (2013),,,,,"$110,117",,,,,,,,,,,,,,,"$110,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captive (2012),,,,,"$16,081",,,,,,,,,,,,,,,,,,,,"$18,841",,,"$21,333",,,,,,,,,"$26,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flowers (2014),,,,,"$51,722",,,,,,,,"$26,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It Begins with the End (2010),,,,,,"$162,272",,,,,"$22,091",,,,,,,,,,,,,,,,,,,,,,,"$14,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaytoun (2012),,,,,,"$135,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovanna's Father (2008),,,,,,,$980,,,,,,,"$4,846,636",,,,,,,,,,,,,,"$9,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before We Go (2014),,,,,,,,,"$15,047",,,,,,"$67,587","$20,118",,,"$58,924",,"$62,686",,,,,,,,,,,"$11,833","$56,996","$9,064",,,,,,,,,,,,,,,,"$123,469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo Tower (2005),,,,,,,,,,,"$738,475",,,,,,,,,,,,,,,,,,,,,"$315,724","$680,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,507,051",,,,,,,,,,,,,,,
Twenty (2015),,,,,,,,,,,"$21,861,512",,,,,,,,,,,,,,,,,,,,,,"$146,377","$46,010","$9,159",,,"$72,679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go Away Mr. Tumor (2015),,,,,,,,,,,"$13,374",,,,,,,,,,,,,,,,,,,,,,"$40,590",,,,,,"$124,830",,,,,,,,"$21,460","$80,120,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blades of Blood (2010),,,,,,,,,,,"$8,258,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veteran (2015),,,,,,,,,,,"$92,838,964",,,,,,,,,,,,,,,,,,,,,,"$43,861",,,"$1,544",,"$75,334","$184,651",,,,,,,,"$48,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassination (2015),,,,,,,,,,,"$86,915,500",,,,,,,,,,,,,,,,,,,,,,"$187,249","$61,014",,"$2,993",,"$29,965","$223,922",,,,,,,,"$64,448","$6,730,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wind Blows Round (2005),,,,,,,,,,,,,,"$659,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intrepido: A Lonely Hero (2013),,,,,,,,,,,,,,"$1,544,866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Blue Elephant (2014),,,,,,,,,,,,,,,"$342,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$331,717",,,,,,,,,,"$13,181",,,,,,,,,,,,,,,,,,,
Cop Car (2015),,,,,,,,,,,,,,,,,,,,,"$1,725",,,,,,,,,,,,,,,"$7,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mademoiselle (2001),,,,,,,,,,,,,,,,,,,,,,,"$39,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Wild Moment (2015),,,,,,,,,,,,,,,,,,,,,,,,,"$8,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marina (2013),,,,,,,,,,,,,,,,,,,,,,,,,"$73,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The World is Big and Salvation Lurks Around the Corner (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The High Sun (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$67,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Un amor (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$315,805",,"$4,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Courtyard (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extinction (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exeter (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,397",,,,"$137,913","$9,567","$17,554",,,,,,,,,,,,,,,,,,,,,,,,,,"$16,189",,,,,,,,,,,,,,,,
Always: Sunset on Third Street (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$97,301","$4,754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,492,618",,,,,,,,,,,,,,,
Chrysalis (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
But Always (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$815,635","$38,992",,,,,"$132,337",,,,,,,,"$31,524","$36,590,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiny Times (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$93,552",,,,,,,,,,,,,,,"$77,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiny Times 2.0 (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,149",,,,,,,,,,,,,,,"$47,220,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somewhere Only We Know (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,642",,,,,,"$69,994",,,,,,,,"$18,734","$45,160,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Painted Skin: The Resurrection (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,176,506","$470,204","$489,845","$67,138",,,"$104,860",,,,,,,,"$96,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Kissed a Girl (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women Who Flirt (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,717,934","$61,672","$167,001",,,,"$95,656",,,,,,,,"$18,374","$36,720,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harbinger Down (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,976",,,"$16,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aadhavan (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,456,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Gold 3D (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Marriage of Figaro (1976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Come as Friends (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masaan (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$530,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rising from Ashes (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Continent (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,110,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph in the Skies (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,590,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every Secret Thing (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Peace (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$605,945",,,,,,,,,,,,,,,
Puella Magi Madoka Magica the Movie Part 1: Beginnings (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,635,890",,,,,,,,,,,,,,,
