Movie Name,South Korea,Russia/CIS,Thailand,France,Spain,Germany,Italy,Belgium,Netherlands,Poland,Israel,United Arab Emirates,Switzerland,Norway,South Africa,Austria,Czech Republic,Denmark,Sweden,Romania,Greece,Portugal,Hungary,Finland,Estonia,Ukraine,Türkiye,Lithuania,Slovakia,Latvia,Bulgaria,Serbia and Montenegro,Slovenia,United Kingdom,Iceland,Croatia,Cyprus,Brazil,Mexico,Argentina,Colombia,Ecuador,Peru,Chile,Bolivia,Uruguay,Costa Rica,Panama,Nicaragua,Paraguay,Honduras,Australia,New Zealand,Vietnam,Malaysia,Singapore,China,Kuwait,Qatar,Lebanon,Bahrain,Jordan,Oman,Egypt,Venezuela,Trinidad & Tobago,Japan,Taiwan,Hong Kong,Philippines,India,Indonesia,Domestic,Nigeria,Kenya,Ghana,Jamaica,Dominican Republic,Aruba,Pakistan,Mongolia
Good Time (2017),"$20,972","$126,563",,"$705,126",,,,,"$125,933",,,"$1,236",,"$15,062",,,,,,,"$3,247","$14,923",,"$8,860",,,"$25,429","$5,129","$3,191",,,,,"$44,999","$4,976",,,,,"$25,996",$511,,,,"$4,193",,,,,,,"$120,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer 1993 (2017),"$21,016",,,"$81,933","$2,346,956",,,,"$41,945",,,,,"$20,372",,,,,,"$2,977",,"$5,919",,,,,"$9,143",$528,,,,,,"$6,346","$1,421",,,,,"$16,702","$22,415",,,,,"$12,868",,,,,,"$212,571",,,,,,,,,,,,,,,,,,,,,"$185,903",,,,,,,,
The Dark Tower (2017),"$669,330","$8,853,364","$1,018,203","$3,019,623","$2,909,457","$3,718,808","$2,745,937","$466,861","$1,627,195","$983,723","$279,846","$1,766,768","$426,657","$313,338","$522,616","$591,545","$253,265","$406,305","$618,551","$635,103","$293,987","$790,612","$507,091","$309,927","$107,116","$947,693","$1,306,756","$57,554","$96,812","$55,452","$220,228","$62,791","$30,561","$3,563,671","$74,490","$124,686",,"$4,038,621","$3,536,813","$667,094","$781,246","$357,181","$380,333","$279,645","$73,683","$48,307",,,,"$23,286",,"$2,513,760","$497,610","$285,230","$1,126,352","$515,779",,"$275,534","$256,560","$122,737","$202,183","$50,036","$143,875","$159,976","$234,737","$255,193","$1,348,519","$893,495","$437,600","$753,412","$89,576","$1,081,996",,"$114,375","$54,869","$9,458","$75,887","$37,668","$23,412","$39,808","$12,005"
Overdrive (2017),"$9,028","$855,019","$303,860","$3,069,977",,,"$1,521,843",,"$662,381",,,"$520,437",,,"$227,371",,"$31,300",,,"$182,899","$72,810","$299,358","$95,925",,,"$136,910","$111,301","$31,851","$30,611",,"$26,045",,"$14,160","$78,008",,,,,"$641,858",,"$151,912",,,,"$35,989",,,,,,,,,,,,,,,,,,,,,,"$531,906",,,,,,,,,,,,,,
Rumba (2008),"$49,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$145,680",,"$67,362",,,,,,"$1,644",,,,,,,,,,,,,,,,,,,,,,"$5,159",,,,,,,,,,,,,
The Emoji Movie (2017),"$245,759","$6,686,623","$214,365","$5,622,976","$7,721,590","$5,728,605","$3,899,454","$2,382,171","$3,621,580","$3,258,186","$2,557,494","$1,288,692","$1,096,413","$1,328,842","$1,301,104","$1,172,488","$1,124,674","$1,565,433","$1,818,438","$702,867","$406,390","$1,828,799","$625,090","$916,427","$291,887","$985,755","$412,026","$308,777","$480,454","$286,912","$581,908","$50,784","$31,042","$19,583,096","$191,694","$132,190",,"$7,593,186","$7,728,730","$4,252,668","$1,997,605","$1,291,229","$1,695,699","$2,335,717","$437,028","$495,820",,"$84,240",,"$121,028",,"$10,848,188","$1,286,553","$199,665","$711,485","$729,241",,"$399,694","$240,017","$274,245","$248,808","$156,135","$75,215","$117,598","$1,223,243","$252,832","$33,279","$367,891","$1,242,993","$643,510","$162,848","$539,975",,"$94,492","$52,717","$8,401","$66,269","$222,740","$43,076","$25,663",
Wind River (2017),"$48,541","$746,182","$39,855","$2,212,691",,,"$1,398,487","$302,563","$668,890",,,"$677,071",,"$198,843","$79,808",,"$278,478",,,,"$312,697","$102,192","$137,465",,,"$38,224",,"$30,233","$88,658",,"$35,718",,"$22,071","$1,622,497",,,,,"$244,323","$196,058","$52,513",,,,,"$29,235",,,,"$4,423",,"$651,268","$182,839",,,,,,,,,,,,,,,,,,,,"$33,800,859",,,,,,,,
Shot Caller (2017),"$16,046","$225,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dragon Spell (2016),"$510,853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wish Upon (2017),"$385,757","$658,226","$77,754","$2,336,094","$833,204","$432,669","$309,340",,"$409,309",,,"$297,862",,,"$22,026",,,,,,"$115,982",,,"$95,816",,"$19,752",,,,,,,,"$50,730","$16,554",,,"$989,837","$1,361,317","$215,718","$385,122",,,,"$102,174","$11,281",,,,"$40,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit (2017),"$173,203",,,"$2,380,815","$70,582",,"$205,062",,"$258,182",,,"$126,561",,,"$26,257",,,,,,"$43,599","$32,332",,,,,,,,,,,,"$3,014,949",,,,,,"$17,960","$18,746",,,,,,,,,,,"$175,876","$20,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus (2017),"$55,475",,,,,,,,,,,,,,,,,,,,,"$13,824",,,,,,,,,,,,"$6,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Lover (2017),"$82,448","$401,756",,"$2,967,457","$349,726",,"$59,248",,"$307,426","$160,916",,,,,,,"$17,490",,,"$18,975","$18,213","$6,978","$31,209",,,"$54,666","$33,952","$19,906","$7,717",,"$10,360",,"$3,837","$79,462",,"$5,695",,"$43,733","$97,163","$32,557",,,,,,"$6,641",,,,"$1,868",,,"$21,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goon: Last of the Enforcers (2017),,"$114,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Órbita 9 (2017),,"$124,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havenhurst (2016),,"$68,367",,,,,,,,,,"$36,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,428","$130,764",,,,"$9,927",,,,,"$5,916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porn in the Hood (2012),,"$103,403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark World (2010),,"$8,347,426",,,,,,,,,,,,,,,,,,,,,,,,"$281,571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S Novym godom, mamy! (2012)",,"$11,896,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolki 1914 (2014),,"$10,727,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beremennyy (2011),,"$7,370,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chto tvoryat muzhchiny! (2013),,"$9,963,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ghost (2008),,"$2,401,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolki 3 (2013),,"$37,876,863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana (2008),,"$2,904,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love-Carrot 3 (2011),,"$8,457,645",,,,,,,,,,,,,,,,,,,,,,,"$18,711","$854,848",,"$27,996",,"$29,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unresolved Sexual Tension (2010),,"$284,138",,,"$2,722,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecstasy (2011),,"$23,946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ochen russkiy detektiv (2008),,"$3,080,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eat Locals (2017),,"$2,677",,,,,"$3,883",,,,,"$9,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Legend of Al, John and Jack (2002)",,"$150,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuck (2016),,"$1,321",,"$100,323",,,,,"$37,025",,,"$9,363",,,,,,,,,"$9,752","$10,119",,,,,,,,,,,,,"$5,475",,,,,,"$8,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:22 (2017),,"$661,848","$126,037",,,,"$1,205,606",,"$680,850",,,"$158,121",,,"$34,720",,,,,,,"$67,373",,,,"$48,930","$139,100",,,,,,,,,,,,"$289,702",,"$160,415",,,,"$17,230",,,,,,,,,,,,"$355,375",,,,,,,,,,,,,,,,,,,,,,,,
The Life (2004),,"$13,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,130",,,,,,,,
Security (2017),,"$33,501","$21,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$175,927",,,,,,"$23,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What War May Bring (2010),,"$145,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicostratos the Pelican (2011),,"$142,362",,"$468,111",,"$119,639",,"$17,115",,,,,,,,"$7,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puzzled Love (2011),,"$20,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm Staying! (2003),,"$19,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunstroke (2014),,"$1,660,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirage (2004),,"$911,551",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,241",,,,,,,,
Groom (2016),,"$7,483,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realnyy papa (2008),,"$1,875,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hippopotamus (2017),,"$120,102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brice 3 (2016),,"$7,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July Rain (1967),,"$45,072",,,,,,,,,,,,,,,,,,,,"$1,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pattaya (2016),,"$96,923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bye Bye Germany (2017),,"$9,364",,,"$93,839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With Open Arms (2017),,"$153,183",,"$7,865,057","$190,384",,"$225,224",,"$50,638","$92,234",,,,,,,"$79,017",,,,"$320,321","$488,564","$15,924",,,,,"$23,985","$57,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
